"¿œΩ√","º≠«≥ count"
2018-01-01,35
2018-01-02,28
2018-01-03,34
2018-01-04,29
2018-01-05,43
2018-01-06,42
2018-01-07,4
2018-01-08,34
2018-01-09,40
2018-01-10,37
2018-01-11,42
2018-01-12,37
2018-01-13,3
2018-01-14,2
2018-01-15,35
2018-01-16,4
2018-01-17,20
2018-01-18,42
2018-01-19,38
2018-01-20,23
2018-01-21,26
2018-01-22,19
2018-01-23,40
2018-01-24,33
2018-01-25,31
2018-01-26,31
2018-01-27,23
2018-01-28,44
2018-01-29,36
2018-01-30,24
2018-01-31,35
2018-02-01,36
2018-02-02,34
2018-02-03,43
2018-02-04,42
2018-02-05,39
2018-02-06,42
2018-02-07,29
2018-02-08,22
2018-02-09,11
2018-02-10,35
2018-02-11,43
2018-02-12,41
2018-02-13,30
2018-02-14,19
2018-02-15,37
2018-02-16,39
2018-02-17,44
2018-02-18,27
2018-02-19,38
2018-02-20,40
2018-02-21,35
2018-02-22,17
2018-02-23,12
2018-02-24,42
2018-02-25,30
2018-02-26,26
2018-02-27,17
2018-02-28,0
2018-03-01,39
2018-03-02,24
2018-03-03,12
2018-03-04,8
2018-03-05,0
2018-03-06,16
2018-03-07,0
2018-03-08,20
2018-03-09,16
2018-03-10,33
2018-03-11,38
2018-03-12,20
2018-03-13,17
2018-03-14,19
2018-03-15,27
2018-03-16,1
2018-03-17,21
2018-03-18,30
2018-03-19,0
2018-03-20,0
2018-03-21,7
2018-03-22,43
2018-03-23,38
2018-03-24,36
2018-03-26,22
2018-03-27,22
2018-03-28,25
2018-03-29,30
2018-03-30,14
2018-03-31,32
2018-04-01,14
2018-04-02,22
2018-04-03,25
2018-04-04,9
2018-04-05,0
2018-04-06,42
2018-04-07,46
2018-04-08,19
2018-04-09,13
2018-04-10,12
2018-04-11,39
2018-04-12,34
2018-04-13,9
2018-04-14,14
2018-04-15,43
2018-04-16,21
2018-04-17,27
2018-04-18,41
2018-04-19,37
2018-04-20,18
2018-04-21,34
2018-04-22,0
2018-04-23,0
2018-04-24,0
2018-04-25,22
2018-04-26,38
2018-04-27,33
2018-04-28,39
2018-04-29,30
2018-04-30,30
2018-05-01,23
2018-05-02,18
2018-05-03,23
2018-05-04,40
2018-05-05,23
2018-05-06,6
2018-05-07,21
2018-05-08,0
2018-05-09,15
2018-05-10,38
2018-05-11,27
2018-05-12,8
2018-05-13,34
2018-05-14,31
2018-05-15,14
2018-05-16,6
2018-05-17,6
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,6
2018-05-22,13
2018-05-23,33
2018-05-24,20
2018-05-25,23
2018-05-26,21
2018-05-27,33
2018-05-28,21
2018-05-29,18
2018-05-30,28
2018-05-31,40
2018-06-01,39
2018-06-02,39
2018-06-03,32
2018-06-04,34
2018-06-05,26
2018-06-06,39
2018-06-07,44
2018-06-08,38
2018-06-09,5
2018-06-10,0
2018-06-11,2
2018-06-12,19
2018-06-13,17
2018-06-14,6
2018-06-15,0
2018-06-16,16
2018-06-17,27
2018-06-18,26
2018-06-19,29
2018-06-20,42
2018-06-21,44
2018-06-22,25
2018-06-23,27
2018-06-24,39
2018-06-25,23
2018-06-26,14
2018-06-27,29
2018-06-28,4
2018-06-29,31
2018-06-30,12
2018-07-01,0
2018-07-02,0
2018-07-03,0
2018-07-04,27
2018-07-05,10
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,18
2018-07-12,36
2018-07-13,34
2018-07-14,36
2018-07-15,30
2018-07-16,38
2018-07-17,43
2018-07-18,31
2018-07-19,35
2018-07-20,34
2018-07-21,29
2018-07-22,28
2018-07-23,40
2018-07-24,25
2018-07-25,28
2018-07-26,30
2018-07-27,42
2018-07-28,18
2018-07-29,0
2018-07-30,0
2018-07-31,8
2018-08-01,24
2018-08-02,30
2018-08-03,25
2018-08-04,47
2018-08-05,46
2018-08-06,32
2018-08-07,17
2018-08-08,37
2018-08-09,34
2018-08-10,8
2018-08-11,1
2018-08-12,0
2018-08-13,18
2018-08-14,18
2018-08-15,1
2018-08-16,0
2018-08-17,0
2018-08-18,6
2018-08-19,10
2018-08-20,4
2018-08-21,25
2018-08-22,0
2018-08-23,0
2018-08-24,26
2018-08-25,29
2018-08-26,4
2018-08-27,0
2018-08-28,0
2018-08-29,12
2018-08-30,20
2018-08-31,34
2018-09-01,2
2018-09-02,0
2018-09-03,6
2018-09-04,31
2018-09-05,40
2018-09-06,13
2018-09-07,27
2018-09-08,18
2018-09-09,6
2018-09-10,0
2018-09-11,0
2018-09-12,4
2018-09-13,0
2018-09-14,0
2018-09-15,11
2018-09-16,42
2018-09-17,42
2018-09-18,28
2018-09-19,8
