½Ã°£,Ç³Çâ,pm10,Ç³Çâ2
2016-01-01 01:00,90,72.0,E
2016-01-01 02:00,0,78.0,N
2016-01-01 03:00,90,55.77272727272727,E
2016-01-01 04:00,70,89.0,ENE
2016-01-01 05:00,90,85.0,E
2016-01-01 06:00,90,79.0,E
2016-01-01 07:00,90,72.0,E
2016-01-01 08:00,90,80.0,E
2016-01-01 09:00,90,70.0,E
2016-01-01 10:00,90,76.0,E
2016-01-01 11:00,140,78.0,SE
2016-01-01 12:00,140,79.0,SE
2016-01-01 13:00,140,70.0,SE
2016-01-01 14:00,140,58.0,SE
2016-01-01 15:00,270,41.0,W
2016-01-01 16:00,270,55.77272727272727,W
2016-01-01 17:00,270,22.0,W
2016-01-01 18:00,250,23.0,WSW
2016-01-01 19:00,250,29.0,WSW
2016-01-01 20:00,230,30.0,SW
2016-01-01 21:00,230,25.0,SW
2016-01-01 22:00,200,21.0,SSW
2016-01-01 23:00,0,26.0,N
2016-01-02 00:00,140,24.0,SE
2016-01-02 01:00,140,26.0,SE
2016-01-02 02:00,140,37.0,SE
2016-01-02 03:00,110,40.0,ESE
2016-01-02 04:00,90,42.0,E
2016-01-02 05:00,70,43.0,ENE
2016-01-02 06:00,90,39.0,E
2016-01-02 07:00,70,37.0,ENE
2016-01-02 08:00,70,32.0,ENE
2016-01-02 09:00,90,32.0,E
2016-01-02 10:00,70,35.0,ENE
2016-01-02 11:00,70,40.0,ENE
2016-01-02 12:00,70,49.0,ENE
2016-01-02 13:00,70,50.0,ENE
2016-01-02 14:00,20,48.0,NNE
2016-01-02 15:00,270,48.0,W
2016-01-02 16:00,320,40.0,NW
2016-01-02 17:00,320,41.0,NW
2016-01-02 18:00,320,43.0,NW
2016-01-02 19:00,320,49.0,NW
2016-01-02 20:00,320,47.0,NW
2016-01-02 21:00,320,53.0,NW
2016-01-02 22:00,320,46.0,NW
2016-01-02 23:00,320,47.0,NW
2016-01-03 00:00,320,49.0,NW
2016-01-03 01:00,320,58.0,NW
2016-01-03 02:00,320,58.0,NW
2016-01-03 03:00,320,63.0,NW
2016-01-03 04:00,340,57.0,NNW
2016-01-03 05:00,340,58.0,NNW
2016-01-03 06:00,340,58.0,NNW
2016-01-03 07:00,0,67.0,N
2016-01-03 08:00,340,68.0,NNW
2016-01-03 09:00,0,75.0,N
2016-01-03 10:00,70,79.0,ENE
2016-01-03 11:00,270,66.0,W
2016-01-03 12:00,290,77.0,WNW
2016-01-03 13:00,320,76.0,NW
2016-01-03 14:00,360,80.0,N
2016-01-03 15:00,360,86.0,N
2016-01-03 16:00,290,100.0,WNW
2016-01-03 17:00,270,99.0,W
2016-01-03 18:00,320,100.0,NW
2016-01-03 19:00,320,88.0,NW
2016-01-03 20:00,320,116.0,NW
2016-01-03 21:00,340,150.0,NNW
2016-01-03 22:00,320,125.0,NW
2016-01-03 23:00,340,129.0,NNW
2016-01-04 00:00,340,124.0,NNW
2016-01-04 01:00,320,143.0,NW
2016-01-04 02:00,290,164.0,WNW
2016-01-04 03:00,290,154.0,WNW
2016-01-04 04:00,290,149.0,WNW
2016-01-04 05:00,320,140.0,NW
2016-01-04 06:00,340,136.0,NNW
2016-01-04 07:00,340,116.0,NNW
2016-01-04 08:00,290,95.0,WNW
2016-01-04 09:00,320,106.0,NW
2016-01-04 10:00,50,100.0,NE
2016-01-04 11:00,50,79.0,NE
2016-01-04 12:00,50,52.0,NE
2016-01-04 13:00,320,30.0,NW
2016-01-04 14:00,50,24.0,NE
2016-01-04 15:00,340,16.0,NNW
2016-01-04 16:00,320,73.3913043478261,NW
2016-01-04 17:00,340,9.0,NNW
2016-01-04 18:00,320,22.0,NW
2016-01-04 19:00,320,27.0,NW
2016-01-04 20:00,340,34.0,NNW
2016-01-04 21:00,340,31.0,NNW
2016-01-04 22:00,20,22.0,NNE
