"측정망별(1)",측정망별(2),측정망별(3),측정망별(4),2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11
"도시대기",서울,중구,중구,16,18,16,12,15,20
"도시대기",서울,종로구,종로구,15,17,17,13,16,20
"도시대기",서울,중랑구,중랑구,18,17,15,9*,12**,16
"도시대기",서울,동대문구,동대문구,16,19,17,10*,13**,18
"도시대기",서울,은평구,은평구,22,21,18,14,16,18
"도시대기",서울,마포구,마포구,26,19,15,10*,17**,20
"도시대기",서울,영등포구,영등포구,26,22,17,14,17,21
"도시대기",서울,동작구,동작구,18,22,20,12,17,24
"도시대기",서울,관악구,관악구,23,14,13,-,15**,20
"도시대기",서울,강남구,강남구,16,18,16,11*,14,19
"도시대기",서울,금천구,금천구*,18,18,16,12,16,21
"도시대기",서울,강동구,강동구,18,19,18,13,17,25
"도시대기",서울,강북구,강북구,17,19,17,13,18,21
"도시대기",서울,성북구,성북구,19,15,15,10,14,16
"도시대기",서울,용산구,용산구,16,20,18,11,14,18
"도시대기",서울,광진구,광진구,25,22,19,15,17,20
"도시대기",서울,성동구,성동구,22,20,12,11,14,20
"도시대기",서울,도봉구,도봉구,17,14,11,9,13,17
"도시대기",서울,서대문구,서대문구,21,17,10,7,12,14
"도시대기",서울,구로구,구로구,23,18,14,8,11,24
"도시대기",서울,서초구,서초구,25,20,16,11,13,22
"도시대기",서울,강서구,강서구,18,21,19,14,18,24
"도시대기",서울,송파구,송파구,20,16,13,11,15,17
"도시대기",서울,양천구,양천구,18,20,19,13,18,23
"도시대기",서울,노원구,노원구,18,20,18,13,17,22
"도시대기",부산,중구,광복동*,24,21,21,16,14,16
"도시대기",부산,남구,대연동*,18,14,16,11,10,14
"도시대기",부산,사상구,학장동*,23,21,22,16,16,21
"도시대기",부산,사상구,덕포동,21,16,19,13,13,20
"도시대기",부산,북구,덕천동,24,21,21,14,14,20
"도시대기",부산,사하구,장림동*,25,22,23,17,19,24
"도시대기",부산,사하구,당리동,-,14,15,9,10,15
"도시대기",부산,부산진구,전포동,15,15,16,9,9,16
"도시대기",부산,부산진구,개금동,-,12,16,10,11,18
"도시대기",부산,연제구,연산동*,22,14,16,11,11,15
"도시대기",부산,영도구,태종대,17,14,17,12,12,14
"도시대기",부산,금정구,청룡동*,22,20,20,14,11,15
"도시대기",부산,금정구,부곡동,21,19,19,13,12,15
"도시대기",부산,해운대구,좌동,23,19,21,15,15,19
"도시대기",부산,강서구,대저동*,22**,17,19,13,15,16
"도시대기",부산,강서구,녹산동*,24,22,25,18,18,23
"도시대기",부산,기장군,기장읍*,16,14,15,10,9,12
"도시대기",부산,기장군,용수리*,22,19,20,14,14,18
"도시대기",부산,수영구,광안동,24,21,24,17,15,18
"도시대기",부산,동래구,명장동*,19,18,20,13,11,11
"도시대기",부산,동구,수정동,18,16,16,11,9,13
"도시대기",부산,서구,대신동,24,21,21,13,13,17
"도시대기",대구,중구,수창동,19,15,15,11,14,23
"도시대기",대구,서구,이현동,22,18,17,14,18,26
"도시대기",대구,남구,대명동,19,14,15,12,14,23
"도시대기",대구,북구,노원동,22,19,18,15,17,22
"도시대기",대구,북구,태전동*,18,16,16,11,12,17
"도시대기",대구,동구,신암동,16,13,13,10,12,20
"도시대기",대구,동구,서호동*,19,17,18,15,16,26
"도시대기",대구,수성구,만촌동,21,17,16,12,15,21
"도시대기",대구,수성구,지산동*,17,13,14,10,12,19
"도시대기",대구,수성구,시지동,18,14,15,11,13,23
"도시대기",대구,달서구,호림동*,25,18,18,14,14,20
"도시대기",대구,달서구,진천동,17,15*,-,-,15,23
"도시대기",대구,달성군,다사읍,21,19,21,16,15,18
"도시대기",대구,달성군,현풍면*,25,19,16,13,13,19
"도시대기",인천,중구,신흥,19,18,16,14,16,20
"도시대기",인천,중구,삼산,-,-,-,13,15,18
"도시대기",인천,중구,운서,17,20,20,15,16,16
"도시대기",인천,동구,송림,20,19,21,17,18,21
"도시대기",인천,남동구,구월동,15,15,14,11,13,16
"도시대기",인천,남동구,고잔*,18,16,14,11,14,16
"도시대기",인천,남동구,논현,19,22,22,16,17,17
"도시대기",인천,남구,숭의,21,23,21,17,-,-
"도시대기",인천,부평구,부평,15,17,16,12,13,17
"도시대기",인천,서구,연희,15,18,17,12,13,17
"도시대기",인천,서구,석남*,19**,-,18,15,16,19
"도시대기",인천,서구,검단,18,21,19,14,18,23
"도시대기",인천,서구,원당,15,19,18,12,15,17
"도시대기",인천,서구,청라,18,20,20,16,17,20
"도시대기",인천,계양구,계산,17,19,17,13,14,17
"도시대기",인천,강화군,송해,16,21,21,17,17,21
"도시대기",인천,강화군,길상,-,-,-,-,19*,21
"도시대기",인천,연수구,동춘,16,19,19,15,17,20
"도시대기",인천,연수구,송도,16**,-,6**,13,16,18
"도시대기",인천,미추홀구,숭의,-,-,-,-,18,22
"도시대기",광주,동구,서석동,25,18,19,15,17,19
"도시대기",광주,서구,농성동,26,17,17,14,18,23
"도시대기",광주,북구,두암동,22,16,14,12,15,19
"도시대기",광주,북구,건국동,26,17,19,15,18,22
"도시대기",광주,광산구,송정1동*,22,17,19,15,16,17
"도시대기",광주,광산구,오선동,25,16,17,15,20,22
"도시대기",광주,남구,주월동,29,17,15,18,19,22
"도시대기",대전,대덕구,읍내동,22,17,18,14,19,27
"도시대기",대전,대덕구,문평동,23,16,15,13,21,25
"도시대기",대전,중구,문창동,17,13,13,9,12,18
"도시대기",대전,유성구,상대동,20,13,14,13,18,30
"도시대기",대전,유성구,구성동,17,12,14,10,14,18
"도시대기",대전,유성구,노은동,16,11,14,15,11,15
"도시대기",대전,동구,성남동,16,14,16,12,14,20
"도시대기",대전,동구,대성동,16,14,16,12,12,20
"도시대기",대전,서구,정림동,16,11,12,9,12,17
"도시대기",대전,서구,둔산동,20,15,17,12,17,22
"도시대기",울산,중구,성남동,21,18,17,10,10,16
"도시대기",울산,중구,약사동,23,17,16,12,8,13
"도시대기",울산,남구,부곡동,27,19,18,16,13,16
"도시대기",울산,남구,여천동,26,21,19,15,11,16
"도시대기",울산,남구,야음동,24,21,23,16,11,15
"도시대기",울산,남구,신정동,21,17,17,11,8,12
"도시대기",울산,남구,무거동,23,19,21,16,12,16
"도시대기",울산,남구,삼산동,22,16,18,12,11,14
"도시대기",울산,울주군,덕신리,22,19,21,14,10,14
"도시대기",울산,울주군,화산리,20,18,23,17,13,13
"도시대기",울산,울주군,상남리,22,18,16,12,12,17
"도시대기",울산,울주군,삼남면,23,19,17,8,8,16
"도시대기",울산,북구,효문동,22,21,16,11,12,17
"도시대기",울산,북구,농소동,22,17,16,11,11,18
