date, pm25, pm10, o3, no2, so2, co
2020/4/1, 80, 40, 47, 30, 4, 4
2020/4/2, 73, 45, 52, 42, 6, 5
2020/4/3, 85, 53, 56, 26, 5, 4
2020/4/4, 92, 40, 46, 16, 4, 3
2020/4/5, 63, 44, 53, 36, 4, 4
2020/4/6, 77, 67, 72, 38, 6, 5
2020/4/7, 106, 60, 71, 27, 4, 4
2020/4/8, 100, 50, 51, 26, 4, 3
2020/4/9, 86, 26, 36, 24, 4, 3
2020/4/10, 50, 32, 39, 29, 3, 4
2020/4/11, 66, 24, 42, 16, 3, 3
2020/4/12, 62, 27, 41, 20, 3, 3
2020/4/13, 54, 39, 54, 37, 5, 4
2020/4/14, 69, 41, 45, 34, 5, 5
2020/4/15, 78, 46, 42, 20, 5, 3
2020/4/16, 76, 32, 35, 35, 3, 5
2020/4/17, 66, 44, 59, 22, 4, 4
2020/4/18, 78, 25, 49, 16, 5, 4
2020/4/19, 56, 26, 52, 19, 4, 4
2020/4/20, 56, 49, 45, 15, 4, 4
2020/4/21, 66, 51, 43, 14, 4, 3
2020/4/22, 64, 54, 44, 16, 4, 3
2020/4/23, 65, 44, 43, 7, 2, 3
2020/4/24, 60, , , , , 
2020/3/1, 64, 44, 39, 25, 6, 6
2020/3/2, 85, 24, 28, 20, 6, 4
2020/3/3, 56, 40, 39, 28, 4, 4
2020/3/4, 68, 47, 40, 33, 5, 5
2020/3/5, 102, 50, 43, 47, 8, 7
2020/3/6, 99, 46, 36, 42, 5, 6
2020/3/7, 97, 39, 44, 23, 6, 5
2020/3/8, 83, 35, 36, 34, 6, 4
2020/3/9, 72, 25, 43, 24, 3, 4
2020/3/10, 66, 46, 35, 24, 4, 4
2020/3/11, 74, 40, 34, 31, 4, 3
2020/3/12, 64, 52, 52, 35, 6, 4
2020/3/13, 86, 37, 40, 20, 3, 4
2020/3/14, 54, 45, 40, 13, 3, 3
2020/3/15, 74, 37, 37, 23, 4, 4
2020/3/16, 65, 49, 45, 28, 6, 4
2020/3/17, 69, 58, 60, 39, 4, 4
2020/3/18, 104, 65, 58, 29, 3, 4
2020/3/19, 92, 56, 36, 26, 4, 4
2020/3/20, 59, 51, 50, 29, 4, 4
2020/3/21, 64, 53, 47, 15, 4, 4
2020/3/22, 77, 50, 45, 29, 5, 4
2020/3/23, 77, 38, 43, 32, 5, 3
2020/3/24, 70, 41, 46, 39, 6, 5
2020/3/25, 81, 47, 29, 51, 7, 6
2020/3/26, 96, 37, 30, 31, 5, 4
2020/3/27, 75, 39, 30, 20, 4, 3
2020/3/28, 64, 32, 37, 14, 4, 3
2020/3/29, 51, 32, 40, 26, 4, 4
2020/3/30, 53, 33, 43, 27, 6, 3
2020/3/31, 62, 41, 50, 36, 4, 4
2020/2/1, 121, 69, 42, 41, 7, 8
2020/2/2, 159, 54, 37, 36, 7, 7
2020/2/3, 116, 46, 31, 36, 7, 6
2020/2/4, 89, 37, 36, 23, 7, 5
2020/2/5, 74, 35, 31, 30, 8, 5
2020/2/6, 64, 45, 30, 37, 8, 6
2020/2/7, 87, 47, 36, 20, 8, 5
2020/2/8, 98, 44, 35, 25, 6, 6
2020/2/9, 97, 54, 36, 38, 8, 7
2020/2/10, 116, 63, 35, 52, 10, 9
2020/2/11, 137, 46, 32, 48, 7, 8
2020/2/12, 106, 35, 41, 33, 7, 8
2020/2/13, 70, 53, 41, 49, 11, 8
2020/2/14, 111, 40, 45, 31, 8, 6
2020/2/15, 88, 21, 34, 16, 4, 5
