date, pm25, pm10, o3, no2, so2, co
2020/4/1, 106, 37, 41, 19, 4, 4
2020/4/2, 65, 49, 42, 23, 5, 5
2020/4/3, 83, 64, 37, 23, 4, 5
2020/4/4, 81, 44, 39, 16, 4, 4
2020/4/5, 53, 53, 44, 21, 5, 5
2020/4/6, 75, 70, 47, 21, 7, 5
2020/4/7, 96, 46, 38, 19, 5, 4
2020/4/8, 55, 46, 33, 22, 4, 4
2020/4/9, 66, 43, 31, 20, 3, 4
2020/4/10, 68, 46, 34, 16, 3, 5
2020/4/11, 79, 34, 33, 12, 2, 5
2020/4/12, 64, 19, 33, 9, 4, 3
2020/4/13, 20, 37, 43, 23, 4, 5
2020/4/14, 55, 56, 55, 24, 5, 6
2020/4/15, 95, 57, 45, 20, 5, 5
2020/4/16, 100, 28, 31, 14, 4, 5
2020/4/17, 49, 28, 33, 14, , 4
2020/4/18, 44, 23, 34, 15, 4, 4
2020/4/19, 42, 20, 31, 15, , 4
2020/4/20, 30, 36, 36, 13, 4, 4
2020/4/21, 35, 55, 30, 10, , 
2020/4/22, 31, 50, 32, 12, 5, 4
2020/4/23, 41, 44, 37, 15, 5, 4
2020/4/24, 38, , 47, 16, 5, 5
2020/4/27, 11, , 39, 19, 5, 4
2020/4/29, 83, 48, 47, 23, 4, 4
2020/4/30, 81, , , , , 
2020/3/1, 86, 48, 29, 21, 4, 5
2020/3/2, 93, 53, 12, 28, 5, 6
2020/3/3, 104, 48, 31, 15, 5, 3
2020/3/4, 89, 46, 29, 20, 5, 2
2020/3/5, 92, 42, 32, 26, 5, 3
2020/3/6, 80, 48, 22, 30, 6, 5
2020/3/7, 91, 39, 34, 23, 5, 4
2020/3/8, 78, 46, 29, 26, 5, 5
2020/3/9, 90, 28, 28, 22, 4, 4
2020/3/10, 63, 40, 26, 15, 4, 2
2020/3/11, 53, 44, 32, 25, 5, 3
2020/3/12, 55, 39, 25, 22, 3, 4
2020/3/13, 50, 41, 32, 17, 3, 2
2020/3/14, 53, 53, 30, 12, 3, 3
2020/3/15, 71, 32, 29, 18, 3, 2
2020/3/16, 48, 52, 24, 32, 4, 4
2020/3/17, 82, 54, 35, 31, 4, 8
2020/3/18, 98, 58, 34, 23, 3, 5
2020/3/19, 65, 46, 30, 18, 4, 5
2020/3/20, 36, 57, 46, 22, 3, 5
2020/3/21, 71, 55, 39, 13, 2, 4
2020/3/22, 86, 48, 40, 20, 3, 4
2020/3/23, 70, 56, 42, 30, 4, 6
2020/3/24, 99, 58, 45, 30, 5, 5
2020/3/25, 107, 52, 39, 24, 5, 5
2020/3/26, 102, 36, 27, 20, 4, 4
2020/3/27, 67, 39, 32, 17, 4, 4
2020/3/28, 42, 32, 34, 15, 4, 4
2020/3/29, 40, 44, 42, 22, 4, 4
2020/3/30, 71, 51, 46, 29, 5, 5
2020/3/31, 85, 65, 44, 27, 5, 5
2020/2/1, 131, 69, 28, 28, 6, 9
2020/2/2, 150, 38, 24, 22, 6, 4
2020/2/3, 76, 40, 25, 26, 5, 5
2020/2/4, 73, 27, 25, 19, 5, 3
2020/2/5, 44, 37, 18, 26, 5, 5
2020/2/6, 65, 48, 16, 32, 6, 6
2020/2/7, 91, 45, 27, 22, , 5
2020/2/8, 88, 40, 29, 23, 6, 6
2020/2/9, 79, 48, 27, 33, 7, 7
2020/2/10, 96, 58, 18, 39, 8, 8
2020/2/11, 104, 51, 4, 38, 7, 9
2020/2/12, 109, 43, 32, 27, 5, 6
2020/2/13, 96, 61, 19, 29, 5, 8
2020/2/14, 135, 54, 37, 27, 7, 8
