date, pm25, pm10, o3, no2, so2, co
2020/4/1, 119, 32, 50, 10, 5, 3
2020/4/2, 76, 44, 58, 13, 5, 4
2020/4/3, 99, 61, 46, 10, 4, 3
2020/4/4, 97, 39, 48, 8, 4, 3
2020/4/5, 64, 46, 61, 11, 4, 4
2020/4/6, 82, 63, 77, 13, 6, 4
2020/4/7, 108, 39, 48, 10, 4, 2
2020/4/8, 68, 40, 47, 13, 4, 3
2020/4/9, 80, 40, 49, 12, 4, 3
2020/4/10, 87, 44, 51, 12, 5, 3
2020/4/11, 105, 31, 47, 9, 4, 3
2020/4/12, 72, 14, 44, 5, 4, 2
2020/4/13, 38, 35, 66, 13, 5, 3
2020/4/14, 75, 56, 101, 15, 5, 4
2020/4/15, 124, 51, 72, 12, 5, 4
2020/4/16, 108, 26, 41, 7, 4, 2
2020/4/17, 62, 33, 46, 7, 4, 2
2020/4/18, 76, 26, 43, 7, 4, 3
2020/4/19, 66, 8, 43, 5, , 2
2020/4/20, 42, , 41, 4, , 2
2020/4/23, 47, 35, 58, 7, 4, 3
2020/4/24, 50, 49, 87, 6, 5, 3
2020/4/25, 73, 31, 48, 6, 4, 3
2020/4/26, 61, 28, 57, 9, 4, 3
2020/4/27, 61, 25, 64, 10, 4, 2
2020/4/28, 57, 41, 91, 10, 4, 3
2020/4/29, 84, 33, 86, 10, 4, 3
2020/4/30, 73, , , , , 
2020/3/1, 98, 40, 34, 11, 4, 4
2020/3/2, 98, 47, 21, 14, 5, 5
2020/3/3, 118, 37, 39, 7, 5, 4
2020/3/4, 91, 37, 38, 12, 4, 4
2020/3/5, 95, 34, 41, 16, 5, 4
2020/3/6, 86, 42, 32, 17, 6, 5
2020/3/7, 107, 34, 47, 12, 6, 5
2020/3/8, 94, 37, 43, 14, 5, 5
2020/3/9, 97, 23, 35, 10, 3, 3
2020/3/10, 70, 31, 35, 7, 3, 3
2020/3/11, 51, 34, 40, 11, 4, 3
2020/3/12, 57, 27, 30, 11, 4, 3
2020/3/13, 59, 33, 42, 9, 4, 3
2020/3/14, 62, 48, 37, 6, 3, 4
2020/3/15, 85, 24, 37, 9, 3, 3
2020/3/16, 53, 41, 42, 14, 4, 3
2020/3/17, 85, 44, 47, 12, 4, 4
2020/3/18, 98, 47, 52, 9, 7, 4
2020/3/19, 80, 38, 39, 8, 5, 3
2020/3/20, 45, 51, 76, 12, 6, 4
2020/3/21, 78, 51, 45, 6, 4, 3
2020/3/22, 100, 44, 54, 11, 6, 3
2020/3/23, 85, 52, 63, 14, 5, 5
2020/3/24, 121, 49, 70, 15, 5, 4
2020/3/25, 113, 46, 53, 13, 5, 5
2020/3/26, 110, 32, 33, 8, 4, 3
2020/3/27, 78, 32, 35, 8, 4, 3
2020/3/28, 49, 29, 40, 8, 5, 3
2020/3/29, 54, 42, 55, 13, 4, 4
2020/3/30, 93, 43, 63, 14, 4, 4
2020/3/31, 95, 57, 54, 15, 4, 3
2020/2/1, 139, 62, 37, 12, 5, 8
2020/2/2, 152, 29, 32, 10, 4, 4
2020/2/3, 77, 32, 32, 13, 4, 4
2020/2/4, 77, 21, 28, 12, 4, 3
2020/2/5, 48, 32, 24, 19, 4, 4
2020/2/6, 68, 42, 22, 23, 5, 5
2020/2/7, 93, 39, 34, 11, 4, 5
2020/2/8, 98, 33, 37, 12, 5, 5
2020/2/9, 80, 44, 34, 21, 6, 6
2020/2/10, 108, 52, 26, 23, 7, 7
2020/2/11, 113, 44, 16, 23, 6, 8
2020/2/12, 111, 38, 35, 13, 4, 5
2020/2/13, 98, 50, 26, 16, 4, 7
2020/2/14, 119, 52, 45, 13, 5, 8
2020/2/15, 127, 21, 30, 5, 3, 4
2020/2/16, 60, 22, 31, 7, 3, 3
2020/2/17, 56, 24, 28, 15, 4, 4
2020/2/18, 64, 31, 37, 16, 5, 5
2020/2/19, 81, 54, 35, 20, 6, 8
2020/2/20, 135, 55, 38, 19, 6, 6
2020/2/21, 133, 54, 38, 6, 4, 5
2020/2/22, 103, 25, 38, 10, 6, 4
