date, pm25, pm10, o3, no2, so2, co
2020/4/1, 122, 28, 30, 15, 2, 3
2020/4/6, 83, 59, 63, 16, 3, 4
2020/4/7, 105, 35, 34, 13, , 2
2020/4/8, 76, 32, 29, 15, , 3
2020/4/9, 73, 22, 28, 16, 5, 4
2020/4/10, 64, 35, 36, 7, 5, 3
2020/4/11, 96, 27, 30, 9, 4, 4
2020/4/12, 83, 14, 38, 7, 4, 2
2020/4/13, 41, 26, 67, 13, 5, 6
2020/4/14, 69, 42, 86, 17, 6, 7
2020/4/15, 97, 30, 59, 9, 6, 4
2020/4/16, 76, 20, 34, 13, 5, 4
2020/4/17, 61, 22, 37, 8, 6, 4
2020/4/18, 53, 22, 40, 14, , 7
2020/4/19, 59, 20, 39, 5, , 3
2020/4/20, 50, 26, 41, 4, 7, 3
2020/4/21, 55, 50, 35, 3, 7, 3
2020/4/22, 52, 35, 41, 4, 8, 3
2020/4/23, 57, 34, 58, 6, 9, 4
2020/4/24, 60, 44, 88, 10, 10, 5
2020/4/25, 84, 27, 45, 6, 9, 4
2020/4/26, 70, 23, 54, 9, 8, 4
2020/4/27, 69, 26, 69, 10, 2, 4
2020/4/28, 72, 34, 98, 11, 3, 5
2020/4/29, 94, 35, 89, 14, 3, 6
2020/4/30, 88, , , , , 
2020/3/1, 84, 37, 35, 15, 4, 6
2020/3/2, 98, 37, 23, 16, 2, 6
2020/3/3, 92, 36, 37, 11, 2, 5
2020/3/4, 94, 39, 36, 17, 2, 6
2020/3/5, 103, 47, 35, 26, 3, 8
2020/3/6, 99, 41, 32, 25, 3, 8
2020/3/7, 96, 35, 36, 24, 4, 9
2020/3/8, 92, 34, 33, 24, 3, 7
2020/3/9, 93, 27, 31, 14, 2, 2
2020/3/10, 48, 30, 29, 11, 2, 2
2020/3/11, 64, 39, 40, 17, 2, 4
2020/3/12, 68, 24, 30, 14, 2, 3
2020/3/13, 57, 32, 42, 12, 2, 3
2020/3/14, 65, 39, 34, 9, 2, 3
2020/3/15, 81, 21, 35, 12, 2, 3
2020/3/16, 58, 34, 27, 23, 2, 4
2020/3/17, 75, 44, 39, 24, 2, 9
2020/3/18, 96, 49, 37, 22, 2, 5
2020/3/19, 77, 31, 32, 13, 2, 2
2020/3/20, 48, 49, 66, 22, 2, 7
2020/3/21, 79, 39, 46, 12, 2, 2
2020/3/22, 88, 37, 43, 19, 2, 6
2020/3/23, 77, 36, 47, 22, 2, 4
2020/3/24, 90, 47, 56, 26, 2, 7
2020/3/25, 102, 47, 49, 21, 2, 6
2020/3/26, 98, 28, 29, 13, 2, 2
2020/3/27, 69, 31, 30, 13, 2, 4
2020/3/28, 57, 22, 34, 13, 2, 4
2020/3/29, 48, 23, 42, 17, 2, 4
2020/3/30, 60, 37, 50, 22, 2, 5
2020/3/31, 83, 53, 48, 22, 2, 4
2020/2/1, 135, 70, 32, 21, 5, 14
2020/2/2, 154, 25, 30, 14, 5, 6
2020/2/3, 81, 34, 28, 19, 3, 7
2020/2/4, 78, 21, 27, 15, 3, 4
2020/2/5, 49, 32, 17, 26, 4, 7
2020/2/6, 66, 43, 22, 28, 4, 9
2020/2/7, 94, 34, 32, 18, 4, 6
2020/2/8, 90, 36, 31, 17, 3, 7
2020/2/9, 84, 33, 33, 19, 4, 6
2020/2/10, 85, 52, 19, 32, 10, 10
2020/2/11, 102, 50, 5, 35, 5, 12
2020/2/12, 97, 41, 33, 22, 6, 6
2020/2/13, 84, 53, 14, 28, 6, 11
2020/2/14, 133, 49, 37, 28, 6, 10
2020/2/15, 125, 17, 27, 11, 4, 5
2020/2/16, 59, 23, 27, 11, 2, 4
2020/2/17, 69, 25, 28, 19, , 4
2020/2/18, 66, 36, 28, 28, , 8
2020/2/19, 90, 45, 30, 28, , 8
2020/2/20, 114, 54, 28, 33, 3, 9
2020/2/21, 131, 56, 35, 13, , 5
2020/2/22, 104, 26, 33, 14, , 5
2020/2/23, 60, 43, 28, 29, 2, 9
2020/2/24, 83, 37, 36, 20, 2, 6
2020/2/25, 49, 19, 30, 16, 2, 5
2020/2/26, 37, 16, 30, 15, , 4
2020/2/27, 36, 33, 4, 28, , 8
2020/2/28, 71, 25, 30, 20, 2, 6
