date, pm25, pm10, o3, no2, so2, co
2020/4/1, 88, 38, 40, 17, 6, 4
2020/4/2, 78, 50, 47, 18, 7, 5
2020/4/3, 101, 69, 39, 10, 5, 4
2020/4/4, 97, 38, 45, 9, 5, 4
2020/4/5, 63, 48, 48, 19, 6, 4
2020/4/6, 80, 51, 49, 18, 5, 3
2020/4/7, 79, 37, 36, 11, 6, 3
2020/4/8, 59, 39, 38, 12, 6, 4
2020/4/9, 68, 42, 43, 15, 5, 4
2020/4/10, 80, 36, 39, 14, 4, 4
2020/4/11, 79, 31, 41, 12, 4, 3
2020/4/12, 69, 22, 39, 11, 6, 4
2020/4/13, 50, 40, 53, 22, 5, 4
2020/4/14, 80, 54, 79, 22, 6, 5
2020/4/15, 106, 52, 64, 22, 5, 4
2020/4/16, 101, 37, 48, 9, 4, 3
2020/4/17, 74, 40, 42, 10, 6, 4
2020/4/18, 84, 26, 33, 13, 4, 3
2020/4/19, 67, 15, 42, 8, , 3
2020/4/20, 45, 31, 37, 7, 3, 
2020/4/21, 41, 58, 33, 7, , 
2020/4/22, 42, 48, 39, 8, 4, 3
2020/4/23, 51, 36, 52, 10, 4, 3
2020/4/24, 54, 51, 78, 7, 5, 4
2020/4/25, 81, 30, 42, 9, 5, 3
2020/4/26, 62, 31, 49, 15, 5, 3
2020/4/27, 64, 30, 57, 15, 4, 3
2020/4/28, 64, 42, 70, 10, 4, 
2020/4/29, 80, 34, 73, 15, 4, 4
2020/4/30, 71, , , , , 
2020/3/1, 110, 41, 34, 12, 5, 5
2020/3/2, 93, 43, 17, 21, 2, 5
2020/3/3, 101, 37, 34, 10, 3, 4
2020/3/4, 81, 34, 31, 14, 5, 5
2020/3/5, 81, 37, 32, 22, 5, 6
2020/3/6, 84, 51, 27, 28, 5, 5
2020/3/7, 121, 59, 43, 23, 6, 6
2020/3/8, 144, 67, 32, 32, 5, 6
2020/3/9, 154, 50, 30, 15, 3, 5
2020/3/10, 126, 38, 29, 11, 3, 3
2020/3/11, 50, 33, 34, 18, 3, 4
2020/3/12, 53, 32, 28, 16, 4, 4
2020/3/13, 57, , , , , 
2020/3/16, 48, 42, 39, 20, 3, 4
2020/3/17, 85, 46, 41, 26, 4, 5
2020/3/18, 101, 54, 71, 7, 4, 3
2020/3/19, 85, 41, 36, 14, 4, 3
2020/3/20, 37, 48, 60, 20, 5, 3
2020/3/21, 69, 50, 38, 11, 6, 4
2020/3/22, 87, 47, 46, 17, 5, 4
2020/3/23, 86, 56, 46, 24, 7, 5
2020/3/24, 114, 52, 57, 25, 6, 5
2020/3/25, 108, 44, 37, 21, 4, 3
2020/3/26, 98, 35, 32, 11, 4, 4
2020/3/27, 75, 38, 27, 11, 7, 4
2020/3/28, 40, 40, 38, 13, 4, 4
2020/3/29, 64, 50, 42, 19, 6, 4
2020/3/30, 94, 40, 42, 22, 6, 5
2020/3/31, 77, 55, 40, 15, 7, 4
2020/2/1, 143, 61, 36, 19, 4, 7
2020/2/2, 149, 33, 28, 15, 2, 3
2020/2/3, 82, 27, 27, 16, 3, 4
2020/2/4, 75, 22, 26, 10, 4, 3
2020/2/5, 59, 38, 16, 22, 5, 6
2020/2/6, 81, 45, 20, 26, 5, 7
2020/2/7, 108, 44, 30, 18, 5, 5
2020/2/8, 110, 36, 34, 20, 4, 5
2020/2/9, 95, 47, 28, 32, 5, 6
2020/2/10, 117, 49, 24, 33, 4, 6
2020/2/11, 115, 43, 15, 32, 3, 6
2020/2/12, 142, 49, 30, 21, , 6
2020/2/13, 142, 76, 21, 35, 3, 8
2020/2/14, 172, 66, 35, 23, 4, 7
2020/2/15, 159, 18, 27, 7, 2, 5
2020/2/16, 64, 25, 28, 7, 2, 3
2020/2/17, 66, 22, 27, 17, 4, 4
2020/2/18, 67, 35, 22, 26, 4, 6
2020/2/19, 77, 52, 32, 29, 7, 7
2020/2/20, 118, 52, 37, 25, 4, 6
2020/2/21, 115, 56, 36, 9, 3, 5
2020/2/22, 98, 25, 36, 14, 5, 4
2020/2/23, 51, 30, 27, 23, 4, 4
2020/2/24, 64, 24, 20, 22, 3, 4
2020/2/25, 60, 20, 28, 17, 6, 5
2020/2/26, 43, 41, 28, 20, 4, 5
2020/2/27, 89, 39, 10, 24, 2, 5
2020/2/28, 90, 34, 23, 20, 4, 5
2020/2/29, 89, 47, 31, 14, 3, 5
2020/1/1, 89, 59, 2, 27, 5, 9
2020/1/2, 144, 67, 11, 31, 6, 10
2020/1/3, 154, 60, 16, 28, 7, 10
2020/1/4, 147, 51, 18, 27, 5, 8
2020/1/5, 126, 43, 12, 24, 4, 6
2020/1/6, 110, 8, 18, 16, , 4
2020/1/7, 28, 32, 25, 9, 4, 6
2020/1/8, 96, 46, 28, 14, 5, 6
2020/1/9, 112, 52, 16, 28, 8, 9
2020/1/10, 129, 52, 22, 24, 6, 8
2020/1/11, 124, 34, 28, 12, 4, 5
2020/1/12, 81, 23, 26, 13, 5, 5
2020/1/13, 57, 34, 14, 23, 6, 6
2020/1/14, 82, 37, 21, 22, 7, 7
2020/1/15, 91, 41, 16, 25, 6, 7
2020/1/16, 102, , 14, 31, 7, 8
2020/1/20, 51, 41, 23, 27, 6, 7
2020/1/21, 82, 54, 3, 36, 5, 7
2020/1/22, 113, 58, 23, 35, 6, 8
2020/1/23, 132, 66, 27, 23, 4, 9
2020/1/24, 155, 69, 12, 27, 4, 9
2020/1/25, 159, 45, 21, 20, 3, 7
2020/1/26, 119, 14, 26, 12, , 3
2020/1/27, 44, 18, 21, 23, 3, 5
2020/1/28, 57, 24, 21, 23, 3, 3
2020/1/29, 62, 29, 23, 22, 2, 4
2020/1/30, 73, 42, 31, 18, 2, 4
2020/1/31, 102, 61, 32, 24, 1, 7
2019/10/1, 110, 17, 9, 14, , 3
2019/10/2, 34, 13, 25, 9, 5, 4
2019/10/3, 19, 29, 33, 11, 4, 5
2019/10/4, 60, 44, 35, 9, 3, 5
2019/10/5, 82, 15, 28, 7, 2, 3
2019/10/6, 26, 15, 18, 15, 2, 4
2019/10/7, 28, 29, 30, 13, 4, 5
2019/10/8, 50, 42, 31, 16, 4, 6
2019/10/9, 53, 56, 16, 25, 3, 6
2019/10/10, 94, 59, 35, 26, 3, 6
2019/10/11, 106, 37, 30, 14, 2, 4
2019/10/12, 55, 29, 30, 12, , 5
2019/10/13, 44, 37, 26, 15, 5, 4
2019/10/14, 60, 39, 26, 18, 2, 5
2019/10/15, 56, 42, 33, 21, 4, 5
2019/10/16, 80, 59, 25, 26, 3, 5
2019/10/17, 118, 35, 20, 23, 3, 4
2019/10/18, 60, 40, 33, 18, 4, 5
2019/10/19, 66, 52, 42, 18, 4, 7
2019/10/20, 104, 63, 33, 27, 3, 6
2019/10/21, 128, 42, 35, 24, 3, 5
2019/10/22, 81, 38, 23, 23, 3, 5
2019/10/23, 66, 42, 30, 22, 3, 5
2019/10/24, 73, 40, 33, 18, 5, 5
2019/10/25, 60, 31, 29, 10, 4, 4
2019/10/26, 57, 37, 34, 17, 4, 5
2019/10/27, 71, 39, 39, 15, 3, 5
2019/10/28, 77, 60, 34, 13, 3, 4
2019/10/29, 61, 36, 29, 18, 4, 5
2019/10/30, 60, 59, 45, 19, 4, 5
2019/10/31, 83, 68, 32, 29, 7, 7
2019/11/1, 106, 69, 39, 25, 4, 7
2019/11/2, 121, 80, 49, 23, 5, 7
2019/11/3, 159, 30, 26, 21, 3, 5
2019/11/4, 59, 47, 34, 23, 5, 6
2019/11/5, 91, 51, 33, 23, 6, 6
2019/11/6, 98, 48, 31, 19, 5, 5
2019/11/7, 80, 49, 22, 25, 7, 7
2019/11/8, 81, 54, 26, 27, 5, 7
2019/11/9, 111, 46, 32, 18, 4, 6
2019/11/10, 102, 29, 33, 11, 4, 6
2019/11/11, 58, 43, 24, 22, 6, 8
2019/11/12, 81, 54, 7, 22, 2, 7
2019/11/13, 124, , , , , 3
2019/11/14, 61, 40, 27, 19, 3, 4
2019/11/15, 59, 59, 10, 27, 3, 5
2019/11/16, 121, 33, 22, 17, 2, 5
2019/11/17, 85, 62, 31, 10, 3, 4
2019/11/18, 65, 34, 20, 17, 4, 5
2019/11/19, 66, 36, 18, 25, 6, 6
2019/11/20, 74, 51, 7, 34, 4, 6
2019/11/21, 104, 47, 20, 30, 5, 5
2019/11/22, 87, 36, 16, 27, 4, 5
2019/11/23, 77, 38, 25, 18, 5, 5
2019/11/24, 91, 35, 21, 20, 4, 5
2019/11/25, 77, 42, 17, 26, 6, 5
2019/11/26, 90, 47, 21, 20, 6, 5
2019/11/27, 90, 50, 13, 30, 6, 7
2019/11/28, 104, 38, 19, 27, 7, 6
2019/11/29, 81, 47, 12, 32, 7, 6
2019/11/30, 107, 61, 6, 33, 5, 7
2019/12/1, 152, 27, 23, 12, 5, 4
2019/12/2, 62, 24, 19, 20, 3, 4
2019/12/3, 66, 38, 25, 23, 4, 6
2019/12/4, 89, 27, 24, 14, 5, 3
2019/12/5, 62, 35, 17, 21, 7, 5
2019/12/6, 70, 46, 6, 28, 3, 8
2019/12/7, 104, 55, 18, 24, 7, 9
2019/12/8, 138, 55, 25, 21, 4, 6
2019/12/9, 134, 68, 40, 23, 6, 7
2019/12/10, 141, 62, 30, 18, 4, 5
2019/12/11, 129, 23, 21, 15, 5, 5
2019/12/12, 65, 34, 13, 23, 4, 6
2019/12/13, 82, 39, 20, 17, 6, 6
2019/12/14, 93, 46, 20, 23, 4, 7
2019/12/15, 107, 47, 15, 26, 4, 7
2019/12/16, 100, 35, 18, 23, 4, 6
2019/12/17, 88, 34, 22, 13, 6, 5
2019/12/18, 84, 27, 21, 20, 8, 5
2019/12/19, 69, 33, 16, 22, 6, 5
2019/12/20, 86, 34, 16, 21, 4, 5
2019/12/21, 89, 50, 22, 24, 5, 6
2019/12/22, 125, 46, 22, 24, 5, 7
2019/12/23, 125, 63, 8, 33, 5, 9
2019/12/24, 156, 62, 7, 32, 5, 8
2019/12/25, 155, 53, 18, 28, 4, 7
2019/12/26, 136, 35, 25, 18, 5, 6
2019/12/27, 86, 42, 17, 24, 4, 6
2019/12/28, 92, 47, 17, 19, , 6
2019/12/29, 105, , , , , 
2019/7/1, 108, 29, 62, 11, 5, 6
2019/7/2, 76, 45, 80, 13, 7, 7
2019/7/3, 104, 46, 52, 17, 8, 6
2019/7/4, 101, 43, 80, 20, 10, 6
2019/7/5, 88, 32, 53, 12, 6, 5
2019/7/6, 69, 23, 43, 5, , 3
2019/7/7, 56, 16, 40, 10, 2, 3
2019/7/8, 39, 14, 41, 9, , 
2019/7/9, 37, 10, 27, 10, , 4
2019/7/10, 29, 17, 24, 12, 5, 4
2019/7/11, 46, 10, 37, 7, 4, 3
2019/7/12, 36, 25, 41, 9, 3, 4
2019/7/13, 67, 50, 67, 8, 5, 5
2019/7/14, 128, 48, 46, 9, 3, 5
2019/7/15, 127, 36, 43, 11, 3, 5
2019/7/16, 90, 48, 57, 15, 6, 5
2019/7/17, 111, 40, 49, 11, 4, 4
2019/7/18, 90, 30, 32, 11, 4, 3
2019/7/19, 90, 6, 14, 5, 3, 2
2019/7/20, 15, 29, 33, 4, , 2
2019/7/21, 56, 31, 47, 7, 4, 3
2019/7/22, 71, 13, 23, 9, 3, 2
2019/7/23, 32, 12, 21, 8, 2, 3
2019/7/24, 26, 13, 26, 17, 4, 4
2019/7/25, 34, 13, 21, 12, 3, 3
2019/7/26, 42, 8, 30, 6, 2, 3
2019/7/27, 31, 6, 26, 5, 3, 2
2019/7/28, 19, 5, 14, 4, 3, 2
2019/7/29, 12, 4, 20, 3, , 2
2019/7/30, 22, 6, 18, 3, 3, 2
2019/7/31, 25, 4, 17, 4, 3, 2
2019/8/1, 22, 20, 38, 10, 6, 5
2019/8/2, 54, 24, 54, 9, 5, 4
2019/8/3, 61, 42, 67, 9, 8, 4
2019/8/4, 100, 49, 76, 14, 5, 4
2019/8/5, 107, 36, 45, 13, 4, 4
2019/8/6, 74, 22, 50, 8, 5, 3
2019/8/7, 42, 24, 29, 10, 4, 3
2019/8/8, 48, 15, 24, 11, 5, 2
2019/8/9, 9, 29, 38, 10, 5, 3
2019/8/10, 39, 15, 27, 4, , 2
2019/8/11, 16, 9, 16, 7, 4, 3
2019/8/12, 25, 24, 31, 10, 5, 4
2019/8/13, 67, 25, 35, 12, 3, 4
2019/8/14, 73, 11, 11, 9, 3, 3
2019/8/15, 45, 13, 39, 6, 4, 4
2019/8/16, 60, 28, 50, 5, 3, 5
2019/8/17, 77, 23, 55, 8, 5, 5
2019/8/18, 66, 34, 82, 13, 4, 5
2019/8/19, 86, 35, 52, 13, 3, 5
2019/8/20, 91, 32, 51, 11, 5, 4
2019/8/21, 98, 47, 52, 11, 5, 5
2019/8/22, 127, 34, 58, 8, 5, 6
2019/8/23, 86, 24, 42, 11, 3, 5
