date, pm25, pm10, o3, no2, so2, co
2020/4/1, 96, 40, 49, 25, 5, 4
2020/4/2, 79, 53, 57, 27, 6, 5
2020/4/3, 100, 67, 44, 13, 4, 4
2020/4/4, 97, 41, 46, 12, 5, 4
2020/4/5, 65, 49, 59, 26, 5, 4
2020/4/6, 75, 55, 63, 24, 4, 4
2020/4/7, 89, 43, 43, 17, 5, 4
2020/4/8, 59, 43, 44, 20, 5, 4
2020/4/9, 75, 48, 50, 23, 4, 5
2020/4/10, 86, 44, 48, 22, 4, 4
2020/4/11, 87, 37, 49, 18, 5, 4
2020/4/12, 73, 33, 45, 17, 5, 4
2020/4/13, 55, 42, 73, 30, 5, 5
2020/4/14, 80, 57, 97, 32, 5, 5
2020/4/15, 114, 51, 76, 24, 5, 5
2020/4/16, 94, 39, 54, 13, 3, 4
2020/4/17, 73, 47, 45, 14, 4, 5
2020/4/18, 94, 30, 39, 17, 4, 4
2020/4/19, 71, 21, 46, 15, 2, 3
2020/4/20, 53, 34, 41, 11, 3, 3
2020/4/21, 52, 59, 37, 11, 3, 2
2020/4/22, 56, 50, 43, 15, 3, 3
2020/4/23, 63, 40, 57, 14, 3, 3
2020/4/24, 59, 52, 85, 12, 4, 4
2020/4/25, 82, 40, 48, 14, 5, 3
2020/4/26, 72, 34, 54, 21, 5, 3
2020/4/27, 67, 34, 58, 23, 4, 4
2020/4/28, 69, 46, 77, 18, 4, 3
2020/4/29, 89, 38, 82, 27, 4, 5
2020/4/30, 73, , , , , 
2020/3/1, 122, 51, 37, 19, 3, 5
2020/3/2, 106, 44, 19, 25, 3, 5
2020/3/3, 114, 48, 41, 15, 3, 4
2020/3/4, 96, 45, 38, 23, 4, 5
2020/3/5, 93, 47, 33, 37, 4, 6
2020/3/6, 99, 53, 31, 36, 4, 6
2020/3/7, 128, 62, 55, 33, 5, 7
2020/3/8, 149, 77, 42, 48, 4, 8
2020/3/9, 165, 54, 37, 23, 3, 7
2020/3/10, 133, 46, 30, 18, 3, 6
2020/3/11, 69, 37, 38, 23, 2, 5
2020/3/12, 64, 43, 31, 22, 4, 5
2020/3/13, 74, 34, 32, 14, 3, 6
2020/3/14, 65, 46, 28, 13, 2, 6
2020/3/15, 79, 27, 27, 14, 2, 7
2020/3/16, 61, 41, 30, 19, 2, 7
2020/3/17, 80, 43, 33, 23, 2, 8
2020/3/18, 96, 52, 46, 10, 2, 5
2020/3/19, 78, 44, 38, 17, 2, 6
2020/3/20, 55, 49, 66, 18, 3, 4
2020/3/21, 81, 53, 44, 12, 4, 4
2020/3/22, 103, 47, 47, 21, 4, 5
2020/3/23, 91, 57, 50, 27, 5, 5
2020/3/24, 113, 53, 72, 29, 4, 4
2020/3/25, 100, 50, 43, 34, 3, 5
2020/3/26, 101, 44, 36, 18, 4, 5
2020/3/27, 76, 39, 35, 17, 3, 2
2020/3/28, 48, 44, 45, 17, 4, 4
2020/3/29, 68, 55, 52, 31, 5, 5
2020/3/30, 101, 47, 53, 32, 4, 4
2020/3/31, 83, 59, 51, 25, 5, 5
2020/2/1, 147, 67, 37, 26, 6, 8
2020/2/2, 157, 44, 28, 24, 3, 4
2020/2/3, 88, 37, 31, 23, 4, 5
2020/2/4, 83, 33, 29, 16, 3, 3
2020/2/5, 59, 48, 19, 31, 4, 5
2020/2/6, 88, 54, 24, 39, 5, 8
2020/2/7, 117, 50, 36, 24, 4, 5
2020/2/8, 112, 40, 34, 30, 6, 6
2020/2/9, 94, 57, 30, 43, 5, 7
2020/2/10, 123, 62, 26, 48, 6, 8
2020/2/11, 129, 53, 9, 44, 6, 9
2020/2/12, 129, 63, 27, 33, 3, 7
2020/2/13, 150, 87, 19, 42, 4, 9
2020/2/14, 174, 71, 36, 29, 5, 9
2020/2/15, 160, 27, 30, 10, 2, 5
2020/2/16, 66, 43, 31, 18, 2, 7
2020/2/17, 70, 28, 30, 25, 4, 8
2020/2/18, 71, 37, 26, 40, 4, 7
2020/2/19, 93, 60, 33, 48, 7, 8
2020/2/20, 143, 57, 35, 35, 4, 6
2020/2/21, 136, 63, 39, 14, 3, 5
2020/2/22, 114, 35, 40, 18, 4, 3
2020/2/23, 73, 40, 34, 34, 3, 4
2020/2/24, 82, 30, 23, 38, 2, 5
2020/2/25, 79, 34, 31, 25, 4, 5
2020/2/26, 63, 53, 28, 31, 3, 6
2020/2/27, 112, 34, 15, 27, 2, 4
2020/2/28, 88, 48, 29, 25, 2, 5
2020/2/29, 97, 51, 34, 17, 2, 6
2020/1/1, 86, 59, 3, 35, 5, 9
2020/1/2, 144, 68, 13, 41, 7, 10
2020/1/3, 147, 60, 22, 41, 6, 10
2020/1/4, 144, 60, 25, 42, 5, 9
2020/1/5, 128, 49, 13, 39, 4, 7
2020/1/6, 112, 12, 16, 29, 3, 5
2020/1/7, 28, 31, 28, 15, 3, 8
2020/1/8, 76, 47, 31, 25, 6, 7
2020/1/9, 103, 54, 18, 40, 6, 9
2020/1/10, 132, 51, 31, 36, 6, 8
2020/1/11, 118, 41, 34, 14, 5, 5
2020/1/12, 89, 26, 29, 6, 5, 6
2020/1/13, 49, 34, 16, 11, 6, 6
2020/1/14, 75, 45, 20, 25, 5, 7
2020/1/15, 88, 57, 14, 39, 5, 8
2020/1/16, 103, 63, 16, 47, 6, 9
2020/1/17, 116, 57, 32, 42, 7, 7
2020/1/18, 105, 59, 35, 32, 5, 8
2020/1/19, 125, 54, 32, 23, 5, 6
2020/1/20, 101, 53, 26, 39, 6, 7
2020/1/21, 91, 69, 4, 49, 6, 8
2020/1/22, 141, 66, 27, 45, 5, 8
2020/1/23, 143, 71, 30, 38, 4, 10
2020/1/24, 158, 69, 18, 38, 4, 11
2020/1/25, 158, 50, 27, 25, 4, 8
2020/1/26, 120, 23, 31, 19, 2, 6
