date, pm25, pm10, o3, no2, so2, co
2020/4/1, 65, 41, 51, 13, 4, 3
2020/4/2, 76, 47, 60, 11, 5, 4
2020/4/3, 83, 66, 41, 6, 3, 3
2020/4/4, 75, 41, 46, 6, 3, 3
2020/4/5, 50, 40, 61, 12, 5, 3
2020/4/6, 55, 37, 46, 8, 3, 2
2020/4/7, 54, 36, 42, 10, 4, 3
2020/4/8, 48, 42, 47, 10, 4, 3
2020/4/9, 59, 42, 49, 10, 4, 3
2020/4/10, 74, 25, 42, 9, 3, 3
2020/4/11, 54, 36, 46, 9, 3, 3
2020/4/12, 58, 26, 46, 11, 4, 3
2020/4/13, 42, 39, 72, 9, 4, 3
2020/4/14, 74, 48, 94, 14, 5, 3
2020/4/15, 81, 45, 81, 13, 5, 3
2020/4/16, 82, 42, 55, 8, 4, 3
2020/4/17, 75, 38, 49, 6, 4, 3
2020/4/18, 70, 33, 36, 10, 4, 3
2020/4/19, 66, 17, 43, 7, 4, 2
2020/4/20, 33, 34, 39, 6, 4, 2
2020/4/21, 24, 66, 35, 5, 3, 2
2020/4/22, 33, 47, 40, 7, 4, 2
2020/4/23, 39, 37, 59, 7, 3, 2
2020/4/24, 36, 52, 76, 6, 5, 3
2020/4/25, 68, 29, 45, 6, 4, 2
2020/4/26, 43, 30, 50, 10, 4, 3
2020/4/27, 53, 32, 61, 10, 4, 2
2020/4/28, 55, 35, 65, 7, 4, 2
2020/4/29, 56, 32, 53, 10, 5, 2
2020/4/30, 52, , , , , 
2020/3/1, 84, 36, 36, 8, 5, 4
2020/3/2, 77, 38, 23, 12, 3, 5
2020/3/3, 83, 36, 39, 6, 3, 4
2020/3/4, 69, 29, 39, 11, 5, 4
2020/3/5, 62, 35, 44, 18, 8, 5
2020/3/6, 72, 51, 38, 24, 6, 5
2020/3/7, 119, 56, 52, 19, 6, 5
2020/3/8, 133, 66, 44, 23, 4, 5
2020/3/9, 141, 45, 36, 9, 6, 4
2020/3/10, 99, 39, 34, 8, 3, 2
2020/3/11, 39, 32, 43, 9, 3, 2
2020/3/12, 34, 29, 36, 7, 3, 3
2020/3/13, 37, 31, 40, 9, 3, 3
2020/3/14, 42, 50, 36, 7, 2, 3
2020/3/15, 59, 26, 37, 9, 3, 3
2020/3/16, 39, 41, 40, 8, 3, 3
2020/3/17, 61, 43, 43, 12, 2, 3
2020/3/18, 81, 52, 80, 5, 3, 3
2020/3/19, 80, 42, 41, 7, 3, 2
2020/3/20, 24, 42, 56, 5, 4, 2
2020/3/21, 46, 40, 44, 9, 4, 3
2020/3/22, 57, 43, 58, 10, 3, 4
