date, pm25, pm10, o3, no2, so2, co
2020/4/1, 61, 39, 36, 13, 4, 5
2020/4/2, 55, 51, 42, 14, 5, 6
2020/4/3, 66, 60, 41, 14, 4, 6
2020/4/4, 62, 35, 37, 11, 4, 5
2020/4/5, 42, 43, 39, 14, 5, 6
2020/4/6, 54, 52, 34, 15, 4, 5
2020/4/7, 62, 28, 34, 11, 3, 3
2020/4/8, 55, 36, 37, 13, 4, 4
2020/4/9, 58, 42, 38, 13, 4, 4
2020/4/10, 53, 41, 38, 12, 4, 4
2020/4/11, 51, 32, 36, 11, 3, 4
2020/4/12, 44, 18, 35, 9, 3, 3
2020/4/13, 36, 42, 41, 15, 4, 4
2020/4/14, 51, 48, 55, 14, 4, 4
2020/4/15, 58, 49, 56, 16, 5, 4
2020/4/16, 56, 42, 45, 9, 3, 4
2020/4/17, 50, 42, 38, 7, 3, 5
2020/4/18, 61, 34, 33, 9, 2, 4
2020/4/19, 37, 18, 37, 9, 3, 4
2020/4/20, 29, 31, 32, 8, 3, 3
2020/4/21, 38, 51, 30, 6, , 
2020/4/22, 46, 52, 34, 9, 4, 3
2020/4/23, 52, 40, 40, 10, 4, 3
2020/4/24, 53, 61, 65, 10, 5, 4
2020/4/25, 82, 30, 37, 7, 4, 4
2020/4/26, 56, 32, 42, 11, 4, 3
2020/4/27, 61, 47, 49, 11, 5, 4
2020/4/28, 84, 41, 51, 11, 4, 3
2020/4/29, 61, 37, 53, 13, 5, 4
2020/4/30, 67, , , , , 
2020/3/1, 100, 42, 26, 10, 5, 5
2020/3/2, 95, 50, 18, 13, 4, 6
2020/3/3, 100, 33, 33, 8, 3, 3
2020/3/4, 70, 39, 36, 11, 5, 4
2020/3/5, 78, 35, 31, 15, 4, 4
2020/3/6, 73, 51, 22, 21, 4, 4
2020/3/7, 112, 46, 40, 14, 4, 5
2020/3/8, 109, 73, 30, 19, 4, 5
2020/3/9, 147, 46, 31, 11, 3, 6
2020/3/10, 94, 36, 27, 10, 4, 5
2020/3/11, 55, 36, 31, 14, 3, 6
2020/3/12, 62, 32, 28, 15, 3, 6
2020/3/13, 56, 33, 34, 11, 4, 5
2020/3/14, 60, 47, 32, 9, 3, 7
2020/3/15, 75, 29, 30, 11, 3, 6
2020/3/16, 58, 46, 35, 13, , 6
2020/3/17, 66, 54, 27, 12, 3, 5
2020/3/18, 91, 53, 21, 13, 3, 4
2020/3/19, 78, 44, 17, 13, 3, 4
2020/3/20, 48, 60, 23, 17, 4, 5
2020/3/21, 73, 46, 19, 9, 4, 5
