date, pm25, pm10, o3, no2, so2, co
2020/4/1, 65, 32, 44, 14, 5, 4
2020/4/2, 68, 46, 52, 14, 6, 4
2020/4/3, 90, 55, 43, 10, 3, 4
2020/4/4, 77, 41, 42, 9, 3, 3
2020/4/5, 64, 38, 40, 9, 3, 3
2020/4/6, 53, 26, 39, 9, 2, 4
2020/4/7, 57, 38, 40, 8, 3, 3
2020/4/8, 65, 35, 46, 7, 3, 3
2020/4/9, 71, 38, 45, 11, 3, 4
2020/4/10, 77, 24, 42, 6, 3, 3
2020/4/11, 59, 35, 43, 11, 11, 4
2020/4/12, 78, 28, 43, 10, 6, 3
2020/4/13, 50, 46, 80, 9, 4, 3
2020/4/14, 99, 41, 73, 11, 4, 3
2020/4/15, 95, 37, 71, 16, 5, 4
2020/4/16, 83, 44, 57, 8, 2, 4
2020/4/17, 72, 35, 44, 9, 2, 5
2020/4/18, 68, 21, 38, 10, 5, 4
2020/4/19, 73, 20, 43, 11, 3, 3
2020/4/20, 43, 30, 37, 9, 3, 3
2020/4/21, 35, 61, 35, 7, 3, 3
2020/4/22, 44, 40, 38, 8, 3, 3
2020/4/23, 50, 35, 59, 8, 4, 2
2020/4/24, 47, 43, 71, 9, 3, 4
2020/4/25, 71, 25, 46, 9, 3, 3
2020/4/26, 55, 26, 48, 11, 5, 3
2020/4/27, 63, 30, 60, 8, 3, 3
2020/4/28, 62, 31, 58, 5, 2, 3
2020/4/29, 59, 25, 52, 4, 3, 3
2020/4/30, 59, , , , , 
2020/3/1, 74, 39, 33, 13, 4, 5
2020/3/2, 84, 32, 30, 12, 8, 4
2020/3/3, 76, 37, 35, 13, 3, 4
2020/3/4, 94, 32, 35, 10, 3, 4
2020/3/5, 66, 26, 57, 16, 8, 3
2020/3/6, 74, 44, 37, 22, 6, 4
2020/3/7, 115, 61, 46, 27, 10, 6
2020/3/8, 147, 48, 43, 28, 8, 4
2020/3/9, 121, 45, 37, 17, 3, 4
2020/3/10, 100, 35, 32, 7, 2, 2
2020/3/11, 49, 36, 40, 6, , 2
2020/3/12, 49, 28, 33, 10, 3, 8
2020/3/13, 44, 36, 36, 10, 5, 4
2020/3/14, 57, 39, 34, 10, 4, 5
2020/3/15, 57, 42, 35, 9, 6, 4
2020/3/16, 57, 46, 39, 9, 4, 5
2020/3/17, 70, 40, 71, 8, 3, 4
2020/3/18, 75, 41, 71, 8, 3, 3
2020/3/19, 67, 39, 41, 8, 3, 2
2020/3/20, 40, 41, 51, 5, 2, 
2020/3/21, 51, 33, 42, 13, 8, 3
2020/3/22, 60, 43, 49, 11, 5, 4
2020/3/23, 84, 54, 57, 24, 8, 5
2020/3/24, 109, 44, 60, 18, 6, 4
2020/3/25, 93, 42, 46, 14, 4, 5
2020/3/26, 81, 25, 34, 12, 3, 5
2020/3/27, 44, 35, 37, 12, 5, 3
2020/3/28, 39, 46, 37, 14, 6, 4
2020/3/29, 72, 37, 44, 12, 4, 3
2020/3/30, 59, 33, 42, 20, 6, 4
2020/3/31, 63, 42, 29, 23, 4, 5
2020/2/1, 124, 56, 39, 8, 4, 7
2020/2/2, 124, 21, 30, 10, 3, 3
2020/2/3, 55, 16, 31, 9, 3, 4
2020/2/4, 52, 21, 28, 9, 4, 3
2020/2/5, 31, 29, 27, 13, 9, 3
2020/2/6, 51, 22, 29, 11, 5, 4
2020/2/7, 55, 37, 33, 11, 5, 5
2020/2/8, 85, 28, 39, 7, 5, 3
2020/2/9, 65, 46, 36, 15, 9, 4
2020/2/10, 106, , 40, 10, 6, 4
2020/2/14, 157, , 31, 27, 5, 8
2020/2/15, 148, , 28, 13, 3, 6
2020/2/16, 42, , 28, 13, 4, 5
2020/2/17, 49, 8, 30, 9, 4, 2
2020/2/18, 52, 27, 32, 11, 5, 3
2020/2/19, 50, 34, 33, 17, 5, 2
2020/2/20, 70, 46, 45, 15, 5, 3
2020/2/21, 99, 64, 36, 16, 5, 5
2020/2/22, 116, 24, 40, 1, 5, 1
2020/2/23, 38, 26, 36, 13, 4, 3
2020/2/24, 48, 26, 25, 19, 7, 4
2020/2/25, 56, 24, 26, 24, 12, 5
2020/2/26, 54, 29, 25, 19, 6, 4
2020/2/27, 51, 35, 25, 19, 4, 5
2020/2/28, 80, 31, 26, 27, 9, 5
2020/2/29, 78, 32, 33, 9, 3, 5
2020/1/1, 74, 57, 19, 16, 5, 7
2020/1/2, 113, 61, 28, 16, 7, 9
2020/1/3, 128, 44, 28, 16, 5, 8
2020/1/4, 91, 39, 31, 12, 10, 6
2020/1/5, 83, 48, 10, 26, 4, 8
2020/1/6, 111, 11, 14, 21, 4, 6
2020/1/7, 43, 38, 22, 17, 5, 8
2020/1/8, 82, 36, 29, 9, 4, 6
2020/1/9, 80, 41, 30, 13, 7, 6
2020/1/10, 98, 34, 31, 11, 5, 6
2020/1/11, 80, 23, 28, 11, 5, 5
2020/1/12, 53, 18, 27, 8, 5, 4
2020/1/13, 40, 23, 26, 10, 6, 6
2020/1/14, 59, 23, 29, 11, 5, 5
2020/1/15, 57, 20, 32, 15, 5, 4
2020/1/16, 58, 43, 32, 25, 9, 5
2020/1/17, 83, 25, 36, 14, , 4
2020/1/18, 62, 61, 38, 17, 5, 8
2020/1/19, 123, 40, 29, 20, 4, 5
2020/1/20, 64, 39, 27, 30, 9, 6
2020/1/21, 79, 53, 14, 53, 6, 6
2020/1/22, 110, 57, 37, 28, 10, 6
2020/1/23, 107, 61, 31, 24, 7, 7
2020/1/24, 128, 59, 21, 38, 11, 7
2020/1/25, 122, 45, 25, 28, 13, 6
2020/1/26, 96, 13, 29, 13, 11, 4
2020/1/27, 28, 16, 23, 23, 30, 5
2020/1/28, 41, 19, 25, 13, 4, 3
2020/1/29, 41, 24, 26, 16, 4, 3
2020/1/30, 61, 47, 38, 8, 3, 5
2020/1/31, 95, 56, 42, 7, 3, 7
2019/10/1, 93, 20, 11, 12, 5, 4
2019/10/2, 51, 22, 30, 9, 9, 4
2019/10/3, 44, 39, 52, 6, 5, 6
2019/10/4, 88, 28, 31, 9, 8, 4
2019/10/5, 52, 13, 31, 4, 5, 2
2019/10/6, 34, 13, 29, 7, 5, 3
2019/10/7, 35, 21, 37, 12, 6, 3
2019/10/8, 38, 20, 35, 11, 9, 3
2019/10/9, 33, 22, 32, 11, 9, 3
2019/10/10, 60, 44, 21, 29, 18, 5
2019/10/11, 88, 27, 21, 14, 23, 3
2019/10/12, 59, 22, 18, 8, 9, 3
2019/10/13, 49, 28, 14, 15, 7, 3
2019/10/14, 52, 32, 31, 17, 8, 3
2019/10/15, 56, 30, 39, 19, 8, 4
2019/10/16, 72, 47, 46, 24, 7, 5
2019/10/17, 111, 28, 29, 19, 5, 3
2019/10/18, 66, 30, 45, 13, 6, 4
2019/10/19, 66, 40, 47, 14, 11, 5
2019/10/20, 89, 45, 45, 25, 9, 6
2019/10/21, 102, 39, 44, 16, 9, 5
2019/10/22, 89, 39, 27, 23, 5, 4
2019/10/23, 78, 36, 39, 20, 7, 4
2019/10/24, 73, 29, 35, 19, 6, 4
2019/10/25, 57, 17, 27, 9, 3, 3
2019/10/26, 45, 19, 36, 9, 5, 3
2019/10/27, 43, 23, 47, 6, 4, 5
2019/10/28, 56, 82, 33, 9, 3, 4
2019/10/29, 68, 23, 33, 8, 4, 3
2019/10/30, 36, 54, 56, 7, 4, 5
2019/10/31, 76, 73, 60, 14, 8, 6
2019/11/1, 88, 47, 39, 13, 8, 5
2019/11/2, 82, 49, 40, 19, 15, 6
2019/11/3, 87, 17, 29, 14, 7, 5
2019/11/4, 38, 30, 44, 11, 4, 6
2019/11/5, 65, 35, 35, 12, 7, 5
2019/11/6, 58, 39, 34, 12, 8, 5
2019/11/7, 60, 23, 28, 16, 6, 3
2019/11/8, 40, 31, 36, 17, 9, 5
