date, pm25, pm10, o3, no2, so2, co
2020/4/1, 108, 44, 46, 28, 5, 5
2020/4/2, 78, 48, 52, 31, 6, 5
2020/4/3, 99, 61, 59, 28, 6, 5
2020/4/4, 102, 36, 47, 16, 4, 4
2020/4/5, 60, 47, 51, 32, 5, 5
2020/4/6, 89, 71, 89, 27, 6, 6
2020/4/7, 116, 43, 47, 16, 4, 5
2020/4/8, 79, 49, 52, 27, 4, 4
2020/4/9, 87, 31, 40, 14, 2, 4
2020/4/10, 74, 33, 41, 22, 3, 5
2020/4/11, 73, 26, 43, 9, 2, 3
2020/4/12, 62, 21, 40, 13, 2, 4
2020/4/13, 49, 38, 47, 36, 4, 4
2020/4/14, 78, 48, 81, 27, 3, 5
2020/4/15, 96, 40, 43, 12, 2, 4
2020/4/16, 67, 31, 34, 23, 2, 5
2020/4/17, 70, 36, 43, 15, 2, 5
2020/4/18, 79, 25, 43, 13, 3, 5
2020/4/19, 63, 23, 50, 16, 3, 5
2020/4/20, 55, 33, 42, 14, 4, 4
2020/4/21, 51, 49, 37, 13, 4, 4
2020/4/22, 53, 52, 43, 14, 3, 4
2020/4/23, 64, 33, 39, 11, 3, 4
2020/4/24, 46, , , , , 
2020/3/1, 96, 42, 40, 20, 5, 6
2020/3/2, 98, 21, 25, 25, 5, 3
2020/3/3, 53, 36, 39, 20, 3, 5
2020/3/4, 76, 41, 41, 26, 4, 6
2020/3/5, 102, 49, 39, 43, 7, 7
2020/3/6, 116, 52, 23, 46, 8, 8
2020/3/7, 125, 41, 47, 23, 5, 6
2020/3/8, 104, 42, 31, 37, 4, 7
2020/3/9, 99, 33, 39, 26, 4, 5
2020/3/10, 83, 33, 33, 19, 4, 4
2020/3/11, 67, 45, 37, 31, 7, 5
2020/3/12, 89, 45, 37, 31, 6, 5
2020/3/13, 92, 29, 42, 12, 5, 3
2020/3/14, 56, 40, 39, 13, 5, 4
2020/3/15, 74, 30, 35, 21, 5, 4
2020/3/16, 62, 55, 56, 30, 7, 5
2020/3/17, 114, 54, 49, 33, 7, 5
2020/3/18, 114, 60, 44, 33, 7, 6
2020/3/19, 90, 54, 35, 16, 5, 4
