date, pm25, pm10, o3, no2, so2, co
2020/4/1, 88, 43, 44, 23, 3, 3
2020/4/2, 79, 49, 55, 26, 4, 4
2020/4/3, 94, 63, 47, 14, 3, 4
2020/4/4, 86, 39, 46, 16, 2, 3
2020/4/5, 63, 44, 50, 21, 2, 3
2020/4/6, 79, 55, 52, 21, 2, 3
2020/4/7, 78, 41, 41, 19, 3, 4
2020/4/8, 68, 42, 44, 20, 3, 7
2020/4/9, 72, 43, 49, 20, 3, 5
2020/4/10, 83, 43, 46, 18, 3, 3
2020/4/11, 83, 35, 39, 16, 2, 3
2020/4/12, 70, 27, 40, 18, 2, 3
2020/4/13, 52, 38, 52, 26, 2, 4
2020/4/14, 77, 52, 84, 30, 4, 5
2020/4/15, 103, 53, 58, 23, 5, 4
2020/4/16, 97, 38, 54, 15, 3, 3
2020/4/17, 65, 46, 45, 13, 4, 4
2020/4/18, 78, 31, 37, 20, 4, 4
2020/4/19, 64, 22, 43, 16, 4, 3
2020/4/20, 49, 40, 38, 13, 3, 3
2020/4/21, 51, 58, 35, 12, 3, 3
2020/4/22, 60, 58, 42, 13, 3, 3
2020/4/23, 57, 40, 32, 13, 2, 3
2020/4/24, 56, , , , , 
2020/3/1, 90, 45, 36, 18, 4, 5
2020/3/2, 97, 44, 25, 25, 3, 5
2020/3/3, 95, 42, 38, 15, 3, 3
2020/3/4, 80, 40, 39, 17, 3, 4
2020/3/5, 93, 40, 31, 38, 5, 6
2020/3/6, 84, 45, 30, 39, 6, 7
2020/3/7, 98, 37, 43, 30, 5, 6
2020/3/8, 85, 46, 33, 36, 3, 5
2020/3/9, 110, 42, 39, 25, 1, 4
2020/3/10, 100, 43, 35, 18, 3, 3
2020/3/11, 59, 42, 39, 22, 3, 4
2020/3/12, 63, 31, 34, 24, 5, 4
2020/3/13, 57, 37, 44, 18, 3, 3
2020/3/14, 63, 47, 77, 13, 3, 4
2020/3/15, 71, 30, 35, 17, 4, 2
2020/3/16, 60, 43, 41, 19, 3, 4
2020/3/17, 78, 51, 43, 33, 3, 5
2020/3/18, 93, 58, 66, 24, 3, 5
2020/3/19, 78, 48, 35, 19, 2, 4
2020/3/20, 51, 55, 68, 30, 3, 3
2020/3/21, 79, 48, 54, 12, 4, 3
2020/3/22, 83, 44, 48, 22, 4, 3
2020/3/23, 81, 55, 51, 27, 2, 5
2020/3/24, 107, 58, 61, 35, 5, 7
2020/3/25, 111, 47, 44, 39, 4, 5
2020/3/26, 97, 35, 27, 22, 3, 4
2020/3/27, 73, 39, 27, 20, 3, 3
2020/3/28, 50, 39, 42, 15, 2, 4
2020/3/29, 59, 40, 46, 22, 3, 4
2020/3/30, 63, 46, 51, 34, 6, 7
2020/3/31, 82, 49, 56, 25, 3, 4
2020/2/1, 133, 66, 39, 31, 7, 10
2020/2/2, 149, 44, 32, 24, 5, 5
2020/2/3, 92, 37, 29, 30, 6, 6
2020/2/4, 87, 29, 28, 16, 5, 4
2020/2/5, 56, 43, 19, 31, 5, 6
2020/2/6, 77, 53, 24, 38, 7, 9
2020/2/7, 101, 44, 33, 23, 6, 6
2020/2/8, 93, 35, 36, 27, 5, 7
2020/2/9, 79, 50, 36, 42, 7, 8
2020/2/10, 109, 58, 22, 49, 9, 11
2020/2/11, 127, 43, 28, 41, 8, 10
2020/2/12, 101, 37, 28, 22, 4, 7
2020/2/13, 75, 69, 20, 36, 6, 10
2020/2/14, 133, 65, 39, 35, 6, 11
2020/2/15, 127, 31, 28, 15, 4, 6
2020/2/16, 52, 47, 28, 15, 3, 5
2020/2/17, 71, 44, 30, 22, 5, 5
2020/2/18, 71, 43, 24, 40, 8, 7
2020/2/19, 81, 57, 33, 46, 8, 9
2020/2/20, 111, 62, 36, 44, 8, 8
2020/2/21, 122, 65, 36, 20, 5, 5
2020/2/22, 95, 32, 35, 17, 5, 4
2020/2/23, 62, 37, 31, 38, 8, 6
2020/2/24, 74, 16, 29, 33, 4, 5
2020/2/25, 43, 26, 33, 26, 4, 5
2020/2/26, 51, 37, 31, 26, 4, 5
2020/2/27, 72, 31, 18, 27, 4, 6
2020/2/28, 73, 32, 27, 27, 6, 6
2020/2/29, 68, 42, 33, 20, 5, 6
2020/1/1, 72, 55, 21, 34, 6, 10
2020/1/2, 116, 70, 22, 43, 8, 12
2020/1/3, 143, 68, 19, 41, 7, 12
2020/1/4, 138, 53, 28, 36, 7, 11
2020/1/5, 110, 38, 21, 38, 5, 9
2020/1/6, 82, 18, 22, 38, 6, 12
2020/1/7, 50, 31, 28, 18, 4, 8
2020/1/8, 74, 51, 33, 23, 6, 7
2020/1/9, 102, 56, 22, 39, 7, 10
2020/1/10, 117, 62, 47, 37, 8, 11
2020/1/11, 123, 37, 36, 19, 4, 6
2020/1/12, 75, 33, 31, 21, 4, 5
2020/1/13, 61, 42, 22, 35, 5, 7
2020/1/14, 76, 48, 24, 32, 7, 7
2020/1/15, 93, 48, 13, 38, 6, 7
2020/1/16, 93, 57, 14, 43, 7, 8
2020/1/17, 115, 55, 26, 41, 7, 10
2020/1/18, 118, 57, 38, 34, 5, 8
2020/1/19, 121, 60, 31, 26, 5, 7
2020/1/20, 104, 41, 26, 35, 5, 6
2020/1/21, 63, 54, 7, 44, 4, 6
2020/1/22, 114, 55, 28, 39, 5, 5
2020/1/23, 97, 70, 29, 37, 5, 9
2020/1/24, 150, 57, 24, 36, 4, 9
2020/1/25, 119, 42, 32, 23, 5, 6
2020/1/26, 82, 13, 33, 14, 3, 3
2020/1/27, 26, 30, 22, 28, 5, 4
2020/1/28, 53, 35, 21, 31, 5, 5
2020/1/29, 59, 33, 26, 27, 5, 5
2020/1/30, 70, 44, 34, 26, 4, 5
2020/1/31, 88, 58, 35, 36, 6, 9
2019/10/1, 105, 26, 20, 24, 4, 5
2019/10/2, 46, 15, 28, 15, 2, 4
2019/10/3, 37, 32, 39, 20, 3, 4
2019/10/4, 72, 46, 50, 12, 2, 5
2019/10/5, 93, 18, 33, 12, 3, 3
2019/10/6, 31, 15, 24, 18, 4, 4
2019/10/7, 38, 30, 40, 23, 3, 5
2019/10/8, 59, 27, 31, 26, 3, 6
2019/10/9, 54, 42, 24, 37, 4, 5
2019/10/10, 82, 47, 43, 39, 3, 6
2019/10/11, 97, 39, 41, 26, 2, 3
2019/10/12, 65, 28, 34, 22, 3, 2
2019/10/13, 53, 34, 34, 27, 3, 4
2019/10/14, 69, 30, 33, 26, 3, 4
2019/10/15, 56, 43, 36, 31, 3, 4
2019/10/16, 69, 42, 33, 31, 3, 4
2019/10/17, 87, 27, 33, 26, 3, 4
