date, pm25, pm10, o3, no2, so2, co
2020/4/1, 87, 31, 45, 9, 3, 3
2020/4/2, 66, 41, 52, 12, 3, 4
2020/4/3, 77, 55, 43, 8, 2, 4
2020/4/4, 92, 35, 44, 7, 3, 3
2020/4/5, 48, 46, 56, 10, 3, 4
2020/4/6, 74, 62, 58, 13, 4, 4
2020/4/7, 87, 40, 41, 9, 3, 4
2020/4/8, 70, 38, 39, 8, 2, 3
2020/4/9, 62, 27, 42, 8, 2, 3
2020/4/10, 56, 37, 45, 9, 2, 3
2020/4/11, 74, 26, 39, 7, 2, 4
2020/4/12, 54, 15, 38, 8, 3, 3
2020/4/13, 24, 33, 65, 12, 2, 3
2020/4/14, 60, 47, 74, 10, 3, 4
2020/4/15, 87, 35, 55, 6, 2, 3
2020/4/16, 61, 22, 29, 9, 2, 3
2020/4/17, 49, 19, 40, 5, 3, 3
2020/4/18, 38, 18, 41, 4, 2, 3
2020/4/19, 39, 13, 37, 5, , 3
2020/4/20, 27, 34, 36, 3, 2, 2
2020/4/21, 29, 69, 33, 1, , 3
2020/4/22, 44, 35, 37, 2, 3, 2
2020/4/23, 42, 40, 48, 7, 3, 3
2020/4/24, 49, 55, 67, 10, 3, 3
2020/4/25, 77, 33, 43, 5, 2, 3
2020/4/26, 50, 30, 40, 8, 3, 3
2020/4/27, 52, 33, 57, 10, 3, 3
2020/4/28, 59, 43, 82, 13, 4, 4
2020/4/29, 83, 35, 80, 11, 3, 3
2020/4/30, 70, , , , , 
2020/3/1, 73, 33, 34, 12, 3, 5
2020/3/2, 79, 31, 20, 13, 4, 6
2020/3/3, 82, 39, 39, 8, 3, 5
2020/3/4, 90, 41, 38, 10, 3, 5
2020/3/5, 89, 38, 32, 15, 3, 6
2020/3/6, 87, 44, 30, 19, 3, 6
2020/3/7, 100, 34, 42, 15, 4, 6
2020/3/8, 83, 45, 38, 19, 3, 5
2020/3/9, 105, 16, 38, 9, 2, 4
2020/3/10, 51, 35, 31, 6, 2, 3
2020/3/11, 53, 32, 33, 13, 3, 4
2020/3/12, 53, 24, 34, 6, 2, 3
2020/3/13, 46, 39, 36, 10, 3, 4
2020/3/14, 60, 39, 33, 7, 2, 4
2020/3/15, 68, 20, 29, 12, 3, 4
2020/3/16, 42, 29, 24, 15, , 4
2020/3/17, 63, 40, 37, 18, 4, 5
2020/3/18, 95, 47, 39, 11, 2, 4
2020/3/19, 71, 37, 31, 10, 3, 5
2020/3/20, 35, 48, 48, 16, 3, 4
2020/3/21, 62, 37, 39, 6, 3, 3
2020/3/22, 64, 40, 43, 14, 3, 4
2020/3/23, 66, 36, 45, 10, 3, 4
2020/3/24, 68, 43, 50, 14, 3, 4
2020/3/25, 86, 55, 50, 18, 3, 5
2020/3/26, 116, 26, 36, 8, 2, 4
2020/3/27, 40, , , , , 
2020/3/29, 59, 33, 42, 16, 3, 4
2020/3/30, 66, 41, 52, 16, 3, 4
2020/3/31, 86, 47, 43, 13, 3, 4
2020/2/1, 121, 55, 33, 12, 4, 8
2020/2/2, 132, 25, 33, 5, 3, 4
2020/2/3, 54, 26, 27, 12, 3, 4
2020/2/4, 54, 22, 30, 5, 3, 3
2020/2/5, 34, 29, 26, 13, 3, 5
2020/2/6, 52, 35, 26, 19, 3, 6
2020/2/7, 75, 36, 33, 11, 4, 6
2020/2/8, 88, 38, 35, 13, 4, 6
2020/2/9, 79, 48, 34, 16, 4, 6
2020/2/10, 84, 45, 24, 21, 5, 7
2020/2/11, 85, 48, 10, 24, 4, 8
2020/2/12, 104, 43, 28, 21, 4, 8
2020/2/13, 115, 58, 23, 19, 4, 8
2020/2/14, 141, 55, 28, 21, 4, 9
2020/2/15, 127, 20, 29, 7, 2, 5
2020/2/16, 40, 31, 30, 5, , 4
2020/2/17, 64, 25, 30, 13, 3, 4
2020/2/18, 59, 26, 27, 33, 4, 6
2020/2/19, 68, 41, 26, 36, 4, 8
2020/2/20, 105, 53, 16, 38, 4, 8
2020/2/21, 144, 50, 35, 25, 2, 5
