date, pm25, pm10, o3, no2, so2, co
2020/4/1, 72, 26, 32, 10, 2, 3
2020/4/2, 65, 25, 41, 7, 2, 3
2020/4/3, 62, 30, 41, 5, 2, 3
2020/4/4, 61, 27, 33, 8, 2, 3
2020/4/5, 47, 42, 41, 22, 3, 5
2020/4/6, 72, 53, 47, 8, 3, 4
2020/4/7, 93, 29, 33, 4, 1, 2
2020/4/8, 63, 28, 32, 9, 1, 3
2020/4/9, 63, 13, 31, 9, 1, 3
2020/4/10, 33, 22, 31, 22, 2, 5
2020/4/11, 51, 20, 34, 10, 1, 4
2020/4/12, 60, 17, 33, 4, 2, 4
2020/4/13, 40, 36, 39, 15, 5, 7
2020/4/14, 63, 41, 36, 9, 2, 3
2020/4/15, 82, 24, 29, 8, 2, 3
2020/4/16, 50, 30, 31, 14, 2, 5
2020/4/17, 53, 19, 29, 5, 1, 3
2020/4/18, 49, 18, 33, 6, 1, 3
2020/4/19, 44, 12, 36, 4, , 3
2020/4/20, 38, 22, 33, 4, 1, 2
2020/4/21, 48, 46, 28, 3, , 2
2020/4/22, 49, 20, 28, 4, 1, 3
2020/4/23, 45, 29, 36, 5, 4, 2
2020/4/24, 51, 45, 50, 8, 3, 4
2020/4/25, 73, 22, 29, 10, 1, 3
2020/4/26, 54, 20, 32, 14, 2, 9
2020/4/27, 47, 24, 47, 10, 3, 7
2020/4/28, 64, 41, 53, 13, 4, 5
2020/4/29, 89, 32, 47, 13, 3, 4
2020/4/30, 73, , , , , 
2020/3/1, 61, 17, 29, 4, 1, 4
2020/3/2, 47, 14, 16, 8, 2, 6
2020/3/3, 37, 22, 31, 4, 1, 4
2020/3/4, 72, 34, 34, 10, 2, 5
2020/3/5, 89, 31, 28, 26, 3, 7
2020/3/6, 76, 29, 32, 23, 4, 7
2020/3/7, 68, 25, 34, 15, 2, 6
2020/3/8, 69, 22, 32, 17, 2, 6
2020/3/9, 63, 14, 32, 4, 1, 3
2020/3/10, 40, 18, 28, 2, , 3
2020/3/11, 52, 39, 35, 7, 2, 3
2020/3/12, 63, 31, 37, 4, 1, 3
2020/3/13, 59, 26, 31, 6, 1, 3
2020/3/14, 50, 28, 28, 4, 1, 3
2020/3/15, 65, 20, 27, 9, 2, 3
2020/3/16, 44, 28, 29, 8, 2, 4
2020/3/17, 70, 34, 33, 11, 2, 5
2020/3/18, 73, 41, 50, 5, 2, 3
2020/3/19, 74, 22, 28, 4, 1, 2
2020/3/20, 39, 45, 38, 8, 1, 3
2020/3/21, 67, 29, 33, 6, 1, 3
2020/3/22, 61, 27, 33, 12, 2, 5
2020/3/23, 61, 24, 31, 19, 2, 5
2020/3/24, 60, 34, 38, 20, 3, 5
2020/3/25, 77, 37, 36, 24, 3, 5
2020/3/26, 82, 25, 31, 6, 1, 3
2020/3/27, 59, 26, 29, 7, 1, 3
2020/3/28, 40, 22, 26, 10, 2, 3
2020/3/29, 37, 22, 29, 19, 2, 4
2020/3/30, 50, 24, 29, 18, 3, 5
2020/3/31, 54, 31, 33, 15, 2, 7
2020/2/1, 92, 43, 30, 12, 3, 6
2020/2/2, 107, 23, 29, 9, 3, 4
2020/2/3, 71, 24, 26, 11, 2, 4
2020/2/4, 65, 16, 28, 3, 2, 2
2020/2/5, 39, 15, 23, 11, 2, 4
2020/2/6, 40, 26, 27, 16, 2, 5
2020/2/7, 73, 21, 28, 7, 2, 4
2020/2/8, 70, 23, 27, 15, 2, 6
2020/2/9, 66, 26, 31, 14, 2, 5
2020/2/10, 70, 37, 21, 30, 5, 7
2020/2/11, 74, 41, 6, 39, 4, 12
2020/2/12, 89, 18, 27, 14, 2, 6
2020/2/13, 53, 40, 34, 17, 3, 6
2020/2/14, 93, 42, 33, 14, 2, 6
2020/2/15, 99, 9, 26, 4, , 3
2020/2/16, 34, 19, 26, 5, , 3
2020/2/17, 58, 21, 26, 9, 3, 4
2020/2/18, 58, 21, 28, 17, 3, 4
2020/2/19, 46, 26, 32, 22, 4, 6
2020/2/20, 65, 39, 28, 27, 5, 6
2020/2/21, 88, 44, 30, 6, 2, 4
2020/2/22, 85, 20, 28, 6, 2, 3
2020/2/23, 45, 30, 32, 17, 4, 4
2020/2/24, 60, 16, 29, 9, 3, 4
2020/2/25, 44, 12, 26, 4, , 3
2020/2/26, 40, 11, 25, 9, 1, 3
2020/2/27, 31, 22, 16, 24, 2, 7
2020/2/28, 58, 17, 30, 10, 2, 6
2020/2/29, 50, 26, 25, 11, 2, 5
2020/1/1, 43, 27, 25, 10, 3, 4
2020/1/2, 72, 26, 25, 10, 2, 4
2020/1/3, 69, 20, 27, 7, 3, 4
2020/1/4, 59, 22, 25, 21, 4, 7
2020/1/5, 58, 26, 13, 33, 6, 9
2020/1/6, 60, 11, 6, 29, 2, 7
2020/1/7, 45, 8, 21, 13, 1, 5
2020/1/8, 28, 16, 28, 6, 1, 4
2020/1/9, 61, 21, 23, 14, 3, 5
2020/1/10, 56, 26, 27, 14, 3, 6
2020/1/11, 78, 27, 24, 14, 2, 5
2020/1/12, 94, 15, 25, 8, 2, 3
2020/1/13, 48, 12, 25, 9, 2, 3
2020/1/14, 32, 14, 23, 10, 2, 4
2020/1/15, 51, 19, 21, 23, 4, 5
2020/1/16, 45, 16, 19, 20, 4, 5
2020/1/17, 45, 17, 15, 20, 2, 6
2020/1/18, 46, 33, 28, 12, 2, 6
2020/1/19, 93, 32, 25, 11, 2, 5
2020/1/20, 82, 26, 23, 18, 4, 5
2020/1/21, 57, 23, 16, 27, 4, 6
2020/1/22, 50, 24, 28, 23, 4, 6
2020/1/23, 53, 21, 24, 13, 2, 5
2020/1/24, 63, 13, 23, 11, 2, 5
2020/1/25, 43, 12, 26, 8, 1, 4
2020/1/26, 37, 18, 29, 1, , 
2020/1/27, 37, 18, 26, 3, 1, 3
2020/1/28, 39, 14, 23, 7, , 3
2020/1/29, 40, 16, 29, 6, 1, 3
2020/1/30, 45, 15, 27, 15, 2, 5
2020/1/31, 39, 34, 31, 9, 2, 5
2019/10/1, 84, 22, 17, 13, 2, 6
2019/10/2, 68, 12, 28, 3, 2, 2
2019/10/3, 27, 34, 23, 12, 2, 3
2019/10/4, 61, 15, 21, 9, 1, 5
2019/10/5, 39, 15, 22, 11, 2, 3
2019/10/6, 18, 19, 11, 20, 3, 6
2019/10/7, 31, 16, 33, 9, 2, 4
2019/10/8, 35, 17, 26, 13, 3, 3
2019/10/9, 25, 19, 10, 24, 5, 6
2019/10/10, 34, 22, 36, 12, 3, 4
2019/10/11, 41, 29, 33, 2, 2, 2
2019/10/12, 46, 24, 26, 9, 2, 3
2019/10/13, 32, 22, 29, 13, 3, 4
2019/10/14, 38, 14, 23, 14, 3, 4
2019/10/15, 29, 17, 28, 19, 3, 4
2019/10/16, 35, 16, 23, 20, 4, 4
2019/10/17, 32, 16, 29, 15, 2, 5
2019/10/18, 28, 14, 28, 10, 2, 3
2019/10/19, 23, 17, 28, 19, 3, 5
2019/10/20, 36, 18, 26, 24, 4, 6
2019/10/21, 43, 13, 31, 13, 2, 3
2019/10/22, 35, 20, 30, 12, , 4
2019/10/23, 40, 21, 33, 8, , 3
2019/10/24, 46, 18, 27, 12, , 4
2019/10/25, 35, 18, 29, 10, , 4
2019/10/26, 48, 18, 27, 14, 3, 4
2019/10/27, 43, 24, 30, 16, 3, 5
2019/10/28, 58, 57, 32, 9, 3, 4
2019/10/29, 73, 32, 26, 15, 4, 4
2019/10/30, 50, 43, 39, 16, 5, 7
2019/10/31, 69, 63, 43, 10, 2, 4
2019/11/1, 97, 50, 24, 32, 3, 7
2019/11/2, 83, 30, 26, 8, , 4
2019/11/3, 61, 15, 22, 15, 3, 3
2019/11/4, 33, 18, 27, 16, 2, 4
2019/11/5, 46, 31, 29, 20, 3, 4
2019/11/6, 66, 25, 29, 8, 3, 3
2019/11/7, 60, 34, 32, 25, 4, 5
2019/11/8, 69, 17, 18, 17, 3, 4
2019/11/9, 45, 16, 14, 20, 3, 5
2019/11/10, 40, 12, 30, 7, , 4
2019/11/11, 43, 28, 27, 18, 3, 7
2019/11/12, 63, 17, 17, 25, 3, 7
2019/11/13, 37, , , , , 2
2019/11/14, 68, 24, 14, 21, 3, 4
2019/11/15, 53, 25, 15, 16, 3, 6
2019/11/16, 58, 32, 19, 19, 3, 5
2019/11/17, 62, 38, 28, 8, 3, 4
2019/11/18, 55, 18, 23, 5, , 3
2019/11/19, 36, 16, 22, 16, 4, 4
2019/11/20, 30, 21, 13, 29, 7, 6
2019/11/21, 43, 27, 2, 32, 7, 7
2019/11/22, 56, , , , , 
2019/11/30, 21, 16, 20, 17, 3, 6
2019/12/1, 55, 11, 24, 6, 3, 3
2019/12/2, 37, 14, 21, 11, 4, 3
2019/12/3, 41, 22, 22, 16, 4, 4
2019/12/4, 49, 13, 25, 9, 2, 3
2019/12/5, 37, 14, 21, 14, 2, 4
2019/12/6, 37, 15, 23, 7, 1, 3
2019/12/7, 46, 19, 19, 22, 4, 5
2019/12/8, 54, 28, 28, 24, 3, 5
2019/12/9, 74, 49, 24, 31, 4, 8
2019/12/10, 116, 45, 32, 18, 3, 7
2019/12/11, 123, 11, 23, 6, 1, 3
2019/12/12, 28, 20, 14, 24, 4, 6
2019/12/13, 46, 22, 25, 13, 3, 4
2019/12/14, 63, 21, 19, 22, 4, 7
2019/12/15, 43, 25, 21, 30, 6, 8
2019/12/16, 52, 20, 19, 27, 5, 7
2019/12/17, 48, 14, 18, 11, 2, 5
2019/12/18, 41, 15, 23, 10, 2, 4
2019/12/19, 51, 17, 23, 13, 2, 4
2019/12/20, 58, 20, 20, 11, 2, 4
2019/12/21, 70, 43, 27, 22, 4, 8
2019/12/22, 108, 23, 24, 15, 2, 6
2019/12/23, 69, 25, 25, 19, 2, 7
2019/12/24, 67, 20, 26, 24, 3, 6
2019/12/25, 49, 21, 25, 17, 4, 7
2019/12/26, 62, 18, 25, 8, 2, 4
2019/12/27, 62, 28, 23, 16, 3, 5
2019/12/28, 63, 31, 15, 27, 5, 8
2019/12/29, 70, , , , , 
2019/7/1, 81, 27, 59, 12, 3, 4
2019/7/2, 63, 35, 81, 21, 3, 4
2019/7/3, 79, 34, 56, 20, 3, 3
2019/7/4, 69, 41, 77, 12, 3, 4
2019/7/5, 86, 34, 48, 6, 2, 3
2019/7/6, 85, 19, 36, 2, , 1
2019/7/7, 50, 15, 32, 2, 2, 1
2019/7/8, 41, 15, 31, 2, , 1
2019/7/9, 46, 13, 28, 4, , 2
2019/7/10, 42, 8, 32, 5, , 2
2019/7/11, 32, 16, 29, 9, 2, 5
2019/7/12, 35, 33, 49, 15, 3, 9
2019/7/13, 73, 27, 35, 14, 1, 8
2019/7/14, 71, 28, 30, 14, 3, 6
2019/7/15, 72, 18, 26, 6, 2, 3
2019/7/16, 55, 19, 26, 8, 1, 4
2019/7/17, 51, 33, 47, 17, 2, 6
2019/7/18, 70, 31, 47, 22, 3, 6
2019/7/19, 78, 18, 16, 8, 3, 3
2019/7/20, 54, 20, 19, 10, 2, 5
2019/7/21, 51, 26, 59, 6, 2, 4
2019/7/22, 71, 29, 61, 10, 2, 4
2019/7/23, 73, 24, 22, 22, 2, 6
2019/7/24, 57, 18, 30, 16, 2, 6
2019/7/25, 56, 18, 29, 17, 2, 7
2019/7/26, 50, 17, 35, 12, 3, 5
2019/7/27, 46, 21, 20, 18, 2, 7
2019/7/28, 55, 14, 19, 12, 3, 4
2019/7/29, 42, 14, 18, 12, 3, 3
2019/7/30, 40, 17, 22, 14, 3, 7
2019/7/31, 38, 14, 27, 9, 2, 3
2019/8/1, 27, 20, 47, 10, 2, 5
2019/8/2, 52, 24, 35, 15, 2, 7
2019/8/3, 58, 25, 45, 9, 2, 6
2019/8/4, 64, 24, 24, 14, 2, 6
2019/8/5, 65, 22, 24, 11, 2, 8
2019/8/6, 55, 21, 18, 8, 2, 4
2019/8/7, 32, 33, 47, 19, 3, 8
2019/8/8, 73, 20, 30, 13, 2, 5
2019/8/9, 49, 25, 45, 11, 2, 4
2019/8/10, 57, 24, 28, 4, 1, 3
2019/8/11, 47, 33, 29, 9, 3, 5
2019/8/12, 60, 21, 27, 8, 2, 4
2019/8/13, 43, 16, 21, 4, , 3
2019/8/14, 32, 14, 23, 4, , 5
2019/8/15, 27, 11, 32, 7, 2, 3
2019/8/16, 17, 30, 58, 9, 2, 6
2019/8/17, 67, 24, 55, 10, 2, 6
2019/8/18, 57, 28, 43, 18, 2, 8
2019/8/19, 60, 20, 36, 12, 2, 4
2019/8/20, 55, 21, 31, 11, 2, 5
2019/8/21, 50, 26, 40, 18, 2, 9
2019/8/22, 66, 31, 56, 15, 2, 8
2019/8/23, 72, 23, 37, 10, 3, 5
2019/8/24, 52, 22, 54, 11, 3, 7
2019/8/25, 56, 27, 58, 19, 3, 8
2019/8/26, 65, 21, 33, 22, 3, 7
2019/8/27, 51, 15, 1, 24, 2, 7
2019/8/28, 35, 24, 39, 15, 2, 4
2019/8/29, 59, 17, 44, 7, 2, 4
2019/8/30, 53, 15, 48, 8, 2, 5
2019/8/31, 45, 20, 68, 14, 4, 5
2019/9/1, 59, 21, 47, 18, , 6
2019/9/2, 62, 14, 25, 23, 2, 7
2019/9/3, 58, 7, 31, 10, 2, 3
2019/9/4, 30, 13, 26, 9, 2, 7
2019/9/5, 45, 18, 16, 11, 2, 5
2019/9/6, 51, 17, 19, 5, 4, 3
2019/9/7, 56, 13, 31, 9, 2, 3
2019/9/8, 46, 21, 22, 19, 2, 5
2019/9/9, 59, 12, 40, 8, 1, 5
2019/9/10, 46, 10, 40, 5, , 2
2019/9/11, 41, 17, 22, 5, , 2
2019/9/12, 37, 14, 29, 6, 2, 3
2019/9/13, 33, 19, 25, 15, 2, 6
2019/9/14, 40, 14, 28, 6, 1, 4
2019/9/15, 43, 12, 29, 14, 2, 6
2019/9/16, 32, 15, 35, 5, 1, 2
2019/9/17, 39, 32, 13, 8, 1, 2
2019/9/18, 41, 25, 13, 10, 2, 4
2019/9/19, 30, 16, 10, 14, 1, 5
2019/9/20, 28, 12, 11, 13, 2, 3
2019/9/21, 21, 16, 18, 8, 1, 
2019/9/22, 21, 17, 23, 9, , 3
2019/9/23, 29, 16, 10, 13, 2, 4
2019/9/24, 26, 19, 36, 14, 2, 5
2019/9/25, 39, 19, 26, 19, 3, 6
2019/9/26, 34, 17, 30, 18, 3, 5
2019/9/27, 32, 21, 28, 12, , 5
2019/9/28, 48, 28, 31, 21, 4, 7
2019/9/29, 70, 29, 34, 15, 3, 6
2019/9/30, 75, 33, 19, 22, 3, 6
2019/4/1, 60, 24, 43, 7, 2, 3
2019/4/2, 59, 30, 44, 9, 3, 3
2019/4/3, 65, 46, 58, 9, 3, 3
2019/4/4, 75, 66, 53, 13, 2, 4
2019/4/5, 86, 62, 35, 21, 4, 7
2019/4/6, 67, 45, 41, 12, 2, 5
2019/4/7, 59, 36, 41, 19, 2, 5
2019/4/8, 52, 22, 39, 22, 3, 5
2019/4/9, 47, 7, 35, 11, , 3
2019/4/10, 26, 15, 37, 16, 2, 4
2019/4/11, 37, 31, 44, 25, 3, 5
