date, pm25, pm10, o3, no2, so2, co
2020/4/1, 76, 25, 38, 4, 2, 2
2020/4/2, 58, 32, 49, 3, 3, 2
2020/4/3, 55, 41, 50, 2, 2, 3
2020/4/4, 59, 30, 40, 3, , 2
2020/4/5, 36, 46, 43, 5, 3, 3
2020/4/6, 68, 65, 66, 6, 3, 4
2020/4/7, 93, 34, 36, 4, 3, 3
2020/4/8, 67, 33, 33, 6, 1, 3
2020/4/9, 58, 15, 35, 6, 1, 3
2020/4/10, 33, 23, 38, 9, 1, 3
2020/4/11, 42, 27, 39, 6, 1, 2
2020/4/12, 58, 18, 39, 3, 1, 1
2020/4/13, 32, 29, 60, 6, 2, 3
2020/4/14, 56, 45, 56, 3, 1, 1
2020/4/15, 74, 28, 35, 5, 1, 2
2020/4/16, 42, 29, 35, 10, 1, 3
2020/4/17, 51, 25, 37, 2, , 1
2020/4/18, 40, 19, 44, 4, , 1
2020/4/19, 34, 15, 42, 3, , 2
2020/4/20, 28, 31, 38, 1, 1, 2
2020/4/21, 37, 61, 33, 1, 2, 2
2020/4/22, 40, 24, 38, 4, 4, 3
2020/4/23, 36, 41, 48, 7, 4, 4
2020/4/24, 47, 55, 69, 8, 5, 4
2020/4/25, 75, 26, 35, 10, 2, 4
2020/4/26, 48, 22, 39, 10, 3, 4
2020/4/27, 41, 30, 64, 9, 4, 4
2020/4/28, 56, 50, 79, 11, 5, 5
2020/4/29, 84, 36, 72, 8, 4, 4
2020/4/30, 62, , , , , 
2020/3/1, 51, 19, 32, 7, 3, 4
2020/3/2, 46, 22, 15, 10, 4, 5
2020/3/3, 43, 30, 37, 8, 3, 5
2020/3/4, 75, 38, 37, 12, 4, 6
2020/3/5, 89, 33, 34, 16, 4, 5
2020/3/6, 67, 37, 41, 15, 4, 5
2020/3/7, 73, 31, 41, 13, 4, 5
2020/3/8, 65, 34, 31, 19, 4, 6
2020/3/9, 67, 15, 36, 9, 2, 4
2020/3/10, 32, 25, 31, 6, 2, 4
2020/3/11, 43, 41, 43, 6, 3, 3
2020/3/12, 76, 34, 45, 7, 3, 4
2020/3/13, 49, 31, 39, 7, 2, 3
2020/3/14, 34, 35, 33, 6, 2, 4
2020/3/15, 66, 19, 36, 8, 3, 3
2020/3/16, 33, 28, 34, 8, 2, 3
2020/3/17, 54, 37, 44, 8, 2, 3
2020/3/18, 66, 47, 66, 6, 3, 3
2020/3/19, 65, 32, 37, 5, 2, 3
2020/3/20, 31, 51, 48, 9, 3, 3
2020/3/21, 59, 31, 40, 5, 2, 2
2020/3/22, 54, 31, 41, 10, 3, 2
2020/3/23, 56, 25, 40, 11, 2, 2
2020/3/24, 54, 42, 39, 19, 3, 4
2020/3/25, 81, 48, 47, 15, 3, 4
2020/3/26, 91, 25, 35, 5, 2, 3
2020/3/27, 51, 28, 31, 1, 2, 2
2020/3/28, 27, 23, 31, 5, 1, 3
2020/3/29, 25, 31, 36, 8, 2, 3
2020/3/30, 47, 35, 38, 11, 2, 3
2020/3/31, 57, 41, 36, 8, 3, 3
2020/2/1, 91, 48, 34, 12, 4, 7
2020/2/2, 109, 29, 32, 10, 4, 6
2020/2/3, 68, 25, 29, 11, , 6
2020/2/4, 62, 17, 31, 8, 3, 5
2020/2/5, 35, 16, 25, 12, 3, 5
2020/2/6, 29, 26, 31, 11, 4, 6
2020/2/7, 62, 25, 33, 8, 3, 5
2020/2/8, 64, 27, 33, 10, 4, 6
2020/2/9, 64, 30, 35, 13, 3, 6
2020/2/10, 69, 36, 27, 22, 6, 7
2020/2/11, 69, 46, 22, 31, 6, 9
2020/2/12, 98, 23, 35, 15, 4, 7
2020/2/13, 54, 47, 40, 13, 4, 7
2020/2/14, 102, 47, 39, 12, 3, 6
2020/2/15, 96, 9, 30, 5, 3, 5
2020/2/16, 34, 21, 28, 8, 3, 7
2020/2/17, 57, 21, 29, 8, 3, 6
2020/2/18, 47, 19, 31, 14, 3, 7
2020/2/19, 36, 31, 36, 15, 4, 6
2020/2/20, 64, 56, 37, 27, 6, 9
2020/2/21, 103, 50, 34, 10, 4, 7
2020/2/22, 79, 23, 33, 7, 3, 6
2020/2/23, 43, 37, 42, 9, 5, 6
2020/2/24, 55, 19, 32, 13, 4, 5
2020/2/25, 34, 11, 29, 13, , 4
2020/2/26, 29, 12, 28, 11, 3, 3
2020/2/27, 23, 20, 27, 14, 3, 4
2020/2/28, 41, 19, 33, 14, 4, 5
2020/2/29, 40, 24, 32, 9, 3, 4
2020/1/1, 34, 31, 27, 8, 2, 5
2020/1/2, 68, 35, 26, 12, 3, 5
2020/1/3, 77, 24, 30, 11, 4, 5
2020/1/4, 53, 21, 29, 12, 3, 5
2020/1/5, 53, 28, 20, 23, 5, 7
2020/1/6, 49, 12, 15, 20, 3, 5
2020/1/7, 31, 9, 26, 9, 3, 4
2020/1/8, 15, 26, 30, 7, 3, 6
2020/1/9, 68, 25, 26, 11, 3, 5
2020/1/10, 61, 34, 30, 14, 4, 6
2020/1/11, 83, 39, 28, 13, 3, 6
2020/1/12, 95, 21, 28, 9, 2, 5
2020/1/13, 51, 14, 28, 12, 3, 5
2020/1/14, 30, 20, 24, 13, 3, 5
2020/1/15, 51, 18, 25, 17, 3, 5
2020/1/16, 38, 19, 25, 17, 3, 4
2020/1/17, 46, 16, 21, 18, 4, 5
2020/1/18, 38, 40, 32, 13, 3, 6
2020/1/19, 92, 39, 31, 13, 4, 6
2020/1/20, 80, 29, 26, 15, 4, 5
2020/1/21, 52, 15, 27, 14, 3, 4
2020/1/22, 29, 29, 31, 19, 3, 5
2020/1/23, 52, 30, 26, 18, 4, 6
2020/1/24, 70, 15, 28, 12, 4, 4
2020/1/25, 34, 14, 28, 10, 3, 4
2020/1/26, 33, 18, 33, 5, 2, 2
2020/1/27, 21, 22, 29, 8, , 2
2020/1/28, 27, 15, 28, 11, 3, 3
2020/1/29, 30, 16, 32, 13, 3, 4
2020/1/30, 36, 13, 27, 12, 3, 4
2020/1/31, 29, 39, 34, 13, 4, 7
2019/10/1, 88, 35, 18, 12, 1, 3
2019/10/2, 86, 21, 34, 1, , 
2019/10/3, 37, 43, 27, 9, 2, 4
2019/10/4, 64, 25, 23, 5, 1, 2
2019/10/5, 41, 21, 25, 6, 1, 2
2019/10/6, 30, 26, 15, 11, 2, 3
2019/10/7, 41, 27, 36, 8, 2, 3
2019/10/8, 47, 22, 26, 7, 1, 3
2019/10/9, 29, 24, 25, 13, 2, 3
2019/10/10, 39, 26, 35, 6, 2, 2
2019/10/11, 45, 39, 36, 3, 2, 1
2019/10/12, 54, 28, 30, 4, 1, 2
2019/10/13, 33, 26, 31, 9, 1, 2
2019/10/14, 49, 19, 27, 9, 1, 2
2019/10/15, 34, 22, 31, 10, 2, 3
2019/10/16, 43, 23, 28, 11, 2, 2
2019/10/17, 46, 24, 19, 17, 2, 3
2019/10/18, 47, 21, 30, 7, 1, 1
2019/10/19, 34, 21, 31, 8, 2, 2
2019/10/20, 40, 22, 27, 6, , 2
2019/10/21, 53, , , , , 
2019/11/30, 37, 25, 27, 15, 5, 5
2019/12/1, 60, 16, 31, 7, 4, 3
2019/12/2, 39, 21, 28, 16, 5, 3
2019/12/3, 38, 35, 21, 22, 6, 4
2019/12/4, 58, 13, 20, 11, 2, 3
2019/12/5, 23, 11, 24, 8, 1, 3
2019/12/6, 17, 19, 24, 8, , 3
2019/12/7, 45, 21, 24, 10, , 3
2019/12/8, 53, 35, 31, 12, 2, 3
2019/12/9, 76, 59, 36, 21, 3, 5
2019/12/10, 122, 56, 32, 15, 3, 5
2019/12/11, 118, 12, 22, 8, , 4
2019/12/12, 21, 20, 27, 10, 3, 4
2019/12/13, 38, 31, 26, 15, 4, 5
2019/12/14, 66, 19, 25, 13, 3, 4
2019/12/15, 34, 28, 23, 24, 5, 5
2019/12/16, 43, 24, 27, 18, 5, 5
2019/12/17, 45, 19, 21, 15, 3, 5
2019/12/18, 45, 27, 26, 12, 3, 4
2019/12/19, 59, 23, 25, 12, 4, 5
2019/12/20, 54, 29, 25, 15, 3, 5
2019/12/21, 66, 51, 33, 14, 4, 6
2019/12/22, 116, 30, 27, 14, 4, 5
2019/12/23, 69, 24, 26, 14, 4, 5
2019/12/24, 59, 18, 28, 14, 4, 5
2019/12/25, 45, 26, 27, 11, 4, 5
2019/12/26, 64, 23, 27, 10, 3, 5
2019/12/27, 58, 32, 25, 14, 4, 5
2019/12/28, 58, 32, 25, 14, 3, 5
2019/12/29, 62, , , , , 
2019/7/1, 74, 27, 52, 8, 2, 3
2019/7/2, 60, 35, 63, 11, 2, 3
2019/7/3, 69, 29, 52, 9, 2, 2
2019/7/4, 60, 39, 62, 9, 3, 2
2019/7/5, 72, 39, 54, 5, 2, 2
2019/7/6, 80, 25, 35, 3, 1, 1
2019/7/7, 47, 22, 30, 6, 1, 1
2019/7/8, 35, 22, 30, 5, 1, 2
2019/7/9, 42, 21, 30, 7, 1, 3
2019/7/10, 45, 13, 34, 2, , 2
2019/7/11, 30, 24, 36, 8, , 4
2019/7/12, 34, 31, 53, 8, 2, 4
2019/7/13, 66, 31, 39, 4, 1, 4
2019/7/14, 70, 31, 31, 7, 1, 4
