date, pm25, pm10, o3, no2, so2, co
2020/4/1, 84, 29, 41, 10, 7, 5
2020/4/2, 61, 34, 52, 4, 5, 4
2020/4/3, 53, 44, 47, 4, 4, 4
2020/4/4, 48, 32, 39, 8, 7, 4
2020/4/5, 41, 46, 46, 14, 9, 8
2020/4/6, 63, 70, 62, 7, 6, 2
2020/4/7, 96, 33, 37, 3, 4, 2
2020/4/8, 53, 35, 36, 6, 5, 2
2020/4/9, 63, 19, 35, 9, 6, 2
2020/4/10, 32, 25, 39, 11, 8, 2
2020/4/11, 41, 30, 42, 4, 4, 2
2020/4/12, 51, 20, 40, 4, 5, 3
2020/4/13, 30, 39, 67, 9, 7, 2
2020/4/14, 63, 49, 60, 7, 5, 2
2020/4/15, 70, 28, 33, 4, 5, 2
2020/4/16, 33, 32, 26, 10, 4, 2
2020/4/17, 48, 22, 35, 3, 5, 2
2020/4/18, 31, 21, 41, 5, 5, 2
2020/4/19, 38, 16, 38, 4, 4, 2
2020/4/20, 29, 41, 36, 2, 4, 2
2020/4/21, 36, 69, 30, 2, 4, 
2020/4/22, 46, 25, 35, 3, 5, 3
2020/4/23, 41, 41, 48, 4, 5, 2
2020/4/24, 51, 58, 56, 5, 5, 3
2020/4/25, 71, 24, 37, 4, 4, 2
2020/4/26, 42, 23, 37, 7, 5, 2
2020/4/27, 44, 32, 71, 6, 6, 2
2020/4/28, 52, 52, 79, 8, 6, 6
2020/4/29, 86, 38, 64, 9, 5, 5
2020/4/30, 65, , , , , 
2020/3/1, 58, 21, 32, 4, 4, 5
2020/3/2, 52, 19, 16, 11, 7, 8
2020/3/3, 41, 30, 35, 5, 5, 5
2020/3/4, 73, 39, 37, 9, 5, 6
2020/3/5, 93, 31, 37, 15, 8, 7
2020/3/6, 60, 46, 38, 16, 9, 10
2020/3/7, 93, 38, 39, 13, 7, 9
2020/3/8, 78, 33, 30, 17, 9, 8
2020/3/9, 72, 19, 36, 6, 3, 5
2020/3/10, 36, 27, 31, 3, 4, 4
2020/3/11, 47, 49, 45, 6, 4, 4
2020/3/12, 67, 35, 45, 6, 5, 4
2020/3/13, 50, 32, 35, 5, 5, 4
2020/3/14, 39, 32, 35, 3, 4, 3
2020/3/15, 51, 19, 36, 7, 4, 4
