date, pm25, pm10, o3, no2, so2, co
2020/4/1, 112, 17, 40, 13, 3, 5
2020/4/2, 87, 31, 46, 16, 4, 5
2020/4/3, 83, 51, 45, 14, 5, 6
2020/4/4, 93, 23, 45, 10, 3, 5
2020/4/5, 53, 38, 44, 14, 3, 6
2020/4/6, 82, 58, 73, 16, 5, 7
2020/4/7, 97, 27, 44, 13, 4, 5
2020/4/8, 67, 27, 40, 14, 3, 5
2020/4/9, 70, 16, 42, 12, 3, 5
2020/4/10, 77, 35, 51, 14, 3, 5
2020/4/11, 93, 20, 43, 10, 3, 4
2020/4/12, 66, 5, 39, 10, 2, 4
2020/4/13, 31, 20, 59, 16, 4, 4
2020/4/14, 69, 41, 82, 15, 4, 5
2020/4/15, 100, 44, 63, 14, 4, 4
2020/4/16, 101, 20, 36, 13, 3, 4
2020/4/17, 62, 13, 38, 10, 2, 3
2020/4/18, 46, 9, 38, 9, 2, 3
2020/4/19, 44, 11, 37, 9, , 3
2020/4/20, 33, 20, 36, 8, 1, 3
2020/4/21, 50, 47, 30, 7, 1, 2
2020/4/22, 50, 26, 37, 9, 2, 3
2020/4/23, 50, 30, 47, 11, 3, 3
2020/4/24, 49, 43, 73, 12, 4, 4
2020/4/25, 72, 23, 41, 8, 2, 3
2020/4/26, 59, 19, 43, 13, 3, 3
2020/4/27, 53, 20, 50, 13, 3, 3
2020/4/28, 60, 36, 81, 14, 3, 4
2020/4/29, 78, 30, 81, 15, 2, 4
2020/4/30, 74, , , , , 
2020/3/1, 70, 26, 34, 14, 5, 8
2020/3/2, 80, 33, 14, 19, 4, 8
2020/3/3, 93, 29, 37, 11, 4, 6
2020/3/4, 79, 27, 35, 15, 4, 5
2020/3/5, 81, 29, 35, 21, 5, 7
2020/3/6, 82, 32, 33, 21, 6, 8
2020/3/7, 89, 27, 42, 18, 6, 7
2020/3/8, 77, 33, 40, 23, 6, 7
2020/3/9, 85, 23, 34, 17, 7, 6
2020/3/10, 63, 20, 29, 11, 4, 4
2020/3/11, 49, 24, 35, 14, 4, 5
2020/3/12, 56, 21, 29, 14, 4, 5
2020/3/13, 47, 26, 38, 14, 4, 5
2020/3/14, 55, 36, 33, 10, 4, 6
2020/3/15, 67, 11, 32, 12, 3, 5
2020/3/16, 51, 22, 28, 18, 4, 6
2020/3/17, 58, 25, 40, 18, 4, 6
2020/3/18, 78, 44, 42, 13, 3, 5
2020/3/19, 80, 31, 34, 14, 5, 5
2020/3/20, 45, 45, 49, 18, 5, 6
2020/3/21, 78, 37, 40, 10, 4, 5
2020/3/22, 90, 33, 40, 16, 4, 5
2020/3/23, 77, 37, 46, 18, 3, 5
2020/3/24, 97, 47, 59, 21, 5, 6
2020/3/25, 117, 40, 53, 18, 4, 6
2020/3/26, 112, 21, 29, 13, 2, 6
2020/3/27, 79, 22, 33, 11, 3, 5
2020/3/28, 53, 18, 36, 11, 3, 5
2020/3/29, 63, 25, 41, 14, 3, 5
2020/3/30, 77, 36, 52, 20, 4, 6
2020/3/31, 90, 51, 53, 19, 4, 6
2020/2/1, 121, 58, 31, 22, 6, 6
2020/2/2, 141, 20, 28, 16, 6, 2
2020/2/3, 52, 21, 26, 19, 5, 2
2020/2/4, 60, 9, 28, 13, 5, 4
2020/2/5, 20, 18, 19, 21, 6, 6
2020/2/6, 47, 29, 19, 27, 7, 8
2020/2/7, 76, 24, 33, 18, 7, 7
2020/2/8, 68, 24, 32, 17, 6, 8
2020/2/9, 67, 33, 31, 24, 9, 9
2020/2/10, 82, 38, 21, 28, 8, 9
2020/2/11, 83, 38, 8, 30, 8, 11
2020/2/12, 94, 30, 30, 25, 8, 11
2020/2/13, 87, 56, 17, 25, 7, 11
2020/2/14, 128, 45, 37, 20, 7, 12
2020/2/15, 105, 17, 26, 12, 3, 6
2020/2/16, 48, 11, 26, 13, 4, 6
2020/2/17, 40, 11, 28, 20, 6, 7
2020/2/18, 42, 20, 29, 24, 5, 8
2020/2/19, 66, 39, 32, 25, 7, 8
2020/2/20, 96, 49, 26, 28, 8, 9
2020/2/21, 118, 40, 36, 12, 4, 6
2020/2/22, 85, 13, 33, 14, 6, 6
2020/2/23, 36, 26, 34, 22, 7, 7
2020/2/24, 61, 24, 32, 15, 4, 6
2020/2/25, 58, 6, 27, 13, 5, 7
2020/2/26, 22, 6, 30, 12, 4, 5
2020/2/27, 41, 16, 9, 21, 4, 7
2020/2/28, 60, 13, 30, 16, 4, 6
2020/2/29, 41, 21, 27, 13, 4, 7
2020/1/1, 57, 37, 9, 24, 7, 5
2020/1/2, 103, 55, 8, 31, 9, 9
2020/1/3, 138, 50, 17, 30, 9, 8
2020/1/4, 117, 45, 19, 26, 9, 8
2020/1/5, 110, 47, 6, 29, 9, 9
2020/1/6, 115, 11, 11, 23, 7, 5
2020/1/7, 47, 13, 21, 16, 5, 3
2020/1/8, 56, 33, 25, 18, 5, 3
2020/1/9, 80, 54, 16, 26, 7, 6
2020/1/10, 107, 54, 16, 30, 8, 7
2020/1/11, 123, 40, 27, 23, 9, 6
2020/1/12, 94, 16, 23, 21, 7, 3
2020/1/13, 37, 23, 16, 24, 7, 4
2020/1/14, 49, 29, 17, 25, 7, 5
2020/1/15, 64, 32, 16, 26, 7, 5
2020/1/16, 64, 40, 15, 27, 8, 6
2020/1/17, 81, 51, 16, 33, 10, 8
2020/1/18, 103, 52, 14, 31, 9, 7
2020/1/19, 119, 50, 24, 23, 8, 7
2020/1/20, 104, 29, 25, 23, 8, 4
2020/1/21, 56, 35, 11, 30, 9, 5
2020/1/22, 73, 31, 23, 29, 11, 7
2020/1/23, 69, 51, 26, 27, 7, 6
2020/1/24, 118, 33, 22, 24, 9, 6
2020/1/25, 86, 23, 29, 16, 6, 7
2020/1/26, 71, 2, 32, 6, 4, 1
2020/1/27, 5, 2, 31, 11, 6, 3
2020/1/28, 11, 9, 26, 15, 6, 3
2020/1/29, 22, 8, 30, 13, 5, 3
2020/1/30, 20, 17, 25, 17, 5, 3
2020/1/31, 48, 49, 30, 25, 7, 7
2019/10/1, 79, 23, 9, 9, 2, 3
2019/10/2, 58, 6, 23, 8, 2, 3
2019/10/3, 22, 16, 29, 9, 2, 3
2019/10/4, 35, 39, 34, 6, 2, 4
2019/10/5, 106, 8, 29, 5, 2, 2
2019/10/6, 16, 10, 12, 11, 1, 2
2019/10/7, 31, 17, 33, 11, 2, 3
2019/10/8, 49, 15, 26, 11, 2, 3
2019/10/9, 31, 28, 12, 17, 2, 4
2019/10/10, 58, 24, 40, 8, 1, 3
2019/10/11, 55, 21, 36, 3, 2, 1
2019/10/12, 35, 14, 32, 8, 2, 2
2019/10/13, 31, 25, 29, 14, 2, 3
2019/10/14, 55, 16, 26, 12, 2, 2
2019/10/15, 49, 18, 34, 7, 2, 3
2019/10/16, 37, 27, 17, 12, 2, 3
2019/10/17, 61, 18, 27, 11, 2, 3
2019/10/18, 44, 12, 30, 8, 2, 2
2019/10/19, 32, 21, 39, 8, 2, 2
2019/10/20, 54, 26, 34, 10, 2, 3
2019/10/21, 67, 27, 35, 10, 2, 3
2019/10/22, 68, 24, 24, 11, 2, 2
2019/10/23, 59, 24, 37, 10, 3, 3
2019/10/24, 50, 18, 34, 13, 2, 2
2019/10/25, 38, 24, 29, 9, 3, 2
2019/10/26, 60, 22, 29, 10, 2, 2
2019/10/27, 58, 29, 28, 15, 2, 4
2019/10/28, 68, 56, 33, 18, 3, 6
2019/10/29, 72, 28, 22, 20, 4, 6
2019/10/30, 56, 47, 37, 20, 4, 5
2019/10/31, 81, 84, 47, 28, 4, 9
2019/11/1, 138, 65, 40, 25, 4, 7
2019/11/2, 130, 43, 30, 13, 2, 6
2019/11/3, 104, 10, 27, 16, 3, 4
2019/11/4, 38, 30, 22, 25, 4, 6
2019/11/5, 84, 44, 31, 26, 4, 6
2019/11/6, 104, 47, 29, 26, 4, 6
2019/11/7, 107, 46, 28, 28, 4, 6
2019/11/8, 100, 41, 23, 29, 5, 6
2019/11/9, 88, 35, 21, 23, 5, 6
2019/11/10, 83, 28, 21, 25, 5, 7
2019/11/11, 72, 32, 15, 23, 4, 7
2019/11/12, 72, 30, 4, 20, 4, 8
2019/11/13, 69, , , , 2, 3
2019/11/14, 17, 18, 4, 27, 6, 6
2019/11/15, 53, 27, 11, 18, 5, 6
2019/11/16, 70, 17, 20, 19, 6, 6
