date, pm25, pm10, o3, no2, so2, co
2020/4/1, 125, 56, 38, 31, 6, 4
2020/4/2, 107, 61, 44, 35, 8, 5
2020/4/3, 126, 75, 36, 18, 6, 4
2020/4/4, 98, 57, 40, 15, 7, 3
2020/4/5, 77, 64, 37, 37, 8, 5
2020/4/6, 93, 60, 40, 30, 8, 4
2020/4/7, 103, 59, 36, 23, 7, 3
2020/4/8, 81, 59, 38, 25, 8, 4
2020/4/9, 91, 55, 37, 24, 6, 3
2020/4/10, 101, 47, 42, 26, 7, 3
2020/4/11, 86, 41, 41, 16, 7, 3
2020/4/12, 88, 41, 37, 25, 6, 3
2020/4/13, 73, 56, 40, 37, 8, 4
2020/4/14, 103, 66, 54, 44, 8, 5
2020/4/15, 133, 59, 61, 44, 8, 4
2020/4/16, 127, 48, 32, 27, 6, 4
2020/4/17, 104, 43, 35, 19, 6, 4
2020/4/18, 86, 35, 31, 25, 6, 4
2020/4/19, 84, 21, 34, 23, 6, 3
2020/4/20, 53, 49, 33, 21, 7, 2
2020/4/21, 54, 71, 29, 18, 6, 2
2020/4/22, 51, 45, 31, 20, 8, 3
2020/4/23, 56, 55, 46, 26, 8, 3
2020/4/24, 67, 62, 65, 22, 8, 4
2020/4/25, 95, 36, 42, 17, 11, 3
2020/4/26, 64, 44, 42, 30, 9, 4
2020/4/27, 80, 48, 46, 30, 8, 4
2020/4/28, 89, 51, 63, 27, 7, 4
2020/4/29, 99, 46, 58, 42, 7, 4
2020/4/30, 85, , , , , 
2020/3/1, 114, 47, 33, 26, 8, 5
2020/3/2, 103, 43, 19, 40, 8, 5
2020/3/3, 116, 51, 37, 26, 6, 5
2020/3/4, 111, 42, 35, 27, 7, 4
2020/3/5, 89, 54, 22, 49, 8, 6
2020/3/6, 124, 63, 19, 58, 9, 7
2020/3/7, 142, 66, 40, 58, 9, 9
2020/3/8, 157, 72, 33, 63, 7, 8
2020/3/9, 155, 57, 30, 29, 6, 5
2020/3/10, 133, 43, 30, 22, 6, 3
2020/3/11, 66, 42, 32, 33, 8, 4
2020/3/12, 68, 46, 29, 21, 5, 3
2020/3/13, 76, 45, 36, 24, 7, 4
2020/3/14, 86, 51, 31, 16, 6, 4
2020/3/15, 72, 33, 29, 22, 6, 3
2020/3/16, 66, 51, 36, 32, 6, 4
