date, pm25, pm10, o3, no2, so2, co
2020/4/1, 78, 45, 43, 25, 4, 5
2020/4/2, 74, 51, 51, 29, 5, 6
2020/4/3, 80, 61, 37, 18, 4, 4
2020/4/4, 69, 48, 43, 15, 4, 4
2020/4/5, 58, 58, 43, 32, 4, 5
2020/4/6, 69, 53, 39, 26, 4, 4
2020/4/7, 76, 47, 41, 16, 3, 4
2020/4/8, 57, 49, 41, 18, 4, 4
2020/4/9, 71, 48, 45, 27, 4, 5
2020/4/10, 87, 42, 36, 22, 4, 4
2020/4/11, 75, 38, 44, 17, 3, 4
2020/4/12, 66, 35, 43, 17, 4, 3
2020/4/13, 43, 54, 68, 34, 5, 5
2020/4/14, 85, 58, 81, 36, 4, 5
2020/4/15, 104, 56, 74, 33, 4, 4
2020/4/16, 93, 42, 34, 27, 4, 5
2020/4/17, 79, 34, 61, 13, 4, 3
2020/4/18, 47, 33, 53, 21, 3, 4
2020/4/19, 57, 24, 50, 16, 3, 3
2020/4/20, 41, 40, 56, 11, 3, 3
2020/4/21, 38, 77, 42, 9, 2, 3
2020/4/22, 43, 49, 59, 12, 3, 3
2020/4/23, 50, 50, 47, 24, 4, 4
2020/4/24, 52, 61, 67, 20, 5, 4
2020/4/25, 77, 42, 48, 14, 4, 4
2020/4/26, 56, 41, 45, 23, 4, 4
2020/4/27, 61, 46, 55, 31, 4, 5
2020/4/28, 76, 48, 72, 25, 5, 5
2020/4/29, 89, 43, 67, 37, 4, 5
2020/4/30, 72, , , , , 
2020/3/1, 93, 38, 35, 19, 5, 5
2020/3/2, 78, 37, 12, 38, 5, 7
2020/3/3, 79, 44, 39, 14, 4, 6
2020/3/4, 92, 36, 36, 20, 4, 5
2020/3/5, 67, 44, 28, 42, 5, 7
2020/3/6, 87, 56, 31, 40, 6, 8
2020/3/7, 116, 59, 47, 39, 6, 8
2020/3/8, 137, 61, 36, 42, 5, 7
2020/3/9, 126, 42, 34, 19, 4, 5
2020/3/10, 91, 36, 32, 12, 3, 3
2020/3/11, 31, 42, 31, 33, 4, 5
2020/3/12, 46, 34, 31, 15, 4, 4
2020/3/13, 35, 42, 37, 18, 4, 4
2020/3/14, 56, 44, 33, 17, 3, 5
2020/3/15, 60, 26, 31, 16, 3, 4
2020/3/16, 38, 49, 36, 33, 4, 5
2020/3/17, 67, 58, 43, 44, 6, 7
2020/3/18, 102, 57, 57, 14, 4, 4
2020/3/19, 64, 45, 33, 22, 4, 4
2020/3/20, 23, 52, 46, 27, 5, 4
2020/3/21, 52, 41, 40, 12, 4, 3
2020/3/22, 44, 53, 47, 29, 4, 5
2020/3/23, 79, 62, 43, 39, 5, 5
2020/3/24, 99, 55, 55, 40, 6, 6
2020/3/25, 82, 56, 46, 44, 5, 6
2020/3/26, 93, 46, 35, 17, 4, 5
2020/3/27, 64, 42, 34, 14, 3, 3
2020/3/28, 20, 48, 40, 21, 4, 4
2020/3/29, 56, 52, 37, 35, 6, 5
2020/3/30, 78, 50, 39, 39, 5, 5
2020/3/31, 74, 62, 45, 20, 5, 5
2020/2/1, 130, 59, 36, 26, 5, 10
2020/2/2, 129, 28, 34, 17, 5, 5
2020/2/3, 48, 29, 26, 29, 5, 6
2020/2/4, 56, 25, 28, 16, 5, 4
2020/2/5, 31, 44, 21, 26, 6, 6
2020/2/6, 66, 40, 26, 28, 6, 6
2020/2/7, 73, 40, 33, 18, 5, 6
2020/2/8, 78, 37, 36, 26, 5, 7
2020/2/9, 70, 53, 32, 40, 6, 8
2020/2/10, 93, 57, 21, 44, 7, 8
2020/2/11, 101, 55, 19, 46, 6, 9
2020/2/12, 117, 55, 23, 32, 5, 8
2020/2/13, 127, 59, 33, 39, 5, 8
2020/2/14, 133, 59, 32, 37, 6, 9
2020/2/15, 134, 26, 28, 10, 4, 6
2020/2/16, 55, 27, 30, 14, 4, 4
2020/2/17, 51, 24, 31, 20, 4, 5
2020/2/18, 44, 37, 22, 39, 5, 7
2020/2/19, 72, 53, 26, 37, 6, 7
2020/2/20, 119, 54, 33, 45, 5, 8
2020/2/21, 116, 56, 35, 13, 5, 7
2020/2/22, 100, 27, 38, 22, 4, 5
2020/2/23, 44, 35, 28, 39, 6, 6
2020/2/24, 60, 28, 34, 27, 4, 5
2020/2/25, 48, 22, 33, 21, 5, 5
2020/2/26, 34, 22, 26, 27, 5, 5
2020/2/27, 38, 32, 12, 43, 5, 7
2020/2/28, 73, 30, 34, 26, 5, 6
2020/2/29, 64, 44, 28, 24, 5, 8
2020/1/1, 70, 53, 9, 39, 6, 9
2020/1/2, 109, 62, 19, 42, 6, 11
2020/1/3, 133, 53, 30, 41, 6, 10
2020/1/4, 105, 51, 26, 40, 6, 10
2020/1/5, 101, 44, 10, 41, 5, 9
2020/1/6, 92, 16, 17, 28, 4, 6
2020/1/7, 42, 26, 26, 17, 4, 7
2020/1/8, 89, 47, 29, 21, 5, 7
2020/1/9, 98, 60, 24, 35, 5, 9
2020/1/10, 128, 55, 33, 34, 6, 10
2020/1/11, 115, 43, 34, 18, 5, 7
2020/1/12, 87, 31, 29, 24, 4, 6
2020/1/13, 54, 40, 25, 35, 6, 7
2020/1/14, 73, 47, 25, 34, 6, 9
2020/1/15, 83, 48, 27, 34, 6, 8
2020/1/16, 87, 57, 26, 38, 6, 10
2020/1/17, 105, 63, 29, 39, 7, 8
2020/1/18, 119, 57, 32, 37, 5, 10
2020/1/19, 122, 53, 31, 29, 5, 7
2020/1/20, 96, 52, 22, 35, 6, 5
2020/1/21, 77, 52, 13, 43, 6, 8
2020/1/22, 97, 58, 38, 36, 6, 8
2020/1/23, 111, 61, 30, 28, 5, 9
2020/1/24, 130, 49, 26, 30, 5, 9
2020/1/25, 109, 35, 31, 23, 4, 7
2020/1/26, 71, 14, 33, 14, 4, 4
2020/1/27, 9, 25, 29, 19, 4, 3
2020/1/28, 19, 23, 27, 28, 4, 5
2020/1/29, 34, 32, 30, 31, 5, 6
2020/1/30, 45, 38, 26, 33, 5, 6
2020/1/31, 76, 60, 36, 37, 6, 10
2019/10/1, 144, 34, 16, 24, 4, 5
2019/10/2, 84, 15, 31, 18, 3, 3
2019/10/3, 23, 42, 45, 28, 6, 5
2019/10/4, 81, 41, 34, 15, 4, 4
2019/10/5, 66, 18, 33, 21, 3, 3
2019/10/6, 32, 15, 20, 24, 4, 3
2019/10/7, 29, 27, 34, 23, 4, 4
2019/10/8, 44, 30, 36, 27, 4, 4
2019/10/9, 49, 40, 27, 34, 4, 5
2019/10/10, 62, 45, 49, 29, 5, 5
2019/10/11, 76, 31, 37, 19, 3, 3
2019/10/12, 53, 28, 39, 22, 3, 4
2019/10/13, 51, 42, 34, 23, 4, 4
2019/10/14, 65, 34, 31, 28, 4, 4
