date, pm25, pm10, o3, no2, so2, co
2020/4/1, 105, 39, 40, 43, 4, 6
2020/4/2, 82, 50, 47, 43, 5, 7
2020/4/3, 108, 64, 39, 29, 3, 6
2020/4/4, 105, 46, 44, 26, 4, 6
2020/4/5, 75, 51, 46, 37, 4, 6
2020/4/6, 81, 60, 62, 44, 5, 6
2020/4/7, 107, 48, 39, 31, 4, 4
2020/4/8, 67, 50, 41, 40, 5, 6
2020/4/9, 83, 46, 43, 42, 3, 6
2020/4/10, 88, 42, 49, 38, 4, 6
2020/4/11, 87, 31, 44, 27, 2, 4
2020/4/12, 69, 26, 40, 33, 3, 4
2020/4/13, 55, 50, 61, 48, 4, 5
2020/4/14, 91, 60, 84, 60, 4, 6
2020/4/15, 118, 55, 73, 58, 4, 6
2020/4/16, 102, 42, 35, 44, 4, 5
2020/4/17, 75, 35, 40, 32, 3, 5
2020/4/18, 67, 30, 36, 34, 2, 5
2020/4/19, 65, 20, 38, 32, 3, 4
2020/4/20, 40, 39, 36, 27, 4, 4
2020/4/21, 45, 64, 32, 22, 3, 4
2020/4/22, 46, 47, 37, 25, 3, 4
2020/4/23, 56, 46, 48, 35, 6, 5
2020/4/24, 61, 55, 72, 30, 6, 5
2020/4/25, 79, 40, 43, 29, 4, 5
2020/4/26, 64, 40, 42, 40, 4, 6
2020/4/27, 69, 40, 58, 45, 4, 6
2020/4/28, 67, 50, 77, 45, 4, 6
2020/4/29, 96, 43, 66, 55, 4, 7
2020/4/30, 78, , , , , 
2020/3/1, 120, 45, 31, 34, 4, 8
2020/3/2, 99, 47, 29, 45, 4, 8
2020/3/3, 97, 47, 37, 32, 3, 7
2020/3/4, 94, 43, 32, 40, 6, 8
2020/3/5, 97, 44, 20, 56, 6, 8
2020/3/6, 97, 55, 29, 67, 8, 10
2020/3/7, 129, 55, 43, 58, 6, 10
2020/3/8, 141, 59, 37, 71, 6, 9
2020/3/9, 141, 41, 29, 43, 3, 7
2020/3/10, 100, 42, 26, 31, 3, 5
2020/3/11, 62, 35, 30, 37, 5, 6
2020/3/12, 47, 37, 29, 32, 4, 5
2020/3/13, 57, 43, 37, 31, 4, 5
2020/3/14, 81, 49, 33, 25, 3, 5
2020/3/15, 84, 32, 31, 33, 5, 5
2020/3/16, 63, 45, 32, 41, 4, 6
2020/3/17, 82, 56, 39, 57, 6, 8
2020/3/18, 117, 55, 53, 38, 3, 6
2020/3/19, 89, 44, 32, 31, 5, 6
2020/3/20, 53, 51, 51, 39, 3, 6
2020/3/21, 67, 46, 39, 20, 3, 4
2020/3/22, 67, 48, 42, 46, 4, 6
2020/3/23, 88, 58, 42, 57, 4, 7
2020/3/24, 123, 53, 51, 60, 6, 7
2020/3/25, 106, 51, 52, 58, 4, 7
2020/3/26, 108, 45, 34, 34, 2, 6
2020/3/27, 73, 35, 33, 24, 4, 4
2020/3/28, 39, 45, 39, 34, 5, 6
2020/3/29, 71, 51, 38, 56, 6, 5
2020/3/30, 97, 51, 36, 64, 6, 7
2020/3/31, 95, 64, 46, 44, 5, 6
2020/2/1, 146, 65, 29, 48, 6, 15
2020/2/2, 144, 34, 30, 35, 5, 11
2020/2/3, 68, 38, 25, 41, 7, 9
2020/2/4, 76, 31, 25, 27, 5, 6
2020/2/5, 58, 45, 20, 40, 7, 8
2020/2/6, 82, 46, 18, 52, 8, 10
2020/2/7, 97, 44, 31, 32, 5, 9
2020/2/8, 92, 40, 32, 41, 7, 10
2020/2/9, 89, 51, 25, 58, 7, 12
2020/2/10, 110, 57, 20, 74, 9, 12
2020/2/11, 112, 49, 12, 64, 10, 12
2020/2/12, 107, 59, 20, 49, 4, 10
2020/2/13, 138, 74, 19, 58, 7, 13
2020/2/14, 162, 63, 36, 57, 5, 12
2020/2/15, 146, 50, 26, 25, 2, 8
2020/2/16, 64, 56, 26, 27, 4, 6
2020/2/17, 68, 30, 24, 39, 7, 9
2020/2/18, 75, 36, 19, 54, 8, 10
2020/2/19, 89, 55, 10, 67, 8, 12
2020/2/20, 140, 56, 29, 63, 6, 11
2020/2/21, 133, 61, 35, 30, 4, 8
2020/2/22, 109, 32, 33, 35, 6, 8
2020/2/23, 64, 41, 27, 53, 7, 9
2020/2/24, 77, 25, 35, 48, 4, 7
2020/2/25, 52, 28, 27, 44, 4, 8
2020/2/26, 49, 25, 28, 46, 5, 7
2020/2/27, 50, 34, 11, 46, 4, 8
2020/2/28, 78, 28, 24, 38, 4, 8
2020/2/29, 65, 49, 26, 37, 4, 9
2020/1/1, 82, 56, 3, 49, 7, 11
2020/1/2, 131, 67, 9, 68, 8, 14
2020/1/3, 151, 57, 19, 64, 8, 13
2020/1/4, 123, 53, 19, 60, 10, 13
2020/1/5, 111, 46, 17, 54, 7, 11
2020/1/6, 104, 15, 14, 45, 4, 9
2020/1/7, 42, 27, 20, 26, 3, 8
2020/1/8, 57, 50, 24, 35, 6, 10
2020/1/9, 120, 58, 7, 52, 7, 11
2020/1/10, 137, 57, 18, 54, 8, 12
2020/1/11, 132, 49, 26, 40, 8, 10
2020/1/12, 119, 33, 22, 40, 7, 8
2020/1/13, 63, 43, 10, 54, 9, 11
2020/1/14, 79, 47, 15, 55, 9, 12
2020/1/15, 88, 52, 13, 56, 9, 12
2020/1/16, 96, 58, 7, 64, 9, 12
2020/1/17, 120, 62, 17, 67, 9, 14
2020/1/18, 125, 57, 29, 49, 6, 13
2020/1/19, 127, 60, 24, 46, 7, 10
2020/1/20, 109, 44, 18, 47, 8, 10
2020/1/21, 75, 55, 10, 60, 6, 11
2020/1/22, 103, 61, 24, 63, 7, 13
2020/1/23, 124, 65, 25, 49, 6, 13
2020/1/24, 149, 53, 20, 51, 7, 12
2020/1/25, 124, 36, 31, 39, 6, 9
2020/1/26, 78, 14, 33, 16, 3, 5
2020/1/27, 19, 17, 27, 24, 4, 5
2020/1/28, 34, 20, 26, 28, 5, 7
2020/1/29, 38, 28, 28, 40, 6, 8
2020/1/30, 47, 27, 25, 32, 5, 8
2020/1/31, 57, 64, 31, 51, 6, 13
2019/10/1, 117, 30, 14, 27, 4, 8
2019/10/2, 63, 16, 27, 27, 3, 6
2019/10/3, 27, 34, 30, 44, 3, 7
2019/10/4, 74, 46, 29, 43, 3, 7
2019/10/5, 88, 20, 33, 26, 4, 5
2019/10/6, 40, 17, 19, 29, 4, 6
2019/10/7, 41, 30, 25, 38, 4, 7
2019/10/8, 52, 34, 20, 42, 6, 8
2019/10/9, 61, 37, 14, 44, 5, 9
2019/10/10, 67, 43, 39, 40, 4, 9
2019/10/11, 80, 31, 36, 30, 3, 6
2019/10/12, 59, 34, 34, 33, 3, 8
2019/10/13, 56, 41, 27, 39, 4, 8
2019/10/14, 70, 49, 28, 40, 5, 7
2019/10/15, 58, 37, 23, 47, 5, 8
2019/10/16, 68, 41, 30, 49, 4, 8
2019/10/17, 76, 32, 30, 39, 4, 7
2019/10/18, 58, 35, 31, 47, 4, 8
2019/10/19, 63, 40, 36, 40, 4, 8
2019/10/20, 76, 48, 27, 56, 5, 9
2019/10/21, 90, 46, 40, 53, 4, 9
2019/10/22, 89, 36, 30, 44, 4, 8
2019/10/23, 68, 34, 40, 40, 5, 7
2019/10/24, 69, 39, 26, 46, 5, 7
2019/10/25, 66, 28, 25, 23, 4, 6
2019/10/26, 56, 25, 24, 24, 4, 6
2019/10/27, 50, 30, 26, 25, 4, 6
2019/10/28, 62, 70, 21, 26, 4, 6
2019/10/29, 56, 27, 20, 38, 5, 7
2019/10/30, 44, 62, 45, 47, 5, 8
2019/10/31, 88, 80, 28, 55, 5, 10
2019/11/1, 124, 69, 39, 63, 6, 10
2019/11/2, 128, 54, 33, 47, 6, 10
2019/11/3, 115, 26, 25, 46, 5, 7
2019/11/4, 51, 44, 24, 58, 5, 8
2019/11/5, 83, 52, 27, 58, 4, 9
2019/11/6, 122, 53, 27, 50, 6, 6
2019/11/7, 92, 53, 17, 56, 8, 9
2019/11/8, 83, 51, 13, 46, 4, 4
2019/11/9, 94, 43, 25, 33, 4, 7
2019/11/10, 103, 30, 25, 30, 6, 3
2019/11/11, 67, 45, 8, 33, 5, 3
2019/11/12, 88, 44, 3, 31, 8, 4
2019/11/13, 121, 14, , , 4, 3
2019/11/14, 46, 31, 4, 44, 9, 8
2019/11/15, 70, 35, 6, 40, 5, 8
2019/11/16, 84, 29, 23, 43, 5, 8
2019/11/17, 60, 58, 28, 28, 3, 6
2019/11/18, 52, 37, 22, 30, 7, 7
2019/11/19, 57, 37, 17, 45, 8, 9
2019/11/20, 67, 47, 11, 55, 9, 11
2019/11/21, 86, 53, 19, 63, 7, 12
2019/11/22, 96, 46, 17, 57, 6, 12
2019/11/23, 85, 36, 20, 40, 6, 10
2019/11/24, 74, 23, 19, 20, 5, 5
2019/11/25, 49, 37, 16, 47, 6, 9
2019/11/26, 83, 43, 17, 40, 6, 9
2019/11/27, 90, 44, 10, 46, 8, 11
2019/11/28, 90, 53, 10, 57, 7, 10
2019/11/29, 99, 51, 11, 67, 9, 11
2019/11/30, 108, 48, 6, 49, 6, 10
2019/12/1, 127, 29, 22, 32, 6, 7
2019/12/2, 63, 34, 8, 47, 5, 9
2019/12/3, 70, 38, 17, 51, 6, 8
2019/12/4, 76, 31, 22, 33, 5, 7
2019/12/5, 55, 42, 16, 46, 8, 10
2019/12/6, 73, 47, 4, 55, 10, 12
2019/12/7, 108, 60, 8, 64, 10, 14
2019/12/8, 150, 61, 10, 60, 12, 13
2019/12/9, 155, 77, 21, 75, 7, 14
2019/12/10, 163, 66, 31, 57, 5, 9
2019/12/11, 141, 29, 17, 34, 6, 7
2019/12/12, 60, 35, 9, 52, 6, 9
2019/12/13, 74, 46, 17, 38, 6, 10
2019/12/14, 103, 46, 21, 51, 7, 12
2019/12/15, 93, 49, 14, 62, 7, 12
2019/12/16, 98, 34, 14, 41, 5, 10
2019/12/17, 74, 45, 15, 39, 6, 9
2019/12/18, 103, 36, 17, 46, 7, 8
2019/12/19, 68, 38, 16, 46, 6, 8
2019/12/20, 77, 42, 6, 50, 5, 10
2019/12/21, 88, 57, 23, 54, 7, 12
2019/12/22, 141, 51, 15, 55, 5, 11
2019/12/23, 135, 65, 16, 63, 7, 14
2019/12/24, 153, 55, 6, 58, 7, 13
2019/12/25, 122, 53, 19, 52, 6, 11
2019/12/26, 119, 42, 20, 48, 7, 9
2019/12/27, 84, 50, 16, 52, 5, 9
2019/12/28, 98, 49, 18, 46, 5, 10
2019/12/29, 100, , , , , 
2019/7/1, 92, 38, 76, 43, 4, 6
2019/7/2, 78, 41, 45, 51, 4, 6
2019/7/3, 82, 40, 72, 53, 4, 8
2019/7/4, 80, 39, 115, 58, 5, 7
2019/7/5, 77, 41, 75, 39, 4, 6
2019/7/6, 88, 24, 43, 23, 3, 5
2019/7/7, 58, 19, 36, 28, 3, 5
2019/7/8, 42, 17, 37, 32, 4, 5
2019/7/9, 40, 16, 30, 27, 3, 5
2019/7/10, 39, 14, 25, 31, 4, 5
2019/7/11, 31, 21, 43, 40, 5, 6
2019/7/12, 49, 35, 60, 35, 5, 7
2019/7/13, 80, 47, 95, 34, 5, 7
2019/7/14, 110, 50, 43, 47, 3, 8
2019/7/15, 103, 42, 55, 35, 3, 7
2019/7/16, 86, 70, 78, 47, 4, 9
2019/7/17, 128, 67, 92, 50, 5, 8
2019/7/18, 133, 42, 51, 41, 5, 8
2019/7/19, 83, 19, 16, 16, 4, 5
2019/7/20, 36, 24, 30, 17, 4, 6
2019/7/21, 45, 52, 72, 36, 4, 7
2019/7/22, 105, 38, 38, 30, 5, 7
2019/7/23, 76, 31, 15, 26, 5, 6
2019/7/24, 61, 34, 29, 31, 3, 7
2019/7/25, 61, 29, 26, 33, 3, 6
2019/7/26, 58, 30, 45, 28, 3, 7
2019/7/27, 56, 22, 25, 20, 3, 6
2019/7/28, 46, 22, 16, 22, 4, 5
2019/7/29, 51, 24, 19, 22, 4, 6
2019/7/30, 53, 26, 19, 24, 4, 6
2019/7/31, 48, 28, 23, 24, 4, 6
2019/8/1, 48, 38, 48, 32, 3, 6
2019/8/2, 69, 36, 60, 31, 4, 7
2019/8/3, 68, 38, 91, 38, 4, 8
2019/8/4, 80, 40, 76, 40, 4, 7
2019/8/5, 96, 31, 32, 26, 3, 6
2019/8/6, 77, 32, 32, 35, 4, 6
2019/8/7, 61, 51, 47, 34, 4, 6
2019/8/8, 105, 38, 55, 31, 5, 6
2019/8/9, 74, 56, 45, 39, 4, 9
2019/8/10, 74, 24, 30, 20, 4, 10
2019/8/11, 61, 32, 20, 20, 4, 9
2019/8/12, 60, 35, 39, 28, 4, 6
2019/8/13, 66, 35, 29, 33, 4, 7
2019/8/14, 66, 17, 16, 18, 4, 6
2019/8/15, 31, 26, 42, 26, 3, 7
2019/8/16, 50, 37, 52, 23, 5, 27
2019/8/17, 70, 25, 68, 13, 5, 19
2019/8/18, 53, 30, 67, 29, 4, 14
2019/8/19, 58, 39, 69, 40, 3, 7
2019/8/20, 81, 42, 63, 37, 3, 8
2019/8/21, 94, 50, 65, 41, 5, 8
2019/8/22, 102, 42, 54, 39, 4, 8
2019/8/23, 84, 33, 35, 40, 4, 9
2019/8/24, 66, 29, 65, 31, 4, 8
2019/8/25, 63, 36, 73, 43, 3, 9
2019/8/26, 74, 39, 60, 44, 3, 9
2019/8/27, 80, 41, 60, 42, 4, 8
2019/8/28, 79, 36, 44, 37, 3, 8
2019/8/29, 75, 28, 37, 40, 4, 7
2019/8/30, 52, 25, 47, 53, 4, 7
2019/8/31, 53, 25, 51, 48, 3, 8
2019/9/1, 62, 38, 53, 70, 5, 8
2019/9/2, 69, 31, 31, 42, 3, 8
2019/9/3, 62, 20, 23, 45, 3, 8
2019/9/4, 38, 18, 13, 31, 3, 7
2019/9/5, 30, 30, 26, 27, 4, 8
