date, pm25, pm10, o3, no2, so2, co
2020/4/1, 89, 34, 36, 26, 2, 3
2020/4/2, 70, 49, 41, 26, 4, 4
2020/4/3, 99, 60, 34, 20, 2, 4
2020/4/4, 90, 39, 34, 18, 2, 3
2020/4/5, 61, 44, 41, 26, 3, 4
2020/4/6, 68, 54, 48, 28, 4, 4
2020/4/7, 86, 41, 35, 28, 1, 3
2020/4/8, 62, 43, 39, 24, 2, 3
2020/4/9, 75, 42, 42, 23, 3, 3
2020/4/10, 81, 38, 48, 19, 3, 4
2020/4/11, 86, 29, 42, 12, 1, 3
2020/4/12, 56, 21, 37, 15, 1, 2
2020/4/13, 43, 41, 53, 27, 4, 4
2020/4/14, 81, 58, 63, 40, 3, 4
2020/4/15, 110, 49, 61, 32, 3, 4
2020/4/16, 87, 36, 32, 16, 1, 4
2020/4/17, 65, 31, 40, 12, 1, 4
2020/4/18, 56, 26, 38, 12, 1, 3
2020/4/19, 54, 15, 37, 10, 1, 3
2020/4/20, 37, 29, 36, 12, 1, 2
2020/4/21, 38, 57, 29, 10, 1, 3
2020/4/22, 40, 42, 36, 14, 2, 3
2020/4/23, 43, 40, 45, 19, 3, 3
2020/4/24, 50, 50, 62, 11, 3, 4
2020/4/25, 65, 31, 41, 10, 3, 3
2020/4/26, 52, 33, 39, 19, 3, 4
2020/4/27, 62, 35, 48, 23, 3, 4
2020/4/28, 61, 45, 64, 18, 3, 5
2020/4/29, 86, 41, 62, 30, 3, 5
2020/4/30, 64, , , , , 
2020/3/1, 106, 40, 26, 22, 4, 5
2020/3/2, 93, 43, 6, 45, 3, 5
2020/3/3, 84, 41, 32, 16, 3, 5
2020/3/4, 95, 36, 25, 29, 2, 4
2020/3/5, 87, 38, 18, 47, 3, 4
2020/3/6, 87, 53, 24, 49, 4, 5
2020/3/7, 113, 56, 39, 39, 3, 5
2020/3/8, 132, 60, 31, 48, 3, 5
2020/3/9, 144, 38, 22, 28, 1, 5
2020/3/10, 97, 33, 26, 18, , 3
2020/3/11, 49, 32, 29, 22, 3, 3
