date, pm25, pm10, o3, no2, so2, co
2020/4/1, 73, 23, 46, 10, , 4
2020/4/2, 59, 32, 54, 11, 4, 4
2020/4/3, 66, 51, 58, 10, 4, 4
2020/4/4, 75, 25, 47, 8, 3, 3
2020/4/5, 45, 28, 51, 10, , 4
2020/4/6, 57, 64, 78, 12, 5, 5
2020/4/7, 92, 39, 51, 9, 3, 3
2020/4/8, 67, 30, 49, 8, 3, 3
2020/4/9, 63, 13, 40, 7, 2, 3
2020/4/10, 36, 19, 45, 10, 3, 4
2020/4/11, 48, 22, 44, 9, 2, 3
2020/4/12, 55, 14, 43, 9, 3, 4
2020/4/13, 34, 22, 50, 11, 3, 4
2020/4/14, 51, 43, 81, 13, 4, 5
2020/4/15, 80, 28, 42, 7, 2, 3
2020/4/16, 56, 16, 40, 8, 2, 3
2020/4/17, 42, 17, 40, 8, , 3
2020/4/18, 47, 14, 45, 8, 3, 3
2020/4/19, 46, 13, 47, 7, , 4
2020/4/20, 37, 27, 42, 6, 3, 3
2020/4/21, 39, 45, 36, 5, , 3
2020/4/22, 41, 44, 41, 6, 2, 3
2020/4/23, 51, 55, 49, 8, 4, 4
2020/4/24, 70, 63, 87, 12, 4, 5
2020/4/25, 96, 57, 46, 8, 3, 5
2020/4/26, 93, 25, 58, 8, 3, 3
2020/4/27, 55, 25, 60, 9, 4, 3
2020/4/28, 58, 39, 80, 12, , 4
2020/4/29, 71, 38, 80, 13, , 4
2020/4/30, 75, , , , , 
2020/3/1, 59, 39, 37, 8, , 14
2020/3/2, 88, 20, 22, 10, , 4
2020/3/3, 55, 31, 40, 5, 4, 3
2020/3/4, 69, 39, 41, 9, 4, 3
2020/3/5, 92, 30, 38, 15, 5, 4
2020/3/6, 74, 32, 30, 14, 5, 4
2020/3/7, 77, 32, 45, 8, 4, 4
2020/3/8, 80, 25, 39, 8, 4, 3
2020/3/9, 62, 16, 33, 8, 4, 3
2020/3/10, 56, 29, 33, 4, 4, 2
2020/3/11, 58, 32, 38, 9, 4, 2
2020/3/12, 53, 27, 38, 9, 5, 2
2020/3/13, 50, 30, 42, 5, 4, 3
2020/3/14, 49, 40, 38, 4, 4, 3
2020/3/15, 60, 18, 37, 7, , 3
2020/3/16, 47, 35, 47, 12, , 4
2020/3/17, 72, 46, 45, 17, 4, 6
2020/3/18, 89, 46, 40, 14, 4, 5
2020/3/19, 65, 33, 38, 8, , 4
2020/3/20, 32, 47, 65, 17, 4, 5
2020/3/21, 64, 48, 56, 10, 4, 4
2020/3/22, 82, 34, 54, 9, 3, 4
2020/3/23, 64, 27, 48, 8, , 4
2020/3/24, 62, 36, 61, 13, 4, 5
2020/3/25, 74, 35, 44, 13, 4, 4
2020/3/26, 77, 21, 36, 11, 4, 4
2020/3/27, 62, 30, 35, 8, 4, 4
2020/3/28, 45, 17, 36, 6, 3, 3
2020/3/29, 30, 21, 44, 7, 3, 3
2020/3/30, 42, 23, 47, 9, 4, 4
2020/3/31, 48, 37, 62, 12, 4, 4
2020/2/1, 124, 61, 37, 20, 5, 11
2020/2/2, 141, 40, 34, 17, 5, 8
2020/2/3, 93, 27, 29, 17, 5, 6
2020/2/4, 65, 20, 32, 11, 4, 5
2020/2/5, 50, 26, 22, 21, 5, 6
2020/2/6, 59, 38, 25, 24, 5, 7
2020/2/7, 84, 36, 34, 17, 5, 7
2020/2/8, 88, 33, 35, 17, 5, 7
2020/2/9, 78, 36, 38, 20, 5, 7
2020/2/10, 84, 41, 27, 23, 5, 7
2020/2/11, 86, 42, 11, 27, 5, 9
2020/2/12, 103, 26, 34, 19, 4, 8
2020/2/13, 70, 39, 30, 22, 6, 8
2020/2/14, 88, 37, 46, 16, 6, 8
2020/2/15, 82, 13, 32, 8, , 6
2020/2/16, 41, 18, 30, 8, , 5
2020/2/17, 54, 21, 31, 12, 5, 5
2020/2/18, 59, 22, 36, 17, 6, 6
2020/2/19, 60, 39, 27, 23, 5, 8
2020/2/20, 94, 43, 32, 17, 6, 7
2020/2/21, 100, 56, 38, 7, 4, 6
2020/2/22, 86, 23, 38, 5, , 5
2020/2/23, 50, 25, 35, 17, 5, 7
2020/2/24, 54, 13, 34, 9, 5, 5
2020/2/25, 43, 13, 33, 7, 3, 6
2020/2/26, 42, 10, 33, 4, 4, 5
2020/2/27, 24, 16, 19, 9, 4, 8
2020/2/28, 44, 23, 28, 10, , 8
2020/2/29, 68, 23, 38, 7, 5, 14
2020/1/1, 54, 42, 24, 8, 5, 9
2020/1/2, 98, 55, 27, 9, 4, 10
2020/1/3, 126, 46, 32, 9, 5, 10
2020/1/4, 105, 46, 25, 8, , 9
2020/1/5, 106, 40, 10, 8, 5, 10
2020/1/6, 97, 27, 7, 7, 7, 17
2020/1/7, 80, 11, 24, 8, 4, 8
2020/1/8, 35, 35, 34, 7, 4, 8
2020/1/9, 85, 49, 18, 18, 5, 10
