date, pm25, pm10, o3, no2, so2, co
2020/4/1, 102, 41, 44, 32, 4, 5
2020/4/2, 81, 49, 50, 34, 7, 6
2020/4/3, 102, 66, 43, 27, 5, 5
2020/4/4, 95, 39, 46, 18, 5, 4
2020/4/5, 64, 48, 46, 33, 5, 5
2020/4/6, 86, 64, 60, 30, 5, 5
2020/4/7, 100, 41, 38, 33, 6, 4
2020/4/8, 65, 39, 37, 28, 7, 4
2020/4/9, 74, 44, 46, 25, 6, 4
2020/4/10, 85, 39, 44, 21, 3, 3
2020/4/11, 84, 32, 42, 16, 3, 4
2020/4/12, 80, 21, 40, 17, 3, 3
2020/4/13, 47, 37, 54, 33, 5, 5
2020/4/14, 76, 57, 88, 35, 6, 6
2020/4/15, 128, 53, 64, 27, 5, 5
2020/4/16, 102, 35, 52, 19, 4, 4
2020/4/17, 62, 43, 47, 16, 4, 4
2020/4/18, 87, 26, 44, 15, 4, 4
2020/4/19, 61, 17, 47, 20, 3, 4
2020/4/20, 41, 32, 42, 21, 3, 3
2020/4/21, 45, 56, 36, 23, 3, 3
2020/4/22, 47, 52, 43, 24, 4, 4
2020/4/23, 52, 41, 59, 18, 5, 3
2020/4/24, 53, 54, 100, 18, 5, 5
2020/4/25, 83, 33, 51, 14, 5, 4
2020/4/26, 66, 31, 59, 29, 5, 5
2020/4/27, 64, 31, 65, 25, 5, 4
2020/4/28, 64, 46, 67, 26, 5, 4
2020/4/29, 90, 44, 85, 34, 4, 5
2020/4/30, 83, , , , , 
2020/3/1, 123, 44, 35, 28, 5, 7
2020/3/2, 102, 45, 22, 20, 5, 8
2020/3/3, 108, 41, 36, 27, 4, 6
2020/3/4, 87, 34, 33, 19, 5, 7
2020/3/5, 83, 39, 36, 34, 7, 9
2020/3/6, 97, 52, 24, 41, 8, 9
2020/3/7, 118, 50, 41, 34, 8, 8
2020/3/8, 122, 55, 34, 27, 7, 9
2020/3/9, 130, 41, 32, 24, 6, 5
2020/3/10, 109, 38, 30, 13, 5, 3
2020/3/11, 62, 40, 35, 20, 6, 3
2020/3/12, 70, 33, 28, 15, 6, 4
2020/3/13, 64, 35, 37, 13, 4, 3
2020/3/14, 66, 50, 31, 11, 5, 3
2020/3/15, 84, 28, 30, 16, 4, 3
2020/3/16, 64, 43, 35, 27, 4, 3
2020/3/17, 84, 53, 39, 35, 4, 6
2020/3/18, 117, 55, 53, 27, 6, 6
2020/3/19, 84, 46, 35, 24, 5, 4
2020/3/20, 54, 55, 78, 28, 5, 6
2020/3/21, 84, 52, 54, 19, 3, 5
2020/3/22, 98, 45, 48, 25, 5, 5
2020/3/23, 85, 56, 51, 33, 6, 6
2020/3/24, 123, 53, 68, 30, 6, 7
2020/3/25, 112, 49, 43, 29, 4, 6
2020/3/26, 104, 38, 35, 30, 4, 4
2020/3/27, 87, 35, 32, 20, 5, 3
2020/3/28, 52, 34, 41, 17, 4, 4
2020/3/29, 61, 40, 47, 31, 5, 4
2020/3/30, 87, 48, 53, 43, 7, 6
2020/3/31, 90, 57, 49, 37, 6, 5
2020/2/1, 133, 71, 40, 32, 5, 11
2020/2/2, 160, 40, 31, 35, 5, 6
2020/2/3, 93, 39, 32, 37, 4, 5
2020/2/4, 91, 24, 30, 30, 4, 5
2020/2/5, 59, 41, 22, 35, 4, 7
2020/2/6, 79, 49, 21, 44, 5, 7
2020/2/7, 106, 46, 33, 29, 4, 7
2020/2/8, 103, 39, 35, 29, 4, 7
2020/2/9, 92, 53, 30, 48, 5, 8
2020/2/10, 120, 61, 20, 51, 6, 9
2020/2/11, 134, 50, 17, 42, 8, 11
2020/2/12, 127, 41, 30, 40, 7, 8
2020/2/13, 104, 75, 25, 41, 5, 9
2020/2/14, 165, 65, 40, 34, 4, 9
2020/2/15, 145, 22, 29, 17, 2, 6
2020/2/16, 66, 27, 31, 29, 3, 5
2020/2/17, 65, 24, 28, 33, 4, 5
2020/2/18, 70, 41, 32, 42, 5, 8
2020/2/19, 99, 60, 32, 52, 6, 9
2020/2/20, 143, 61, 36, 46, 6, 9
2020/2/21, 138, 61, 37, 23, 3, 7
2020/2/22, 108, 29, 36, 21, 3, 5
2020/2/23, 65, 43, 29, 42, 5, 8
2020/2/24, 89, 27, 28, 32, 4, 7
2020/2/25, 74, 25, 30, 27, 5, 6
2020/2/26, 61, 40, 28, 31, 5, 6
2020/2/27, 92, 31, 21, 32, 5, 6
2020/2/28, 76, 34, 39, 23, 5, 6
2020/2/29, 87, 50, 30, 21, 5, 8
2020/1/1, 89, 58, 4, 36, 8, 9
2020/1/2, 143, 68, 12, 45, 9, 12
2020/1/3, 153, 63, 14, 45, 9, 11
2020/1/4, 149, 57, 23, 35, 8, 9
2020/1/5, 136, 55, 4, 36, 7, 9
2020/1/6, 141, 21, 11, 36, 7, 10
2020/1/7, 66, 26, 23, 25, 6, 7
2020/1/8, 75, 46, 28, 31, 6, 7
2020/1/9, 111, 60, 17, 46, 7, 9
2020/1/10, 148, 57, 25, 36, 7, 9
2020/1/11, 140, 38, 29, 21, 5, 6
2020/1/12, 92, 24, 26, 30, 5, 4
2020/1/13, 60, 38, 19, 37, 6, 6
2020/1/14, 86, 39, 20, 40, 6, 7
2020/1/15, 94, 49, 17, 42, 6, 7
2020/1/16, 110, 57, 13, 46, 6, 8
2020/1/17, 126, 56, 25, 45, 7, 9
2020/1/18, 124, 52, 33, 31, 6, 8
2020/1/19, 126, 54, 27, 42, 5, 8
2020/1/20, 125, 39, 26, 40, 7, 6
2020/1/21, 92, 57, 6, 40, 5, 9
2020/1/22, 127, 56, 24, 40, 4, 7
2020/1/23, 122, 72, 34, 38, 4, 10
2020/1/24, 159, 66, 24, 33, 5, 8
2020/1/25, 136, 37, 35, 20, 4, 6
2020/1/26, 100, 13, 36, 13, 6, 3
2020/1/27, 42, 19, 32, 23, 5, 5
2020/1/28, 55, 30, 30, 30, 3, 5
2020/1/29, 64, 29, 30, 33, 3, 5
2020/1/30, 66, 43, 30, 30, 3, 5
2020/1/31, 99, 57, 35, 33, 3, 8
2019/10/1, 124, 33, 24, 18, 4, 5
2019/10/2, 84, 15, 30, 21, 3, 4
2019/10/3, 53, 33, 30, 22, 3, 4
2019/10/4, 75, 47, 42, 16, 2, 6
2019/10/5, 103, 16, 33, 12, 2, 3
2019/10/6, 51, 14, 25, 19, 2, 4
2019/10/7, 55, 29, 33, 28, 3, 5
2019/10/8, 73, 30, 31, 27, 3, 5
2019/10/9, 71, 51, 25, 34, 3, 5
2019/10/10, 120, 51, 39, 29, 3, 4
2019/10/11, 112, 36, 44, 16, 2, 3
2019/10/12, 73, 26, 39, 18, 2, 3
2019/10/13, 54, 35, 34, 26, 3, 4
2019/10/14, 73, 33, 37, 24, 2, 4
2019/10/15, 62, 39, 41, 29, 3, 4
2019/10/16, 85, 48, 30, 31, 3, 5
2019/10/17, 108, 33, 30, 27, 4, 5
2019/10/18, 66, 29, 35, 25, 4, 4
2019/10/19, 71, 37, 43, 28, 4, 5
2019/10/20, 95, 44, 37, 32, 4, 5
2019/10/21, 99, 27, 35, 31, 4, 4
2019/10/22, 76, 30, 35, 27, 6, 5
2019/10/23, 81, 37, 41, 20, 5, 5
2019/10/24, 81, 36, 36, 28, 4, 5
2019/10/25, 70, 30, 33, 19, 4, 4
2019/10/26, 71, 37, 38, 26, 4, 5
2019/10/27, 88, 46, 37, 30, 6, 5
2019/10/28, 99, 54, 35, 23, 4, 4
2019/10/29, 77, 28, 31, 23, 6, 3
2019/10/30, 64, 44, 33, 24, 6, 3
2019/10/31, 86, 71, 48, 30, 5, 3
2019/11/1, 125, 63, 28, 33, 5, 5
2019/11/2, 135, 59, 53, 20, 5, 5
2019/11/3, 137, 23, 30, 25, 5, 5
2019/11/4, 51, 47, 32, 33, 8, 6
2019/11/5, 97, 54, 31, 39, 8, 7
2019/11/6, 118, 48, 42, 35, 7, 7
2019/11/7, 92, 49, 22, 40, 11, 6
2019/11/8, 89, 54, 21, 41, 13, 8
2019/11/9, 117, 52, 24, 33, 8, 7
2019/11/10, 130, 26, 32, 31, 3, 7
2019/11/11, 63, 45, 15, 38, 10, 8
2019/11/12, 92, 54, 4, 33, 7, 8
2019/11/13, 117, , , , 5, 3
2019/11/14, 63, 44, 29, 36, 6, 5
2019/11/15, 65, 42, 12, 27, 5, 6
2019/11/16, 91, 36, 15, 36, 4, 7
2019/11/17, 90, 58, 25, 26, 6, 4
2019/11/18, 66, 34, 21, 29, 4, 4
2019/11/19, 60, 38, 17, 38, 9, 5
2019/11/20, 76, 53, 9, 40, 11, 8
2019/11/21, 104, 54, 19, 43, 14, 12
2019/11/22, 102, 51, 16, 39, 11, 13
2019/11/23, 102, 41, 27, 27, 10, 12
2019/11/24, 98, 29, 23, 25, 5, 4
2019/11/25, 71, 43, 16, 32, 7, 5
2019/11/26, 91, 43, 21, 35, 7, 5
2019/11/27, 90, 49, 15, 37, 7, 6
2019/11/28, 109, 45, 18, 38, 7, 6
2019/11/29, 88, 57, 14, 41, 8, 7
2019/11/30, 123, 60, 8, 41, 10, 8
2019/12/1, 150, 29, 25, 32, 6, 4
2019/12/2, 71, 25, 16, 33, 6, 4
2019/12/3, 64, 35, 24, 33, 7, 5
2019/12/4, 84, 29, 25, 36, 6, 4
2019/12/5, 65, 32, 17, 34, 6, 5
2019/12/6, 73, 48, 9, 42, 8, 8
2019/12/7, 106, 57, 20, 37, 7, 8
2019/12/8, 138, 70, 5, 52, 10, 13
2019/12/9, 154, 74, 25, 62, 11, 13
2019/12/10, 156, 67, 25, 49, 10, 13
2019/12/11, 138, 23, 21, 29, 5, 5
2019/12/12, 61, 41, 10, 43, 7, 8
2019/12/13, 91, 40, 19, 34, 6, 7
2019/12/14, 93, 49, 19, 35, 7, 11
2019/12/15, 113, 54, 14, 45, 9, 12
2019/12/16, 113, 44, 12, 38, 7, 10
2019/12/17, 107, 40, 19, 32, 5, 6
2019/12/18, 99, 31, 20, 34, 5, 6
2019/12/19, 71, 37, 16, 36, 7, 7
2019/12/20, 88, 52, 15, 38, 6, 9
2019/12/21, 118, 58, 20, 36, 7, 11
2019/12/22, 143, 54, 20, 43, 7, 11
2019/12/23, 138, 66, 11, 39, 6, 12
2019/12/24, 157, 65, 11, 36, 6, 12
2019/12/25, 156, 54, 14, 37, 7, 9
2019/12/26, 139, 35, 26, 36, 6, 6
2019/12/27, 81, 47, 20, 39, 7, 8
2019/12/28, 98, 55, 13, 36, 6, 11
2019/12/29, 128, , , , , 
2019/7/1, 92, 35, 73, 29, 4, 4
2019/7/2, 80, 56, 87, 30, 4, 4
2019/7/3, 133, 49, 90, 26, 5, 4
2019/7/4, 111, 42, 93, 36, 5, 5
2019/7/5, 86, 37, 50, 28, 5, 4
2019/7/6, 80, 21, 44, 13, 3, 2
2019/7/7, 61, 17, 41, 13, 5, 2
2019/7/8, 49, 17, 37, 14, 7, 3
2019/7/9, 44, 22, 30, 12, 8, 3
2019/7/10, 49, 24, 19, 20, 3, 3
2019/7/11, 53, 29, 37, 21, 2, 3
2019/7/12, 58, 39, 54, 19, 3, 5
2019/7/13, 78, 52, 67, 15, 3, 5
2019/7/14, 116, 42, 42, 17, 4, 5
2019/7/15, 90, 37, 50, 19, 4, 5
2019/7/16, 72, 38, 47, 26, 8, 4
2019/7/17, 96, 27, 39, 18, 3, 3
2019/7/18, 68, 19, 22, 16, 3, 2
2019/7/19, 50, 11, 20, 9, 3, 2
2019/7/20, 33, 21, 29, 11, 4, 3
2019/7/21, 46, 39, 41, 17, 2, 3
2019/7/22, 94, 25, 29, 18, 2, 2
2019/7/23, 64, 23, 21, 16, 3, 3
2019/7/24, 54, 17, 26, 24, 4, 5
2019/7/25, 50, 25, 20, 24, 4, 4
2019/7/26, 71, 21, 44, 15, 5, 3
2019/7/27, 58, 15, 26, 12, 4, 3
2019/7/28, 47, 15, 28, 14, 5, 3
2019/7/29, 45, 17, 23, 15, 5, 3
2019/7/30, 50, 15, 18, 12, 4, 4
2019/7/31, 44, 16, 27, 16, 5, 3
2019/8/1, 45, 22, 53, 25, 2, 4
2019/8/2, 59, 30, 46, 26, 5, 4
2019/8/3, 78, 40, 62, 28, 5, 5
2019/8/4, 100, 50, 54, 30, 3, 4
2019/8/5, 125, 33, 44, 15, 6, 4
2019/8/6, 71, 26, 46, 20, 4, 3
2019/8/7, 64, 29, 30, 22, 4, 4
2019/8/8, 80, 23, 37, 23, 5, 2
2019/8/9, 58, 32, 34, 13, 6, 4
2019/8/10, 71, 25, 28, 7, 4, 3
2019/8/11, 59, 22, 21, 17, 3, 3
2019/8/12, 57, 24, 29, 22, 3, 3
2019/8/13, 57, 16, 22, 14, 5, 3
2019/8/14, 49, 15, 16, 12, 10, 4
2019/8/15, 35, 21, 37, 21, 4, 4
2019/8/16, 55, 37, 58, 14, 2, 5
2019/8/17, 83, 30, 60, 15, 5, 5
2019/8/18, 78, 39, 69, 25, 2, 6
2019/8/19, 85, 36, 41, 21, 3, 5
2019/8/20, 82, 32, 60, 22, 3, 4
2019/8/21, 69, 37, 53, 28, 3, 5
2019/8/22, 95, 41, 58, 28, 4, 7
2019/8/23, 90, 34, 43, 28, 4, 6
2019/8/24, 70, 28, 48, 28, 5, 5
2019/8/25, 70, 26, 46, 35, 4, 5
2019/8/26, 68, 21, 38, 30, 3, 4
2019/8/27, 56, 30, 58, 35, 4, 4
2019/8/28, 56, 28, 36, 28, 2, 5
