date, pm25, pm10, o3, no2, so2, co
2020/4/1, 104, 34, 45, 7, 3, 5
2020/4/2, 73, 38, 53, 10, 3, 5
2020/4/3, 91, 56, 53, 11, 3, 5
2020/4/4, 89, 32, 46, 5, 2, 5
2020/4/5, 59, 39, 49, 7, 3, 6
2020/4/6, 85, 63, 81, 11, 5, 6
2020/4/7, 106, 38, 45, 6, 3, 5
2020/4/8, 80, 32, 50, 8, 2, 5
2020/4/9, 75, 27, 41, 5, 1, 4
2020/4/10, 78, 35, 46, 9, 1, 5
2020/4/11, 89, 30, 41, 6, 2, 5
2020/4/12, 83, 14, 41, 4, 2, 4
2020/4/13, 54, 25, 48, 11, 2, 5
2020/4/14, 70, 38, 78, 9, 3, 5
2020/4/15, 83, 44, 47, 12, 2, 5
2020/4/16, 97, 24, 34, 7, 2, 4
2020/4/17, 65, 32, 43, 6, 1, 5
2020/4/18, 70, 20, 40, 6, 1, 5
2020/4/19, 61, 17, 51, 4, 1, 4
2020/4/20, 58, 29, 40, 2, 1, 4
2020/4/21, 53, 45, 37, 1, 2, 
2020/4/22, 55, 48, 42, 3, 2, 4
2020/4/23, 64, 34, 48, 2, , 4
2020/4/24, 60, 42, 86, 9, 4, 5
2020/4/25, 85, 34, 46, 5, 2, 5
2020/4/26, 72, 28, 52, 7, 2, 5
2020/4/27, 68, 27, 58, 10, 2, 5
2020/4/28, 69, 35, 77, 10, 3, 5
2020/4/29, 84, 32, 72, 9, 2, 5
2020/4/30, 81, , , , , 
2020/3/1, 81, 36, 44, 7, 3, 6
2020/3/2, 86, 32, 13, 17, , 7
2020/3/3, 66, 29, 45, 6, , 5
2020/3/4, 68, 34, 44, 7, 3, 6
2020/3/5, 82, 30, 34, 13, 5, 6
2020/3/6, 74, 36, 29, 17, 4, 5
2020/3/7, 82, 26, 41, 9, 3, 5
2020/3/8, 71, 36, 33, 15, 4, 5
2020/3/9, 80, 30, 39, 13, 2, 4
2020/3/10, 61, 30, 34, 4, 2, 3
2020/3/11, 58, 30, 37, 11, 2, 4
2020/3/12, 61, 25, 37, 10, 2, 4
2020/3/13, 54, 25, 43, 5, 3, 5
2020/3/14, 48, 38, 36, 5, 2, 4
2020/3/15, 68, 21, 37, 4, 1, 3
2020/3/16, 47, 42, 53, 12, 3, 5
2020/3/17, 81, 39, 43, 12, 2, 5
2020/3/18, 88, 43, 41, 16, 3, 5
2020/3/19, 72, 45, 39, 5, 2, 4
2020/3/20, 54, 49, 72, 12, 3, 6
2020/3/21, 80, 42, 64, 7, 3, 5
2020/3/22, 75, 35, 49, 8, 3, 5
2020/3/23, 64, 43, 42, 14, 4, 5
2020/3/24, 74, 39, 56, 14, 3, 5
2020/3/25, 101, 30, 36, 15, 3, 5
2020/3/26, 84, 29, 32, 12, , 5
2020/3/27, 82, 34, 33, 5, 2, 4
2020/3/28, 60, 27, 37, 7, 3, 5
2020/3/29, 66, 28, 44, 9, 3, 5
