date, pm25, pm10, o3, no2, so2, co
2020/4/1, 109, 43, 46, 18, 4, 5
2020/4/2, 70, 47, 48, 20, 5, 6
2020/4/3, 88, 67, 51, 17, 5, 7
2020/4/4, 91, 43, 46, 11, 4, 6
2020/4/5, 52, 50, 46, 22, 4, 6
2020/4/6, 85, 75, 73, 21, 5, 7
2020/4/7, 105, 47, 43, 12, 5, 5
2020/4/8, 74, 41, 47, 21, 5, 6
2020/4/9, 71, 37, 43, 15, 3, 6
2020/4/10, 70, 41, 42, 16, 4, 6
2020/4/11, 79, 32, 42, 10, 4, 6
2020/4/12, 71, 20, 39, 12, 4, 6
2020/4/13, 37, 34, 47, 23, 4, 7
2020/4/14, 65, 50, 80, 21, 4, 6
2020/4/15, 91, 49, 46, 14, 4, 5
2020/4/16, 80, 32, 36, 21, 4, 4
2020/4/17, 63, 36, 44, 12, 3, 5
2020/4/18, 71, 27, 43, 12, 3, 5
2020/4/19, 59, 20, 50, 12, 4, 5
2020/4/20, 45, 36, 41, 9, 4, 4
2020/4/21, 48, 59, 36, 7, 3, 3
2020/4/22, 43, 59, 43, 8, 4, 4
2020/4/23, 58, 45, 46, 13, 4, 3
2020/4/24, 49, 54, 87, 18, 5, 5
2020/4/25, 75, 43, 48, 10, 4, 4
2020/4/26, 72, 36, 52, 19, 4, 5
2020/4/27, 66, 37, 56, 24, 3, 5
2020/4/28, 71, 47, 80, 22, 4, 7
2020/4/29, 85, 50, 68, 24, 5, 6
2020/4/30, 89, , , , , 
2020/3/1, 79, 51, 40, 16, 4, 7
2020/3/2, 94, 51, 15, 30, 5, 6
2020/3/3, 92, 30, 37, 13, 4, 5
2020/3/4, 70, 41, 38, 18, 5, 4
2020/3/5, 86, 44, 35, 33, 5, 5
2020/3/6, 87, 50, 30, 30, 6, 6
2020/3/7, 99, 44, 44, 17, 5, 5
2020/3/8, 84, 40, 34, 27, 4, 6
2020/3/9, 91, 31, 38, 20, 5, 5
2020/3/10, 82, 34, 32, 13, 4, 4
2020/3/11, 60, 38, 36, 25, 9, 5
2020/3/12, 68, 36, 37, 22, 6, 4
2020/3/13, 69, 32, 42, 9, 6, 4
2020/3/14, 55, 45, 40, 11, 8, 5
2020/3/15, 72, 28, 38, 13, 6, 4
2020/3/16, 54, 53, 52, 20, 6, 5
2020/3/17, 100, 56, 48, 26, 6, 5
2020/3/18, 106, 57, 51, 16, 5, 5
2020/3/19, 80, 55, 38, 13, 4, 4
2020/3/20, 44, 57, 63, 23, 5, 6
2020/3/21, 81, 50, 52, 12, 3, 3
2020/3/22, 83, 45, 53, 18, 5, 4
2020/3/23, 73, 41, 51, 19, 5, 5
2020/3/24, 78, 44, 63, 19, 5, 5
2020/3/25, 84, 34, 38, 22, 5, 5
2020/3/26, 76, 34, 36, 18, 4, 6
2020/3/27, 84, 41, 36, 12, 4, 5
2020/3/28, 56, 31, 39, 10, 4, 5
2020/3/29, 49, 33, 44, 15, 3, 4
2020/3/30, 61, 39, 50, 20, 4, 6
2020/3/31, 72, 56, 64, 21, 6, 7
2020/2/1, 126, 76, 42, 23, 5, 10
2020/2/2, 139, 48, 34, 19, 6, 7
2020/2/3, 85, 43, 29, 23, 6, 6
2020/2/4, 73, 31, 30, 13, 6, 6
2020/2/5, 54, 35, 24, 24, 6, 6
2020/2/6, 61, 51, 28, 26, 7, 7
2020/2/7, 88, 50, 36, 19, 7, 6
2020/2/8, 92, 43, 41, 14, 6, 6
2020/2/9, 73, 50, 55, 26, 7, 7
2020/2/10, 93, 64, 104, 35, 8, 8
2020/2/11, 108, 58, 116, 32, 6, 9
2020/2/12, 115, 34, 32, 24, 6, 9
2020/2/13, 73, 50, 34, 26, 6, 8
2020/2/14, 92, 60, 35, 32, 6, 10
2020/2/15, 116, 20, 29, 9, 4, 7
2020/2/16, 47, 25, 30, 7, 5, 4
2020/2/17, 50, 32, 31, 16, 5, 5
2020/2/18, 64, 44, 39, 23, 7, 7
2020/2/19, 72, 58, 38, 30, 6, 7
2020/2/20, 104, 62, 43, 30, 7, 6
2020/2/21, 102, 59, 37, 12, 3, 5
2020/2/22, 74, 35, 36, 13, 5, 5
2020/2/23, 57, 45, 28, 30, 8, 6
2020/2/24, 75, 25, 30, 25, 6, 5
2020/2/25, 56, 20, 34, 21, 5, 5
2020/2/26, 43, 18, 32, 13, 4, 5
2020/2/27, 33, 26, 25, 22, 7, 6
2020/2/28, 54, 33, 31, 18, 6, 5
2020/2/29, 68, 40, 38, 16, 5, 6
2020/1/1, 67, 60, 32, 27, 6, 8
2020/1/2, 111, 68, 33, 33, 7, 9
2020/1/3, 130, 59, 34, 30, 7, 9
2020/1/4, 114, 60, 38, 31, 7, 9
2020/1/5, 111, 55, 32, 29, 5, 7
2020/1/6, 100, 36, 55, 32, 6, 10
2020/1/7, 72, 20, 94, 15, 4, 8
2020/1/8, 42, 47, 30, 19, 4, 7
2020/1/9, 84, 57, 28, 30, 6, 8
2020/1/10, 108, 60, 41, 26, 6, 8
2020/1/11, 115, 46, 36, 13, 5, 7
2020/1/12, 93, 27, 34, 14, 3, 5
2020/1/13, 56, 39, 33, 23, 4, 6
2020/1/14, 69, 50, 34, 24, 6, 7
2020/1/15, 94, 45, 32, 27, 6, 7
2020/1/16, 82, 54, 29, 35, 4, 6
2020/1/17, 94, 53, 40, 32, 5, 7
2020/1/18, 97, 60, 62, 25, 6, 9
2020/1/19, 112, 59, 49, 16, 3, 8
2020/1/20, 97, 44, 44, 28, 5, 6
2020/1/21, 73, 47, 29, 33, 5, 7
2020/1/22, 85, 46, 29, 25, 5, 8
2020/1/23, 87, 56, 35, 21, 4, 9
2020/1/24, 102, 36, 71, 22, 3, 9
2020/1/25, 64, 32, 75, 13, 4, 7
2020/1/26, 55, 11, 66, 10, 4, 5
2020/1/27, 18, 16, 46, 17, 4, 5
2020/1/28, 33, 23, 47, 19, 3, 6
2020/1/29, 49, 23, 49, 16, 3, 5
2020/1/30, 48, 28, 38, 20, 5, 5
2020/1/31, 60, 67, 38, 23, 6, 9
2019/10/1, 82, 21, 28, 15, 3, 4
2019/10/2, 29, 16, 36, 10, 3, 3
2019/10/3, 15, 30, 38, 16, 4, 5
2019/10/4, 42, 44, 42, 9, 3, 6
2019/10/5, 64, 19, 31, 7, 3, 3
2019/10/6, 12, 17, 19, 7, 3, 2
2019/10/7, 17, 35, 44, 16, 3, 5
2019/10/8, 39, 36, 32, 19, 3, 4
2019/10/9, 33, 31, 33, 19, 4, 4
2019/10/10, 48, 29, 37, 19, 3, 5
2019/10/11, 52, 34, 35, 14, 4, 4
2019/10/12, 48, 26, 31, 11, 2, 4
2019/10/13, 40, 28, 37, 15, 4, 5
2019/10/14, 53, 27, 30, 15, 4, 4
2019/10/15, 39, 32, 32, 19, 4, 5
2019/10/16, 46, 32, 29, 19, 3, 4
2019/10/17, 57, 32, 25, 20, 3, 4
2019/10/18, 53, 22, 33, 17, 3, 4
2019/10/19, 36, 33, 38, 12, 3, 4
2019/10/20, 49, 34, 31, 16, 3, 4
2019/10/21, 54, 30, 34, 18, 4, 4
2019/10/22, 49, 35, 33, 20, 4, 5
2019/10/23, 54, 34, 36, 15, 3, 6
2019/10/24, 51, 27, 41, 21, 3, 5
2019/10/25, 47, 41, 43, 14, 3, 6
2019/10/26, 64, 34, 44, 15, 4, 5
2019/10/27, 58, 46, 46, 26, 5, 7
2019/10/28, 75, 82, 40, 25, 4, 6
2019/10/29, 88, 39, 37, 23, 4, 6
2019/10/30, 56, 45, 44, 27, 4, 7
2019/10/31, 76, 83, 53, 34, 5, 8
2019/11/1, 112, 72, 36, 28, 4, 8
2019/11/2, 107, 58, 50, 16, 4, 7
2019/11/3, 95, 26, 33, 18, 3, 5
2019/11/4, 43, 43, 36, 26, 4, 7
2019/11/5, 71, 54, 35, 29, 4, 8
2019/11/6, 83, 47, 39, 23, 5, 7
2019/11/7, 73, 55, 36, 27, 5, 9
2019/11/8, 75, 52, 34, 28, 5, 8
2019/11/9, 81, 53, 37, 25, 5, 9
2019/11/10, 84, 26, 42, 23, 4, 8
2019/11/11, 55, 42, 31, 25, 4, 8
2019/11/12, 68, 49, 9, 25, 4, 10
2019/11/13, 83, , , , 4, 10
2019/11/14, 53, 52, 27, 30, 6, 6
2019/11/15, 70, 53, 26, 25, 5, 7
2019/11/16, 81, 57, 17, 23, 3, 8
2019/11/17, 109, 58, 38, 13, 3, 5
2019/11/18, 67, 34, 28, 12, 4, 2
2019/11/19, 49, 33, 28, 23, 5, 4
2019/11/20, 55, 40, 23, 27, 5, 5
2019/11/21, 68, 48, 25, 30, 5, 6
2019/11/22, 76, 42, 28, 26, 5, 7
2019/11/23, 75, 46, 33, 24, 4, 7
2019/11/24, 82, 26, 33, 15, 4, 4
2019/11/25, 54, 21, 32, 21, 4, 5
2019/11/26, 44, 42, 29, 23, 4, 6
2019/11/27, 73, 44, 26, 25, 5, 6
2019/11/28, 77, 35, 31, 24, 4, 5
2019/11/29, 68, 47, 23, 30, 5, 6
2019/11/30, 81, 48, 27, 27, 6, 6
2019/12/1, 90, 30, 30, 16, 6, 4
2019/12/2, 64, 26, 28, 21, 4, 4
2019/12/3, 49, 38, 35, 25, 4, 5
2019/12/4, 60, 36, 31, 21, 6, 4
2019/12/5, 64, 30, 27, 22, 7, 4
2019/12/6, 57, 44, 30, 27, 8, 6
2019/12/7, 77, 59, 32, 28, 7, 7
2019/12/8, 114, 71, 21, 36, 11, 8
2019/12/9, 124, 73, 24, 41, 8, 10
2019/12/10, 142, 75, 43, 30, 9, 10
2019/12/11, 141, 26, 28, 18, 5, 4
2019/12/12, 49, 44, 21, 31, 7, 6
2019/12/13, 74, 46, 56, 28, 7, 7
2019/12/14, 82, 52, 102, 28, 6, 8
2019/12/15, 88, 56, 27, 34, 5, 9
2019/12/16, 97, 55, 25, 31, 7, 9
2019/12/17, 103, 43, 30, 19, 5, 6
2019/12/18, 86, 35, 28, 21, 8, 5
2019/12/19, 65, 37, 24, 25, 7, 6
2019/12/20, 71, 52, 20, 29, 7, 7
2019/12/21, 94, 59, 19, 30, 7, 7
2019/12/22, 116, 64, 25, 32, 8, 10
2019/12/23, 123, 68, 26, 35, 8, 10
2019/12/24, 130, 64, 21, 34, 9, 9
2019/12/25, 123, 47, 22, 27, 8, 8
2019/12/26, 91, 39, 30, 19, 5, 6
2019/12/27, 70, 50, 31, 31, 6, 7
2019/12/28, 82, 55, 21, 27, 5, 8
2019/12/29, 98, , , , , 
2019/7/1, 102, 35, 57, 16, 4, 4
2019/7/2, 70, 45, 58, 19, 4, 4
2019/7/3, 77, 47, 70, 18, 4, 4
2019/7/4, 88, 54, 97, 21, 4, 4
2019/7/5, 103, 38, 49, 12, 3, 5
2019/7/6, 75, 31, 46, 8, 3, 4
2019/7/7, 60, 23, 39, 11, 3, 3
2019/7/8, 48, 25, 35, 12, 3, 3
2019/7/9, 54, 21, 29, 11, 3, 3
2019/7/10, 43, 12, 34, 9, 3, 4
2019/7/11, 17, 22, 46, 10, 3, 4
2019/7/12, 38, 44, 64, 14, 3, 4
2019/7/13, 71, 48, 60, 10, 4, 5
2019/7/14, 90, 47, 41, 15, 4, 5
2019/7/15, 95, 49, 65, 14, 4, 4
2019/7/16, 80, 48, 60, 14, 4, 5
2019/7/17, 80, 40, 43, 13, 4, 3
2019/7/18, 77, 36, 17, 14, 4, 3
2019/7/19, 66, 17, 16, 10, 4, 3
2019/7/20, 31, 19, 33, 8, 4, 4
2019/7/21, 40, 44, 44, 11, 4, 3
2019/7/22, 84, 39, 33, 13, 4, 4
2019/7/23, 72, 38, 30, 10, 4, 2
2019/7/24, 78, 45, 67, 12, 3, 5
2019/7/25, 102, 43, 104, 9, 3, 3
2019/7/26, 97, 40, 44, 9, 3, 4
2019/7/27, 94, 33, 41, 6, 3, 3
2019/7/28, 77, 32, 34, 8, 4, 3
2019/7/29, 60, 30, 36, 8, 4, 3
2019/7/30, 46, 26, 34, 8, 3, 3
2019/7/31, 41, 27, 33, 9, 4, 3
2019/8/1, 46, 34, 41, 11, 3, 4
2019/8/2, 47, 45, 62, 11, 4, 5
2019/8/3, 73, 49, 55, 11, 4, 4
2019/8/4, 79, 52, 54, 11, 4, 4
2019/8/5, 81, 33, 28, 9, 3, 3
2019/8/6, 48, 32, 44, 9, 3, 4
2019/8/7, 46, 41, 42, 13, 4, 4
2019/8/8, 64, 27, 36, 10, 3, 3
2019/8/9, 34, 38, 44, 11, 5, 4
2019/8/10, 54, 30, 31, 9, 4, 4
2019/8/11, 45, 31, 27, 9, 5, 3
2019/8/12, 47, 36, 42, 13, 4, 4
2019/8/13, 38, 30, 22, 9, 4, 6
2019/8/14, 31, 17, 20, 10, 4, 3
2019/8/15, 18, 18, 37, 11, 4, 4
2019/8/16, 23, 41, 52, 13, 4, 5
2019/8/17, 57, 37, 53, 9, 4, 5
2019/8/18, 55, 48, 75, 13, 4, 6
2019/8/19, 73, 39, 42, 11, 3, 5
2019/8/20, 54, 38, 47, 15, 3, 5
2019/8/21, 52, 24, 34, 16, 3, 4
2019/8/22, 36, 46, 51, 16, 4, 5
2019/8/23, 64, 48, 45, 17, 4, 6
2019/8/24, 63, 42, 48, 11, 3, 5
2019/8/25, 48, 38, 69, 16, 3, 5
2019/8/26, 51, 35, 39, 14, 4, 5
2019/8/27, 59, 31, 34, 18, 4, 5
2019/8/28, 50, 41, 31, 18, 3, 6
2019/8/29, 56, 39, 40, 15, 3, 5
2019/8/30, 45, 35, 48, 16, 3, 4
2019/8/31, 40, 40, 49, 12, 4, 4
2019/9/1, 56, 36, 33, 18, 3, 4
2019/9/2, 59, 29, 24, 19, 3, 5
2019/9/3, 37, 29, 18, 17, 4, 4
2019/9/4, 41, 37, 28, 14, 4, 4
2019/9/5, 49, 39, 31, 13, 4, 4
2019/9/6, 57, 22, 30, 6, 4, 3
2019/9/7, 23, 29, 37, 10, 4, 3
2019/9/8, 37, 23, 31, 11, 3, 3
2019/9/9, 29, 44, 56, 16, 4, 4
2019/9/10, 60, 47, 44, 13, 4, 4
2019/9/11, 64, 24, 36, 8, 3, 3
2019/9/12, 17, 29, 31, 8, 3, 3
2019/9/13, 20, 31, 33, 10, 3, 3
2019/9/14, 24, 28, 37, 9, 3, 3
2019/9/15, 38, 26, 36, 10, 3, 3
2019/9/16, 19, 27, 40, 15, 3, 2
2019/9/17, 27, 34, 57, 17, 4, 3
2019/9/18, 37, 39, 40, 18, 4, 3
2019/9/19, 42, 28, 26, 16, 4, 4
2019/9/20, 29, 22, 35, 13, 3, 2
2019/9/21, 25, 12, 45, 5, 3, 2
2019/9/22, 18, 15, 38, 12, 4, 3
2019/9/23, 15, 25, 39, 16, 3, 2
2019/9/24, 34, 38, 33, 17, 3, 3
2019/9/25, 55, 30, 30, 13, 3, 4
2019/9/26, 34, 40, 44, 16, 4, 5
2019/9/27, 53, 37, 38, 15, 4, 5
2019/9/28, 64, 39, 47, 12, 3, 4
2019/9/29, 63, 46, 59, 16, 4, 4
2019/9/30, 69, 49, 23, 21, 3, 5
2019/4/1, 40, 43, 52, 26, 6, 4
2019/4/2, 62, 49, 58, 19, 5, 4
2019/4/3, 60, 50, 74, 22, 5, 4
2019/4/4, 64, 79, 68, 25, 5, 5
2019/4/5, 96, 71, 47, 23, 5, 5
2019/4/6, 54, 74, 83, 18, 6, 6
2019/4/7, 109, 67, 65, 20, 5, 5
2019/4/8, 86, 33, 45, 15, 4, 4
2019/4/9, 38, 10, 45, 19, 4, 5
2019/4/10, 15, 24, 41, 35, 4, 4
2019/4/11, 43, 45, 53, 34, 4, 4
2019/4/12, 69, 54, 66, 32, 5, 5
2019/4/13, 88, 47, 62, 27, 4, 5
2019/4/14, 69, 60, 60, 45, 4, 5
2019/4/15, 58, 53, 51, 49, 4, 4
2019/4/16, 57, 56, 48, 36, 6, 4
2019/4/17, 58, 55, 78, 23, 5, 5
2019/4/18, 70, 56, 57, 19, 3, 5
2019/4/19, 68, 54, 87, 17, 4, 4
2019/4/20, 67, 52, 78, 12, 4, 4
2019/4/21, 73, 62, 80, 18, 5, 4
2019/4/22, 89, 56, 52, 25, 4, 4
2019/4/23, 77, 26, 43, 19, 4, 2
2019/4/24, 52, 54, 48, 18, 3, 4
2019/4/25, 66, 12, 44, 14, 3, 3
2019/4/26, 18, 22, 47, 11, 3, 3
2019/4/27, 27, 36, 47, 13, 3, 4
2019/4/28, 47, 35, 26, 23, 3, 5
2019/4/29, 64, 30, 40, 21, 3, 5
2019/4/30, 62, 68, 79, 17, 5, 8
2019/5/1, 79, 84, 70, 18, 5, 5
2019/5/2, 72, 53, 80, 26, 4, 5
2019/5/3, 57, 64, 111, 25, 5, 7
2019/5/4, 88, 67, 103, 16, 6, 6
2019/5/5, 95, 56, 84, 12, 4, 4
2019/5/6, 60, 43, 68, 15, 3, 4
2019/5/7, 43, 58, 76, 25, 4, 6
2019/5/8, 61, 53, 94, 26, 4, 4
2019/5/9, 62, 55, 96, 33, 4, 6
2019/5/10, 79, 62, 104, 23, 5, 7
2019/5/11, 96, 56, 83, 16, 5, 6
2019/5/12, 82, 57, 82, 18, 5, 6
2019/5/13, 89, 57, 80, 21, 5, 5
2019/5/14, 94, 52, 78, 19, 4, 3
2019/5/15, 83, 56, 91, 21, 4, 3
2019/5/16, 89, 47, 76, 23, 6, 3
2019/5/17, 74, 27, 41, 13, 3, 3
2019/5/18, 53, 32, 43, 12, 3, 3
2019/5/19, 65, 38, 42, 11, 3, 2
2019/5/20, 48, 36, 53, 16, 4, 3
2019/5/21, 33, 49, 73, 24, 4, 4
2019/5/22, 57, 57, 94, 24, 5, 5
2019/5/23, 74, 63, 109, 28, 5, 5
2019/5/24, 95, 63, 81, 22, 4, 5
2019/5/25, 100, 53, 87, 15, 8, 4
2019/5/26, 74, 25, 54, 12, 4, 7
2019/5/27, 50, 26, 51, 13, 4, 4
2019/5/28, 29, 41, 81, 22, 4, 4
2019/5/29, 50, 45, 87, 21, 5, 4
2019/5/30, 55, 32, 75, 13, 3, 4
2019/5/31, 50, 31, 62, 15, 3, 3
2019/6/1, 51, 41, 78, 14, 4, 4
2019/6/2, 63, 55, 99, 24, 4, 5
2019/6/3, 81, 61, 114, 22, 5, 6
2019/6/4, 107, 50, 97, 20, 4, 3
2019/6/5, 76, 59, 96, 14, 7, 5
2019/6/6, 112, 15, 53, 11, 3, 3
2019/6/7, 32, 31, 72, 13, 3, 3
2019/6/8, 57, 43, 55, 10, 4, 6
2019/6/9, 81, 18, 39, 11, 3, 3
2019/6/10, 31, 17, 45, 9, 3, 3
2019/6/11, 28, 31, 52, 14, 4, 4
2019/6/12, 56, 49, 88, 16, 5, 4
2019/6/13, 86, 48, 52, 24, 6, 5
2019/6/14, 85, 49, 63, 16, 4, 4
2019/6/15, 101, 24, 49, 8, 3, 4
2019/6/16, 44, 37, 52, 11, 3, 4
2019/6/17, 58, 40, 54, 15, 4, 3
2019/6/18, 71, 46, 50, 8, 4, 5
2019/6/19, 104, , , , , 
2019/6/21, 42, 22, 51, 8, 3, 4
2019/6/22, 41, 15, 47, 8, 3, 4
2019/6/23, 28, 26, 57, 12, 4, 3
2019/6/24, 34, 45, 94, 14, 5, 4
2019/6/25, 81, 49, 45, 23, 5, 6
2019/6/26, 107, 21, 32, 16, 4, 4
2019/6/27, 45, 39, 63, 16, 4, 5
2019/6/28, 88, 40, 33, 12, 4, 4
2019/6/29, 95, 33, 50, 9, 4, 6
2019/6/30, 73, 46, 45, 17, 4, 5
2019/1/1, 88, 39, 32, 24, 6, 5
2019/1/2, 71, 43, 31, 27, 6, 5
2019/1/3, 81, 52, 28, 31, 6, 6
2019/1/4, 101, 82, 34, 29, 7, 7
2019/1/5, 143, 57, 27, 24, 5, 6
2019/1/6, 96, 67, 32, 29, 8, 7
2019/1/7, 123, 68, 33, 25, 7, 6
2019/1/8, 117, 55, 22, 23, 5, 5
2019/1/9, 77, 52, 27, 25, 6, 4
2019/1/10, 85, 74, 27, 31, 6, 7
2019/1/11, 145, 79, 15, 30, 4, 8
2019/1/12, 161, 80, 24, 24, 3, 8
2019/1/13, 161, 102, 17, 30, 4, 9
2019/1/14, 175, 105, 38, 24, 6, 8
2019/1/15, 174, 59, 28, 17, 4, 6
2019/1/16, 79, 52, 31, 20, 4, 6
2019/1/17, 99, 71, 34, 35, 7, 11
2019/1/18, 135, 84, 29, 36, 6, 11
2019/1/19, 164, 60, 37, 15, 5, 6
2019/1/20, 119, 38, 36, 14, 5, 6
