date, pm25, pm10, o3, no2, so2, co
2020/4/1, 77, 27, 37, 15, 7, 2
2020/4/2, 63, 34, 46, 20, 5, 2
2020/4/3, 74, 46, 42, 13, 5, 3
2020/4/4, 77, 29, 39, 9, 5, 2
2020/4/5, 47, 34, 44, 18, 4, 2
2020/4/6, 66, 67, 70, 13, 6, 3
2020/4/7, 108, 42, 47, 9, 5, 3
2020/4/8, 82, 37, 43, 12, 5, 2
2020/4/9, 73, 16, 35, 9, 5, 2
2020/4/10, 40, 29, 35, 15, 5, 3
2020/4/11, 64, 21, 38, 7, 4, 2
2020/4/12, 60, 17, 36, 6, , 2
2020/4/13, 41, 22, 42, 19, 4, 2
2020/4/14, 52, 37, 58, 16, 7, 3
2020/4/15, 72, 31, 36, 8, 6, 2
2020/4/16, 56, 26, 11, 25, , 3
2020/4/17, 62, 32, 35, 12, 6, 3
2020/4/18, 67, 19, 38, 8, 4, 3
2020/4/19, 52, 15, 46, 7, 4, 2
2020/4/20, 38, 27, 40, 7, 4, 2
2020/4/21, 46, 43, 34, 5, 4, 
2020/4/22, 57, 48, 39, 5, 4, 2
2020/4/23, 68, 39, 41, 8, 4, 2
2020/4/24, 56, 47, 75, 9, 5, 2
2020/4/25, 70, 42, 48, 8, 5, 2
2020/4/26, 75, 27, 44, 11, 5, 2
2020/4/27, 58, 27, 48, 13, 5, 2
2020/4/28, 56, 45, 73, 19, 8, 4
2020/4/29, 77, 38, 66, 14, 5, 3
2020/4/30, 72, , , , , 
2020/3/1, 59, 30, 34, 8, 5, 
2020/3/2, 74, 18, 11, 17, , 
2020/3/3, 44, 26, 35, 12, 4, 2
2020/3/4, 65, 39, 35, 13, 5, 2
2020/3/5, 99, 33, 33, 25, 5, 2
2020/3/6, 85, 38, 26, 24, 4, 2
2020/3/7, 90, 31, 35, 16, 8, 4
2020/3/8, 77, 26, 27, 18, 4, 2
2020/3/9, 69, 17, 35, 9, 3, 2
2020/3/10, 54, 26, 30, 6, 4, 2
2020/3/11, 59, 27, 30, 17, 5, 
2020/3/12, 48, 35, 37, 18, 4, 
2020/3/13, 65, 25, 36, 8, 4, 2
2020/3/14, 46, 36, 34, 6, 4, 2
2020/3/15, 62, 27, 31, 11, 5, 2
2020/3/16, 48, 38, 47, 16, 4, 3
2020/3/17, 75, 49, 41, 20, 6, 2
2020/3/18, 95, 44, 53, 12, 4, 2
2020/3/19, 71, 43, 33, 9, , 3
2020/3/20, 38, 49, 59, 17, 5, 3
2020/3/21, 66, 47, 55, 9, 6, 3
2020/3/22, 75, 34, 43, 12, 4, 2
2020/3/23, 66, 29, 40, 18, 4, 3
2020/3/24, 64, 36, 44, 21, 8, 
2020/3/25, 75, 34, 25, 24, 4, 3
2020/3/26, 78, 23, 31, 16, 4, 3
2020/3/27, 64, 33, 31, 8, 4, 2
2020/3/28, 48, 26, 31, 9, 4, 2
2020/3/29, 42, 24, 37, 13, 4, 2
2020/3/30, 49, 26, 36, 15, 5, 2
2020/3/31, 54, 39, 37, 18, 7, 3
2020/2/1, 112, 61, 33, 22, 4, 5
2020/2/2, 144, 32, 32, 14, 4, 3
2020/2/3, 81, 24, 24, 22, 4, 3
2020/2/4, 60, 21, 29, 11, 3, 2
2020/2/5, 55, 22, 21, 18, 4, 4
2020/2/6, 58, 36, 24, 22, 5, 4
2020/2/7, 84, 36, 31, 9, 3, 2
2020/2/8, 91, 34, 32, 13, , 3
2020/2/9, 82, 43, 34, 20, 5, 4
2020/2/10, 101, 47, 26, 27, 5, 4
2020/2/11, 111, 51, 6, 36, 5, 5
2020/2/12, 131, 22, 28, 18, 4, 3
2020/2/13, 64, 39, 31, 25, 7, 5
2020/2/14, 96, 38, 40, 18, 4, 4
2020/2/15, 90, 15, 28, 8, 2, 3
2020/2/16, 42, 18, 27, 6, 3, 
2020/2/17, 48, 19, 29, 9, , 
2020/2/18, 60, 26, 33, 20, 5, 3
2020/2/19, 66, 42, 37, 25, 5, 2
2020/2/20, 92, 45, 35, 24, 6, 2
2020/2/21, 89, 46, 37, 10, 4, 
2020/2/22, 73, 24, 34, 10, , 
2020/2/23, 57, 28, 29, 24, 5, 2
2020/2/24, 61, 15, 32, 17, 4, 2
2020/2/25, 50, 16, 34, 10, 4, 
2020/2/26, 42, 15, 29, 13, 5, 
2020/2/27, 37, 20, 13, 23, 5, 
2020/2/28, 58, 19, 25, 17, 8, 3
2020/2/29, 59, 25, 32, 12, 5, 2
2020/1/1, 58, 44, 24, 10, 5, 4
2020/1/2, 106, 52, 26, 12, 5, 4
2020/1/3, 127, 37, 28, 14, 5, 4
2020/1/4, 91, 48, 23, 26, 5, 5
2020/1/5, 118, 41, 2, 32, 5, 5
2020/1/6, 105, 29, 3, 34, 5, 7
2020/1/7, 84, 9, 28, 7, 4, 3
2020/1/8, 27, 31, 29, 10, 4, 4
2020/1/9, 86, 43, 22, 27, 6, 4
2020/1/10, 105, 39, 31, 24, 7, 4
2020/1/11, 99, 37, 30, 12, 5, 3
2020/1/12, 94, 19, 29, 10, 4, 2
2020/1/13, 56, 24, 24, 15, 5, 3
2020/1/14, 68, 32, 26, 14, 6, 3
2020/1/15, 88, 33, 18, 29, 6, 4
2020/1/16, 84, 38, 12, 36, 7, 5
2020/1/17, 88, 42, 17, 28, 5, 4
2020/1/18, 104, 45, 36, 19, 5, 4
2020/1/19, 112, 51, 24, 23, 4, 4
2020/1/20, 115, 32, 26, 21, , 3
2020/1/21, 69, 43, 2, 36, 5, 5
2020/1/22, 98, 27, 10, 29, , 4
2020/1/23, 77, 35, 28, 19, 5, 4
2020/1/24, 90, 22, 25, 15, 2, 3
2020/1/25, 52, 16, 28, 12, 3, 3
2020/1/26, 43, 8, 31, 5, 3, 3
2020/1/27, 22, 10, 30, 9, 3, 2
2020/1/28, 25, 19, 22, 18, 3, 3
2020/1/29, 50, 19, 27, 16, 3, 3
2020/1/31, 66, 47, 38, 17, 3, 4
2019/10/1, 92, 13, 18, 14, 4, 3
2019/10/2, 40, 8, 25, 7, , 3
2019/10/3, 15, 23, 32, 11, 7, 4
2019/10/4, 45, 29, 33, 7, 4, 3
2019/10/5, 54, 17, 30, 8, 8, 3
2019/10/6, 30, 17, 13, 18, 5, 5
2019/10/7, 43, 19, 43, 10, 5, 3
2019/10/8, 46, 24, 33, 18, 6, 3
2019/10/9, 42, 24, 36, 21, 6, 3
2019/10/10, 55, 26, 39, 14, 5, 3
2019/10/11, 55, 33, 38, 4, 4, 2
2019/10/12, 48, 24, 32, 7, 6, 3
2019/10/13, 35, 23, 32, 16, 4, 3
2019/10/14, 47, 21, 24, 14, 5, 3
2019/10/15, 39, 19, 30, 16, 6, 3
2019/10/16, 42, 24, 29, 17, 6, 3
2019/10/17, 47, 18, 30, 16, 4, 3
2019/10/18, 44, 14, 31, 13, 7, 3
2019/10/19, 33, 16, 36, 13, 5, 3
2019/10/20, 42, 19, 32, 16, 6, 3
2019/10/21, 40, 21, 36, 14, 5, 3
2019/10/22, 39, 25, 39, 14, 4, 3
2019/10/23, 49, 17, 38, 12, 5, 3
2019/10/24, 41, 20, 30, 15, 6, 3
2019/10/25, 41, 24, 34, 11, 5, 3
2019/10/26, 56, 21, 35, 11, 4, 3
2019/10/27, 48, 29, 31, 22, 4, 3
2019/10/28, 61, 68, 36, 22, 4, 3
2019/10/29, 92, 39, 30, 22, 5, 3
2019/10/30, 57, 35, 38, 24, 4, 3
2019/10/31, 61, 80, 51, 26, 6, 5
2019/11/1, 117, 51, 31, 23, 4, 4
2019/11/2, 88, 44, 37, 14, 5, 3
2019/11/3, 83, 21, 26, 14, 6, 3
2019/11/4, 36, 27, 29, 22, 5, 3
2019/11/5, 56, 44, 38, 28, 6, 4
2019/11/6, 88, 38, 37, 19, 5, 4
2019/11/7, 71, 45, 31, 29, 5, 4
2019/11/8, 81, 41, 29, 27, 5, 3
2019/11/9, 81, 39, 19, 27, 5, 4
2019/11/10, 81, 22, 37, 10, 5, 3
2019/11/11, 51, 36, 34, 24, 5, 4
2019/11/12, 71, 39, 9, 24, 6, 4
2019/11/13, 86, , , , 4, 2
2019/11/14, 53, 45, 17, 30, 6, 3
2019/11/15, 60, 41, 16, 22, 5, 4
2019/11/16, 75, 56, 11, 30, 7, 7
2019/11/17, 117, 40, 32, 7, 5, 2
2019/11/18, 55, 28, 26, 8, , 2
2019/11/19, 49, 23, 25, 17, 5, 3
2019/11/20, 47, 25, 18, 26, 6, 4
2019/11/21, 58, 27, 22, 24, 6, 4
2019/11/22, 54, 29, 18, 22, 6, 4
2019/11/23, 63, 34, 17, 22, 5, 4
2019/11/24, 74, 17, 23, 12, 4, 3
2019/11/25, 45, 17, 26, 18, 4, 3
2019/11/26, 35, 29, 16, 19, 4, 3
2019/11/27, 70, 19, 20, 19, , 3
2019/11/28, 52, 20, 23, 22, 5, 4
2019/11/29, 50, 36, 8, 30, 5, 5
2019/11/30, 76, 29, 18, 20, 5, 4
2019/12/1, 74, 20, 27, 9, 5, 3
2019/12/2, 51, 20, 26, 15, 4, 3
2019/12/3, 47, 26, 27, 22, 5, 3
2019/12/4, 59, 24, 29, 17, 4, 3
2019/12/5, 57, 20, 24, 16, 4, 3
2019/12/6, 50, 26, 28, 14, 5, 3
2019/12/7, 64, 48, 26, 24, 5, 5
2019/12/8, 117, 48, 20, 31, 5, 5
2019/12/9, 111, 54, 21, 35, 6, 5
