date, pm25, pm10, o3, no2, so2, co
2020/4/1, 84, 40, 43, 15, 6, 5
2020/4/2, 67, 46, 53, 14, 3, 5
2020/4/3, 74, 50, 56, 14, 6, 5
2020/4/4, 74, 38, 48, 12, 8, 5
2020/4/5, 44, 49, 56, 16, 5, 5
2020/4/6, 74, 70, 68, 13, 5, 6
2020/4/7, 100, 49, 56, 12, 5, 5
2020/4/8, 78, 48, 50, 14, 5, 5
2020/4/9, 71, 28, 42, 12, 5, 4
2020/4/10, 39, 45, 45, 16, 5, 5
2020/4/11, 77, 37, 47, 14, 5, 6
2020/4/12, 64, 50, 45, 24, 10, 11
2020/4/13, 62, 37, 51, 14, 6, 5
2020/4/14, 50, 50, 76, 16, 12, 7
2020/4/15, 78, 43, 44, 13, 9, 5
2020/4/16, 50, 44, 35, 18, 6, 5
2020/4/17, 66, 43, 42, 12, 8, 2
2020/4/18, 62, 35, 48, 14, 12, 6
2020/4/19, 48, 30, 52, 11, 5, 6
2020/4/20, 40, 48, 46, 10, 5, 5
2020/4/21, 45, 50, 40, 12, 7, 5
2020/4/22, 43, 53, 43, 8, 8, 4
2020/4/23, 52, 49, 47, 11, 5, 4
2020/4/24, 54, 67, 90, 12, 7, 5
2020/4/25, 65, 53, 62, 10, 7, 5
2020/4/26, 78, 39, 54, 13, 7, 4
2020/4/27, 57, 39, 58, 12, 6, 5
2020/4/28, 59, 60, 90, 16, 8, 6
2020/4/29, 83, 49, 77, 12, 9, 5
2020/4/30, 72, , , , , 
2020/3/1, 57, 38, 41, 13, 9, 8
2020/3/2, 70, 29, 30, 18, 8, 7
2020/3/3, 46, 38, 41, 15, 5, 8
2020/3/4, 63, 44, 44, 17, 7, 8
2020/3/5, 90, 42, 41, 26, 6, 8
2020/3/6, 75, 61, 36, 29, 10, 8
2020/3/7, 109, 35, 50, 18, 7, 8
2020/3/8, 65, 43, 29, 23, 7, 7
2020/3/9, 70, 32, 42, 21, 8, 9
2020/3/10, 57, 36, 34, 15, 4, 5
2020/3/11, 56, 38, 40, 21, 6, 5
2020/3/12, 50, 46, 46, 18, 8, 8
2020/3/13, 69, 41, 43, 11, 6, 4
2020/3/14, 57, 48, 40, 10, 7, 5
2020/3/15, 66, 39, 39, 18, 11, 5
2020/3/16, 57, 50, 51, 25, 11, 8
2020/3/17, 78, 57, 48, 20, 7, 5
2020/3/18, 95, 56, 67, 16, 4, 4
2020/3/19, 77, 45, 38, 11, 4, 4
2020/3/20, 42, 59, 74, 17, 7, 5
2020/3/21, 70, 53, 57, 14, 9, 6
2020/3/22, 70, 45, 53, 19, 7, 4
2020/3/23, 65, 47, 45, 19, 7, 4
2020/3/24, 77, 52, 50, 21, 6, 5
2020/3/25, 86, 55, 39, 23, 4, 5
2020/3/26, 95, 42, 45, 26, 6, 13
2020/3/27, 80, 48, 37, 16, 6, 9
2020/3/28, 61, 43, 38, 14, 9, 7
2020/3/29, 53, 40, 41, 17, 7, 5
2020/3/30, 56, 43, 41, 22, 12, 7
2020/3/31, 66, 55, 50, 25, 11, 12
2020/2/1, 116, 64, 40, 16, 5, 9
2020/2/2, 136, 47, 40, 16, 5, 6
2020/2/3, 77, 29, 32, 15, 6, 6
2020/2/4, 53, 32, 38, 13, 5, 6
2020/2/5, 54, 29, 42, 20, 7, 7
2020/2/6, 51, 41, 30, 21, 5, 6
2020/2/7, 72, 42, 38, 15, 4, 5
2020/2/8, 82, 39, 38, 13, 4, 6
2020/2/9, 74, 47, 44, 20, 9, 7
2020/2/10, 86, 51, 38, 27, 8, 7
2020/2/11, 99, 59, 32, 34, 8, 8
2020/2/12, 118, 28, 34, 17, 7, 8
2020/2/13, 55, 49, 46, 24, 12, 8
2020/2/14, 91, 50, 53, 22, 11, 8
2020/2/15, 90, 28, 35, 8, 5, 5
2020/2/16, 48, 28, 34, 7, 6, 4
2020/2/17, 43, 29, 38, 12, 9, 5
2020/2/18, 56, 34, 40, 19, 10, 6
2020/2/19, 57, 52, 44, 29, 10, 10
2020/2/20, 89, 60, 43, 26, 9, 8
2020/2/21, 94, 56, 43, 11, 5, 5
2020/2/22, 67, 33, 40, 12, 5, 6
2020/2/23, 54, 37, 37, 22, 7, 7
2020/2/24, 53, 28, 44, 26, 8, 11
2020/2/25, 58, 28, 44, 17, 8, 8
2020/2/26, 48, 32, 37, 21, 7, 7
2020/2/27, 52, 38, 22, 24, 7, 8
2020/2/28, 68, 33, 43, 18, 8, 8
2020/2/29, 59, 35, 40, 15, 6, 6
2020/1/1, 48, 49, 32, 16, 8, 10
2020/1/2, 96, 58, 33, 19, 7, 11
2020/1/3, 124, 48, 36, 16, 6, 9
2020/1/4, 82, 50, 33, 25, 5, 10
2020/1/5, 99, 52, 21, 32, 6, 11
2020/1/6, 94, 28, 21, 36, 6, 11
2020/1/7, 56, 18, 31, 12, 4, 6
2020/1/8, 35, 41, 34, 14, 5, 7
