date, pm25, pm10, o3, no2, so2, co
2020/4/1, 106, 41, 43, 32, 6, 6
2020/4/2, 83, 55, 51, 32, 5, 7
2020/4/3, 109, 68, 38, 22, 5, 7
2020/4/4, 102, 46, 41, 19, 5, 6
2020/4/5, 72, 51, 48, 32, 4, 6
2020/4/6, 78, 59, 56, 34, 5, 6
2020/4/7, 96, 48, 41, 27, 3, 4
2020/4/8, 70, 51, 45, 33, 4, 5
2020/4/9, 85, 50, 52, 29, 3, 5
2020/4/10, 92, 40, 59, 26, 4, 5
2020/4/11, 84, 32, 47, 19, 2, 4
2020/4/12, 70, 27, 43, 21, 2, 4
2020/4/13, 57, 49, 75, 43, 4, 5
2020/4/14, 94, 60, 97, 51, 3, 7
2020/4/15, 119, 56, 89, 48, 3, 5
2020/4/16, 100, 46, 50, 33, 2, 5
2020/4/17, 80, 42, 49, 23, 3, 5
2020/4/18, 64, 31, 42, 25, 2, 6
2020/4/19, 68, 19, 44, 21, 2, 5
2020/4/20, 40, 39, 43, 20, 2, 4
2020/4/21, 46, 67, 36, 13, 1, 4
2020/4/22, 52, 49, 43, 20, 2, 5
2020/4/23, 59, 47, 57, 28, 3, 6
2020/4/24, 61, 56, 79, 20, 4, 5
2020/4/25, 82, 36, 50, 21, 3, 5
2020/4/26, 64, 44, 49, 33, 3, 5
2020/4/27, 72, 41, 60, 37, 4, 6
2020/4/28, 76, 49, 79, 35, 4, 6
2020/4/29, 95, 43, 73, 43, 3, 7
2020/4/30, 75, , , , , 
2020/3/1, 112, 48, 30, 26, 6, 7
2020/3/2, 94, 39, 14, 41, 5, 7
2020/3/3, 92, 47, 36, 24, 4, 7
2020/3/4, 103, 44, 30, 31, 4, 6
2020/3/5, 93, 46, 27, 49, 6, 8
2020/3/6, 95, 61, 27, 58, 7, 10
2020/3/7, 127, 64, 44, 53, 6, 11
2020/3/8, 150, 71, 31, 65, 5, 10
2020/3/9, 154, 51, 30, 36, 5, 8
2020/3/10, 112, 43, 31, 27, 4, 5
2020/3/11, 63, 41, 34, 35, 5, 6
2020/3/12, 62, 38, 28, 27, 4, 5
2020/3/13, 59, 41, 34, 24, 5, 6
2020/3/14, 70, 57, 35, 18, 4, 5
2020/3/15, 83, 32, 31, 24, 4, 5
2020/3/16, 59, 48, 39, 32, 5, 6
2020/3/17, 89, 58, 40, 49, 6, 9
2020/3/18, 115, 61, 44, 31, 3, 6
2020/3/19, 91, 51, 34, 26, 4, 5
2020/3/20, 50, 53, 46, 33, 4, 5
2020/3/21, 66, 53, 40, 19, 3, 5
2020/3/22, 69, 51, 42, 32, 5, 6
2020/3/23, 94, 63, 48, 44, 5, 8
2020/3/24, 130, 59, 56, 50, 6, 7
2020/3/25, 114, 60, 44, 46, 4, 7
2020/3/26, 102, 48, 31, 26, 5, 6
2020/3/27, 78, 40, 32, 21, 5, 4
2020/3/28, 44, 45, 40, 27, 4, 5
2020/3/29, 65, 57, 43, 45, 5, 7
2020/3/30, 106, 51, 39, 50, 6, 7
2020/3/31, 88, 64, 41, 39, 6, 7
2020/2/1, 155, 65, 32, 47, 6, 11
2020/2/2, 148, 36, 29, 28, 5, 6
2020/2/3, 70, 38, 25, 37, 5, 7
2020/2/4, 77, 31, 24, 23, 5, 6
2020/2/5, 59, 44, 16, 37, 6, 8
2020/2/6, 84, 49, 21, 50, 6, 9
2020/2/7, 108, 45, 30, 27, 6, 7
2020/2/8, 99, 39, 35, 34, 6, 8
2020/2/9, 87, 52, 24, 53, 5, 9
2020/2/10, 114, 57, 22, 63, 6, 12
2020/2/11, 118, 44, 14, 54, 6, 11
2020/2/12, 103, 66, 26, 37, 5, 10
2020/2/13, 147, 78, 12, 58, 6, 13
2020/2/14, 164, 69, 31, 47, 6, 11
2020/2/15, 148, 52, 26, 18, 5, 7
2020/2/16, 63, 62, 27, 19, 5, 6
2020/2/17, 69, 31, 24, 32, 5, 7
2020/2/18, 69, 36, 17, 49, 6, 9
2020/2/19, 86, 54, 27, 58, 6, 11
2020/2/20, 127, 58, 34, 52, 6, 11
2020/2/21, 131, 67, 36, 18, 5, 9
2020/2/22, 119, 30, 35, 27, 5, 6
2020/2/23, 58, 39, 29, 47, 5, 9
2020/2/24, 78, 22, 27, 29, 5, 7
2020/2/25, 51, 22, 25, 33, 5, 7
2020/2/26, 42, 32, 24, 36, 4, 7
2020/2/27, 68, 34, 13, 41, 4, 8
2020/2/28, 80, 31, 26, 32, 5, 7
2020/2/29, 72, 50, 29, 25, 6, 9
2020/1/1, 81, 62, 2, 45, 6, 12
2020/1/2, 134, 69, 11, 51, 6, 14
2020/1/3, 147, 61, 16, 54, 6, 14
2020/1/4, 137, 56, 11, 51, 6, 14
2020/1/5, 124, 45, 9, 44, 5, 10
2020/1/6, 110, 13, 15, 34, 4, 9
2020/1/7, 29, 39, 25, 23, 4, 11
2020/1/8, 76, 56, 23, 31, 5, 11
2020/1/9, 128, 62, 9, 52, 5, 12
2020/1/10, 145, 58, 21, 49, 6, 12
2020/1/11, 128, 41, 30, 21, 6, 7
2020/1/12, 101, 24, 23, 26, 4, 6
2020/1/13, 50, 43, 10, 49, 6, 9
2020/1/14, 88, 43, 20, 45, 6, 9
2020/1/15, 87, 45, 13, 51, 6, 10
2020/1/16, 93, 62, 8, 65, 7, 12
2020/1/17, 123, 65, 17, 62, 7, 12
2020/1/18, 132, 61, 27, 43, 5, 11
2020/1/19, 134, 48, 27, 36, 5, 9
2020/1/20, 106, 42, 17, 44, 6, 10
2020/1/21, 95, 48, 10, 54, 6, 9
2020/1/22, 109, 58, 25, 48, 5, 12
2020/1/23, 124, 68, 22, 44, 4, 11
2020/1/24, 153, 53, 21, 44, 5, 11
2020/1/25, 124, 33, 27, 32, 4, 8
2020/1/26, 73, 13, 35, 11, 4, 4
2020/1/27, 25, 15, 30, 24, 4, 5
2020/1/28, 32, 21, 22, 34, 5, 6
2020/1/29, 41, 25, 21, 41, 4, 5
2020/1/30, 54, 47, 33, 40, 4, 8
2020/1/31, 105, 66, 34, 45, 5, 10
2019/10/1, 115, 28, 11, 25, 4, 6
2019/10/2, 61, 14, 26, 23, 4, 5
2019/10/3, 28, 40, 44, 32, 5, 8
2019/10/4, 85, 43, 35, 20, 3, 7
2019/10/5, 83, 15, 33, 14, 3, 5
2019/10/6, 30, 15, 19, 28, 2, 5
2019/10/7, 36, 29, 31, 31, 4, 6
2019/10/8, 50, 29, 30, 27, 4, 5
2019/10/9, 43, 38, 17, 43, 4, 8
2019/10/10, 71, 45, 38, 38, 4, 8
2019/10/11, 87, 31, 36, 18, 4, 4
2019/10/12, 59, 28, 34, 21, 4, 5
2019/10/13, 53, 42, 30, 36, 3, 8
2019/10/14, 73, 33, 29, 35, 3, 7
2019/10/15, 57, 34, 31, 46, 4, 8
2019/10/16, 69, 39, 31, 45, 4, 8
2019/10/17, 76, 25, 27, 34, 3, 6
2019/10/18, 55, 33, 35, 36, 4, 6
2019/10/19, 56, 48, 42, 39, 4, 9
2019/10/20, 86, 48, 35, 52, 4, 10
2019/10/21, 96, 46, 39, 49, 4, 11
2019/10/22, 97, 32, 25, 38, 3, 8
2019/10/23, 70, 33, 38, 31, 4, 7
2019/10/24, 65, 28, 29, 34, 4, 7
2019/10/25, 61, 25, 26, 23, 4, 8
2019/10/26, 59, 31, 33, 35, 4, 8
2019/10/27, 65, 42, 38, 38, 4, 10
2019/10/28, 85, 70, 32, 35, 4, 7
2019/10/29, 74, 33, 30, 40, 4, 7
2019/10/30, 59, 67, 48, 43, 5, 8
2019/10/31, 96, 91, 34, 49, 4, 9
2019/11/1, 122, 72, 40, 56, 7, 10
2019/11/2, 129, 61, 36, 42, 5, 9
2019/11/3, 121, 21, 23, 35, 4, 7
2019/11/4, 40, 42, 35, 50, 4, 11
2019/11/5, 84, 56, 30, 53, 6, 11
2019/11/6, 117, 52, 24, 45, 5, 9
2019/11/7, 82, 54, 15, 52, 5, 9
2019/11/8, 74, 54, 22, 58, 5, 12
2019/11/9, 96, 47, 27, 40, 5, 11
2019/11/10, 99, 33, 33, 36, 3, 10
2019/11/11, 64, 48, 16, 45, 4, 11
2019/11/12, 85, 55, 3, 45, 5, 11
2019/11/13, 119, , , , 2, 3
2019/11/14, 13, 32, 4, 43, 4, 7
2019/11/15, 68, 32, 8, 37, 4, 7
2019/11/16, 74, 30, 21, 36, 4, 7
2019/11/17, 56, 68, 28, 23, 4, 6
2019/11/18, 55, 37, 21, 29, 4, 5
2019/11/19, 53, 33, 16, 42, 5, 7
2019/11/20, 59, 45, 10, 50, 5, 9
2019/11/21, 78, 50, 16, 51, 6, 10
2019/11/22, 84, 35, 15, 47, 5, 10
2019/11/23, 71, 37, 20, 34, 4, 10
2019/11/24, 73, 22, 18, 17, 4, 6
2019/11/25, 50, 35, 15, 42, 5, 9
2019/11/26, 76, 46, 19, 36, 5, 8
2019/11/27, 85, 50, 10, 47, 7, 10
2019/11/28, 95, 50, 16, 49, 6, 8
2019/11/29, 88, 53, 13, 56, 8, 10
2019/11/30, 103, 54, 7, 48, 5, 10
2019/12/1, 131, 29, 23, 28, 4, 6
2019/12/2, 59, 31, 9, 39, 4, 7
2019/12/3, 72, 35, 14, 41, 5, 8
2019/12/4, 76, 31, 23, 25, 5, 6
2019/12/5, 55, 44, 12, 37, 5, 8
2019/12/6, 73, 49, 3, 50, 6, 10
2019/12/7, 114, 61, 11, 56, 6, 15
2019/12/8, 138, 66, 8, 51, 6, 11
2019/12/9, 153, 81, 19, 62, 5, 15
2019/12/10, 160, 72, 29, 41, 4, 11
2019/12/11, 138, 30, 17, 32, 4, 6
2019/12/12, 62, 40, 10, 46, 5, 9
2019/12/13, 77, 50, 15, 33, 5, 8
2019/12/14, 101, 54, 20, 40, 4, 11
2019/12/15, 95, 47, 14, 50, 5, 13
2019/12/16, 88, 40, 11, 38, 4, 9
2019/12/17, 76, 49, 14, 33, 5, 8
2019/12/18, 97, 36, 18, 38, 5, 7
2019/12/19, 68, 44, 17, 38, 5, 8
2019/12/20, 77, 45, 6, 45, 5, 11
2019/12/21, 97, 56, 21, 42, 5, 11
2019/12/22, 132, 59, 14, 47, 4, 11
2019/12/23, 139, 70, 8, 57, 5, 14
2019/12/24, 157, 57, 5, 57, 5, 14
2019/12/25, 139, 55, 17, 45, 5, 11
2019/12/26, 125, 40, 23, 37, 5, 9
2019/12/27, 79, 50, 15, 45, 5, 12
2019/12/28, 93, 51, 11, 39, 6, 10
2019/12/29, 101, , , , , 
2019/7/1, 85, 39, 69, 26, 4, 7
2019/7/2, 80, 46, 49, 33, 4, 7
2019/7/3, 97, 46, 67, 36, 6, 8
2019/7/4, 85, 45, 58, 45, 6, 14
2019/7/5, 78, 41, 70, 30, 4, 5
2019/7/6, 84, 26, 44, 12, 2, 4
2019/7/7, 61, 20, 38, 14, 4, 4
2019/7/8, 34, 15, 39, 15, 3, 4
2019/7/9, 35, 14, 29, 12, 3, 4
2019/7/10, 33, 12, 22, 14, 3, 4
2019/7/11, 21, 18, 43, 22, 3, 6
2019/7/12, 42, 38, 56, 24, 5, 7
2019/7/13, 79, 61, 86, 21, 5, 7
2019/7/14, 122, 62, 48, 31, 4, 9
2019/7/15, 117, 49, 61, 31, 4, 8
2019/7/16, 91, 80, 84, 42, 5, 10
2019/7/17, 133, 72, 95, 33, 7, 8
2019/7/18, 132, 42, 45, 30, 6, 6
2019/7/19, 85, 15, 16, 9, 3, 4
2019/7/20, 33, 25, 36, 12, 4, 5
2019/7/21, 50, 61, 68, 24, 4, 7
2019/7/22, 120, 36, 38, 18, 4, 6
2019/7/23, 70, 35, 19, 19, 3, 5
