date, pm25, pm10, o3, no2, so2, co
2020/4/1, 73, 28, 39, 11, 2, 3
2020/4/2, 47, 28, 46, 19, 3, 4
2020/4/3, 59, 42, 48, 15, 2, 5
2020/4/4, 69, 30, 40, 7, 3, 3
2020/4/5, 35, 30, 51, 19, 2, 4
2020/4/6, 58, 52, 72, 21, 5, 5
2020/4/7, 91, 37, 44, 11, 2, 4
2020/4/8, 73, 36, 48, 13, 3, 3
2020/4/9, 69, 23, 34, 12, 2, 2
2020/4/10, 51, 19, 41, 15, 3, 3
2020/4/11, 49, 16, 40, 5, 2, 2
2020/4/12, 47, 17, 38, 7, , 2
2020/4/13, 34, 21, 52, 24, 3, 4
2020/4/14, 48, 28, 51, 24, 3, 5
2020/4/15, 57, 30, 37, 17, 4, 4
2020/4/16, 61, 23, 30, 22, 2, 3
2020/4/17, 58, 28, 46, 12, 3, 4
2020/4/18, 59, 17, 42, 8, 3, 2
2020/4/19, 41, 15, 45, 8, 2, 3
2020/4/20, 36, 25, 39, 7, 2, 3
2020/4/21, 34, 36, 35, 6, 2, 3
2020/4/22, 30, 37, 38, 9, , 3
2020/4/23, 41, 30, 40, 11, 3, 3
2020/4/24, 41, 40, 79, 7, 3, 3
2020/4/25, 64, 32, 42, 9, 2, 4
2020/4/26, 65, 27, 49, 13, 3, 4
2020/4/27, 55, 28, 48, 17, 2, 6
2020/4/28, 59, 30, 71, 17, 3, 5
2020/4/29, 65, 23, 48, 10, 3, 4
2020/4/30, 47, , , , , 
2020/3/1, 48, 26, 36, 10, 3, 5
2020/3/2, 56, 19, 22, 17, 4, 5
2020/3/3, 52, 23, 35, 18, 3, 4
2020/3/4, 51, 29, 39, 15, 3, 5
2020/3/5, 71, 29, 39, 27, 4, 5
2020/3/6, 67, 28, 24, 32, 3, 5
2020/3/7, 72, 26, 42, 17, 4, 4
2020/3/8, 66, 28, 27, 28, 4, 6
2020/3/9, 68, 16, 32, 11, 4, 3
2020/3/10, 50, 24, 31, 14, , 4
2020/3/11, 44, 25, 33, 19, , 4
2020/3/12, 34, 33, 43, 24, 4, 6
2020/3/13, 56, 21, 39, 6, 3, 4
2020/3/14, 29, 30, 35, 8, 2, 4
2020/3/15, 48, 19, 33, 9, 3, 3
2020/3/16, 32, 26, 39, 20, 5, 5
2020/3/17, 46, 39, 52, 20, 3, 5
2020/3/18, 75, 39, 50, 9, 2, 2
2020/3/19, 60, 39, 34, 13, 2, 3
2020/3/20, 25, 34, 48, 14, 3, 2
2020/3/21, 40, 44, 59, 13, 3, 2
2020/3/22, 76, 32, 39, 19, 3, 3
2020/3/23, 56, 29, 39, 15, 2, 3
2020/3/24, 61, 29, 47, 22, 4, 5
2020/3/25, 64, 31, 21, 35, 2, 5
2020/3/26, 75, 19, 23, 17, 3, 3
2020/3/27, 45, 28, 29, 7, 3, 3
2020/3/28, 48, 24, 34, 7, 3, 3
2020/3/29, 34, 23, 34, 11, 4, 
2020/3/30, 40, 27, 39, 22, 3, 4
2020/3/31, 59, 33, 57, 22, 4, 3
2020/2/1, 94, 57, 27, 33, 3, 8
2020/2/2, 143, 32, 33, 21, 3, 5
2020/2/3, 75, 28, 18, 29, 3, 6
2020/2/4, 65, 23, 30, 13, 3, 4
2020/2/5, 45, 19, 26, 20, 4, 5
2020/2/6, 32, 33, 21, 35, 5, 6
2020/2/7, 71, 31, 34, 12, 3, 5
2020/2/8, 73, 27, 28, 19, 4, 5
2020/2/9, 60, 36, 31, 31, 5, 6
2020/2/10, 82, 45, 33, 23, , 5
2020/2/11, 105, 18, 12, 32, 4, 6
2020/2/12, 60, 17, 27, 25, 4, 7
2020/2/13, 45, 38, 32, 36, 4, 7
2020/2/14, 84, 41, 39, 32, 5, 6
2020/2/15, 98, 13, 29, 11, 3, 4
2020/2/16, 34, 13, 28, 8, 3, 4
2020/2/17, 23, 19, 29, 18, 3, 4
2020/2/18, 41, 25, 35, 22, 4, 5
2020/2/19, 55, 40, 39, 37, 4, 7
2020/2/20, 83, 41, 36, 37, 4, 7
2020/2/21, 79, 43, 36, 16, 2, 5
2020/2/22, 70, 22, 34, 12, 4, 4
2020/2/23, 41, 23, 32, 28, 4, 6
2020/2/24, 44, 11, 22, 25, , 5
2020/2/25, 34, 15, 31, 14, 4, 5
2020/2/26, 40, 14, 30, 10, 4, 3
2020/2/27, 39, 23, 10, 32, 3, 5
2020/2/28, 51, 21, 23, 21, , 4
2020/2/29, 40, 22, 36, 17, , 5
2020/1/1, 37, 40, 22, 18, 5, 6
2020/1/2, 87, 50, 27, 29, 5, 7
2020/1/3, 107, 32, 26, 26, 4, 5
2020/1/4, 68, 39, 18, 36, 4, 
2020/1/5, 83, 40, , 44, 5, 2
2020/1/6, 95, 23, 2, 12, 3, 3
2020/1/7, 59, 12, 22, 11, 3, 2
2020/1/8, 46, 24, 26, 13, 4, 4
2020/1/9, 66, 30, 25, 30, 5, 6
2020/1/10, 69, 36, 34, 29, 5, 7
2020/1/11, 83, 32, 29, 12, 5, 4
2020/1/12, 73, 17, 28, 19, 4, 5
2020/1/13, 32, 25, 22, 22, 5, 6
2020/1/14, 56, 30, 20, 26, 4, 6
2020/1/15, 68, 24, 20, 29, 4, 5
2020/1/16, 51, 29, 19, 36, 5, 6
2020/1/17, 64, 33, 18, 28, 4, 5
2020/1/18, 75, 39, 35, 25, 5, 6
2020/1/19, 91, 47, 27, 24, 4, 7
2020/1/20, 95, 30, 23, 27, 4, 5
2020/1/21, 55, 44, 1, 52, 4, 10
2020/1/22, 95, 23, 4, 33, 3, 7
2020/1/23, 67, 34, 32, 20, 3, 6
2020/1/24, 78, 21, 30, 8, 4, 3
2020/1/25, 37, 14, 30, 8, 3, 3
2020/1/26, 21, 5, 31, 5, , 3
2020/1/27, 10, 9, 26, 14, , 4
2020/1/28, 18, 14, 26, 19, 3, 4
2020/1/29, 27, 14, 28, 14, , 3
2020/1/30, 26, 23, 23, 30, 3, 6
2020/1/31, 53, 37, 18, 32, 3, 6
2019/10/1, 49, 16, 21, 10, 3, 2
