date, pm25, pm10, o3, no2, so2, co
2020/4/1, 70, 30, 33, 9, 5, 3
2020/4/2, 51, 30, 42, 11, 5, 4
2020/4/3, 61, 42, 43, 10, 4, 4
2020/4/4, 68, 36, 34, 7, 5, 3
2020/4/5, 37, 32, 41, 12, 5, 4
2020/4/6, 57, 53, 53, 15, 3, 5
2020/4/7, 90, 41, 39, 12, 2, 4
2020/4/8, 69, 34, 37, 11, 4, 4
2020/4/9, 61, 27, 27, 14, 2, 4
2020/4/10, 49, 21, 31, 13, , 4
2020/4/11, 43, 20, 31, 11, , 4
2020/4/12, 45, 21, 31, 8, 2, 
2020/4/13, 39, 24, 42, 9, 2, 4
2020/4/14, 42, 28, 38, 17, 3, 5
2020/4/15, 57, 38, 33, 11, 2, 4
2020/4/16, 65, 29, 32, 19, 3, 5
2020/4/17, 60, 37, 44, 9, 2, 6
2020/4/18, 65, 22, 39, 7, 2, 4
2020/4/19, 42, 22, 47, 7, 2, 5
2020/4/20, 37, 33, 43, 6, 2, 3
2020/4/21, 34, 42, 41, 5, 2, 3
2020/4/22, 31, 44, 44, 5, 2, 4
2020/4/23, 44, 38, 48, 6, 2, 3
2020/4/24, 39, 47, 98, 5, 2, 4
2020/4/25, 69, 42, 70, 7, 2, 5
2020/4/26, 73, 29, 61, 9, , 4
2020/4/27, 54, 30, 56, 9, 5, 4
2020/4/28, 54, 37, 80, 13, , 4
2020/4/29, 64, 27, 58, 5, 4, 3
2020/4/30, 45, , , , , 
2020/3/1, 58, 30, 38, 10, 3, 5
2020/3/2, 76, 27, 19, 16, 3, 5
2020/3/3, 61, 26, 39, 10, 3, 4
2020/3/4, 60, 29, 41, 9, 2, 5
2020/3/5, 80, 28, 40, 15, 4, 4
2020/3/6, 74, 27, 30, 22, 4, 4
2020/3/7, 73, 25, 43, 8, 3, 4
2020/3/8, 67, 27, 29, 19, 3, 4
2020/3/9, 66, 20, 40, 11, 5, 5
2020/3/10, 63, 28, 35, 8, 3, 3
2020/3/11, 60, 29, 37, 11, 3, 4
2020/3/12, 54, 35, 46, 13, 4, 5
2020/3/13, 72, 22, 36, 6, 4, 3
2020/3/14, 47, 37, 39, 6, 4, 4
2020/3/15, 69, 24, 37, 6, 3, 3
2020/3/16, 51, 26, 47, 5, 3, 
2020/3/17, 52, 41, 64, 12, 3, 4
2020/3/18, 84, 37, 59, 5, 2, 3
2020/3/19, 73, 44, 39, 5, , 3
2020/3/20, 51, 37, 50, 6, 2, 4
2020/3/21, 58, 41, 45, 6, 3, 4
2020/3/22, 79, 33, 44, 12, 2, 3
2020/3/23, 70, 31, 43, 12, 3, 4
2020/3/24, 78, 28, 44, 14, 4, 4
2020/3/25, 68, 36, 36, 32, 8, 4
2020/3/26, 81, 20, 35, 8, 5, 5
2020/3/27, 43, 33, 29, 12, 5, 4
2020/3/28, 50, 29, 38, 7, 5, 3
2020/3/29, 33, 25, 40, 10, , 3
2020/3/30, 34, 26, 31, 14, 6, 3
2020/3/31, 43, 35, 37, 14, 5, 5
2020/2/1, 100, 57, 42, 14, 5, 7
2020/2/2, 143, 35, 37, 14, 4, 5
2020/2/3, 83, 29, 29, 15, 5, 5
2020/2/4, 73, 27, 32, 12, 5, 4
2020/2/5, 69, 17, 26, 12, 5, 2
2020/2/6, 56, 28, 27, 20, 4, 5
2020/2/7, 68, 34, 35, 10, 4, 4
2020/2/8, 85, 28, 35, 9, 4, 4
2020/2/9, 70, 43, 43, 16, 4, 7
2020/2/10, 109, 44, 42, 16, 5, 5
2020/2/11, 100, 26, 40, 10, , 5
2020/2/12, 60, 15, 33, 9, 4, 6
2020/2/13, 25, 39, 33, 23, 5, 7
2020/2/14, 72, 35, 41, 16, 5, 5
2020/2/15, 62, 15, 31, 7, 5, 5
2020/2/16, 29, 17, 30, 4, 5, 2
2020/2/17, 47, 20, 33, 7, 4, 3
2020/2/18, 62, 24, 35, 11, 5, 4
2020/2/19, 64, 35, 42, 15, , 5
2020/2/20, 78, 36, 35, 16, 5, 5
2020/2/21, 67, 49, 40, 8, 4, 4
2020/2/22, 69, 24, 35, 7, 4, 4
2020/2/23, 55, 23, 38, 12, 4, 4
2020/2/24, 47, 20, 34, 15, 7, 5
2020/2/25, 49, 20, 33, 12, 4, 4
2020/2/26, 75, 24, 27, 13, 4, 4
2020/2/27, 72, 23, 17, 22, , 4
2020/2/28, 68, 21, 24, 21, 3, 5
2020/2/29, 58, 23, 37, 11, 3, 5
2020/1/1, 35, 35, 26, 13, 3, 6
2020/1/2, 79, 47, 29, 17, 3, 7
2020/1/3, 102, 28, 30, 14, 3, 6
2020/1/4, 65, 28, 28, 14, 3, 6
2020/1/5, 64, 33, 19, 30, 5, 7
2020/1/6, 73, 17, 36, 11, 5, 6
2020/1/7, 52, 16, 31, 8, 3, 7
2020/1/8, 39, 24, 31, 11, 3, 6
2020/1/9, 57, 26, 27, 15, 3, 6
2020/1/10, 66, 31, 25, 16, 3, 7
2020/1/11, 77, 30, 24, 11, , 6
2020/1/12, 67, 15, 22, 14, 2, 5
2020/1/13, 30, 22, 18, 16, 3, 7
2020/1/14, 52, 27, 20, 17, 2, 7
2020/1/15, 71, 19, 18, 17, 3, 3
2020/1/16, 47, 25, 16, 25, 3, 2
2020/1/17, 60, 28, 19, 22, 3, 2
2020/1/18, 62, 35, 32, 15, 2, 4
2020/1/19, 92, 49, 30, 19, 3, 5
2020/1/20, 106, 26, 22, 17, 2, 3
2020/1/21, 45, 30, 8, 36, 5, 5
2020/1/22, 55, 16, 12, 26, 4, 5
2020/1/23, 11, 32, 36, 12, 4, 4
2020/1/24, 47, 23, 31, 7, , 2
2020/1/25, 16, 20, 29, 7, 4, 3
2020/1/28, 21, 21, 22, 15, , 
2020/1/29, 21, 18, 27, 11, 5, 2
2020/1/30, 28, 25, 30, 14, 5, 4
2020/1/31, 56, 40, 38, 12, 4, 5
2019/10/1, 24, 30, 23, 17, 4, 5
2019/10/2, 50, 16, 27, 7, 3, 5
2019/10/3, 21, 26, 41, 9, , 4
2019/10/4, 40, 32, 44, 13, 4, 5
