date, pm25, pm10, o3, no2, so2, co
2020/4/1, 78, 35, 40, 16, 4, 3
2020/4/2, 60, 35, 50, 21, 4, 3
2020/4/3, 71, 47, 62, 12, 5, 3
2020/4/4, 76, 40, 44, 9, 2, 3
2020/4/5, 46, 37, 55, 20, 4, 3
2020/4/6, 69, 59, 89, 17, 4, 4
2020/4/7, 102, 42, 69, 8, 5, 3
2020/4/8, 80, 40, 54, 12, 4, 3
2020/4/9, 76, 22, 36, 11, 3, 3
2020/4/10, 48, 24, 45, 16, 4, 3
2020/4/11, 57, 18, 42, 5, 2, 2
2020/4/12, 47, 18, 39, 8, 2, 2
2020/4/13, 40, 29, 51, 22, 4, 4
2020/4/14, 59, 33, 51, 22, 5, 4
2020/4/15, 67, 36, 38, 15, 4, 3
2020/4/16, 68, 32, 32, 25, 3, 3
2020/4/17, 65, 34, 54, 8, 3, 3
2020/4/18, 68, 19, 44, 6, 2, 3
2020/4/19, 43, 20, 56, 7, 3, 3
2020/4/20, 44, 32, 44, 5, 2, 2
2020/4/21, 43, 46, 40, 5, 2, 2
2020/4/22, 41, 45, 45, 5, 3, 3
2020/4/23, 55, 39, 44, 7, 3, 2
2020/4/24, 52, 44, 90, 8, 4, 3
2020/4/25, 70, 43, 60, 7, 4, 3
2020/4/26, 76, 33, 54, 13, 4, 3
2020/4/27, 65, 31, 53, 13, 3, 3
2020/4/28, 64, 41, 79, 20, 5, 4
2020/4/29, 73, 33, 58, 17, 4, 4
2020/4/30, 67, , , , , 
2020/3/1, 60, 32, 37, 13, 4, 5
2020/3/2, 72, 21, 26, 23, 3, 4
2020/3/3, 48, 35, 36, 15, 4, 3
2020/3/4, 59, 37, 40, 18, 4, 4
2020/3/5, 83, 44, 37, 34, 6, 5
2020/3/6, 90, 40, 29, 34, 5, 5
2020/3/7, 88, 31, 41, 14, 5, 4
2020/3/8, 74, 33, 28, 28, 5, 4
2020/3/9, 74, 21, 37, 12, 2, 3
2020/3/10, 50, 28, 34, 12, 3, 3
2020/3/11, 52, 31, 33, 20, 4, 3
2020/3/12, 48, 41, 49, 26, 5, 4
2020/3/13, 69, 24, 46, 8, 3, 3
2020/3/14, 35, 36, 41, 7, 3, 3
2020/3/15, 54, 25, 36, 10, 3, 3
2020/3/16, 46, 35, 60, 21, 6, 4
2020/3/17, 63, 53, 48, 25, 4, 4
2020/3/18, 92, 47, 55, 15, 4, 3
2020/3/19, 70, 45, 37, 14, 3, 3
2020/3/20, 41, 43, 71, 20, 4, 4
2020/3/21, 59, 48, 61, 12, 4, 3
2020/3/22, 77, 40, 47, 19, 5, 3
2020/3/23, 66, 33, 43, 24, 4, 3
2020/3/24, 66, 38, 50, 32, 4, 4
2020/3/25, 75, 41, 30, 42, 4, 4
2020/3/26, 88, 25, 25, 20, 3, 4
2020/3/27, 62, 32, 32, 10, 3, 3
2020/3/28, 55, 28, 37, 8, 3, 2
2020/3/29, 44, 26, 39, 15, 6, 2
2020/3/30, 50, 28, 46, 18, 4, 3
2020/3/31, 59, 38, 52, 19, 4, 4
2020/2/1, 105, 67, 44, 32, 5, 9
2020/2/2, 151, 44, 41, 25, 5, 6
2020/2/3, 95, 34, 31, 25, 5, 4
2020/2/4, 71, 27, 39, 14, 5, 4
2020/2/5, 55, 26, 30, 23, 5, 4
