date, pm25, pm10, o3, no2, so2, co
2020/4/1, 68, 27, 35, 19, 4, 4
2020/4/2, 62, 30, 38, 26, 4, 4
2020/4/3, 65, 40, 54, 15, 5, 3
2020/4/4, 67, 33, 41, 10, 4, 3
2020/4/5, 52, 34, 50, 20, 5, 5
2020/4/6, 68, 56, 76, 26, 6, 5
2020/4/7, 93, 35, 44, 16, 5, 4
2020/4/8, 68, 36, 51, 13, 4, 4
2020/4/9, 69, 18, 32, 10, 4, 4
2020/4/10, 41, 24, 36, 17, 4, 3
2020/4/11, 58, 17, 38, 7, 2, 3
2020/4/12, 47, 17, 35, 9, 3, 3
2020/4/13, 32, 25, 41, 20, 4, 3
2020/4/14, 49, 32, 44, 22, 4, 4
2020/4/15, 66, 33, 35, 9, 5, 4
2020/4/16, 57, 23, 26, 24, 3, 4
2020/4/17, 52, 30, 43, 11, 2, 3
2020/4/18, 52, 17, 41, 8, 3, 3
2020/4/19, 47, 18, 56, 11, 2, 3
2020/4/20, 31, 27, 40, 8, 2, 3
2020/4/21, 33, 37, 38, 6, 2, 
2020/4/22, 28, 40, 42, 5, , 3
2020/4/23, 45, 34, 40, 11, 3, 3
2020/4/24, 41, 43, 77, 15, 3, 4
2020/4/25, 62, , 46, 10, 5, 5
2020/4/26, 68, 30, 48, 15, 4, 3
2020/4/27, 56, 26, 49, 15, 4, 3
2020/4/28, 54, 36, 73, 26, 4, 4
2020/4/29, 69, 30, 55, 21, 4, 3
2020/4/30, 52, , , , , 
2020/3/1, 50, 27, 32, 14, 5, 5
2020/3/2, 62, 19, 17, 13, 4, 4
2020/3/3, 38, 24, 28, 18, 5, 4
2020/3/4, 46, 33, 36, 17, 6, 5
2020/3/5, 81, 39, 33, 32, 8, 6
2020/3/6, 88, 34, 29, 32, 6, 5
2020/3/7, 79, 27, 38, 15, 8, 4
2020/3/8, 61, 25, 26, 21, 6, 4
2020/3/9, 59, 18, 38, 13, 3, 4
2020/3/10, 50, 24, 30, 13, 5, 4
2020/3/11, 48, 29, 27, 26, 6, 4
2020/3/12, 47, 39, 40, 28, 6, 5
2020/3/13, 70, 19, 36, 11, 4, 3
2020/3/14, 29, 32, 34, 8, 4, 4
2020/3/15, 51, 22, 30, 13, 6, 3
2020/3/16, 34, 30, 36, 22, 7, 5
2020/3/17, 51, 44, 41, 25, 6, 5
2020/3/18, 79, 43, 42, 19, 6, 3
2020/3/19, 61, 44, 30, 15, 6, 4
2020/3/20, 34, 40, 43, 17, 5, 3
2020/3/21, 46, 43, 42, 11, 6, 4
2020/3/22, 65, 35, 36, 15, 5, 4
2020/3/23, 58, 27, 35, 16, 5, 4
2020/3/24, 58, 32, 42, 24, 4, 4
2020/3/25, 69, 32, 10, 36, 5, 5
2020/3/26, 71, 25, 18, 18, 3, 5
2020/3/27, 57, 32, 25, 10, 4, 4
2020/3/28, 51, 25, 32, 9, 6, 4
2020/3/29, 41, 22, 35, 12, 4, 3
2020/3/30, 37, 23, 39, 15, 5, 3
2020/3/31, 46, 33, 41, 21, 4, 4
2020/2/1, 101, 53, 37, 27, 3, 7
2020/2/2, 137, 37, 28, 30, 4, 6
2020/2/3, 106, 30, 18, 29, 6, 5
2020/2/4, 71, 21, 29, 13, 4, 4
2020/2/5, 50, 21, 22, 24, 5, 4
2020/2/6, 49, 29, 23, 27, 5, 5
2020/2/7, 69, 28, 31, 13, 4, 5
2020/2/8, 72, 34, 30, 24, 4, 6
2020/2/9, 80, 37, 29, 31, 5, 6
2020/2/10, 89, 50, 18, 36, 7, 7
2020/2/11, 121, 34, 8, 37, 5, 6
2020/2/12, 87, 19, 26, 20, 5, 6
2020/2/13, 43, 35, 33, 23, 7, 6
2020/2/14, 84, 31, 38, 13, 6, 5
2020/2/15, 70, 15, 28, 8, 5, 4
2020/2/16, 32, 15, 27, 5, 5, 3
2020/2/17, 28, 18, 28, 27, 8, 4
2020/2/18, 43, 28, 27, 49, 12, 8
2020/2/19, 64, 35, 32, 31, 5, 6
2020/2/20, 80, 39, 31, 31, 6, 6
2020/2/21, 82, 44, 35, 12, 2, 4
2020/2/22, 63, 22, 32, 14, 4, 4
2020/2/23, 44, 26, 20, 31, 5, 5
2020/2/24, 54, 14, 23, 23, 4, 4
2020/2/25, 30, 21, 30, 14, 4, 5
2020/2/26, 48, 16, 25, 13, 6, 4
2020/2/27, 33, 22, 12, 27, 7, 5
2020/2/28, 55, 16, 22, 17, 5, 4
2020/2/29, 38, 23, 34, 12, 6, 4
2020/1/1, 43, 40, 22, 23, 5, 9
2020/1/2, 97, 39, 23, 26, 5, 8
2020/1/3, 101, 26, 27, 22, 5, 7
2020/1/4, 68, 33, 23, 21, 5, 8
2020/1/5, 89, 28, 5, 26, 6, 8
2020/1/6, 81, 14, 22, 19, 5, 8
2020/1/7, 44, 9, 29, 8, , 6
2020/1/8, 27, 21, 26, 17, 5, 7
2020/1/9, 65, 32, 19, 24, 5, 8
2020/1/10, 83, 34, 32, 22, 5, 8
2020/1/11, 83, 28, 32, 15, 4, 7
2020/1/12, 77, 13, 30, 15, 4, 6
2020/1/13, 41, 22, 22, 20, 5, 7
2020/1/14, 64, 27, 25, 22, 6, 9
2020/1/15, 79, 29, 15, 23, 5, 8
2020/1/16, 75, 23, 19, 22, 5, 8
2020/1/17, 63, 20, 21, 19, 4, 7
2020/1/18, 61, 36, 37, 15, 4, 8
2020/1/19, 96, 50, 27, 24, 5, 11
2020/1/20, 112, 29, 20, 27, 6, 7
2020/1/21, 70, 34, 7, 40, 7, 7
2020/1/22, 92, 12, 19, 21, 3, 6
2020/1/23, 45, 25, 34, 16, 3, 5
2020/1/24, 73, 15, 30, 9, 3, 3
2020/1/25, 41, 10, 28, 9, 4, 4
2020/1/26, 31, 2, 33, 6, 3, 
2020/1/27, 24, 6, 31, 12, 3, 4
2020/1/28, 21, 13, 25, 18, 3, 4
2020/1/29, 38, 12, 30, 14, 3, 4
2020/1/30, 30, 15, 28, 20, 4, 4
2020/1/31, 47, 39, 36, 23, 4, 6
2019/10/1, 64, 21, 17, 15, 4, 4
2019/10/2, 50, 18, 25, 8, 3, 3
2019/10/3, 18, 29, 34, 14, 4, 4
2019/10/4, 39, 33, 33, 13, 4, 4
2019/10/5, 53, 22, 33, 6, , 3
2019/10/6, 23, 19, 26, 15, 4, 4
2019/10/7, 38, 27, 38, 19, 3, 5
2019/10/8, 53, 29, 36, 21, 3, 4
2019/10/9, 52, 31, 30, 26, 5, 4
2019/10/10, 59, 30, 32, 18, 5, 4
2019/10/11, 55, 36, 35, 6, 3, 4
