date, pm25, pm10, o3, no2, so2, co
2020/4/1, 51, 48, 39, 12, 3, 4
2020/4/2, 71, 43, 44, 12, 2, 4
2020/4/3, 77, 58, 49, 11, 2, 3
2020/4/4, 80, 36, 36, 7, 1, 2
2020/4/5, 40, 30, 38, 10, 1, 2
2020/4/6, 45, 49, 49, 12, , 3
2020/4/7, 57, 40, 42, 8, 2, 3
2020/4/8, 59, 33, 41, 11, 1, 2
2020/4/9, 50, 39, 39, 11, 1, 3
2020/4/10, 62, 28, 34, 11, 1, 3
2020/4/11, 51, 22, 34, 9, 1, 3
2020/4/12, 48, 27, 36, 7, 1, 2
2020/4/13, 50, 29, 42, 13, 1, 3
2020/4/14, 55, 27, 43, 12, 1, 3
2020/4/15, 53, 40, 43, 11, 1, 3
2020/4/16, 69, 37, 50, 11, 2, 3
2020/4/17, 66, 52, 51, 9, 1, 5
2020/4/18, 83, 24, 44, 7, 1, 3
2020/4/19, 43, 26, 53, 8, 1, 4
2020/4/20, 54, 35, 41, 7, 1, 2
2020/4/21, 37, 44, 40, 6, 1, 2
2020/4/22, 42, 51, 39, 6, 2, 3
2020/4/23, 47, 47, 45, 10, 2, 3
2020/4/24, 60, 56, 70, 12, 2, 3
2020/4/25, 72, 45, 47, 8, 1, 3
2020/4/26, 73, 28, 42, 11, 1, 
2020/4/27, 49, 30, 44, 10, 1, 3
2020/4/28, 53, 25, 43, 12, 3, 3
2020/4/29, 35, 32, 45, 12, 2, 3
2020/4/30, 51, , , , , 
2020/3/1, 43, 39, 34, 10, , 4
2020/3/2, 75, 29, 21, 12, 2, 3
2020/3/3, 54, 36, 32, 8, 1, 3
2020/3/4, 64, 28, 32, 10, 1, 4
2020/3/5, 51, 25, 32, 14, 2, 4
2020/3/6, 48, 20, 27, 19, 3, 4
2020/3/7, 42, 24, 38, 13, 2, 4
2020/3/8, 49, 21, 33, 12, 2, 3
2020/3/9, 41, 31, 33, 9, 1, 4
2020/3/10, 56, 38, 30, 8, 1, 3
2020/3/11, 39, 27, 29, 16, 2, 3
2020/3/12, 33, 33, 40, 14, 1, 3
2020/3/13, 47, 31, 36, 7, 1, 2
2020/3/14, 35, 54, 38, 8, 2, 3
2020/3/15, 84, 30, 31, 8, 1, 2
2020/3/16, 38, 29, 40, 15, 1, 3
2020/3/17, 41, 58, 46, 21, 5, 4
2020/3/18, 93, 48, 45, 9, 1, 3
2020/3/19, 56, 42, 31, 11, 1, 4
2020/3/20, 26, 48, 44, 19, 3, 4
2020/3/21, 57, 45, 41, 12, 1, 3
2020/3/22, 75, 34, 41, 11, 1, 3
2020/3/23, 59, 43, 43, 14, 2, 3
2020/3/24, 73, 33, 43, 11, 2, 2
2020/3/25, 56, 19, 29, 16, 1, 3
2020/3/26, 41, 33, 31, 10, 1, 3
2020/3/27, 51, 32, 31, 10, 2, 3
2020/3/28, 30, 33, 35, 9, , 3
2020/3/29, 49, 28, 36, 8, , 2
2020/3/30, 39, 28, 45, 10, 3, 2
2020/3/31, 42, 37, 40, 8, 1, 3
2020/2/1, 100, 47, 39, 14, 3, 6
2020/2/2, 100, 29, 33, 13, 2, 5
2020/2/3, 62, 25, 31, 16, 3, 4
2020/2/4, 55, 29, 33, 9, 3, 4
2020/2/5, 54, 17, 32, 11, 3, 4
2020/2/6, 27, 26, 30, 15, 3, 4
2020/2/7, 54, 47, 34, 9, , 5
2020/2/8, 107, 38, 35, 10, 4, 5
