date, pm25, pm10, o3, no2, so2, co
2020/4/1, 72, 37, 41, 14, 2, 3
2020/4/2, 75, 47, 52, 14, 3, 4
2020/4/3, 105, 55, 42, 9, 2, 3
2020/4/4, 84, 31, 42, 10, 2, 3
2020/4/5, 54, 39, 44, 13, 3, 3
2020/4/6, 73, 36, 44, 12, 2, 3
2020/4/7, 62, 33, 40, 10, 3, 3
2020/4/8, 61, 34, 41, 11, 3, 4
2020/4/9, 69, 35, 44, 10, 2, 3
2020/4/10, 77, 35, 43, 11, 3, 3
2020/4/11, 86, 31, 43, 11, 3, 3
2020/4/12, 88, 19, 43, 8, 2, 3
2020/4/13, 54, 33, 58, 11, 2, 3
2020/4/14, 81, 41, 71, 15, 3, 4
2020/4/15, 101, 40, 74, 15, 4, 5
2020/4/16, 93, 27, 60, 9, 1, 4
2020/4/17, 62, 38, 51, 9, 1, 5
2020/4/18, 84, 36, 34, 11, 2, 5
2020/4/19, 101, 16, 47, 9, , 4
2020/4/20, 52, 31, 40, 8, 2, 3
2020/4/21, 44, 51, 37, 7, 2, 3
2020/4/22, 40, 45, 45, 9, 3, 3
2020/4/23, 54, 31, 51, 9, 2, 2
2020/4/24, 52, 49, 90, 9, 3, 3
2020/4/25, 83, 26, 44, 8, 1, 2
2020/4/26, 60, 28, 54, 11, 2, 3
2020/4/27, 69, 36, 63, 11, 1, 2
2020/4/28, 88, 28, 52, 12, 1, 2
2020/4/29, 61, 30, 72, 11, , 3
2020/4/30, 64, , , , , 
2020/3/1, 85, 36, 37, 11, 4, 5
2020/3/2, 84, 32, 25, 11, 2, 
2020/3/3, 85, 28, 38, 9, 3, 4
2020/3/4, 69, 32, 38, 14, 4, 5
2020/3/5, 81, 31, 35, 16, 4, 4
2020/3/6, 81, 39, 35, 17, 4, 4
2020/3/7, 97, 41, 45, 15, 4, 5
2020/3/8, 111, 68, 32, 23, 4, 5
2020/3/9, 157, 41, 39, 11, 3, 5
2020/3/10, 103, 33, 32, 11, 2, 3
2020/3/11, 50, 30, 35, 14, 2, 3
2020/3/12, 50, 30, 31, 15, 3, 3
2020/3/13, 65, 26, 38, 11, 3, 3
2020/3/14, 55, 37, 36, 9, 3, 3
2020/3/15, 65, 23, 33, 11, 2, 3
2020/3/16, 53, 33, 43, 12, 3, 3
2020/3/17, 61, 41, 44, 13, 4, 3
2020/3/18, 91, 47, 58, 8, 2, 3
2020/3/19, 69, 37, 35, 10, 2, 3
2020/3/20, 32, 43, 59, 11, 2, 3
2020/3/21, 66, 44, 42, 8, 3, 3
2020/3/22, 86, 41, 46, 11, 3, 4
2020/3/23, 87, 55, 52, 13, 4, 5
2020/3/24, 129, 54, 65, 18, 4, 5
2020/3/25, 129, 20, 35, 11, 3, 4
2020/3/26, 60, 27, 30, 11, , 4
2020/3/27, 60, 30, 31, 10, 2, 3
2020/3/28, 43, 36, 41, 12, 3, 3
2020/3/29, 67, 41, 42, 14, 2, 4
2020/3/30, 84, 31, 38, 15, 3, 3
2020/3/31, 69, 39, 42, 11, 4, 3
2020/2/1, 116, 61, 43, 17, 3, 7
2020/2/2, 141, 35, 34, 15, 3, 3
2020/2/3, 91, 27, 28, 18, 3, 3
2020/2/4, 71, 20, 30, 9, 3, 2
2020/2/5, 53, 21, 27, 15, 4, 2
2020/2/6, 57, 33, 25, 20, 3, 4
2020/2/7, 84, 35, 35, 15, 4, 4
2020/2/8, 90, 30, 37, 17, 3, 4
2020/2/9, 80, 48, 39, 19, 4, 5
2020/2/10, 124, 57, 24, 32, 4, 7
2020/2/11, 131, 33, 31, 16, 3, 4
2020/2/12, 84, 34, 34, 15, , 4
2020/2/13, 85, 49, 28, 22, , 5
2020/2/14, 119, 58, 32, 22, 3, 6
2020/2/15, 142, 12, 31, 7, 2, 4
2020/2/16, 41, 16, 31, 9, , 2
2020/2/17, 44, 18, 31, 16, 4, 4
2020/2/18, 57, 21, 33, 19, 3, 4
2020/2/19, 63, 39, 37, 19, 5, 6
2020/2/20, 94, 46, 45, 18, 4, 6
2020/2/21, 109, 54, 39, 9, 3, 5
2020/2/22, 98, 22, 38, 13, 3, 4
2020/2/23, 55, 24, 37, 17, 3, 4
2020/2/24, 60, 14, 25, 16, 2, 4
2020/2/25, 46, 13, 34, 11, 5, 4
2020/2/26, 46, 40, 35, 16, 4, 5
2020/2/27, 90, 29, 27, 15, 4, 4
2020/2/28, 83, 17, 33, 15, 4, 4
2020/2/29, 59, 33, 37, 10, 2, 5
2020/1/1, 65, 44, 20, 24, 3, 6
2020/1/2, 109, 62, 18, 26, 4, 7
2020/1/3, 151, 61, 24, 25, 4, 8
2020/1/4, 147, 48, 25, 21, 4, 6
2020/1/5, 122, 29, 9, 24, 3, 5
2020/1/6, 81, 11, 24, 16, 3, 4
2020/1/7, 35, 34, 30, 10, , 5
2020/1/8, 75, 32, 32, 15, 3, 4
2020/1/9, 81, 45, 24, 22, 4, 6
2020/1/10, 113, 48, 33, 19, 4, 6
2020/1/11, 122, 26, 30, 11, 4, 4
2020/1/12, 67, 14, 30, 11, , 3
2020/1/13, 45, 26, 21, 18, 4, 4
2020/1/14, 73, 33, 27, 17, 3, 4
2020/1/15, 88, 35, 23, 19, 4, 4
2020/1/16, 88, 39, 27, 22, 6, 5
2020/1/17, 91, 47, 32, 22, 4, 6
2020/1/18, 119, 58, 37, 16, 4, 7
2020/1/19, 128, 55, 30, 16, 3, 5
2020/1/20, 111, 32, 29, 20, 4, 4
2020/1/21, 73, 45, 5, 32, 4, 5
2020/1/22, 102, 40, 31, 24, 5, 5
2020/1/23, 96, 60, 34, 20, 4, 7
2020/1/24, 142, 65, 21, 20, 3, 7
2020/1/25, 155, 47, 25, 15, 3, 6
2020/1/26, 116, 4, 30, 6, , 2
2020/1/27, 21, 12, 25, 13, , 3
2020/1/28, 46, 19, 22, 17, 3, 2
2020/1/29, 59, 29, 29, 15, 4, 3
2020/1/30, 71, 39, 34, 15, 3, 4
2020/1/31, 94, 47, 41, 16, 2, 5
2019/10/1, 97, 9, 17, 10, , 2
2019/10/2, 20, 22, 36, 9, 4, 2
2019/10/3, 48, 38, 50, 10, 2, 4
2019/10/4, 81, 36, 37, 10, 3, 4
2019/10/5, 64, 24, 31, 11, 1, 2
2019/10/6, 49, 14, 24, 12, 2, 1
2019/10/7, 40, 24, 39, 13, 3, 2
2019/10/8, 48, 24, 35, 16, 3, 3
2019/10/9, 48, 33, 39, 18, 3, 5
2019/10/10, 68, 58, 62, 23, 3, 4
2019/10/11, 121, 30, 42, 14, 3, 2
2019/10/12, 64, 27, 39, 14, 4, 2
2019/10/13, 52, 35, 32, 16, 2, 3
2019/10/14, 65, 44, 40, 18, 3, 4
2019/10/15, 78, 44, 44, 19, 3, 3
2019/10/16, 89, 57, 33, 25, 3, 4
2019/10/17, 124, 35, 28, 19, 2, 3
2019/10/18, 79, 33, 39, 14, 4, 3
2019/10/19, 59, 47, 48, 14, 2, 5
2019/10/20, 104, 43, 42, 20, 3, 4
2019/10/21, 89, 31, 38, 20, 3, 3
2019/10/22, 65, 36, 22, 20, 3, 3
2019/10/23, 70, 32, 41, 15, 3, 3
2019/10/24, 64, 36, 39, 16, 4, 3
2019/10/25, 67, 25, 32, 13, 3, 3
2019/10/26, 51, 29, 38, 16, 3, 3
2019/10/27, 63, 35, 41, 16, 3, 4
2019/10/28, 80, 47, 36, 13, , 3
2019/10/29, 68, 32, 35, 18, 3, 3
2019/10/30, 59, 43, 44, 17, 3, 3
2019/10/31, 72, 78, 60, 20, 4, 5
2019/11/1, 113, 64, 43, 24, 4, 6
2019/11/2, 121, 63, 45, 16, 5, 5
2019/11/3, 130, 47, 41, 21, 4, 5
2019/11/4, 104, 48, 38, 20, 4, 5
2019/11/5, 111, 39, 38, 19, 4, 5
2019/11/6, 91, 44, 27, 21, 4, 5
2019/11/7, 87, 35, 30, 21, 3, 5
2019/11/8, 75, 47, 34, 21, 4, 7
2019/11/9, 102, 45, 34, 18, 3, 6
2019/11/10, 109, 27, 40, 17, 2, 8
2019/11/11, 58, 36, 28, 22, 3, 8
2019/11/12, 76, 42, 13, 21, 3, 9
2019/11/13, 96, , , , , 6
2019/11/14, 46, 34, 34, 10, 2, 5
2019/11/15, 52, 33, 32, 12, 2, 6
2019/11/16, 60, 29, 29, 13, 3, 6
2019/11/17, 72, 45, 35, 10, 2, 6
2019/11/18, 56, 20, 26, 13, 2, 6
2019/11/19, 48, 26, 21, 21, 2, 2
2019/11/20, 60, 38, 12, 28, 4, 4
2019/11/21, 83, 40, 24, 27, 4, 4
2019/11/22, 85, 39, 24, 23, 4, 3
2019/11/23, 90, 40, 30, 15, 4, 4
2019/11/24, 101, 24, 25, 13, 3, 3
2019/11/25, 58, 32, 16, 20, 5, 4
2019/11/26, 80, 35, 23, 15, 4, 4
2019/11/27, 81, 42, 20, 22, 5, 5
2019/11/28, 94, 34, 23, 23, 5, 5
2019/11/29, 84, 40, 21, 23, 5, 4
2019/11/30, 95, 48, 13, 22, 4, 5
2019/12/1, 126, 24, 26, 13, 3, 3
2019/12/2, 67, 18, 27, 15, 3, 3
2019/12/3, 51, 31, 28, 18, 4, 4
2019/12/4, 70, 22, 28, 12, 3, 3
2019/12/5, 60, 22, 24, 13, 5, 3
2019/12/6, 59, 30, 31, 19, 4, 4
2019/12/7, 76, 41, 30, 19, 4, 4
2019/12/8, 101, 44, 32, 19, 3, 5
2019/12/9, 105, 59, 41, 22, 4, 5
2019/12/10, 133, 48, 34, 16, 3, 4
2019/12/11, 104, 18, 25, 14, 3, 3
2019/12/12, 54, 26, 18, 22, 3, 4
2019/12/13, 72, 30, 27, 16, 4, 4
2019/12/14, 78, 36, 23, 20, 4, 4
2019/12/15, 89, 42, 21, 26, 4, 5
2019/12/16, 96, 26, 23, 18, 5, 6
2019/12/17, 67, 30, 23, 16, 4, 4
2019/12/18, 78, 20, 27, 17, 5, 3
2019/12/19, 58, 29, 21, 18, 3, 4
2019/12/20, 79, 48, 11, 23, 3, 6
2019/12/21, 118, 45, 25, 21, 3, 5
2019/12/22, 112, 41, 29, 17, 3, 6
2019/12/23, 108, 52, 27, 23, 3, 7
2019/12/24, 134, 52, 21, 24, 4, 6
2019/12/25, 132, 36, 26, 18, 3, 5
2019/12/26, 97, 20, 31, 15, 3, 3
2019/12/27, 59, 36, 24, 24, 4, 4
2019/12/28, 79, 44, 13, 23, 3, 5
2019/12/29, 102, , , , , 
2019/7/1, 76, 29, 60, 10, 2, 4
2019/7/2, 74, 41, 56, 11, 2, 3
2019/7/3, 96, 43, 62, 12, 4, 3
2019/7/4, 98, 43, 80, 15, 5, 4
2019/7/5, 93, 40, 70, 12, 3, 3
2019/7/6, 91, 33, 50, 10, 2, 3
2019/7/7, 75, 24, 56, 13, 3, 2
2019/7/8, 56, 24, 53, 13, 3, 2
2019/7/9, 58, 18, 35, 12, 2, 
2019/7/10, 51, 12, 35, 10, 2, 2
2019/7/11, 30, 11, 35, 10, 3, 1
2019/7/12, 31, 27, 40, 11, 3, 2
2019/7/13, 73, 41, 55, 8, 3, 2
2019/7/14, 102, 48, 49, 10, 2, 3
2019/7/15, 118, 41, 47, 11, 2, 2
2019/7/16, 92, 46, 53, 13, 4, 3
2019/7/17, 111, 23, 33, 10, 2, 2
2019/7/18, 61, 16, 15, 12, 3, 1
2019/7/19, 36, 7, 15, 9, , 1
2019/7/20, 15, 16, 36, 7, 2, 1
2019/7/21, 42, 25, 31, 9, 2, 1
2019/7/22, 62, 19, 24, 8, 2, 1
2019/7/23, 47, 22, 26, 8, 2, 1
2019/7/24, 49, 27, 34, 9, 1, 2
2019/7/25, 64, 23, 26, 10, 2, 2
2019/7/26, 58, 17, 32, 9, 2, 2
2019/7/27, 38, 15, 20, 6, 1, 1
2019/7/28, 31, 14, 20, 7, 1, 1
2019/7/29, 29, 14, 20, 7, 2, 1
2019/7/30, 25, 10, 16, 7, 2, 1
