date, pm25, pm10, o3, no2, so2, co
2020/4/1, 74, 48, 43, 13, 11, 3
2020/4/2, 79, 48, 47, 14, 16, 4
2020/4/3, 96, 62, 39, 11, 9, 4
2020/4/4, 84, 41, 42, 6, 11, 3
2020/4/5, 52, 46, 43, 15, 10, 3
2020/4/6, 70, 38, 40, 13, 5, 3
2020/4/7, 54, 44, 42, 9, 6, 2
2020/4/8, 62, 44, 46, 10, 10, 3
2020/4/9, 68, 39, 42, 11, 13, 3
2020/4/10, 68, 34, 43, 10, 7, 3
2020/4/11, 75, 33, 47, 10, 6, 3
2020/4/12, 73, 30, 44, 7, 5, 2
2020/4/13, 53, 46, 59, 18, 7, 3
2020/4/14, 88, 50, 62, 20, 5, 3
2020/4/15, 113, 49, 61, 14, 5, 3
2020/4/16, 91, 37, 58, 8, 6, 3
2020/4/17, 66, 43, 57, 8, 11, 3
2020/4/18, 82, 40, 36, 9, 4, 3
2020/4/19, 89, 23, 43, 11, 9, 3
2020/4/20, 46, 43, 39, 11, 13, 2
2020/4/21, 42, 64, 36, 5, 10, 3
2020/4/22, 36, 56, 42, 7, 11, 3
2020/4/23, 50, 48, 58, 9, 9, 2
2020/4/24, 45, 74, 86, 7, 5, 3
2020/4/25, 85, 33, 43, 8, 14, 2
2020/4/26, 59, 37, 44, 16, 13, 2
2020/4/27, 68, 36, 56, 12, 4, 3
2020/4/28, 75, 33, 50, 14, 5, 3
2020/4/29, 64, 37, 49, 14, 4, 3
2020/4/30, 72, , , , , 
2020/3/1, 71, 48, 36, 10, 13, 5
2020/3/2, 85, 32, 28, 9, 4, 4
2020/3/3, 69, 44, 37, 9, 7, 5
2020/3/4, 60, 36, 38, 8, 7, 4
2020/3/5, 68, 35, 43, 16, 6, 4
2020/3/6, 69, 43, 32, 18, 6, 4
2020/3/7, 103, 55, 47, 17, 5, 5
2020/3/8, 133, 75, 42, 24, 6, 5
2020/3/9, 163, 51, 36, 14, 23, 3
2020/3/10, 116, 48, 31, 10, 11, 2
2020/3/11, 54, 37, 36, 15, 5, 3
2020/3/12, 57, 38, 32, 14, 14, 3
2020/3/13, 57, 32, 40, 9, 10, 2
2020/3/14, 53, 52, 34, 10, 15, 3
2020/3/15, 84, 33, 33, 10, 9, 3
2020/3/16, 57, 41, 38, 12, 4, 3
2020/3/17, 63, 49, 42, 13, 4, 3
2020/3/18, 95, 51, 51, 7, 5, 3
2020/3/19, 70, 47, 34, 9, 4, 2
2020/3/20, 38, 48, 56, 12, 4, 3
2020/3/21, 61, 52, 41, 11, 10, 2
2020/3/22, 79, 49, 55, 15, 10, 4
2020/3/23, 85, 62, 57, 17, 6, 5
2020/3/24, 130, 59, 67, 20, 6, 4
2020/3/25, 129, 37, 29, 18, 4, 3
2020/3/26, 89, 40, 32, 10, 15, 3
