date, pm25, pm10, o3, no2, so2, co
2020/4/1, 72, 45, 41, 19, 3, 3
2020/4/2, 78, 50, 52, 17, 3, 4
2020/4/3, 108, 62, 42, 15, 2, 4
2020/4/4, 91, 39, 42, 11, 3, 3
2020/4/5, 54, 47, 47, 16, 3, 4
2020/4/6, 85, 42, 41, 18, 2, 3
2020/4/7, 71, 36, 41, 13, 2, 3
2020/4/8, 60, 39, 40, 17, 2, 3
2020/4/9, 75, 40, 36, 13, 2, 4
2020/4/10, 82, 41, 40, 16, 2, 4
2020/4/11, 91, 34, 42, 12, 2, 4
2020/4/12, 76, 20, 41, 10, 2, 2
2020/4/13, 45, 39, 53, 17, 4, 3
2020/4/14, 89, 50, 66, 19, 4, 4
2020/4/15, 106, 44, 53, 18, 4, 3
2020/4/16, 95, 32, 52, 14, 3, 3
2020/4/17, 64, 38, 46, 12, 3, 3
2020/4/18, 78, 37, 34, 12, 3, 3
2020/4/19, 94, 16, 42, 12, 3, 3
2020/4/20, 41, 33, 36, 9, 4, 2
2020/4/21, 36, 54, 32, 6, 2, 2
2020/4/22, 30, 52, 42, 12, 3, 3
2020/4/23, 51, 43, 46, 13, 2, 3
2020/4/24, 55, 55, 79, 12, 3, 4
2020/4/25, 83, 29, 42, 8, 2, 3
2020/4/26, 53, 34, 48, 13, 3, 3
2020/4/27, 66, 41, 54, 14, 4, 3
2020/4/28, 86, 37, 56, 15, 4, 3
2020/4/29, 69, 41, 53, 16, 4, 3
2020/4/30, 72, , , , , 
2020/3/1, 95, 40, 34, 13, 2, 5
2020/3/2, 83, 39, 21, 16, 2, 4
2020/3/3, 92, 30, 37, 10, 3, 4
2020/3/4, 64, 34, 38, 17, 3, 3
2020/3/5, 77, 40, 29, 19, 4, 4
2020/3/6, 88, 44, 31, 21, 3, 5
2020/3/7, 102, 49, 47, 15, 3, 5
2020/3/8, 120, 72, 29, 20, 4, 5
2020/3/9, 165, 40, 36, 12, 3, 4
2020/3/10, 99, 36, 32, 11, 2, 3
2020/3/11, 40, 34, 34, 18, 3, 3
2020/3/12, 57, 33, 31, 16, 2, 3
2020/3/13, 64, 31, 36, 13, 3, 3
2020/3/14, 52, 43, 36, 10, 2, 4
2020/3/15, 66, 27, 33, 13, 3, 3
2020/3/16, 47, 40, 40, 17, 3, 3
