date, pm25, pm10, o3, no2, so2, co
2020/4/1, 69, 37, 44, 15, 3, 4
2020/4/2, 71, 43, 57, 15, 4, 4
2020/4/3, 93, 53, 43, 12, 2, 4
2020/4/4, 73, 27, 24, 11, 3, 2
2020/4/5, 41, 27, 49, 11, 4, 3
2020/4/6, 57, 30, 47, 12, 2, 3
2020/4/7, 53, 28, 39, 12, 2, 3
2020/4/8, 53, 29, 40, 12, 2, 3
2020/4/9, 61, 30, 41, 13, , 4
2020/4/10, 66, 33, 37, 13, 3, 4
2020/4/11, 82, 27, 41, 12, 2, 4
2020/4/12, 73, 19, 41, 13, 2, 3
2020/4/13, 51, 25, 54, 14, 2, 4
2020/4/14, 63, 36, 71, 15, 3, 4
2020/4/15, 83, 31, 69, 15, 4, 4
2020/4/16, 70, 24, 53, 10, 3, 5
2020/4/17, 55, 36, 45, 10, , 5
2020/4/18, 76, 29, 35, 12, 2, 5
2020/4/19, 76, 15, 46, 11, 2, 4
2020/4/20, 47, 26, 38, 8, , 2
2020/4/21, 36, 50, 36, 7, , 2
2020/4/22, 33, 44, 44, 8, 2, 3
2020/4/23, 44, 27, 52, 9, 3, 2
2020/4/24, 43, 48, 87, 9, 3, 5
2020/4/25, 79, 25, 44, 8, , 3
2020/4/26, 51, 24, 53, 10, 4, 3
2020/4/27, 57, 26, 60, 10, 2, 4
2020/4/28, 63, 25, 60, 12, , 3
2020/4/29, 55, 24, 61, 13, 2, 4
2020/4/30, 53, , , , , 
2020/3/1, 87, 33, 38, 10, 2, 5
2020/3/2, 78, 34, 27, 12, , 4
2020/3/3, 79, 28, 37, 10, 2, 3
2020/3/4, 63, 26, 38, 12, 3, 4
2020/3/5, 67, 22, 37, 16, 3, 4
2020/3/6, 65, 27, 37, 17, , 4
2020/3/7, 70, 33, 45, 15, , 5
2020/3/8, 94, 48, 34, 21, 3, 5
2020/3/9, 120, 41, 40, 12, , 4
2020/3/10, 108, 32, 33, 10, 2, 2
2020/3/11, 41, 24, 37, 13, 2, 3
2020/3/12, 42, 30, 34, 13, 3, 3
2020/3/13, 47, 24, 43, 10, 3, 3
2020/3/14, 50, 39, 36, 9, 2, 3
2020/3/15, 63, 22, 35, 11, 3, 3
2020/3/16, 46, 31, 45, 14, 3, 3
2020/3/17, 52, 33, 71, 13, 2, 4
2020/3/18, 69, 40, 67, 8, 2, 2
2020/3/19, 58, 32, 40, 10, 2, 3
2020/3/20, 29, 39, 60, 10, 2, 3
