date, pm25, pm10, o3, no2, so2, co
2020/4/1, 73, 44, 43, 21, 4, 5
2020/4/2, 78, 56, 53, 24, 5, 6
2020/4/3, 111, 63, 46, 15, 4, 5
2020/4/4, 81, 37, 43, 13, 3, 5
2020/4/5, 58, 42, 45, 17, 4, 5
2020/4/6, 69, 43, 45, 19, 4, 5
2020/4/7, 58, 41, 40, 15, 3, 4
2020/4/8, 65, 39, 42, 17, 4, 5
2020/4/9, 68, 41, 45, 13, 4, 5
2020/4/10, 73, 39, 43, 18, 7, 5
2020/4/11, 82, 31, 43, 17, 4, 5
2020/4/12, 73, 23, 42, 18, 5, 4
2020/4/13, 52, 36, 52, 23, 8, 4
2020/4/14, 73, 47, 77, 25, 11, 5
2020/4/15, 89, 47, 72, 23, 6, 4
2020/4/16, 80, 30, 57, 14, 20, 5
2020/4/17, 57, 40, 51, 12, , 6
2020/4/18, 74, 30, 38, 15, , 5
2020/4/19, 72, 18, 48, 15, 2, 5
2020/4/20, 46, 34, 38, 12, 3, 4
2020/4/21, 42, 59, 37, 12, 5, 4
2020/4/22, 44, 56, 42, 15, 6, 4
2020/4/23, 53, 37, 50, 17, 7, 3
2020/4/24, 47, 52, 91, 13, 10, 4
2020/4/25, 76, 32, 44, 10, 12, 3
2020/4/26, 57, 37, 55, 20, 13, 3
2020/4/27, 65, 39, 63, 20, 14, 4
2020/4/28, 77, 38, 66, 20, 20, 4
2020/4/29, 69, 33, 71, 17, 24, 3
2020/4/30, 67, , , , , 
2020/3/1, 103, 45, 36, 16, 6, 7
2020/3/2, 100, 40, 25, 17, 6, 6
2020/3/3, 101, 38, 36, 12, 5, 6
2020/3/4, 76, 41, 37, 17, 7, 6
2020/3/5, 90, 38, 32, 26, 11, 6
2020/3/6, 82, 37, 37, 25, 11, 6
2020/3/7, 85, 35, 46, 18, 14, 6
2020/3/8, 90, 62, 33, 36, 12, 6
2020/3/9, 146, 43, 36, 19, 7, 7
2020/3/10, 96, 42, 31, 14, 3, 7
2020/3/11, 66, 33, 34, 21, 3, 5
2020/3/12, 56, 31, 31, 21, 3, 5
2020/3/13, 52, 33, 40, 16, 4, 5
2020/3/14, 54, 42, 35, 11, 3, 5
2020/3/15, 64, 30, 33, 17, 4, 5
2020/3/16, 56, 38, 44, 20, 4, 5
2020/3/17, 63, 44, 42, 25, 4, 6
2020/3/18, 79, 49, 65, 12, 4, 7
2020/3/19, 64, 45, 33, 18, 4, 3
2020/3/20, 41, 50, 61, 24, 4, 5
2020/3/21, 64, 53, 52, 11, 3, 4
2020/3/22, 88, 46, 46, 20, 5, 5
2020/3/23, 77, 60, 48, 24, 4, 6
2020/3/24, 113, 52, 62, 25, 5, 5
2020/3/25, 100, 21, 41, 15, 5, 4
2020/3/26, 51, 22, 31, 15, 4, 4
2020/3/27, 46, 37, 28, 15, 4, 5
2020/3/28, 47, 42, 43, 15, 3, 5
2020/3/29, 66, 41, 45, 22, 3, 4
2020/3/30, 71, 37, 43, 24, 4, 4
2020/3/31, 69, 47, 46, 17, 5, 5
2020/2/1, 124, 62, 41, 17, 5, 5
2020/2/2, 152, 40, 33, 17, 4, 4
2020/2/3, 100, 33, 26, 25, 7, 6
2020/2/4, 83, 29, 29, 15, 5, 4
2020/2/5, 71, 29, 23, 21, 6, 5
2020/2/6, 68, 37, 23, 30, 6, 6
2020/2/7, 93, 42, 35, 27, 5, 7
2020/2/8, 104, 34, 37, 24, 6, 6
2020/2/9, 83, 47, 36, 34, 7, 8
2020/2/10, 117, 47, 34, 43, 8, 8
2020/2/11, 111, 29, 33, 29, 6, 7
2020/2/12, 80, 41, 29, 24, 6, 6
2020/2/13, 103, 58, 23, 31, 7, 8
2020/2/14, 128, 47, 39, 29, 9, 7
2020/2/15, 118, 20, 28, 10, 11, 5
2020/2/16, 55, 27, 29, 13, 10, 5
2020/2/17, 65, 30, 30, 19, 7, 4
2020/2/18, 75, 32, 33, 28, 7, 6
2020/2/19, 83, 45, 36, 32, 6, 7
2020/2/20, 109, 50, 43, 28, 6, 7
2020/2/21, 127, 62, 38, 14, 5, 7
2020/2/22, 107, 33, 37, 16, 6, 5
2020/2/23, 62, 37, 36, 24, 6, 5
2020/2/24, 73, 20, 28, 28, 9, 6
2020/2/25, 56, 25, 34, 22, 8, 6
2020/2/26, 63, 48, 34, 20, 7, 6
2020/2/27, 130, 33, 26, 19, 6, 6
2020/2/28, 84, 21, 33, 20, 6, 6
2020/2/29, 54, 44, 34, 15, 5, 6
2020/1/1, 84, 53, 22, 34, 6, 8
2020/1/2, 131, 68, 19, 39, 13, 11
2020/1/3, 159, 66, 20, 39, 12, 12
2020/1/4, 158, 56, 21, 32, 6, 13
2020/1/5, 142, 23, 25, 32, 4, 8
2020/1/6, 56, 15, 34, 25, 5, 6
2020/1/7, 41, 37, 27, 18, 4, 8
2020/1/8, 95, 39, 31, 22, 5, 8
2020/1/9, 96, 37, 19, 31, 6, 9
2020/1/10, 106, 39, 33, 29, 5, 9
2020/1/11, 127, 22, 30, 18, 5, 6
2020/1/12, 77, 17, 30, 19, 6, 10
2020/1/13, 61, 25, 25, 22, 5, 8
2020/1/14, 83, 28, 28, 22, 5, 8
2020/1/15, 102, 40, 22, 27, 13, 8
2020/1/16, 116, 46, 22, 34, 11, 10
2020/1/17, 128, 51, 32, 31, 12, 10
2020/1/18, 140, 61, 37, 23, 12, 10
2020/1/19, 143, 58, 29, 21, 9, 10
2020/1/20, 129, 36, 24, 13, 6, 6
2020/1/21, 86, 49, 4, 39, 5, 10
2020/1/22, 120, 44, 22, 33, 6, 8
2020/1/23, 104, 63, 31, 26, 6, 9
2020/1/24, 155, 58, 14, 28, 5, 9
2020/1/25, 153, 44, 25, 18, 7, 7
2020/1/26, 123, 5, 27, 10, 9, 4
2020/1/27, 20, 15, 21, 21, 12, 4
2020/1/28, 49, 17, 22, 25, 12, 6
2020/1/29, 69, 30, 29, 22, 14, 6
2020/1/30, 82, 41, 32, 19, 9, 6
2020/1/31, 93, 53, 41, 17, 5, 4
2019/10/1, 94, 16, 25, 14, 7, 4
2019/10/2, 48, 29, 42, 13, 6, 4
2019/10/3, 57, 40, 58, 16, 5, 5
2019/10/4, 90, 47, 49, 13, 4, 5
2019/10/5, 95, 25, 32, 10, 6, 4
2019/10/6, 61, 19, 29, 14, 5, 4
2019/10/7, 57, 36, 40, 19, 5, 4
2019/10/8, 78, 31, 32, 18, 6, 4
2019/10/9, 75, 33, 24, 25, 8, 4
2019/10/10, 70, 47, 47, 28, 5, 5
2019/10/11, 98, 39, 38, 18, 7, 4
2019/10/12, 88, 33, 36, 13, 7, 3
2019/10/13, 78, 40, 34, 18, 6, 4
2019/10/14, 89, 43, 39, 27, 5, 5
2019/10/15, 99, 41, 45, 26, 4, 5
2019/10/16, 95, 52, 37, 31, 6, 5
2019/10/17, 124, 38, 33, 26, 8, 5
2019/10/18, 87, 37, 41, 24, 8, 4
2019/10/19, 81, 45, 47, 20, 7, 5
2019/10/20, 105, 30, 42, 14, 5, 5
2019/10/21, 90, 22, 38, 13, 4, 4
2019/10/22, 67, 30, 29, 24, 4, 4
2019/10/23, 72, 32, 40, 24, 3, 5
2019/10/24, 76, 41, 38, 28, 4, 5
2019/10/25, 85, 37, 37, 18, 4, 5
2019/10/26, 76, 31, 37, 20, 3, 4
2019/10/27, 67, 35, 40, 25, 3, 5
2019/10/28, 74, 62, 40, 22, 4, 5
2019/10/29, 83, 43, 38, 26, 4, 5
2019/10/30, 80, 49, 43, 26, 3, 5
2019/10/31, 81, 81, 66, 31, 4, 7
2019/11/1, 125, 71, 47, 36, 4, 7
2019/11/2, 138, 64, 47, 28, 5, 7
2019/11/3, 142, 53, 44, 32, 4, 7
2019/11/4, 117, 57, 40, 33, 3, 7
2019/11/5, 133, 46, 39, 28, 5, 6
2019/11/6, 101, 48, 40, 31, 7, 6
2019/11/7, 98, 51, 36, 32, 16, 6
2019/11/8, 96, 53, 37, 33, 14, 7
2019/11/9, 110, 44, 42, 27, 8, 6
2019/11/10, 106, 40, 41, 26, 4, 7
2019/11/11, 80, 46, 27, 34, 9, 7
2019/11/12, 94, 49, 18, 33, 20, 6
2019/11/13, 97, , , , 24, 3
2019/11/14, 46, 48, 34, 25, 8, 4
2019/11/15, 77, 47, 35, 23, 7, 4
2019/11/16, 85, 36, 34, 17, 5, 4
2019/11/17, 82, 59, 35, 17, 11, 4
2019/11/18, 79, 36, 26, 17, 14, 4
2019/11/19, 74, 32, 29, 27, 18, 4
2019/11/20, 72, 43, 23, 37, 16, 6
2019/11/21, 89, 45, 27, 38, 14, 6
2019/11/22, 85, 41, 32, 34, 15, 6
2019/11/23, 88, 41, 41, 25, 16, 6
2019/11/24, 89, 34, 36, 20, 13, 5
2019/11/25, 80, 40, 29, 28, 10, 5
2019/11/26, 91, 43, 31, 23, 7, 5
2019/11/27, 102, 54, 20, 31, 15, 8
2019/11/28, 113, 41, 28, 25, 10, 6
2019/11/29, 76, 42, 24, 32, 14, 6
2019/11/30, 93, 44, 26, 30, 15, 6
2019/12/1, 121, 34, 34, 22, 16, 4
2019/12/2, 86, 27, 35, 22, 17, 4
2019/12/3, 63, 38, 31, 27, 16, 6
2019/12/4, 84, 29, 27, 21, 7, 5
2019/12/5, 65, 27, 31, 21, 4, 5
2019/12/6, 65, 35, 35, 32, 5, 7
2019/12/7, 77, 37, 37, 26, 4, 7
2019/12/8, 99, 41, 38, 32, 5, 6
2019/12/9, 108, 61, 58, 34, 5, 7
2019/12/10, 135, 55, 38, 30, 6, 7
2019/12/11, 125, 29, 32, 18, 4, 5
2019/12/12, 78, 30, 24, 25, 5, 6
2019/12/13, 84, 38, 32, 18, 5, 6
2019/12/14, 102, 28, 52, 20, 5, 5
2019/12/15, 83, 29, 75, 17, 5, 7
2019/12/16, 78, 25, 40, 11, 5, 6
2019/12/17, 76, 41, 28, 20, 5, 5
2019/12/18, 102, 30, 25, 24, 6, 6
2019/12/19, 69, 37, 19, 26, 6, 8
2019/12/20, 84, 49, 14, 33, 21, 12
2019/12/21, 114, 44, 22, 32, 24, 16
2019/12/22, 106, 44, 26, 32, 31, 17
2019/12/23, 113, 56, 20, 36, 33, 24
2019/12/24, 140, 55, 18, 37, 34, 20
2019/12/25, 144, 49, 22, 32, 20, 12
2019/12/26, 128, 33, 30, 23, 5, 9
2019/12/27, 80, 41, 25, 34, 5, 12
2019/12/28, 92, 41, 26, 32, 4, 11
2019/12/29, 96, , , , , 
2019/7/1, 84, 39, 63, 22, 3, 4
2019/7/2, 80, 40, 51, 18, 3, 3
2019/7/3, 84, 46, 65, 23, 4, 4
