date, pm25, pm10, o3, no2, so2, co
2020/4/1, 67, 42, 42, 17, 9, 6
2020/4/2, 54, 41, 53, 19, 10, 7
2020/4/3, 67, 40, 49, 8, 5, 5
2020/4/4, 73, 39, 42, 12, 5, 5
2020/4/5, 42, 37, 51, 21, 10, 5
2020/4/6, 65, 55, 70, 14, 6, 5
2020/4/7, 79, 36, 43, 9, 4, 3
2020/4/8, 58, 30, 47, 11, 6, 6
2020/4/9, 51, 33, 38, 13, 6, 3
2020/4/10, 63, 22, 38, 12, 3, 3
2020/4/11, 49, 17, 40, 5, 3, 4
2020/4/12, 46, 16, 39, 11, 4, 4
2020/4/13, 34, 31, 43, 20, 5, 4
2020/4/14, 41, 38, 51, 22, 9, 6
2020/4/15, 55, 39, 43, 17, 8, 6
2020/4/16, 61, 22, 35, 16, 3, 5
2020/4/17, 45, 37, 48, 15, 4, 5
2020/4/18, 55, 21, 42, 6, 4, 4
2020/4/19, 39, 14, 50, 7, 2, 4
2020/4/20, 32, 25, 39, 6, 3, 3
2020/4/21, 27, 47, 37, 5, 3, 3
2020/4/22, 30, 46, 46, 5, 3, 3
2020/4/23, 42, 31, 42, 9, 3, 3
2020/4/24, 35, 47, 90, 15, 5, 5
2020/4/25, 63, 39, 50, 8, 4, 4
2020/4/26, 63, 26, 51, 14, 6, 5
2020/4/27, 45, 24, 52, 11, 3, 4
2020/4/28, 45, 41, 53, 21, 11, 7
2020/4/29, 59, 27, 49, 15, 6, 5
2020/4/30, 53, , , , , 
2020/3/1, 49, 30, 36, 11, 5, 6
2020/3/2, 62, 27, 29, 13, 6, 5
2020/3/3, 58, 26, 35, 8, 3, 4
2020/3/4, 51, 29, 37, 11, 4, 5
2020/3/5, 66, 41, 35, 28, 11, 7
2020/3/6, 77, 21, 35, 19, 4, 5
2020/3/7, 53, 24, 39, 18, 9, 6
2020/3/8, 47, 26, 34, 16, 4, 4
2020/3/9, 57, 18, 38, 11, 3, 5
2020/3/10, 48, 26, 33, 5, 3, 3
2020/3/11, 39, 33, 39, 24, 10, 6
2020/3/12, 44, 31, 37, 15, 6, 5
2020/3/13, 49, 20, 39, 5, 4, 3
2020/3/14, 26, 39, 38, 6, 3, 4
2020/3/15, 56, 28, 35, 11, 7, 5
2020/3/16, 39, 32, 51, 13, 4, 5
2020/3/17, 48, 57, 48, 28, 13, 8
2020/3/18, 84, 43, 41, 18, 4, 5
2020/3/19, 55, 45, 34, 11, 4, 4
2020/3/20, 27, 43, 42, 21, 5, 5
2020/3/21, 45, 52, 53, 14, 7, 6
2020/3/22, 73, 33, 44, 13, 5, 4
2020/3/23, 51, 44, 43, 20, 15, 6
2020/3/24, 67, 38, 44, 23, 12, 6
2020/3/25, 60, 24, 25, 20, 6, 7
2020/3/26, 53, 16, 31, 14, 3, 5
2020/3/27, 33, 28, 30, 8, 3, 4
2020/3/28, 40, 28, 36, 8, 9, 4
2020/3/29, 44, 33, 35, 14, 9, 6
2020/3/30, 47, 38, 42, 19, 8, 6
2020/3/31, 61, 38, 54, 10, 3, 4
2020/2/1, 103, 58, 43, 17, 8, 10
2020/2/2, 132, 30, 37, 12, 4, 6
2020/2/3, 63, 30, 33, 18, 6, 7
2020/2/4, 75, 24, 33, 8, 4, 5
2020/2/5, 54, 18, 26, 15, 6, 6
2020/2/6, 39, 35, 29, 23, 9, 8
2020/2/7, 76, 42, 34, 8, 4, 6
2020/2/8, 84, 25, 36, 9, 7, 6
2020/2/9, 60, 42, 39, 17, 5, 7
2020/2/10, 95, 47, 35, 27, 8, 8
2020/2/11, 98, 28, 39, 15, 5, 7
2020/2/12, 59, 12, 29, 14, 4, 7
2020/2/13, 32, 41, 32, 37, 17, 16
2020/2/14, 85, 40, 42, 19, 7, 6
2020/2/15, 82, 12, 30, 6, 3, 5
2020/2/16, 29, 14, 29, 5, 3, 4
2020/2/17, 26, 14, 31, 7, 4, 4
2020/2/18, 30, 32, 32, 28, 13, 9
2020/2/19, 66, 40, 35, 29, 8, 7
2020/2/20, 75, 46, 36, 27, 9, 9
2020/2/21, 83, 53, 39, 9, 3, 5
2020/2/22, 70, 25, 35, 10, 6, 5
2020/2/23, 41, 32, 31, 26, 16, 8
2020/2/24, 49, 14, 23, 21, 4, 6
2020/2/25, 39, 17, 34, 12, 5, 5
2020/2/26, 29, 30, 29, 12, 7, 5
2020/2/27, 56, 16, 26, 12, 4, 3
2020/2/28, 38, 11, 31, 9, 3, 4
2020/2/29, 34, 22, 37, 13, 8, 6
2020/1/1, 64, 42, 29, 21, 6, 9
2020/1/2, 95, 52, 27, 22, 5, 8
2020/1/3, 123, 48, 27, 24, 6, 10
2020/1/4, 116, 35, 25, 26, 7, 9
2020/1/5, 100, 20, 20, 20, 5, 5
2020/1/6, 56, 21, 20, 20, 4, 8
2020/1/7, 38, 16, 29, 8, 3, 6
2020/1/8, 41, 30, 32, 12, 4, 6
2020/1/9, 71, 36, 24, 30, 6, 9
2020/1/10, 80, 39, 34, 23, 6, 12
2020/1/11, 102, 23, 32, 6, 4, 4
2020/1/12, 63, 15, 31, 9, 3, 5
2020/1/13, 40, 26, 25, 17, 8, 8
2020/1/14, 64, 33, 28, 20, 9, 8
2020/1/15, 79, 29, 21, 24, 9, 6
2020/1/16, 69, 23, 26, 23, 6, 5
2020/1/17, 57, 27, 32, 20, 5, 6
2020/1/18, 85, 44, 39, 15, 5, 7
2020/1/19, 118, 53, 34, 19, 5, 8
2020/1/20, 114, 23, 27, 23, 5, 6
2020/1/21, 33, 22, 23, 23, 5, 5
2020/1/22, 50, 12, 23, 20, 4, 6
2020/1/23, 33, 27, 41, 13, 4, 6
2020/1/24, 66, 22, 33, 6, 3, 5
2020/1/25, 57, 14, 32, 5, 3, 4
2020/1/26, 39, 3, 32, 4, 3, 2
2020/1/27, 9, 5, 32, 12, 4, 5
2020/1/28, 8, 10, 27, 18, 5, 5
2020/1/29, 18, 13, 28, 11, 5, 5
2020/1/30, 30, 32, 35, 15, 4, 6
2020/1/31, 72, 45, 44, 17, 5, 8
2019/10/1, 53, 22, 23, 9, 8, 5
2019/10/2, 29, 20, 25, 7, 6, 5
2019/10/3, 28, 34, 36, 17, 14, 6
2019/10/4, 51, 36, 42, 7, 5, 6
2019/10/5, 75, 26, 34, 4, 5, 4
2019/10/6, 43, 20, 29, 9, 5, 4
2019/10/7, 40, 29, 45, 7, 5, 5
2019/10/8, 46, 19, 31, 20, 9, 5
2019/10/9, 43, 32, 42, 34, 11, 10
2019/10/10, 75, 20, 40, 15, 5, 5
2019/10/11, 51, 23, 41, 5, 5, 4
2019/10/12, 48, 20, 35, 4, 5, 3
2019/10/13, 46, 28, 37, 14, 9, 8
2019/10/14, 60, 24, 30, 8, 5, 4
2019/10/15, 57, 23, 34, 15, 6, 5
2019/10/16, 54, 20, 35, 12, 5, 5
2019/10/17, 57, 13, 33, 7, 5, 4
2019/10/18, 41, 12, 33, 19, 12, 5
2019/10/19, 41, 20, 40, 14, 7, 5
