date, pm25, pm10, o3, no2, so2, co
2020/4/1, 50, 44, 26, 6, 3, 5
2020/4/2, 62, 40, 32, 8, 3, 5
2020/4/3, 58, 55, 25, 15, 3, 6
2020/4/4, 55, 36, 24, 3, 2, 
2020/4/5, 42, 35, 25, 8, 4, 4
2020/4/6, 40, 34, 25, 10, 2, 4
2020/4/7, 39, 36, 26, 5, 2, 4
2020/4/8, 55, 35, 25, 5, 2, 4
2020/4/9, 54, 38, 23, 4, 2, 3
2020/4/10, 62, 28, 20, 6, 2, 4
2020/4/11, 61, 27, 24, 5, 2, 4
2020/4/12, 56, 20, 25, 4, 3, 3
2020/4/13, 42, 35, 31, 14, 3, 4
2020/4/14, 61, 38, 32, 14, 3, 4
2020/4/15, 71, 40, 27, 12, 2, 4
2020/4/16, 64, 31, 33, 7, 3, 4
2020/4/17, 51, 41, 30, 5, 2, 5
2020/4/18, 66, 18, 26, 6, 2, 4
2020/4/19, 37, 19, 31, 5, 2, 5
2020/4/20, 38, 27, 28, 4, 2, 3
2020/4/21, 23, 56, 25, 3, 3, 3
2020/4/22, 33, 52, 28, 3, 2, 4
2020/4/23, 39, 39, 32, 5, 5, 3
2020/4/24, 50, 52, 42, 7, 4, 5
2020/4/25, 71, 30, 31, 4, 3, 4
2020/4/26, 50, 28, 30, 8, 3, 3
2020/4/27, 49, 31, 32, 12, 4, 4
2020/4/28, 59, 30, 35, 14, 4, 4
2020/4/29, 52, 33, 30, 10, 4, 4
2020/4/30, 51, , , , , 
2020/3/1, 58, 39, 23, 7, 4, 6
2020/3/2, 72, 32, 19, 9, 2, 5
2020/3/3, 62, 33, 22, 7, 3, 4
2020/3/4, 56, 29, 21, 5, , 4
2020/3/5, 51, 22, 23, 18, 3, 5
2020/3/6, 47, 24, 16, 23, 3, 5
2020/3/7, 46, 24, 22, 19, 3, 5
2020/3/8, 54, 34, 17, 31, 3, 6
2020/3/9, 63, 33, 24, 12, 4, 6
2020/3/10, 65, 41, 20, 9, 3, 4
2020/3/11, 44, 35, 21, 27, 2, 5
2020/3/12, 43, 33, 21, 20, 2, 4
2020/3/13, 44, 28, 23, 6, 3, 4
2020/3/14, 32, 54, 21, 11, 3, 6
2020/3/15, 68, 28, 19, 5, 2, 4
2020/3/16, 43, 29, 21, 11, 2, 5
2020/3/17, 48, 38, 28, 17, 2, 6
2020/3/18, 53, 34, 27, 7, 2, 4
2020/3/19, 33, 34, 20, 8, 2, 5
2020/3/20, 27, 42, 24, 9, , 5
2020/3/21, 43, 40, 27, 4, , 5
2020/3/22, 58, 37, 27, 9, 2, 5
2020/3/23, 62, 54, 27, 13, 2, 7
2020/3/24, 85, 39, 26, 14, 2, 6
2020/3/25, 69, 18, 21, 9, 1, 6
2020/3/26, 34, 27, 26, 4, 1, 5
2020/3/27, 42, 35, 24, 2, 1, 4
2020/3/28, 25, 38, 28, 6, 2, 5
2020/3/29, 43, 37, 27, 8, , 5
2020/3/30, 49, 29, 26, 9, , 4
2020/3/31, 42, 37, 27, 5, 3, 4
2020/2/1, 88, 48, 24, 12, 3, 7
2020/2/2, 89, 30, 20, 17, , 6
2020/2/3, 63, 22, 19, 10, 3, 4
2020/2/4, 50, 22, 18, 5, , 5
2020/2/5, 32, 22, 16, 6, 3, 5
2020/2/6, 35, 26, 16, 12, 3, 5
2020/2/7, 49, 38, 20, 7, 3, 6
2020/2/8, 76, 35, 21, 12, 3, 6
2020/2/9, 67, 64, 22, 27, 6, 9
2020/2/10, 115, 72, 18, 28, 4, 9
2020/2/11, 132, 24, 21, 12, 3, 6
2020/2/12, 55, 15, 19, 9, , 6
2020/2/13, 37, 32, 17, 12, , 7
2020/2/14, 57, 41, 23, 20, 4, 7
2020/2/15, 80, 16, 19, 2, 1, 6
2020/2/16, 30, 40, 29, , 2, 5
2020/2/17, 27, 24, 20, , , 4
2020/2/18, 35, 24, 22, , 3, 6
2020/2/19, 48, 29, 23, 11, , 5
2020/2/20, 55, 36, 22, 15, 4, 6
2020/2/21, 58, 64, 24, 6, 3, 6
2020/2/22, 80, 22, 22, 5, , 4
2020/2/23, 24, 24, 18, 10, 3, 5
2020/2/24, 36, 35, 22, 5, , 6
2020/2/25, 51, 17, 24, 3, , 6
2020/2/26, 28, 42, 24, 9, 4, 6
2020/2/27, 71, 18, 16, 18, 2, 5
2020/2/28, 38, 18, 16, 16, 3, 5
2020/2/29, 41, 26, 21, 10, , 6
2020/1/1, 46, 41, 20, 28, 4, 10
2020/1/2, 92, 56, 19, 25, 4, 9
2020/1/3, 138, 55, 20, 25, 4, 10
2020/1/4, 141, 39, 20, 21, 4, 9
2020/1/5, 97, 25, 13, 21, 5, 7
2020/1/6, 74, 20, 22, 14, 3, 7
2020/1/7, 25, 38, 24, 6, 3, 7
2020/1/8, 67, 31, 25, 4, 2, 6
2020/1/9, 66, 30, 24, 8, 4, 7
2020/1/10, 67, 39, 26, 13, 4, 9
2020/1/11, 97, 23, 22, 5, 2, 5
2020/1/12, 49, 20, 22, 5, 3, 6
2020/1/13, 48, 22, 20, 8, 4, 7
2020/1/14, 52, 25, 19, 13, 3, 8
2020/1/15, 73, 23, 21, 8, 4, 7
2020/1/16, 61, 28, 22, 8, 5, 6
