date, pm25, pm10, o3, no2, so2, co
2020/4/1, 62, 43, 45, 6, 2, 3
2020/4/2, 70, 42, 25, 6, 4, 5
2020/4/3, 72, 63, 42, 7, 4, 4
2020/4/4, 82, 37, 42, 4, 3, 2
2020/4/5, 46, 36, 47, 6, 3, 3
2020/4/6, 55, 40, 47, 6, 5, 3
2020/4/7, 55, 39, 41, 5, 2, 2
2020/4/8, 60, 34, 44, 6, 4, 3
2020/4/9, 53, 36, 43, 4, 3, 3
2020/4/10, 61, 32, 40, 5, 4, 4
2020/4/11, 69, 30, 43, 4, 2, 
2020/4/12, 71, 22, 42, 5, 2, 3
2020/4/13, 48, 34, 53, 7, 4, 3
2020/4/14, 67, 39, 61, 8, 6, 3
2020/4/15, 77, 40, 56, 5, 5, 3
2020/4/16, 73, 29, 60, 4, 5, 3
2020/4/17, 56, 43, 57, 4, 4, 4
2020/4/18, 79, 26, 42, 4, 4, 3
2020/4/19, 52, 25, 53, 4, 5, 3
2020/4/20, 57, 31, 40, 4, 3, 2
2020/4/21, 38, 58, 40, 2, 3, 3
2020/4/22, 44, 52, 44, 3, 2, 4
2020/4/23, 52, 37, 60, 5, 4, 3
2020/4/24, 45, 55, 91, 4, 4, 5
2020/4/25, 83, 33, 45, 4, 2, 3
2020/4/26, 57, 32, 51, 5, 4, 3
2020/4/27, 57, 34, 55, 5, 4, 3
2020/4/28, 69, 35, 63, 5, 2, 3
2020/4/29, 62, 34, 51, 6, 2, 
2020/4/30, 61, , , , , 
2020/3/1, 84, 38, 37, 4, 4, 5
2020/3/2, 81, 34, 28, 6, 5, 
2020/3/3, 70, 36, 36, 4, 5, 3
2020/3/4, 64, 27, 37, 4, , 
2020/3/5, 60, 23, 37, 8, 5, 4
2020/3/6, 57, 29, 25, 9, 6, 4
2020/3/7, 70, 30, 40, 7, 5, 3
2020/3/8, 73, 42, 27, 10, 6, 4
2020/3/9, 94, 41, 43, 5, 5, 4
2020/3/10, 91, 40, 34, 5, 4, 2
2020/3/11, 48, 33, 36, 8, 3, 4
2020/3/12, 49, 31, 35, 7, 5, 3
2020/3/13, 55, 29, 44, 4, 4, 3
2020/3/14, 46, 57, 37, 5, 6, 4
2020/3/15, 100, 27, 35, 4, 4, 2
2020/3/16, 48, 33, 43, 7, 4, 3
2020/3/17, 54, 47, 74, 6, 5, 3
2020/3/18, 87, 45, 61, 4, 4, 2
2020/3/19, 64, 38, 37, 5, 3, 3
2020/3/20, 34, 41, 51, 5, 6, 4
2020/3/21, 53, 47, 44, 4, 6, 3
2020/3/22, 79, 42, 47, 5, 5, 3
2020/3/23, 77, 54, 50, 7, 4, 4
2020/3/24, 105, 42, 51, 6, 3, 3
2020/3/25, 82, 20, 41, 6, 5, 4
2020/3/26, 42, 28, 36, 4, 3, 3
2020/3/27, 47, 36, 33, 3, 1, 2
2020/3/28, 33, 38, 43, 5, 3, 3
2020/3/29, 54, 44, 43, 6, 3, 3
2020/3/30, 66, 34, 46, 6, 4, 3
2020/3/31, 58, 40, 46, 3, 3, 3
2020/2/1, 103, 49, 39, 10, 6, 6
2020/2/2, 106, 32, 33, 9, 4, 4
2020/2/3, 72, 24, 30, 9, 5, 3
2020/2/4, 56, 22, 30, 4, 4, 2
2020/2/5, 40, 22, 27, 5, 5, 3
2020/2/6, 48, 28, 30, 7, 6, 4
2020/2/7, 62, 39, 35, 5, 6, 5
2020/2/8, 85, 35, 39, 7, 6, 5
2020/2/9, 74, 58, 42, 10, 7, 6
2020/2/10, 127, 62, 38, 10, 6, 6
2020/2/11, 142, 29, 36, 6, 8, 5
2020/2/12, 71, 29, 32, 9, 6, 5
2020/2/13, 65, 38, 29, 10, 5, 5
2020/2/14, 90, 47, 41, 9, 6, 5
2020/2/15, 108, 19, 31, 4, , 4
2020/2/16, 35, 23, 31, 3, 5, 2
2020/2/17, 34, 21, 34, 5, 5, 3
2020/2/18, 41, 26, 38, 8, 5, 4
2020/2/19, 57, 37, 42, 9, 6, 3
2020/2/20, 75, 42, 42, 8, 6, 4
2020/2/21, 87, 60, 40, 5, 6, 5
2020/2/22, 99, 23, 37, 6, 4, 2
2020/2/23, 42, 27, 36, 7, 6, 
2020/2/24, 53, 33, 34, 6, 6, 4
2020/2/25, 62, 22, 35, 6, 5, 3
2020/2/26, 54, 44, 38, 8, 6, 4
2020/2/27, 88, 25, 27, 7, 5, 4
2020/2/28, 57, 22, 29, 7, 6, 4
2020/2/29, 56, 37, 37, 5, 5, 3
2020/1/1, 43, 41, 28, 10, 6, 6
2020/1/2, 86, 60, 25, 12, 7, 7
2020/1/3, 134, 59, 27, 12, 5, 7
2020/1/4, 134, 46, 28, 11, 5, 6
2020/1/5, 102, 29, 20, 10, 6, 6
2020/1/6, 71, 18, 29, 8, 6, 5
2020/1/7, 45, 38, 31, 5, 5, 3
2020/1/8, 70, 32, 33, 5, 4, 3
2020/1/9, 68, 33, 31, 7, 5, 4
2020/1/10, 75, 45, 37, 7, 6, 5
2020/1/11, 99, 23, 32, 4, , 3
2020/1/12, 51, 21, 31, 4, 6, 3
2020/1/13, 46, 26, 29, 7, 4, 5
2020/1/14, 54, 34, 28, 8, 6, 4
2020/1/15, 77, 29, 29, 7, 7, 4
2020/1/16, 69, 31, 35, 6, 7, 4
2020/1/17, 65, 32, 35, 8, 6, 5
2020/1/18, 66, 58, 33, 10, 6, 7
2020/1/19, 121, 58, 33, 10, 6, 6
2020/1/20, 102, 27, 29, 9, 4, 4
2020/1/21, 51, 33, 16, 11, 5, 5
2020/1/22, 71, 37, 37, 10, 6, 5
2020/1/23, 87, 58, 39, 8, 7, 6
2020/1/24, 132, 61, 24, 9, 6, 7
2020/1/25, 144, 62, 21, 10, 5, 6
2020/1/26, 147, 11, 28, 6, , 3
2020/1/27, 24, 15, 24, 7, 6, 
2020/1/28, 40, 25, 26, 8, 5, 3
2020/1/29, 59, 46, 37, 6, 7, 5
2020/1/30, 101, 36, 35, 5, 5, 4
2020/1/31, 78, 43, 43, 9, 6, 6
2019/10/1, 85, 12, 17, 4, 3, 4
2019/10/2, 29, 34, 44, 3, 4, 4
2019/10/3, 61, 54, 56, 4, 5, 6
2019/10/4, 105, 43, 39, 3, 3, 4
2019/10/5, 78, 30, 36, 4, 5, 5
2019/10/6, 56, 22, 29, 4, 3, 4
2019/10/7, 46, 29, 43, 4, 3, 4
2019/10/8, 50, 22, 35, 4, 3, 4
2019/10/9, 32, 34, 42, 5, 3, 4
2019/10/10, 56, 55, 75, 5, 4, 6
2019/10/11, 111, 40, 44, 5, 3, 5
2019/10/12, 81, 29, 36, 4, 4, 3
2019/10/13, 52, 37, 35, 5, 3, 4
2019/10/14, 58, 38, 40, 5, 5, 4
2019/10/15, 57, 42, 40, 6, 4, 5
2019/10/16, 76, 53, 38, 6, 4, 5
2019/10/17, 105, 43, 25, 6, 3, 5
2019/10/18, 84, 34, 39, 5, 3, 4
2019/10/19, 56, 41, 46, 5, 3, 5
2019/10/20, 81, 50, 48, 7, 2, 5
2019/10/21, 95, 42, 40, 6, 1, 4
2019/10/22, 78, 47, 23, 7, 2, 8
2019/10/23, 78, 42, 41, 6, 2, 3
2019/10/24, 73, 38, 42, 6, 3, 4
2019/10/25, 64, 31, 32, 3, 2, 4
2019/10/26, 44, 24, 35, 5, 2, 4
2019/10/27, 38, 33, 40, 6, 3, 4
2019/10/28, 62, 59, 36, 6, 3, 5
2019/10/29, 68, 25, 32, 6, 3, 3
2019/10/30, 31, 42, 40, 8, 4, 4
2019/10/31, 64, 81, 67, 7, 3, 6
2019/11/1, 110, 56, 50, 8, 2, 5
2019/11/2, 87, 55, 46, 7, 4, 5
2019/11/3, 95, 47, 38, 9, 3, 5
2019/11/4, 74, 43, 40, 8, 2, 5
2019/11/5, 85, 40, 40, 8, 2, 5
2019/11/6, 75, 43, 38, 7, 2, 5
2019/11/7, 63, 31, 34, 7, 2, 4
2019/11/8, 46, 38, 38, 9, 3, 4
2019/11/9, 61, 46, 39, 7, 3, 6
2019/11/10, 91, 45, 39, 6, 4, 5
2019/11/11, 67, 35, 27, 9, 2, 5
2019/11/12, 56, 39, 11, 9, 2, 5
2019/11/13, 74, , , , , 3
2019/11/14, 38, 40, 27, 8, 4, 4
2019/11/15, 52, 39, 19, 7, 3, 4
2019/11/16, 56, 36, 34, 4, 5, 4
2019/11/17, 57, 60, 34, 4, 2, 4
2019/11/18, 59, 29, 27, 4, 2, 3
2019/11/19, 41, 32, 26, 6, 3, 3
2019/11/20, 53, 31, 22, 9, 3, 5
2019/11/21, 64, 32, 28, 8, 5, 5
2019/11/22, 63, 34, 31, 8, 5, 5
2019/11/23, 71, 33, 32, 6, 4, 4
2019/11/24, 67, 29, 26, 4, 2, 4
2019/11/25, 49, 33, 19, 8, 4, 5
2019/11/26, 73, 32, 26, 4, 4, 5
2019/11/27, 69, 27, 25, 7, 5, 5
2019/11/28, 80, 15, 28, 8, 3, 4
2019/11/29, 45, 27, 27, 9, 4, 6
2019/11/30, 73, 27, 22, 7, 3, 5
2019/12/1, 76, 16, 31, 3, 3, 4
2019/12/2, 49, 13, 30, 7, 3, 5
2019/12/3, 40, 25, 30, 9, 5, 5
2019/12/4, 72, 22, 28, 8, 4, 4
2019/12/5, 63, 13, 28, 5, 2, 4
2019/12/6, 43, 23, 29, 8, 4, 5
