date, pm25, pm10, o3, no2, so2, co
2020/4/1, 86, 37, 60, 9, 5, 5
2020/4/2, 71, 33, 69, 8, 4, 4
2020/4/3, 76, 57, 68, 7, 3, 4
2020/4/4, 87, 29, 49, 3, 2, 3
2020/4/5, 50, 33, 65, 12, 5, 5
2020/4/6, 57, 55, 85, 8, 3, 4
2020/4/7, 78, 36, 52, 5, 3, 3
2020/4/8, 69, 30, 57, 6, 3, 3
2020/4/9, 62, 34, 39, 13, 8, 6
2020/4/10, 72, 18, 39, 11, 2, 4
2020/4/11, 56, 20, 39, 8, 3, 3
2020/4/12, 62, 17, 48, 7, 2, 3
2020/4/13, 50, 25, 57, 10, 3, 3
2020/4/14, 58, 30, 73, 11, 3, 4
2020/4/15, 71, 40, 68, 12, 6, 5
2020/4/16, 83, 25, 38, 19, 4, 8
2020/4/17, 59, 32, 57, 9, 3, 5
2020/4/18, 67, 24, 45, 12, 5, 6
2020/4/19, 60, 19, 63, 7, 3, 3
2020/4/20, 46, 28, 45, 4, 4, 2
2020/4/21, 49, 50, 44, 4, 4, 2
2020/4/22, 49, 47, 52, 4, 3, 2
2020/4/23, 57, 30, 47, 7, 3, 3
2020/4/24, 47, 43, 101, 15, 4, 5
2020/4/25, 79, 36, 56, 6, 3, 4
2020/4/26, 73, 26, 61, 10, 3, 3
2020/4/27, 56, 27, 68, 7, 4, 3
2020/4/28, 62, 28, 73, 11, 3, 4
2020/4/29, 60, 29, 59, 18, 3, 4
2020/4/30, 62, , , , , 
2020/3/1, 59, 32, 43, 8, 4, 4
2020/3/2, 79, 29, 21, 22, 5, 5
2020/3/3, 76, 32, 43, 8, 3, 3
2020/3/4, 72, 26, 44, 7, 4, 3
2020/3/5, 69, 28, 45, 22, 7, 4
2020/3/6, 72, 20, 34, 25, 4, 5
2020/3/7, 58, 18, 51, 17, 5, 5
2020/3/8, 53, 27, 33, 21, 4, 5
2020/3/9, 70, 22, 46, 10, 3, 3
2020/3/10, 60, 28, 40, 4, 4, 2
2020/3/11, 54, 25, 44, 18, 9, 4
2020/3/12, 54, 33, 53, 13, 4, 3
2020/3/13, 61, 23, 43, 4, 3, 2
2020/3/14, 39, 40, 44, 6, 3, 3
2020/3/15, 74, 24, 42, 8, 4, 3
2020/3/16, 54, 28, 63, 13, 4, 3
2020/3/17, 56, 44, 54, 19, 5, 5
2020/3/18, 88, 47, 46, 18, 4, 4
2020/3/19, 71, 40, 40, 10, 3, 3
2020/3/20, 46, 36, 57, 17, 3, 4
2020/3/21, 61, 48, 83, 11, 4, 4
2020/3/22, 93, 34, 57, 8, 4, 4
2020/3/23, 63, 42, 74, 17, 6, 5
2020/3/24, 83, 34, 64, 20, 6, 6
2020/3/25, 76, 26, 26, 28, 4, 9
2020/3/26, 68, 20, 37, 14, 2, 7
2020/3/27, 55, 31, 33, 7, 3, 3
2020/3/28, 50, 29, 46, 10, 3, 4
2020/3/29, 59, 28, 56, 13, 4, 4
2020/3/30, 64, 28, 63, 15, 4, 5
2020/3/31, 64, 42, 70, 9, 4, 4
2020/2/1, 114, 49, 45, 14, 4, 7
2020/2/2, 122, 28, 43, 9, 4, 4
2020/2/3, 76, 24, 38, 11, 4, 4
2020/2/4, 66, 23, 36, 8, 3, 4
2020/2/5, 60, 18, 33, 15, 7, 6
2020/2/6, 46, 26, 35, 20, 5, 5
2020/2/7, 69, 35, 40, 7, 5, 5
2020/2/8, 92, 23, 42, 7, 4, 4
2020/2/9, 63, 39, 46, 26, 4, 6
2020/2/10, 102, 51, 36, 34, 8, 10
2020/2/11, 128, 29, 31, 24, 7, 11
2020/2/12, 105, 13, 35, 14, 3, 5
2020/2/13, 43, 28, 45, 28, 8, 8
2020/2/14, 75, 45, 49, 31, 9, 9
2020/2/15, 106, 17, 35, 7, 4, 4
2020/2/16, 48, 18, 34, 5, 3, 1
2020/2/17, 39, 17, 38, 7, 4, 1
2020/2/18, 48, 23, 44, 16, 5, 5
2020/2/19, 60, 37, 53, 27, 8, 6
2020/2/20, 87, 41, 46, 32, 7, 6
2020/2/21, 87, 54, 47, 9, 4, 3
2020/2/22, 89, 23, 41, 10, 5, 3
2020/2/23, 50, 20, 40, 22, 5, 4
2020/2/24, 49, 30, 19, 30, 5, 11
2020/2/25, 78, 16, 40, 12, 4, 4
2020/2/26, 37, 36, 39, 11, 6, 5
2020/2/27, 80, 20, 27, 20, 6, 5
2020/2/28, 54, 15, 30, 19, 4, 5
2020/2/29, 45, 25, 44, 15, 6, 6
2020/1/1, 55, 35, 39, 10, 5, 5
2020/1/2, 87, 45, 39, 12, 6, 6
2020/1/3, 109, 41, 38, 14, 6, 7
2020/1/4, 100, 43, 29, 30, 11, 10
2020/1/5, 110, 32, 8, 39, 9, 10
2020/1/6, 88, 17, 28, 32, 6, 10
2020/1/7, 55, 17, 34, 7, 3, 6
2020/1/8, 49, 32, 38, 7, 5, 5
2020/1/9, 76, 31, 32, 25, 8, 9
2020/1/10, 81, 34, 45, 11, 5, 7
2020/1/11, 91, 22, 37, 6, 5, 4
2020/1/12, 60, 15, 36, 8, 3, 3
2020/1/13, 46, 18, 32, 12, 5, 5
2020/1/14, 54, 23, 32, 9, 5, 6
2020/1/15, 69, 22, 29, 17, 8, 6
2020/1/16, 62, 22, 34, 14, 5, 3
2020/1/17, 63, 28, 40, 11, 6, 4
2020/1/18, 79, 47, 44, 11, 5, 6
2020/1/19, 118, 54, 36, 17, 4, 6
2020/1/20, 118, 22, 33, 21, 9, 6
2020/1/21, 58, 29, 11, 35, 6, 5
2020/1/22, 72, 13, 19, 21, 3, 7
2020/1/23, 46, 43, 37, 22, 6, 4
2020/1/24, 105, 34, 32, 26, 5, 5
2020/1/25, 84, 20, 33, 15, 3, 4
2020/1/26, 53, 5, 34, 8, , 4
2020/1/27, 16, 8, 29, 16, 3, 5
2020/1/28, 27, 15, 23, 18, 5, 5
2020/1/29, 42, 27, 34, 9, 2, 3
2020/1/30, 72, 36, 39, 10, 2, 4
2020/1/31, 87, 44, 49, 13, 4, 8
2019/10/1, 18, 11, 23, 13, 6, 4
2019/10/2, 18, 21, 27, 7, 4, 3
2019/10/3, 19, 23, 60, 13, 8, 5
2019/10/4, 44, 32, 48, 8, 4, 4
2019/10/5, 64, 20, 35, 6, 7, 4
2019/10/6, 37, 18, 29, 14, 7, 5
2019/10/7, 30, 20, 49, 6, 5, 4
2019/10/8, 37, 18, 41, 14, 6, 4
2019/10/9, 29, 21, 62, 21, 6, 5
2019/10/10, 50, 20, 39, 19, 4, 4
2019/10/11, 43, 22, 43, 12, 4, 3
2019/10/12, 47, 22, 38, 12, 4, 3
2019/10/13, 47, 28, 48, 11, 4, 3
2019/10/14, 53, 26, 34, 11, 4, 4
2019/10/15, 54, 25, 44, 16, 4, 4
2019/10/16, 53, 24, 39, 20, 5, 4
2019/10/17, 54, 18, 18, 21, 4, 4
2019/10/18, 39, 14, 40, 12, 3, 3
2019/10/19, 34, 24, 61, 14, 6, 4
2019/10/20, 59, 22, 44, 21, 4, 4
2019/10/21, 57, 21, 39, 23, 5, 5
2019/10/22, 46, 23, 40, 16, 4, 4
2019/10/23, 43, 23, 40, 19, 3, 4
2019/10/24, 44, 17, 44, 14, 4, 4
2019/10/25, 37, 21, 43, 7, 3, 5
2019/10/26, 59, 15, 41, 10, 4, 4
2019/10/27, 48, 25, 50, 22, 6, 6
2019/10/28, 68, 60, 46, 19, 5, 4
2019/10/29, 78, 29, 38, 9, 4, 5
2019/10/30, 47, 33, 45, 16, 5, 5
2019/10/31, 58, 91, 88, 21, 5, 7
2019/11/1, 126, 60, 52, 29, 7, 10
2019/11/2, 106, 54, 57, 21, 5, 8
2019/11/3, 102, 35, 34, 24, 9, 9
2019/11/4, 72, 23, 47, 15, 4, 4
2019/11/5, 61, 31, 47, 18, 11, 10
2019/11/6, 78, 31, 45, 9, 6, 7
2019/11/7, 63, 32, 42, 7, 6, 5
2019/11/8, 58, 27, 40, 15, 4, 4
2019/11/9, 60, 37, 42, 24, 9, 9
2019/11/10, 83, 33, 48, 13, , 7
2019/11/11, 66, 31, 45, 19, 9, 10
2019/11/12, 65, 29, 22, 18, 7, 8
2019/11/13, 71, , , , 5, 2
2019/11/14, 50, 40, 33, 27, 6, 6
2019/11/15, 57, 31, 20, 14, 5, 5
2019/11/16, 62, 45, 13, 36, 14, 19
2019/11/17, 96, 48, 40, 7, 5, 8
2019/11/18, 64, 27, 31, 5, 5, 5
2019/11/19, 51, 23, 32, 14, 5, 7
2019/11/20, 49, 21, 28, 25, 6, 10
2019/11/21, 53, 28, 29, 26, 9, 11
2019/11/22, 58, 28, 31, 27, 10, 11
2019/11/23, 61, 28, 35, 17, 10, 14
2019/11/24, 65, 24, 29, 9, 4, 8
2019/11/25, 62, 22, 32, 18, 7, 9
2019/11/26, 54, 32, 29, 11, 8, 6
2019/11/27, 80, 33, 26, 16, 7, 7
2019/11/28, 72, 28, 33, 8, 6, 4
2019/11/29, 67, 25, 33, 20, 7, 6
2019/11/30, 64, 23, 25, 14, 5, 5
2019/12/1, 60, 20, 33, 5, 6, 5
2019/12/2, 48, 19, 31, 11, 5, 3
2019/12/3, 45, 29, 35, 25, 6, 5
2019/12/4, 64, 29, 35, 16, 6, 5
2019/12/5, 64, 14, 32, 7, 8, 3
2019/12/6, 34, 21, 37, 14, 7, 5
2019/12/7, 53, 31, 35, 16, 4, 4
2019/12/8, 68, 36, 35, 25, 7, 7
2019/12/9, 79, 47, 40, 26, 6, 8
2019/12/10, 89, 46, 43, 22, 4, 6
2019/12/11, 106, 17, 29, 8, 3, 2
2019/12/12, 45, 28, 20, 30, 7, 6
2019/12/13, 72, 32, 32, 22, 4, 5
2019/12/14, 77, 29, 27, 29, 8, 9
2019/12/15, 87, 34, 22, 33, 8, 9
2019/12/16, 73, 30, 23, 27, 5, 7
2019/12/17, 79, 29, 31, 8, 3, 4
2019/12/18, 79, 20, 34, 8, 5, 3
2019/12/19, 55, 25, 29, 17, 4, 5
2019/12/20, 68, 35, 26, 23, 7, 9
2019/12/21, 93, 35, 28, 30, 4, 7
