date, pm25, pm10, o3, no2, so2, co
2020/4/1, 67, 35, 44, 17, 8, 6
2020/4/2, 61, 36, 53, 22, 10, 7
2020/4/3, 68, 62, 53, 13, 6, 5
2020/4/4, 66, 31, 45, 16, 8, 5
2020/4/5, 42, 36, 56, 37, 13, 8
2020/4/6, 67, 54, 63, 15, 6, 5
2020/4/7, 63, 38, 43, 10, 4, 5
2020/4/8, 55, 32, 44, 16, 7, 5
2020/4/9, 53, 30, 30, 17, 4, 4
2020/4/10, 59, 18, 33, 18, 4, 6
2020/4/11, 45, 19, 36, 14, 8, 7
2020/4/12, 50, 19, 37, 17, 4, 7
2020/4/13, 46, 32, 45, 26, 7, 5
2020/4/14, 62, 28, 59, 14, 3, 5
2020/4/15, 59, 36, 45, 15, 3, 4
2020/4/16, 62, 25, 32, 20, 3, 5
2020/4/17, 53, 40, 53, 10, 2, 5
2020/4/18, 60, 20, 44, 10, 3, 5
2020/4/19, 41, 17, 53, 10, 5, 7
2020/4/20, 34, 26, 39, 7, 3, 3
2020/4/21, 38, 46, 39, 5, 2, 3
2020/4/22, 37, 45, 46, 7, 3, 3
2020/4/23, 44, 31, 47, 8, 3, 3
2020/4/24, 41, 44, 97, 14, 3, 5
2020/4/25, 68, 39, 51, 9, 4, 4
2020/4/26, 66, 30, 56, 16, 5, 4
2020/4/27, 55, 24, 53, 15, 7, 4
2020/4/28, 50, 25, 60, 13, 5, 5
2020/4/29, 49, 24, 62, 15, 3, 4
2020/4/30, 51, , , , , 
2020/3/1, 46, 30, 34, 16, 6, 6
2020/3/2, 68, 24, 21, 29, 4, 4
2020/3/3, 60, 26, 35, 9, 4, 4
2020/3/4, 51, 31, 38, 11, 5, 4
2020/3/5, 68, 29, 41, 28, 9, 6
2020/3/6, 62, 25, 36, 29, 8, 8
2020/3/7, 56, 20, 46, 22, 7, 7
2020/3/8, 49, 22, 30, 21, 4, 4
2020/3/9, 55, 17, 37, 12, 6, 6
2020/3/10, 51, 26, 33, 7, 3, 3
2020/3/11, 46, 24, 42, 22, 8, 6
2020/3/12, 40, 32, 44, 18, 4, 5
2020/3/13, 51, 20, 38, 11, 5, 4
2020/3/14, 36, 40, 38, 8, 3, 5
2020/3/15, 58, 25, 39, 14, 7, 7
2020/3/16, 45, 26, 44, 11, 2, 5
2020/3/17, 42, 41, 48, 21, 5, 7
2020/3/18, 61, 41, 40, 17, 3, 7
2020/3/19, 57, 35, 35, 9, 2, 3
2020/3/20, 30, 35, 49, 15, 2, 4
2020/3/21, 48, 42, 52, 13, 3, 4
2020/3/22, 66, 33, 46, 17, 5, 3
2020/3/23, 59, 32, 50, 20, 4, 3
2020/3/24, 63, 27, 48, 18, 5, 4
2020/3/25, 59, 23, 31, 23, 6, 6
2020/3/26, 57, 17, 32, 17, 4, 7
2020/3/27, 40, 29, 28, 17, 7, 4
2020/3/28, 44, 25, 39, 10, 3, 4
2020/3/29, 40, 25, 40, 12, 4, 3
2020/3/30, 41, 28, 47, 21, 8, 7
2020/3/31, 50, 38, 54, 13, 4, 5
2020/2/1, 105, 56, 43, 19, 6, 9
2020/2/2, 119, 28, 35, 14, 6, 6
2020/2/3, 67, 35, 32, 27, 15, 11
2020/2/4, 74, 25, 34, 12, 5, 5
2020/2/5, 52, 23, 25, 28, 15, 11
2020/2/6, 55, 31, 28, 31, 13, 7
2020/2/7, 62, 34, 33, 12, 5, 4
2020/2/8, 78, 26, 35, 14, 6, 3
