date, pm25, pm10, o3, no2, so2, co
2020/4/1, 73, 41, 41, 19, 4, 2
2020/4/2, 66, 48, 49, 19, 5, 2
2020/4/3, 87, 54, 33, 13, 3, 3
2020/4/4, 91, 39, 43, 11, 3, 1
2020/4/5, 52, 51, 45, 18, 4, 2
2020/4/6, 81, 59, 52, 18, 4, 3
2020/4/7, 85, 33, 37, 13, 3, 2
2020/4/8, 46, 37, 39, 14, 4, 2
2020/4/9, 51, 42, 43, 17, 3, 3
2020/4/10, 64, 42, 42, 15, 2, 3
2020/4/11, 73, 35, 40, 13, 3, 3
2020/4/12, 67, 21, 40, 11, 5, 3
2020/4/13, 28, 38, 47, 19, 3, 3
2020/4/14, 63, 54, 82, 21, 7, 4
2020/4/15, 98, 49, 60, 20, 5, 4
2020/4/16, 82, 39, 44, 13, 2, 3
2020/4/17, 47, 40, 42, 12, 3, 4
2020/4/18, 71, 31, 35, 13, 2, 3
2020/4/19, 54, 17, 40, 10, , 3
2020/4/20, 23, 31, 36, 8, , 2
2020/4/21, 26, 53, 32, 7, , 2
2020/4/22, 26, 49, 37, 9, 3, 3
2020/4/23, 31, 38, 49, 11, 4, 3
2020/4/24, 33, 55, 76, 9, 3, 4
2020/4/25, 70, 32, 44, 9, 3, 4
2020/4/26, 42, 32, 45, 16, 3, 4
2020/4/27, 47, 35, 56, 15, 3, 4
2020/4/28, 54, 41, 66, 16, 3, 4
2020/4/29, 68, 36, 71, 19, 3, 5
2020/4/30, 65, , , , , 
2020/3/1, 106, 43, 33, 17, 5, 6
2020/3/2, 83, 47, 17, 25, 4, 6
2020/3/3, 87, 33, 35, 13, 3, 5
2020/3/4, 69, 39, 34, 18, 6, 6
2020/3/5, 74, 42, 34, 30, 4, 7
2020/3/6, 87, 53, 21, 39, 5, 7
2020/3/7, 111, 48, 42, 26, 5, 7
2020/3/8, 121, 62, 34, 35, 4, 8
2020/3/9, 133, 49, 34, 21, 3, 7
2020/3/10, 117, 35, 30, 16, 3, 4
