date, pm25, pm10, o3, no2, so2, co
2020/4/1, 103, 42, 31, 30, 4, 4
2020/4/2, 84, 58, 41, 33, 5, 6
2020/4/3, 113, 67, 38, 17, 4, 4
2020/4/4, 92, 47, 43, 14, 3, 4
2020/4/5, 71, 57, 36, 39, 5, 5
2020/4/6, 81, 60, 43, 31, 5, 4
2020/4/7, 94, 47, 37, 15, 4, 3
2020/4/8, 68, 51, 39, 20, 4, 4
2020/4/9, 82, 47, 37, 28, 4, 4
2020/4/10, 87, 43, 33, 26, 4, 4
2020/4/11, 79, 33, 46, 15, 3, 4
2020/4/12, 72, 23, 40, 14, 2, 3
2020/4/13, 45, 52, 46, 38, 4, 5
2020/4/14, 93, 60, 60, 38, 4, 5
2020/4/15, 120, 53, 47, 39, 5, 5
2020/4/16, 86, 42, 27, 28, 3, 4
2020/4/17, 75, 31, 34, 17, 2, 4
2020/4/18, 52, 27, 33, 21, 3, 4
2020/4/19, 63, 17, 35, 17, 2, 4
2020/4/20, 35, 37, 36, 13, 3, 3
2020/4/21, 39, 72, 31, 10, 2, 3
2020/4/22, 43, 48, 33, 13, 3, 3
2020/4/23, 53, 37, 29, 16, 3, 3
2020/4/24, 42, , , , , 
2020/3/1, 112, 43, 33, 21, 4, 6
2020/3/2, 96, 40, 6, 43, 4, 7
2020/3/3, 93, 44, 33, 17, 4, 6
2020/3/4, 100, 39, 28, 21, 4, 5
2020/3/5, 89, 45, 14, 53, 5, 6
2020/3/6, 93, 59, 19, 55, 5, 8
2020/3/7, 131, 61, 36, 44, 4, 8
2020/3/8, 143, 61, 30, 53, 4, 7
2020/3/9, 134, 41, 25, 28, 3, 6
2020/3/10, 99, 38, 25, 18, 3, 3
2020/3/11, 49, 38, 28, 32, 4, 4
2020/3/12, 58, 35, 28, 16, 4, 4
2020/3/13, 52, 41, 34, 19, 4, 4
2020/3/14, 73, 45, 35, 15, 3, 4
2020/3/15, 70, 27, 26, 20, 3, 4
2020/3/16, 51, 49, 22, 36, 4, 5
2020/3/17, 79, 58, 31, 35, 5, 6
2020/3/18, 114, 58, 49, 19, 4, 4
2020/3/19, 79, 46, 29, 21, 4, 4
2020/3/20, 38, 54, 40, 26, 4, 4
2020/3/21, 61, 39, 40, 12, 4, 3
2020/3/22, 61, 45, 34, 31, 4, 5
2020/3/23, 97, 58, 31, 40, 5, 6
2020/3/24, 116, 53, 41, 46, 5, 6
2020/3/25, 102, 54, 38, 41, 4, 6
2020/3/26, 106, 46, 26, 18, 3, 4
2020/3/27, 80, 37, 31, 11, 3, 3
2020/3/28, 30, 46, 34, 21, 4, 4
2020/3/29, 66, 56, 28, 45, 5, 5
2020/3/30, 100, 53, 30, 49, 5, 6
2020/3/31, 97, 66, 37, 22, 5, 5
2020/2/1, 139, 65, 22, 35, 5, 11
