"","date","china_average","seoul_average"
"1","2013/12/31",200,61
"2","2014/1/1",218.166666666667,85
"3","2014/1/10",224.833333333333,33
"4","2014/1/11",153.166666666667,49
"5","2014/1/12",119.5,57
"6","2014/1/13",190.722222222222,30
"7","2014/1/14",271.333333333333,42
"8","2014/1/15",222.055555555556,56
"9","2014/1/16",249.277777777778,80
"10","2014/1/17",197.611111111111,94
"11","2014/1/18",259.666666666667,57
"12","2014/1/19",204.944444444444,50
"13","2014/1/2",222.611111111111,53
"14","2014/1/20",80.7777777777778,60
"15","2014/1/21",114.166666666667,78
"16","2014/1/22",122.666666666667,88
"17","2014/1/23",179.111111111111,57
"18","2014/1/24",123.222222222222,65
"19","2014/1/25",77.2222222222222,53
"20","2014/1/26",101.5,36
"21","2014/1/27",100,40
"22","2014/1/28",96.7222222222222,32
"23","2014/1/29",206.222222222222,47
"24","2014/1/3",107.611111111111,57
"25","2014/1/30",266.388888888889,41
"26","2014/1/31",207.944444444444,25
"27","2014/1/4",193.5,49
"28","2014/1/5",253.666666666667,43
"29","2014/1/6",234.166666666667,61
"30","2014/1/7",93.2222222222222,74
"31","2014/1/8",122.333333333333,65
"32","2014/1/9",182.944444444444,21
"33","2014/10/1",98.8333333333333,27
"34","2014/10/10",122.666666666667,32
"35","2014/10/11",115.722222222222,33
"36","2014/10/12",68.3888888888889,26
"37","2014/10/13",107.111111111111,28
"38","2014/10/14",153.444444444444,39
"39","2014/10/15",100.888888888889,42
"40","2014/10/16",137.5,37
"41","2014/10/17",185.333333333333,43
"42","2014/10/18",99,59
"43","2014/10/19",104.5,35
"44","2014/10/2",101.166666666667,36
"45","2014/10/20",83.7222222222222,15
"46","2014/10/21",109.555555555556,17
"47","2014/10/22",133.833333333333,30
"48","2014/10/23",125.722222222222,44
"49","2014/10/24",110.222222222222,53
"50","2014/10/25",126.444444444444,41
"51","2014/10/26",80.6666666666667,45
"52","2014/10/27",100.944444444444,62
"53","2014/10/28",132.777777777778,64
"54","2014/10/29",114.222222222222,63
"55","2014/10/3",96.7777777777778,25
"56","2014/10/30",76.9444444444444,47
"57","2014/10/31",104.833333333333,42
"58","2014/10/4",117.444444444444,22
"59","2014/10/5",86.0555555555556,19
"60","2014/10/6",127.833333333333,33
"61","2014/10/7",117.722222222222,39
"62","2014/10/8",128.388888888889,46
"63","2014/10/9",127.333333333333,46
"64","2014/11/1",87.3888888888889,57
"65","2014/11/10",149.222222222222,69
"66","2014/11/11",101.611111111111,42
"67","2014/11/12",109.666666666667,65
"68","2014/11/13",148.666666666667,35
"69","2014/11/14",166.166666666667,36
"70","2014/11/15",153.111111111111,51
"71","2014/11/16",116.944444444444,36
"72","2014/11/17",141.222222222222,38
"73","2014/11/18",156.222222222222,59
"74","2014/11/19",152.222222222222,65
"75","2014/11/2",114.111111111111,42
"76","2014/11/20",244.611111111111,63
"77","2014/11/21",268.5,48
"78","2014/11/22",153.888888888889,66
"79","2014/11/23",135.388888888889,68
"80","2014/11/24",118.5,34
"81","2014/11/25",133.333333333333,33
"82","2014/11/26",122.666666666667,54
"83","2014/11/27",78.1111111111111,29
"84","2014/11/28",119.388888888889,20
"85","2014/11/29",105.444444444444,15
"86","2014/11/3",115.5,33
"87","2014/11/30",121.277777777778,44
"88","2014/11/4",148.888888888889,35
"89","2014/11/5",135.888888888889,58
"90","2014/11/6",74.7777777777778,54
"91","2014/11/7",101.222222222222,64
"92","2014/11/8",157,61
"93","2014/11/9",167.111111111111,59
"94","2014/12/1",90.9444444444444,74
"95","2014/12/10",121.666666666667,51
"96","2014/12/11",106.5,43
"97","2014/12/12",137,34
"98","2014/12/13",158.444444444444,38
"99","2014/12/14",189.166666666667,51
"100","2014/12/15",84.6666666666667,34
"101","2014/12/16",108.555555555556,22
"102","2014/12/17",135,30
