"","month","re_china_average","re_seoul_average"
"1"," 1",101.013888888889,47.625
"2"," 2",105.863095238095,50.3214285714286
"3"," 3",93.6129032258064,60.8709677419355
"4"," 4",98.1833333333333,59.5
"5"," 5",93.7523148148148,48.75
"6"," 6",82.7314814814815,44.9666666666667
"7"," 7",68.457264957265,32.6923076923077
"8"," 8",61.4188034188034,29.1538461538462
"9"," 9",69.5123456790123,47.2222222222222
"10","10",79.7849462365591,33.4838709677419
"11","11",91.2962962962963,44.9666666666667
"12","12",102.034482758621,48.8620689655172
