"","year","month","re_china_average","re_seoul_average"
"4","2014"," 1",153.166666666667,49
"5","2014"," 1",119.5,57
"14","2014"," 1",80.7777777777778,60
"15","2014"," 1",114.166666666667,78
"16","2014"," 1",122.666666666667,88
"18","2014"," 1",123.222222222222,65
"19","2014"," 1",77.2222222222222,53
"20","2014"," 1",101.5,36
"21","2014"," 1",100,40
"22","2014"," 1",96.7222222222222,32
"24","2014"," 1",107.611111111111,57
"30","2014"," 1",93.2222222222222,74
"31","2014"," 1",122.333333333333,65
"33","2014","10",98.8333333333333,27
"34","2014","10",122.666666666667,32
"35","2014","10",115.722222222222,33
"36","2014","10",68.3888888888889,26
"37","2014","10",107.111111111111,28
"38","2014","10",153.444444444444,39
"39","2014","10",100.888888888889,42
"40","2014","10",137.5,37
"42","2014","10",99,59
"43","2014","10",104.5,35
"44","2014","10",101.166666666667,36
"45","2014","10",83.7222222222222,15
"46","2014","10",109.555555555556,17
"47","2014","10",133.833333333333,30
"48","2014","10",125.722222222222,44
"49","2014","10",110.222222222222,53
"50","2014","10",126.444444444444,41
"51","2014","10",80.6666666666667,45
"52","2014","10",100.944444444444,62
"53","2014","10",132.777777777778,64
"54","2014","10",114.222222222222,63
"55","2014","10",96.7777777777778,25
"56","2014","10",76.9444444444444,47
"57","2014","10",104.833333333333,42
"58","2014","10",117.444444444444,22
"59","2014","10",86.0555555555556,19
"60","2014","10",127.833333333333,33
"61","2014","10",117.722222222222,39
"62","2014","10",128.388888888889,46
"63","2014","10",127.333333333333,46
"64","2014","11",87.3888888888889,57
"65","2014","11",149.222222222222,69
"66","2014","11",101.611111111111,42
"67","2014","11",109.666666666667,65
"68","2014","11",148.666666666667,35
"69","2014","11",166.166666666667,36
"70","2014","11",153.111111111111,51
"71","2014","11",116.944444444444,36
"72","2014","11",141.222222222222,38
"73","2014","11",156.222222222222,59
"74","2014","11",152.222222222222,65
"75","2014","11",114.111111111111,42
"78","2014","11",153.888888888889,66
"79","2014","11",135.388888888889,68
"80","2014","11",118.5,34
"81","2014","11",133.333333333333,33
"82","2014","11",122.666666666667,54
"83","2014","11",78.1111111111111,29
"84","2014","11",119.388888888889,20
"85","2014","11",105.444444444444,15
"86","2014","11",115.5,33
"87","2014","11",121.277777777778,44
"88","2014","11",148.888888888889,35
"89","2014","11",135.888888888889,58
"90","2014","11",74.7777777777778,54
"91","2014","11",101.222222222222,64
"92","2014","11",157,61
"93","2014","11",167.111111111111,59
"94","2014","12",90.9444444444444,74
"95","2014","12",121.666666666667,51
"96","2014","12",106.5,43
"97","2014","12",137,34
"98","2014","12",158.444444444444,38
"100","2014","12",84.6666666666667,34
"101","2014","12",108.555555555556,22
"102","2014","12",135,30
"103","2014","12",115.388888888889,50
"104","2014","12",73.1666666666667,31
"105","2014","12",136.222222222222,28
"106","2014","12",83.7222222222222,21
"107","2014","12",115.277777777778,30
"108","2014","12",159.555555555556,49
"109","2014","12",151.666666666667,54
"110","2014","12",111.611111111111,31
"111","2014","12",149.333333333333,38
"112","2014","12",162.111111111111,58
"115","2014","12",121.666666666667,48
"116","2014","12",117.722222222222,33
