"","month","shandong_average","seoul_average"
"1",1,109.958333333333,49.625
"2",2,103.495238095238,48.0357142857143
"3",3,116.180952380952,65.5714285714286
"4",4,108.127536231884,58.6521739130435
"5",5,86.3218390804598,56.4137931034483
"6",6,75.5933333333333,47.9333333333333
"7",7,73.6731182795699,36.5161290322581
"8",8,68.1204301075269,39.6774193548387
"9",9,88.2622222222222,42.0666666666667
"10",10,78.8709677419355,40.4516129032258
"11",11,110.28,54.7666666666667
"12",12,117.558974358974,48.8461538461538
