"","month","shanghai_pm10","seoul_pm10"
"1",1,62.5925925925926,51.1851851851852
"2",2,52.0434782608696,60.3478260869565
"3",3,53.2222222222222,56.7407407407407
"4",4,62.6896551724138,46.6551724137931
"5",5,53.1935483870968,47.8387096774194
"6",6,46.6551724137931,36.8275862068966
"7",7,46,32.0322580645161
"8",8,44.7096774193548,35.3548387096774
"9",9,39.8666666666667,30.4333333333333
"10",10,52.5666666666667,46.6
"11",11,56.2333333333333,35.4333333333333
"12",12,62.0769230769231,49.7307692307692
