date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 106, 70, 25, 27, 5, ,jinan
2020/4/2, 130, 73, 52, 21, 4, ,jinan
2020/4/3, 143, 141, 46, 20, 6, ,jinan
2020/4/4, 135, 100, 64, 25, 6, ,jinan
2020/4/5, 118, 70, 61, 11, 5, ,jinan
2020/4/6, 104, 97, 76, 21, 8, ,jinan
2020/4/7, 136, 105, 39, 35, 9, ,jinan
2020/4/8, 161, 59, 11, 29, 7, ,jinan
2020/4/9, 123, 70, 34, 25, 6, ,jinan
2020/4/10, 148, 72, 53, 20, 4, ,jinan
2020/4/11, 141, 79, 58, 20, 6, ,jinan
2020/4/12, 125, 81, 68, 24, 5, ,jinan
2020/4/13, 126, 65, 64, 10, 4, ,jinan
2020/4/14, 109, 61, 78, 10, 5, ,jinan
2020/4/15, 108, 88, 53, 13, 4, ,jinan
2020/4/16, 116, 83, 66, 16, 3, ,jinan
2020/4/17, 118, 84, 72, 25, 5, ,jinan
2020/4/18, 150, 72, 74, 13, 3, ,jinan
2020/4/19, 163, 55, , 11, 3, ,jinan
2020/4/20, 76, 57, , 15, 5, ,jinan
2020/4/21, 64, 64, 23, 15, 4, ,jinan
2020/4/22, 58, 64, 42, 19, 3, ,jinan
2020/4/23, 69, 88, 57, 13, 6, ,jinan
2020/4/24, 94, 93, 45, 17, 7, ,jinan
2020/4/25, 109, 74, 48, 28, 4, ,jinan
2020/4/26, 100, 69, 72, 20, 4, ,jinan
2020/4/27, 116, 90, 83, 10, 6, ,jinan
2020/4/28, 107, 75, 109, 12, 6, ,jinan
2020/4/29, 128, 76, 99, 13, 7, ,jinan
2020/4/30, 126, 76, , , , ,jinan
2020/3/1, 156, 67, 42, 18, 11, ,jinan
2020/3/2, 132, 57, 32, 12, 6, ,jinan
2020/3/3, 119, 38, 34, 17, 8, ,jinan
2020/3/4, 72, 67, 50, 18, 10, ,jinan
2020/3/5, 122, 69, 58, 13, 9, ,jinan
2020/3/6, 144, 87, 51, 20, 8, ,jinan
2020/3/7, 170, 111, 70, 27, 10, ,jinan
2020/3/8, 186, 110, 19, 21, 5, ,jinan
2020/3/9, 196, 65, 35, 16, 6, ,jinan
2020/3/10, 128, 88, 49, 15, 7, ,jinan
2020/3/11, 114, 96, 47, 11, 6, ,jinan
2020/3/12, 114, 66, 34, 17, 10, ,jinan
2020/3/13, 84, 78, 37, 17, 9, ,jinan
2020/3/14, 110, 81, 36, 23, 10, ,jinan
2020/3/15, 93, 81, 48, 19, 9, ,jinan
2020/3/16, 103, 79, 42, 19, 8, ,jinan
2020/3/17, 124, 122, 62, 11, 7, ,jinan
2020/3/18, 105, 81, 46, 10, 3, ,jinan
2020/3/19, 43, 119, 68, 9, 5, ,jinan
2020/3/20, 100, 123, 60, 26, 7, ,jinan
2020/3/21, 151, 78, 44, 28, 8, ,jinan
2020/3/22, 130, 88, 64, 27, 7, ,jinan
2020/3/23, 133, 95, 60, 31, 8, ,jinan
2020/3/24, 135, 65, 62, 18, 6, ,jinan
2020/3/25, 104, 58, 24, 19, 4, ,jinan
2020/3/26, 119, 31, 33, 10, 3, ,jinan
2020/3/27, 51, 49, 36, 17, 5, ,jinan
2020/3/28, 60, 68, 40, 17, 5, ,jinan
