date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 123, 67, 29, 21, 9, ,jining
2020/4/2, 138, 82, 45, 26, 9, ,jining
2020/4/3, 169, 97, 61, 25, 12, ,jining
2020/4/4, 155, 95, 47, 13, 13, ,jining
2020/4/5, 107, 64, 57, 16, 9, ,jining
2020/4/6, 122, 68, 60, 19, 8, ,jining
2020/4/7, 131, 92, 55, 26, 13, ,jining
2020/4/8, 155, 68, 31, 17, 7, ,jining
2020/4/9, 133, 42, 29, 12, 5, ,jining
2020/4/10, 121, 66, 56, 14, 9, ,jining
2020/4/11, 153, 79, 50, 18, 10, ,jining
2020/4/12, 129, 81, 68, 25, 10, ,jining
2020/4/13, 144, 63, 62, 8, 4, ,jining
2020/4/14, 115, 67, 65, 11, 9, ,jining
2020/4/15, 131, 69, 54, 7, 6, ,jining
2020/4/16, 113, 95, 69, 10, 4, ,jining
2020/4/17, 120, 65, 83, 15, 5, ,jining
2020/4/18, 159, 53, 62, 13, 1, ,jining
2020/4/19, 141, 56, , 11, 4, ,jining
2020/4/20, 83, 65, , 16, 7, ,jining
2020/4/21, 95, 68, 18, 14, 6, ,jining
2020/4/22, 77, 74, 52, 22, 8, ,jining
2020/4/23, 111, 77, 62, 25, 9, ,jining
2020/4/24, 129, 80, 58, 18, 11, ,jining
2020/4/25, 114, 64, 62, 16, 10, ,jining
2020/4/26, 105, 53, 74, 14, 8, ,jining
2020/4/27, 94, 65, 75, 13, 8, ,jining
2020/4/28, 109, 76, 109, 16, 12, ,jining
2020/4/29, 150, 76, , , , ,jining
2020/3/1, 153, 66, 40, 19, 7, ,jining
2020/3/2, 161, 57, 28, 17, 7, ,jining
2020/3/3, 125, 44, 38, 20, 7, ,jining
2020/3/4, 82, 64, 47, 17, 11, ,jining
2020/3/5, 149, 71, 42, 14, 11, ,jining
2020/3/6, 170, 83, 56, 22, 9, ,jining
2020/3/7, 169, 89, 57, 15, 9, ,jining
2020/3/8, 172, 83, 23, 20, 7, ,jining
2020/3/9, 185, 69, 39, 15, 5, ,jining
2020/3/10, 146, 83, 46, 19, 7, ,jining
2020/3/11, 137, 81, 50, 15, 7, ,jining
2020/3/12, 143, 65, 29, 13, 6, ,jining
2020/3/13, 122, 65, 38, 16, 7, ,jining
2020/3/14, 115, 69, 40, 23, 11, ,jining
2020/3/15, 113, 60, 32, 12, 9, ,jining
2020/3/16, 112, 78, 51, 18, 9, ,jining
2020/3/17, 156, 83, 56, 19, 9, ,jining
2020/3/18, 130, 108, 40, 9, 5, ,jining
2020/3/19, 59, 105, 58, 13, 9, ,jining
2020/3/20, 126, 104, 69, 15, 11, ,jining
2020/3/21, 163, 86, 51, 19, 9, ,jining
2020/3/22, 138, 65, 72, 16, 12, ,jining
2020/3/23, 125, 67, 50, 13, 12, ,jining
2020/3/24, 125, 64, 30, 16, 11, ,jining
2020/3/25, 134, 76, 29, 14, 7, ,jining
2020/3/26, 119, 42, 34, 9, 5, ,jining
2020/3/27, 40, 50, 40, 18, 7, ,jining
2020/3/28, 71, 61, 41, 16, 7, ,jining
2020/3/29, 126, 61, 54, 14, 4, ,jining
2020/3/30, 149, 57, 37, 16, 7, ,jining
2020/3/31, 136, 71, 41, 20, 9, ,jining
2020/2/1, 179, 99, 45, 12, 10, ,jining
2020/2/2, 195, 54, 39, 9, 8, ,jining
2020/2/3, 139, 78, 37, 11, 7, ,jining
2020/2/4, 175, 52, 29, 9, 5, ,jining
2020/2/5, 117, 37, 27, 8, 5, ,jining
2020/2/6, 103, 48, 27, 8, 5, ,jining
2020/2/7, 135, 59, 36, 8, 5, ,jining
2020/2/8, 152, 83, 46, 10, 6, ,jining
2020/2/9, 178, 67, 45, 9, 6, ,jining
2020/2/10, 161, 59, 40, 10, 9, ,jining
2020/2/11, 147, 59, 35, 10, 6, ,jining
2020/2/12, 157, 58, 42, 8, 8, ,jining
2020/2/13, 150, 53, 19, 8, 6, ,jining
2020/2/14, 137, 33, 29, 7, 5, ,jining
2020/2/15, 82, 42, 34, 9, 7, ,jining
2020/2/16, 73, 45, 35, 15, 8, ,jining
2020/2/17, 104, 47, 42, 12, 7, ,jining
2020/2/18, 113, 51, 43, 11, 9, ,jining
2020/2/19, 135, 65, 48, 16, 9, ,jining
2020/2/20, 163, 88, 43, 15, 7, ,jining
2020/2/21, 173, 52, 37, 11, 3, ,jining
2020/2/22, 63, 69, 57, 8, 4, ,jining
2020/2/23, 103, 78, 48, 19, 3, ,jining
2020/2/24, 149, 71, 27, 14, 6, ,jining
2020/2/25, 167, 74, 32, 15, 7, ,jining
2020/2/26, 160, 43, 29, 12, 6, ,jining
2020/2/27, 86, 35, 28, 13, 5, ,jining
2020/2/28, 120, 50, 33, 10, 5, ,jining
2020/2/29, 150, 61, 35, 13, 5, ,jining
2020/1/1, 151, 109, 13, 33, 13, ,jining
2020/1/2, 189, 134, 24, 35, 10, ,jining
2020/1/3, 232, 153, 24, 41, 10, ,jining
2020/1/4, 271, 119, 20, 33, 7, ,jining
2020/1/5, 220, 89, 8, 27, 5, ,jining
2020/1/6, 179, 46, 17, 21, 5, ,jining
2020/1/7, 119, 63, 24, 18, 7, ,jining
2020/1/8, 150, 85, 23, 31, 11, ,jining
2020/1/9, 165, 94, 19, 32, 12, ,jining
2020/1/10, 185, 143, 8, 39, 10, ,jining
2020/1/11, 261, 95, 19, 33, 10, ,jining
2020/1/12, 173, 122, 8, 37, 10, ,jining
2020/1/13, 208, 94, 26, 27, 9, ,jining
2020/1/14, 173, 89, 25, 31, 11, ,jining
2020/1/15, 173, 104, 16, 31, 13, ,jining
2020/1/16, 183, 106, 27, 23, 8, ,jining
2020/1/17, 203, 101, 36, 23, 7, ,jining
2020/1/18, 189, 134, 24, 30, 7, ,jining
2020/1/19, 218, 131, 26, 31, 9, ,jining
2020/1/20, 208, 106, 39, 18, 12, ,jining
2020/1/21, 195, 107, 33, 23, 9, ,jining
2020/1/22, 189, 120, 30, 22, 7, ,jining
2020/1/23, 218, 122, 40, 15, 8, ,jining
2020/1/24, 221, 133, 31, 17, 18, ,jining
2020/1/25, 216, 81, 32, 13, 10, ,jining
2020/1/26, 177, 79, 35, 11, 8, ,jining
2020/1/27, 173, 64, 41, 11, 10, ,jining
2020/1/28, 162, 110, 44, 12, 11, ,jining
2020/1/29, 222, 109, 40, 13, 10, ,jining
2020/1/30, 220, 74, 48, 16, 10, ,jining
2020/1/31, 170, 82, 54, 12, 10, ,jining
2019/10/1, 107, 62, 78, 14, 6, ,jining
2019/10/2, 123, 71, 95, 23, 8, ,jining
2019/10/3, 131, 71, 34, 28, 8, ,jining
2019/10/4, 141, 27, 35, 11, 5, ,jining
2019/10/5, 48, 36, 26, 20, 6, ,jining
2019/10/6, 93, 29, 28, 13, 5, ,jining
2019/10/7, 105, 70, 57, 29, 7, ,jining
2019/10/8, 147, 78, 40, 25, 10, ,jining
2019/10/9, 146, 41, 27, 16, 6, ,jining
2019/10/10, 105, 52, 23, 23, 7, ,jining
2019/10/11, 102, 48, 25, 23, 8, ,jining
2019/10/12, 105, 64, 50, 27, 8, ,jining
2019/10/13, 109, 45, 29, 16, 5, ,jining
2019/10/14, 71, 44, 27, 23, 6, ,jining
2019/10/15, 75, 68, 11, 36, 12, ,jining
2019/10/16, 151, 64, 35, 29, 10, ,jining
2019/10/17, 161, 90, 43, 33, 8, ,jining
2019/10/18, 183, 85, 75, 26, 11, ,jining
2019/10/19, 164, 79, 74, 22, 9, ,jining
2019/10/20, 158, 87, 86, 40, 10, ,jining
2019/10/21, 167, 86, 34, 28, 17, ,jining
2019/10/22, 162, 81, 55, 29, 9, ,jining
2019/10/23, 158, 96, 62, 27, 11, ,jining
2019/10/24, 165, 50, 24, 15, 7, ,jining
2019/10/25, 56, 61, 25, 25, 9, ,jining
2019/10/26, 105, 70, 40, 23, 10, ,jining
2019/10/27, 153, 234, 27, 26, 9, ,jining
2019/10/28, 164, 156, 29, 28, 10, ,jining
2019/10/29, 149, 177, 45, 31, 17, ,jining
2019/10/30, 172, 127, 45, 39, 14, ,jining
2019/10/31, 189, 123, 71, 38, 13, ,jining
2019/11/1, 189, 90, 74, 18, 12, ,jining
2019/11/2, 165, 87, 43, 22, 9, ,jining
2019/11/3, 170, 57, 32, 24, 7, ,jining
2019/11/4, 105, 74, 40, 35, 9, ,jining
2019/11/5, 161, 84, 56, 31, 11, ,jining
2019/11/6, 176, 97, 40, 33, 9, ,jining
2019/11/7, 189, 80, 32, 24, 8, ,jining
2019/11/8, 161, 101, 54, 21, 9, ,jining
2019/11/9, 188, 84, 35, 18, 7, ,jining
2019/11/10, 113, 100, 28, 32, 10, ,jining
2019/11/11, 134, 110, 39, 34, 18, ,jining
2019/11/12, 174, 100, 28, 22, 6, ,jining
2019/11/13, 120, 91, 32, 21, 12, ,jining
2019/11/14, 121, 74, 25, 26, 11, ,jining
2019/11/15, 148, 125, 17, 40, 14, ,jining
2019/11/16, 216, 94, 15, 24, 7, ,jining
2019/11/17, 181, 145, 24, 17, 5, ,jining
2019/11/18, 126, 128, 22, 23, 10, ,jining
2019/11/19, 155, 96, 26, 27, 15, ,jining
2019/11/20, 158, 73, 26, 22, 11, ,jining
2019/11/21, 134, 68, 35, 18, 12, ,jining
2019/11/22, 146, 71, 17, 19, 10, ,jining
2019/11/23, 153, 91, 22, 21, 6, ,jining
2019/11/24, 143, 48, 21, 18, 5, ,jining
2019/11/25, 71, 70, 19, 24, 15, ,jining
2019/11/26, 153, 70, 13, 19, 8, ,jining
2019/11/27, 143, 45, 23, 20, 6, ,jining
2019/11/28, 87, 70, 20, 28, 14, ,jining
2019/11/29, 149, 83, 9, 30, 12, ,jining
2019/11/30, 168, 67, 23, 25, 9, ,jining
2019/12/1, 145, 66, 12, 30, 12, ,jining
2019/12/2, 131, 80, 19, 31, 12, ,jining
2019/12/3, 155, 94, 19, 35, 17, ,jining
2019/12/4, 169, 88, 17, 33, 14, ,jining
2019/12/5, 172, 72, 11, 25, 9, ,jining
2019/12/6, 159, 89, 22, 30, 12, ,jining
2019/12/7, 188, 114, 37, 27, 11, ,jining
2019/12/8, 216, 159, 25, 37, 11, ,jining
2019/12/9, 282, 137, 23, 32, 14, ,jining
2019/12/10, 236, 114, 20, 34, 11, ,jining
2019/12/11, 193, 70, 21, 27, 14, ,jining
2019/12/12, 152, 93, 15, 29, 14, ,jining
2019/12/13, 183, 74, 15, 29, 11, ,jining
2019/12/14, 148, 54, 7, 27, 9, ,jining
2019/12/15, 123, 58, 4, 21, 6, ,jining
2019/12/16, 162, 83, 15, 21, 6, ,jining
2019/12/17, 178, 64, 14, 23, 8, ,jining
2019/12/18, 137, 95, 14, 25, 8, ,jining
2019/12/19, 196, 113, 15, 27, 14, ,jining
2019/12/20, 210, 96, 25, 20, 11, ,jining
2019/12/21, 204, 92, 24, 18, 7, ,jining
2019/12/22, 201, 107, 18, 28, 7, ,jining
2019/12/23, 201, 88, 26, 23, 12, ,jining
2019/12/24, 177, 80, 6, 26, 7, ,jining
2019/12/25, 186, 81, 21, 23, 7, ,jining
2019/12/26, 170, 72, 26, 21, 7, ,jining
2019/12/27, 147, 76, 27, 20, 8, ,jining
2019/12/28, 164, 74, 27, 22, 10, ,jining
2019/12/29, 168, 74, , , , ,jining
2019/7/1, 67, 59, 116, 13, 11, ,jining
2019/7/2, 108, 65, 126, 15, 12, ,jining
2019/7/3, 140, 68, 83, 13, 10, ,jining
2019/7/4, 125, 66, 107, 11, 11, ,jining
2019/7/5, 128, 49, 73, 11, 9, ,jining
2019/7/6, 88, 40, 72, 11, 9, ,jining
2019/7/7, 88, 50, 72, 15, 8, ,jining
2019/7/8, 79, 56, 67, 15, 17, ,jining
2019/7/9, 110, 50, 71, 10, 8, ,jining
2019/7/10, 103, 65, 91, 18, 8, ,jining
2019/7/11, 141, 61, 65, 18, 9, ,jining
2019/7/12, 130, 56, 99, 16, 8, ,jining
2019/7/13, 110, 55, 92, 16, 8, ,jining
2019/7/14, 91, 58, 97, 11, 8, ,jining
2019/7/15, 115, 68, 107, 11, 9, ,jining
2019/7/16, 147, 70, 68, 11, 11, ,jining
2019/7/17, 136, 45, 76, 11, 7, ,jining
2019/7/18, 72, 41, 42, 15, 8, ,jining
2019/7/19, 65, 47, 70, 11, 9, ,jining
2019/7/20, 88, 71, 107, 15, 7, ,jining
2019/7/21, 132, 62, 101, 13, 9, ,jining
2019/7/22, 123, 49, 67, 10, 7, ,jining
2019/7/23, 96, 58, 105, 11, 7, ,jining
2019/7/24, 92, 47, 88, 10, 7, ,jining
2019/7/25, 86, 55, 98, 9, 9, ,jining
2019/7/26, 101, 48, 71, 9, 9, ,jining
2019/7/27, 86, 30, 72, 7, 8, ,jining
2019/7/28, 60, 49, 60, 9, 8, ,jining
2019/7/29, 86, 23, 50, 8, 7, ,jining
2019/7/30, 47, 32, 51, 9, 8, ,jining
2019/7/31, 61, 27, 29, 14, 8, ,jining
2019/8/1, 52, 29, 35, 15, 7, ,jining
2019/8/2, 65, 46, 74, 11, 8, ,jining
2019/8/3, 86, 41, 40, 10, 7, ,jining
2019/8/4, 76, 31, 31, 10, 7, ,jining
2019/8/5, 62, 33, 45, 13, 7, ,jining
2019/8/6, 73, 19, 36, 11, 6, ,jining
2019/8/7, 44, 45, 74, 13, 10, ,jining
2019/8/8, 100, 45, 39, 11, 7, ,jining
