date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 121, 71, 34, 21, 7, ,linyi
2020/4/2, 112, 109, 73, 27, 21, ,linyi
2020/4/3, 171, 149, 47, 24, 11, ,linyi
2020/4/4, 144, 70, 43, 19, 10, ,linyi
2020/4/5, 92, 86, 54, 29, 18, ,linyi
2020/4/6, 138, 88, 74, 26, 8, ,linyi
2020/4/7, 140, 97, 55, 19, 6, ,linyi
2020/4/8, 141, 66, 40, 11, 4, ,linyi
2020/4/9, 87, 49, 36, 14, 2, ,linyi
2020/4/10, 135, 68, 57, 18, 3, ,linyi
2020/4/11, 142, 80, 58, 18, 5, ,linyi
2020/4/12, 126, 87, 73, 27, 9, ,linyi
2020/4/13, 144, 100, 58, 30, 9, ,linyi
2020/4/14, 144, 92, 91, 21, 8, ,linyi
2020/4/15, 168, 90, 69, 13, 6, ,linyi
2020/4/16, 161, 109, 73, 19, 2, ,linyi
2020/4/17, 134, 70, 69, 18, 5, ,linyi
2020/4/18, 145, 59, 51, 13, 3, ,linyi
2020/4/19, 136, 69, 51, 15, 5, ,linyi
2020/4/20, 104, 61, , 13, 5, ,linyi
2020/4/21, 75, 63, 26, 16, 5, ,linyi
2020/4/22, 80, 87, 46, 24, 7, ,linyi
2020/4/23, 133, 104, 63, 24, 10, ,linyi
2020/4/24, 152, 92, 47, 17, 8, ,linyi
2020/4/25, 131, 61, 48, 17, 6, ,linyi
2020/4/26, 120, 70, 75, 20, 5, ,linyi
2020/4/27, 118, 68, 86, 16, 7, ,linyi
2020/4/28, 112, 97, 111, 28, 13, ,linyi
2020/4/29, 163, 97, , , , ,linyi
2020/3/1, 161, 94, 36, 25, 10, ,linyi
2020/3/2, 175, 69, 24, 21, 5, ,linyi
2020/3/3, 139, 60, 38, 20, 7, ,linyi
2020/3/4, 106, 64, 46, 20, 8, ,linyi
2020/3/5, 126, 71, 44, 17, 7, ,linyi
2020/3/6, 150, 95, 56, 25, 7, ,linyi
2020/3/7, 171, 75, 47, 16, 4, ,linyi
2020/3/8, 156, 51, 32, 13, 4, ,linyi
2020/3/9, 122, 68, 39, 16, 8, ,linyi
2020/3/10, 129, 101, 51, 22, 10, ,linyi
2020/3/11, 155, 101, 58, 19, 8, ,linyi
2020/3/12, 160, 67, 29, 14, 5, ,linyi
2020/3/13, 112, 83, 38, 19, 7, ,linyi
2020/3/14, 141, 81, 43, 20, 9, ,linyi
2020/3/15, 103, 62, 35, 17, 7, ,linyi
2020/3/16, 99, 102, 66, 27, 10, ,linyi
2020/3/17, 167, 123, 69, 26, 15, ,linyi
2020/3/18, 154, 118, 41, 13, 4, ,linyi
2020/3/19, 64, 113, 63, 24, 9, ,linyi
2020/3/20, 137, 122, 81, 29, 11, ,linyi
2020/3/21, 160, 70, 43, 13, 5, ,linyi
2020/3/22, 104, 75, 56, 19, 8, ,linyi
2020/3/23, 123, 58, 40, 12, 8, ,linyi
2020/3/24, 105, 51, 35, 12, 3, ,linyi
2020/3/25, 114, 69, 35, 13, 3, ,linyi
2020/3/26, 128, 50, 37, 9, 5, ,linyi
2020/3/27, 66, 63, 40, 17, 7, ,linyi
2020/3/28, 84, 77, 39, 18, 13, ,linyi
2020/3/29, 114, 75, 57, 14, 9, ,linyi
2020/3/30, 134, 96, 35, 26, 13, ,linyi
2020/3/31, 168, 86, 41, 16, 7, ,linyi
2020/2/1, 198, 88, 52, 12, 11, ,linyi
2020/2/2, 177, 61, 38, 7, 4, ,linyi
2020/2/3, 141, 64, 40, 9, 6, ,linyi
2020/2/4, 148, 35, 32, 6, 3, ,linyi
2020/2/5, 67, 40, 30, 8, 4, ,linyi
2020/2/6, 101, 50, 32, 8, 7, ,linyi
2020/2/7, 132, 63, 41, 7, 6, ,linyi
2020/2/8, 156, 84, 41, 10, 9, ,linyi
2020/2/9, 176, 77, 46, 11, 9, ,linyi
2020/2/10, 163, 74, 35, 13, 7, ,linyi
2020/2/11, 166, 65, 40, 9, 5, ,linyi
2020/2/12, 153, 67, 38, 12, 6, ,linyi
2020/2/13, 150, 55, 19, 10, 4, ,linyi
2020/2/14, 125, 25, 30, 6, 3, ,linyi
2020/2/15, 67, 34, 35, 7, 8, ,linyi
2020/2/16, 66, 33, 35, 8, 11, ,linyi
2020/2/17, 68, 51, 41, 15, 14, ,linyi
2020/2/18, 117, 61, 43, 15, 11, ,linyi
2020/2/19, 140, 76, 39, 20, 8, ,linyi
2020/2/20, 163, 78, 32, 19, 8, ,linyi
2020/2/21, 170, 83, 37, 21, 8, ,linyi
2020/2/22, 114, 94, 57, 16, 6, ,linyi
2020/2/23, 156, 103, 48, 30, 7, ,linyi
2020/2/24, 176, 49, 34, 13, 3, ,linyi
2020/2/25, 127, 58, 40, 10, 3, ,linyi
2020/2/26, 115, 37, 32, 11, 5, ,linyi
2020/2/27, 83, 39, 29, 13, 3, ,linyi
2020/2/28, 110, 60, 33, 15, 4, ,linyi
2020/2/29, 154, 72, 27, 14, 4, ,linyi
2020/1/1, 162, 104, 11, 32, 20, ,linyi
2020/1/2, 182, 186, 22, 43, 32, ,linyi
2020/1/3, 257, 235, 26, 48, 24, ,linyi
2020/1/4, 311, 145, 26, 32, 10, ,linyi
2020/1/5, 266, 24, 20, 16, 2, ,linyi
2020/1/6, 90, 13, 20, 12, 2, ,linyi
2020/1/7, 61, 48, 26, 18, 8, ,linyi
2020/1/8, 108, 71, 19, 25, 9, ,linyi
2020/1/9, 132, 98, 18, 34, 15, ,linyi
2020/1/10, 167, 115, 18, 32, 16, ,linyi
2020/1/11, 189, 75, 28, 23, 11, ,linyi
2020/1/12, 141, 127, 7, 34, 15, ,linyi
2020/1/13, 204, 93, 29, 24, 10, ,linyi
2020/1/14, 171, 81, 25, 27, 9, ,linyi
2020/1/15, 162, 81, 28, 24, 8, ,linyi
2020/1/16, 166, 105, 27, 23, 10, ,linyi
2020/1/17, 200, 121, 32, 24, 15, ,linyi
2020/1/18, 205, 139, 37, 26, 15, ,linyi
2020/1/19, 235, 116, 31, 28, 23, ,linyi
2020/1/20, 177, 95, 40, 21, 10, ,linyi
2020/1/21, 172, 75, 31, 15, 6, ,linyi
2020/1/22, 156, 92, 38, 16, 9, ,linyi
2020/1/23, 181, 122, 37, 10, 5, ,linyi
2020/1/24, 223, 60, 36, 8, 10, ,linyi
2020/1/25, 139, 74, 41, 8, 6, ,linyi
2020/1/26, 168, 57, 32, 7, 8, ,linyi
2020/1/27, 135, 55, 38, 9, 13, ,linyi
2020/1/28, 145, 84, 34, 10, 10, ,linyi
2020/1/29, 180, 65, 38, 10, 8, ,linyi
2020/1/30, 129, 67, 53, 15, 21, ,linyi
2020/1/31, 152, 106, 56, 15, 16, ,linyi
2019/10/1, 119, 66, 58, 14, 3, ,linyi
2019/10/2, 119, 71, 91, 21, 5, ,linyi
2019/10/3, 118, 85, 45, 22, 5, ,linyi
2019/10/4, 136, 34, 37, 7, 2, ,linyi
2019/10/5, 47, 39, 31, 14, 3, ,linyi
2019/10/6, 66, 54, 27, 15, 3, ,linyi
2019/10/7, 126, 86, 51, 21, 5, ,linyi
2019/10/8, 163, 101, 62, 25, 5, ,linyi
2019/10/9, 169, 52, 26, 18, 2, ,linyi
2019/10/10, 109, 43, 22, 12, 2, ,linyi
2019/10/11, 88, 69, 38, 14, 2, ,linyi
2019/10/12, 127, 70, 44, 16, 3, ,linyi
2019/10/13, 115, 47, 32, 9, 2, ,linyi
2019/10/14, 57, 45, 34, 18, 4, ,linyi
2019/10/15, 65, 75, 25, 28, 6, ,linyi
2019/10/16, 129, 81, 38, 27, 6, ,linyi
2019/10/17, 148, 108, 66, 35, 10, ,linyi
2019/10/18, 173, 116, 80, 36, 11, ,linyi
2019/10/19, 188, 115, 98, 31, 11, ,linyi
2019/10/20, 189, 105, 77, 31, 10, ,linyi
2019/10/21, 177, 136, 41, 40, 10, ,linyi
2019/10/22, 185, 124, 67, 31, 9, ,linyi
2019/10/23, 178, 138, 83, 42, 7, ,linyi
2019/10/24, 187, 71, 25, 21, 4, ,linyi
2019/10/25, 96, 61, 31, 21, 6, ,linyi
2019/10/26, 94, 111, 45, 29, 14, ,linyi
2019/10/27, 173, 253, 35, 27, 9, ,linyi
2019/10/28, 177, 182, 44, 32, 10, ,linyi
2019/10/29, 150, 193, 47, 39, 16, ,linyi
2019/10/30, 179, 175, 57, 50, 14, ,linyi
2019/10/31, 190, 135, 68, 33, 11, ,linyi
2019/11/1, 180, 89, 39, 30, 8, ,linyi
2019/11/2, 137, 93, 44, 22, 9, ,linyi
2019/11/3, 150, 57, 35, 18, 4, ,linyi
2019/11/4, 75, 95, 48, 31, 8, ,linyi
2019/11/5, 162, 115, 61, 40, 11, ,linyi
2019/11/6, 187, 110, 34, 27, 8, ,linyi
2019/11/7, 167, 86, 33, 26, 7, ,linyi
2019/11/8, 139, 153, 54, 36, 10, ,linyi
2019/11/9, 227, 111, 35, 20, 6, ,linyi
2019/11/10, 133, 126, 35, 34, 11, ,linyi
2019/11/11, 153, 115, 40, 32, 15, ,linyi
2019/11/12, 160, 108, 29, 22, 6, ,linyi
2019/11/13, 131, 100, 32, 23, 10, ,linyi
2019/11/14, 125, 100, 34, 34, 12, ,linyi
2019/11/15, 162, 124, 50, 31, 12, ,linyi
2019/11/16, 180, 80, 27, 23, 4, ,linyi
2019/11/17, 152, 139, 24, 16, 5, ,linyi
2019/11/18, 126, 132, 22, 35, 13, ,linyi
2019/11/19, 156, 131, 29, 38, 15, ,linyi
2019/11/20, 168, 74, 27, 22, 6, ,linyi
2019/11/21, 112, 65, 30, 22, 8, ,linyi
2019/11/22, 111, 75, 12, 19, 4, ,linyi
2019/11/23, 148, 73, 22, 16, 4, ,linyi
2019/11/24, 119, 50, 23, 12, 3, ,linyi
2019/11/25, 80, 96, 29, 24, 7, ,linyi
2019/11/26, 164, 75, 20, 17, 7, ,linyi
2019/11/27, 117, 43, 25, 11, 4, ,linyi
2019/11/28, 82, 67, 23, 21, 7, ,linyi
2019/11/29, 136, 91, 10, 28, 8, ,linyi
2019/11/30, 170, 76, 24, 21, 9, ,linyi
2019/12/1, 165, 88, 15, 28, 23, ,linyi
2019/12/2, 143, 107, 20, 31, 24, ,linyi
