date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 64, 46, 38, 28, 5, ,qingdao
2020/4/2, 67, 79, 61, 33, 6, ,qingdao
2020/4/3, 144, 101, 43, 19, 5, ,qingdao
2020/4/4, 103, 58, 43, 19, 5, ,qingdao
2020/4/5, 67, 57, 44, 20, 4, ,qingdao
2020/4/6, 82, 85, 69, 24, 7, ,qingdao
2020/4/7, 133, 52, 45, 11, 3, ,qingdao
2020/4/8, 78, 30, 41, 15, 2, ,qingdao
2020/4/9, 55, 57, 36, 26, 3, ,qingdao
2020/4/10, 113, 77, 60, 32, 4, ,qingdao
2020/4/11, 146, 94, 65, 27, 8, ,qingdao
2020/4/12, 158, 81, 74, 25, 9, ,qingdao
2020/4/13, 133, 75, 49, 19, 4, ,qingdao
2020/4/14, 83, 74, 105, 16, 3, ,qingdao
2020/4/15, 85, 58, 87, 15, 2, ,qingdao
2020/4/16, 80, 80, 67, 19, 3, ,qingdao
2020/4/17, 84, 61, 72, 16, 2, ,qingdao
2020/4/18, 83, 44, 52, 11, 2, ,qingdao
2020/4/19, 70, 44, , , , ,qingdao
2020/4/22, 52, 44, 31, 24, 5, ,qingdao
2020/4/23, 63, 51, 37, 20, 5, ,qingdao
2020/4/24, 82, 57, 31, 20, 4, ,qingdao
2020/4/25, 75, 46, 36, 21, 3, ,qingdao
2020/4/26, 73, 64, 40, 33, 5, ,qingdao
2020/4/27, 104, 63, 71, 20, 4, ,qingdao
2020/4/28, 94, 61, 51, 14, 3, ,qingdao
2020/4/29, 101, 61, , , , ,qingdao
2020/3/1, 136, 63, 37, 19, 5, ,qingdao
2020/3/2, 146, 48, 34, 14, 4, ,qingdao
2020/3/3, 90, 47, 31, 17, 5, ,qingdao
2020/3/4, 98, 31, 39, 12, 3, ,qingdao
2020/3/5, 76, 33, 44, 7, 3, ,qingdao
2020/3/6, 66, 78, 41, 24, 3, ,qingdao
2020/3/7, 135, 49, 40, 13, 2, ,qingdao
2020/3/8, 110, 51, 32, 23, 3, ,qingdao
2020/3/9, 108, 65, 33, 16, 3, ,qingdao
2020/3/10, 125, 62, 43, 22, 4, ,qingdao
2020/3/11, 89, 88, 50, 17, 3, ,qingdao
2020/3/12, 150, 56, 29, 18, 3, ,qingdao
2020/3/13, 83, 74, 37, 27, 5, ,qingdao
2020/3/14, 106, 69, 36, 23, 6, ,qingdao
2020/3/15, 82, 45, 36, 11, 2, ,qingdao
2020/3/16, 44, 91, 51, 32, 7, ,qingdao
2020/3/17, 140, 110, 82, 22, 7, ,qingdao
2020/3/18, 169, 71, 38, 19, 4, ,qingdao
2020/3/19, 62, 72, 50, 18, 4, ,qingdao
2020/3/20, 90, 97, 39, 30, 6, ,qingdao
2020/3/21, 155, 47, 46, 21, 4, ,qingdao
2020/3/22, 87, 61, 40, 33, 7, ,qingdao
2020/3/23, 93, 44, 46, 16, 3, ,qingdao
2020/3/24, 77, 40, 51, 9, 2, ,qingdao
2020/3/25, 69, 51, 43, 14, 3, ,qingdao
2020/3/26, 77, 55, 27, 5, 3, ,qingdao
2020/3/27, 32, 44, 27, 11, 3, ,qingdao
2020/3/28, 40, 47, 26, 13, 3, ,qingdao
2020/3/29, 45, 50, 49, 12, 3, ,qingdao
2020/3/30, 66, 55, 41, 17, 4, ,qingdao
2020/3/31, 84, 62, 34, 17, 3, ,qingdao
2020/2/1, 183, 50, 43, 10, 4, ,qingdao
2020/2/2, 112, 50, 40, 10, 4, ,qingdao
2020/2/3, 131, 38, 37, 11, 4, ,qingdao
2020/2/4, 95, 30, 31, 8, 5, ,qingdao
2020/2/5, 65, 28, 30, 9, 5, ,qingdao
2020/2/6, 69, 36, 31, 13, 5, ,qingdao
2020/2/7, 89, 85, 37, 12, 5, ,qingdao
2020/2/8, 174, 105, 35, 24, 7, ,qingdao
2020/2/9, 194, 89, 44, 24, 7, ,qingdao
2020/2/10, 175, 50, 46, 11, 4, ,qingdao
2020/2/11, 121, 26, 40, 15, 3, ,qingdao
2020/2/12, 75, 47, 37, 10, 2, ,qingdao
2020/2/13, 118, 28, 37, 7, 1, ,qingdao
2020/2/14, 59, 19, 28, 7, 2, ,qingdao
2020/2/15, 58, 25, 32, 7, 4, ,qingdao
2020/2/16, 59, 26, 32, 10, 4, ,qingdao
2020/2/17, 65, 37, 32, 17, 5, ,qingdao
2020/2/18, 78, 49, 37, 17, 5, ,qingdao
2020/2/19, 105, 24, 37, 9, 2, ,qingdao
2020/2/20, 55, 39, 35, 17, 3, ,qingdao
2020/2/21, 78, 52, 37, 11, 3, ,qingdao
2020/2/22, 63, 69, 57, 8, 3, ,qingdao
2020/2/23, 103, 78, 48, 21, 3, ,qingdao
2020/2/24, 149, 40, 25, 21, 3, ,qingdao
2020/2/25, 99, 56, 33, 17, 5, ,qingdao
2020/2/26, 104, 36, 34, 16, 5, ,qingdao
