date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 114, 53, 38, 19, 2, ,rizhao
2020/4/2, 58, 105, 53, 32, 6, ,rizhao
2020/4/3, 155, 126, 46, 21, 5, ,rizhao
2020/4/4, 125, 64, 41, 19, 3, ,rizhao
2020/4/5, 65, 83, 40, 34, 7, ,rizhao
2020/4/6, 105, 90, 75, 28, 9, ,rizhao
2020/4/7, 149, 66, 53, 10, 7, ,rizhao
2020/4/8, 103, 44, 44, 7, 1, ,rizhao
2020/4/9, 59, 47, 36, 16, 2, ,rizhao
2020/4/10, 113, 73, 61, 25, 4, ,rizhao
2020/4/11, 146, 90, 71, 21, 5, ,rizhao
2020/4/12, 133, 106, 72, 35, 5, ,rizhao
2020/4/13, 156, 95, 33, 36, 6, ,rizhao
2020/4/14, 143, 96, 82, 26, 7, ,rizhao
2020/4/15, 163, 85, 71, 14, 2, ,rizhao
2020/4/16, 150, 102, 71, 19, 2, ,rizhao
2020/4/17, 137, 70, 79, 17, 2, ,rizhao
2020/4/18, 150, 44, 51, 17, 2, ,rizhao
2020/4/19, 101, 56, , 15, 4, ,rizhao
2020/4/20, 91, 46, , 6, 2, ,rizhao
2020/4/21, 47, 52, 17, 11, 2, ,rizhao
2020/4/22, 53, 74, 43, 21, 4, ,rizhao
2020/4/23, 83, 89, 68, 22, 7, ,rizhao
2020/4/24, 115, 84, 46, 16, 8, ,rizhao
2020/4/25, 106, 61, 53, 19, 2, ,rizhao
2020/4/26, 88, 81, 50, 31, 4, ,rizhao
2020/4/27, 108, 81, 73, 22, 7, ,rizhao
2020/4/28, 113, 83, 67, 26, 5, ,rizhao
2020/4/29, 135, 69, 41, 16, 2, ,rizhao
2020/4/30, 106, 69, , , , ,rizhao
2020/3/1, 136, 71, 45, 18, 3, ,rizhao
2020/3/2, 150, 65, 29, 18, 3, ,rizhao
2020/3/3, 120, 55, 38, 14, 4, ,rizhao
2020/3/4, 103, 43, 43, 15, 3, ,rizhao
2020/3/5, 79, 51, 45, 15, 3, ,rizhao
2020/3/6, 82, 70, 49, 22, 3, ,rizhao
2020/3/7, 130, 47, 45, 11, 2, ,rizhao
2020/3/8, 99, 41, 36, 10, 1, ,rizhao
2020/3/9, 99, 61, 38, 12, 2, ,rizhao
2020/3/10, 117, 75, 41, 20, 4, ,rizhao
2020/3/11, 101, 109, 50, 27, 4, ,rizhao
2020/3/12, 164, 69, 34, 15, 2, ,rizhao
2020/3/13, 96, 80, 38, 21, 6, ,rizhao
2020/3/14, 133, 78, 41, 20, 6, ,rizhao
2020/3/15, 96, 62, 35, 16, 3, ,rizhao
2020/3/16, 65, 106, 55, 32, 10, ,rizhao
2020/3/17, 162, 116, 65, 34, 12, ,rizhao
2020/3/18, 155, 109, 41, 13, 2, ,rizhao
2020/3/19, 51, 112, 52, 29, 7, ,rizhao
2020/3/20, 109, 146, 78, 37, 14, ,rizhao
2020/3/21, 164, 66, 39, 16, 3, ,rizhao
2020/3/22, 101, 75, 53, 32, 8, ,rizhao
2020/3/23, 113, 69, 59, 29, 8, ,rizhao
2020/3/24, 109, 45, 48, 13, 1, ,rizhao
2020/3/25, 75, 58, 40, 11, 1, ,rizhao
2020/3/26, 91, 59, 35, 5, 2, ,rizhao
