date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 32, 77, 34, 28, 6, ,weifang
2020/4/2, 118, 91, 51, 25, 6, ,weifang
2020/4/3, 145, 127, 39, 19, 5, ,weifang
2020/4/4, 96, 78, 45, 22, 4, ,weifang
2020/4/5, 102, 84, 57, 25, 6, ,weifang
2020/4/6, 128, 98, 58, 25, 7, ,weifang
2020/4/7, 150, 79, 44, 16, 4, ,weifang
2020/4/8, 118, 40, 34, 11, 2, ,weifang
2020/4/9, 73, 60, 43, 18, 4, ,weifang
2020/4/10, 119, 93, 57, 31, 13, ,weifang
2020/4/11, 158, 91, 57, 28, 10, ,weifang
2020/4/12, 152, 97, 73, 33, 12, ,weifang
2020/4/13, 152, 89, 62, 20, 4, ,weifang
2020/4/14, 138, 78, 79, 14, 3, ,weifang
2020/4/15, 130, 88, 62, 15, 3, ,weifang
2020/4/16, 157, 87, 56, 16, 5, ,weifang
2020/4/17, 120, 79, 74, 21, 8, ,weifang
2020/4/18, 155, 61, 39, 12, 1, ,weifang
2020/4/19, 131, 61, , , , ,weifang
2020/4/22, 68, 65, 40, 14, 11, ,weifang
2020/4/23, 69, 69, 50, 10, 5, ,weifang
2020/4/24, 78, 76, 43, 11, 4, ,weifang
2020/4/25, 90, 61, 45, 18, 3, ,weifang
2020/4/26, 98, 78, 71, 23, 6, ,weifang
2020/4/27, 127, 78, 74, 15, 5, ,weifang
2020/4/28, 119, 88, 111, 13, 7, ,weifang
2020/4/29, 142, 88, , , , ,weifang
2020/3/1, 162, 81, 34, 18, 4, ,weifang
2020/3/2, 165, 65, 21, 19, 6, ,weifang
2020/3/3, 142, 54, 32, 17, 7, ,weifang
2020/3/4, 104, 68, 40, 18, 6, ,weifang
2020/3/5, 129, 70, 42, 17, 5, ,weifang
2020/3/6, 144, 105, 37, 23, 4, ,weifang
2020/3/7, 188, 106, 40, 16, 3, ,weifang
2020/3/8, 188, 59, 28, 11, 2, ,weifang
2020/3/9, 126, 69, 35, 13, 4, ,weifang
2020/3/10, 134, 87, 44, 18, 6, ,weifang
2020/3/11, 136, 93, 43, 14, 5, ,weifang
2020/3/12, 149, 50, 32, 11, 3, ,weifang
2020/3/13, 87, 85, 34, 19, 6, ,weifang
2020/3/14, 123, 77, 33, 20, 9, ,weifang
2020/3/15, 94, 74, 37, 14, 5, ,weifang
2020/3/16, 96, 97, 47, 26, 9, ,weifang
2020/3/17, 143, 101, 60, 17, 8, ,weifang
2020/3/18, 139, 80, 37, 16, 4, ,weifang
2020/3/19, 72, 107, 50, 23, 6, ,weifang
2020/3/20, 125, 138, 60, 28, 7, ,weifang
2020/3/21, 149, 86, 57, 23, 7, ,weifang
2020/3/22, 132, 102, 78, 26, 12, ,weifang
2020/3/23, 159, 94, 53, 23, 6, ,weifang
2020/3/24, 130, 63, 44, 13, 4, ,weifang
2020/3/25, 102, 48, 34, 9, 1, ,weifang
2020/3/26, 79, 51, 33, 10, 3, ,weifang
2020/3/27, 56, 57, 35, 17, 5, ,weifang
2020/3/28, 76, 87, 41, 21, 5, ,weifang
2020/3/29, 130, 100, 67, 22, 8, ,weifang
2020/3/30, 162, 102, 46, 22, 9, ,weifang
2020/3/31, 166, 50, 35, 10, 2, ,weifang
2020/2/1, 154, 75, 29, 12, 8, ,weifang
2020/2/2, 164, 64, 35, 9, 6, ,weifang
2020/2/3, 150, 52, 28, 7, 4, ,weifang
2020/2/4, 117, 39, 29, 7, 4, ,weifang
2020/2/5, 84, 41, 27, 7, 5, ,weifang
2020/2/6, 97, 83, 25, 11, 7, ,weifang
2020/2/7, 168, 115, 38, 14, 7, ,weifang
2020/2/8, 204, 118, 47, 15, 11, ,weifang
2020/2/9, 220, 91, 47, 15, 9, ,weifang
2020/2/10, 179, 71, 40, 15, 6, ,weifang
2020/2/11, 158, 62, 45, 13, 6, ,weifang
2020/2/12, 139, 71, 40, 11, 4, ,weifang
2020/2/13, 158, 29, 28, 8, 3, ,weifang
2020/2/14, 79, 33, 30, 6, 4, ,weifang
2020/2/15, 74, 30, 31, 7, 7, ,weifang
2020/2/16, 66, 35, 33, 12, 9, ,weifang
2020/2/17, 74, 46, 36, 12, 7, ,weifang
2020/2/18, 96, 57, 41, 15, 5, ,weifang
2020/2/19, 122, 74, 40, 19, 6, ,weifang
2020/2/20, 158, 87, 32, 17, 5, ,weifang
2020/2/21, 162, 52, 37, 11, 3, ,weifang
2020/2/22, 63, 69, 57, 8, 3, ,weifang
2020/2/23, 103, 78, 48, 22, 3, ,weifang
2020/2/24, 149, 58, 25, 10, 2, ,weifang
2020/2/25, 117, 41, 32, 8, 3, ,weifang
2020/2/26, 82, 53, 29, 18, 6, ,weifang
2020/2/27, 107, 39, 30, 12, 2, ,weifang
2020/2/28, 102, 61, 29, 12, 3, ,weifang
2020/2/29, 148, 72, 26, 11, 3, ,weifang
2020/1/1, 161, 135, 16, 38, 28, ,weifang
2020/1/2, 198, 230, 15, 52, 30, ,weifang
2020/1/3, 298, 274, 22, 55, 27, ,weifang
2020/1/4, 347, 230, 4, 39, 12, ,weifang
2020/1/5, 297, 49, 19, 16, 4, ,weifang
2020/1/6, 119, 33, 25, 10, 3, ,weifang
2020/1/7, 84, 66, 22, 28, 16, ,weifang
2020/1/8, 153, 104, 24, 35, 18, ,weifang
2020/1/9, 184, 120, 18, 39, 20, ,weifang
2020/1/10, 200, 107, 24, 25, 17, ,weifang
2020/1/11, 185, 75, 24, 23, 12, ,weifang
2020/1/12, 142, 122, 17, 30, 13, ,weifang
2020/1/13, 199, 82, 25, 25, 14, ,weifang
2020/1/14, 160, 110, 22, 29, 10, ,weifang
2020/1/15, 184, 146, 28, 33, 15, ,weifang
2020/1/16, 216, 187, 36, 35, 22, ,weifang
2020/1/17, 309, 163, 25, 25, 8, ,weifang
2020/1/18, 273, 151, 29, 28, 17, ,weifang
2020/1/19, 241, 105, 20, 26, 12, ,weifang
2020/1/20, 160, 87, 33, 18, 8, ,weifang
2020/1/21, 157, 93, 35, 21, 7, ,weifang
2020/1/22, 168, 157, 38, 23, 12, ,weifang
2020/1/23, 263, 78, 31, 9, 6, ,weifang
2020/1/24, 150, 86, 37, 11, 13, ,weifang
2020/1/25, 174, 73, 32, 9, 7, ,weifang
2020/1/26, 158, 79, 35, 8, 7, ,weifang
2020/1/27, 171, 94, 29, 11, 11, ,weifang
2020/1/28, 191, 44, 32, 3, 5, ,weifang
2020/1/29, 103, 42, 32, 4, 5, ,weifang
2020/1/30, 85, 67, 45, 13, 10, ,weifang
2020/1/31, 154, 77, 35, 12, 8, ,weifang
2019/10/1, 134, 77, 64, 14, 2, ,weifang
2019/10/2, 146, 92, 104, 24, 6, ,weifang
2019/10/3, 149, 59, 42, 7, 1, ,weifang
2019/10/4, 89, 32, 32, 10, 2, ,weifang
2019/10/5, 37, 67, 23, 30, 7, ,weifang
2019/10/6, 106, 74, 45, 26, 5, ,weifang
2019/10/7, 154, 73, 28, 20, 3, ,weifang
2019/10/8, 103, 92, 68, 20, 5, ,weifang
2019/10/9, 152, 43, 34, 13, 2, ,weifang
2019/10/10, 91, 42, 33, 13, 2, ,weifang
2019/10/11, 80, 67, 45, 19, 4, ,weifang
2019/10/12, 108, 69, 41, 18, 5, ,weifang
2019/10/13, 101, 35, 28, 11, 2, ,weifang
2019/10/14, 35, 61, 30, 24, 9, ,weifang
2019/10/15, 89, 93, 23, 31, 6, ,weifang
2019/10/16, 140, 119, 28, 39, 12, ,weifang
2019/10/17, 171, 123, 60, 37, 7, ,weifang
2019/10/18, 179, 133, 77, 32, 6, ,weifang
2019/10/19, 190, 107, 77, 22, 5, ,weifang
2019/10/20, 172, 147, 48, 31, 8, ,weifang
2019/10/21, 194, 168, 56, 36, 4, ,weifang
2019/10/22, 211, 137, 66, 38, 8, ,weifang
2019/10/23, 183, 138, 72, 34, 5, ,weifang
2019/10/24, 192, 46, 21, 14, 4, ,weifang
2019/10/25, 63, 81, 31, 29, 9, ,weifang
2019/10/26, 115, 89, 34, 28, 6, ,weifang
2019/10/27, 141, 141, 32, 21, 7, ,weifang
2019/10/28, 153, 112, 31, 29, 10, ,weifang
2019/10/29, 128, 186, 48, 28, 6, ,weifang
2019/10/30, 164, 173, 63, 44, 9, ,weifang
2019/10/31, 178, 125, 38, 36, 6, ,weifang
2019/11/1, 173, 100, 60, 26, 8, ,weifang
2019/11/2, 147, 78, 27, 20, 3, ,weifang
2019/11/3, 102, 76, 32, 28, 9, ,weifang
2019/11/4, 104, 103, 43, 31, 11, ,weifang
2019/11/5, 162, 106, 49, 33, 6, ,weifang
2019/11/6, 168, 91, 28, 22, 3, ,weifang
2019/11/7, 105, 85, 34, 30, 4, ,weifang
2019/11/8, 130, 142, 48, 31, 5, ,weifang
2019/11/9, 202, 104, 36, 17, 4, ,weifang
2019/11/10, 133, 94, 28, 29, 11, ,weifang
2019/11/11, 123, 106, 36, 31, 7, ,weifang
2019/11/12, 150, 92, 25, 19, 5, ,weifang
2019/11/13, 111, 91, 26, 21, 5, ,weifang
2019/11/14, 109, 122, 24, 38, 14, ,weifang
2019/11/15, 167, 92, 36, 20, 4, ,weifang
2019/11/16, 149, 101, 19, 26, 3, ,weifang
2019/11/17, 185, 115, 22, 13, 5, ,weifang
2019/11/18, 120, 127, 20, 25, 10, ,weifang
2019/11/19, 153, 132, 19, 31, 9, ,weifang
2019/11/20, 164, 81, 27, 23, 6, ,weifang
2019/11/21, 119, 72, 31, 20, 3, ,weifang
2019/11/22, 120, 80, 12, 21, 3, ,weifang
2019/11/23, 146, 46, 24, 8, 3, ,weifang
2019/11/24, 74, 45, 23, 13, 4, ,weifang
2019/11/25, 69, 87, 23, 23, 7, ,weifang
2019/11/26, 148, 63, 24, 13, 5, ,weifang
2019/11/27, 85, 50, 26, 16, 5, ,weifang
2019/11/28, 87, 103, 18, 27, 9, ,weifang
2019/11/29, 169, 108, 14, 28, 7, ,weifang
2019/11/30, 176, 61, 20, 23, 12, ,weifang
2019/12/1, 117, 80, 14, 30, 16, ,weifang
2019/12/2, 136, 85, 22, 28, 13, ,weifang
2019/12/3, 143, 94, 18, 33, 15, ,weifang
2019/12/4, 161, 65, 22, 21, 5, ,weifang
2019/12/5, 121, 69, 24, 25, 7, ,weifang
2019/12/6, 130, 140, 17, 30, 11, ,weifang
2019/12/7, 212, 146, 33, 31, 8, ,weifang
2019/12/8, 227, 209, 9, 42, 5, ,weifang
2019/12/9, 292, 168, 16, 39, 8, ,weifang
2019/12/10, 274, 94, 19, 28, 15, ,weifang
2019/12/11, 153, 75, 19, 28, 16, ,weifang
2019/12/12, 124, 89, 22, 29, 11, ,weifang
2019/12/13, 161, 72, 22, 28, 12, ,weifang
2019/12/14, 130, 75, 6, 26, 8, ,weifang
2019/12/15, 152, 61, 9, 19, 5, ,weifang
2019/12/16, 130, 61, 25, 17, 7, ,weifang
2019/12/17, 122, 57, 16, 22, 10, ,weifang
2019/12/18, 112, 83, 13, 27, 14, ,weifang
2019/12/19, 164, 84, 15, 27, 14, ,weifang
2019/12/20, 159, 121, 24, 29, 8, ,weifang
2019/12/21, 203, 107, 17, 28, 8, ,weifang
2019/12/22, 200, 116, 25, 24, 6, ,weifang
2019/12/23, 205, 68, 25, 20, 6, ,weifang
2019/12/24, 149, 93, 15, 26, 7, ,weifang
2019/12/25, 178, 67, 25, 20, 7, ,weifang
2019/12/26, 147, 80, 21, 23, 8, ,weifang
2019/12/27, 151, 86, 26, 24, 6, ,weifang
2019/12/28, 164, 101, 29, 28, 7, ,weifang
2019/12/29, 178, 101, , , , ,weifang
2019/7/1, 82, 80, 105, 18, 6, ,weifang
