date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 76, 50, 47, 12, 6, ,weihai
2020/4/2, 87, 68, 67, 14, 6, ,weihai
2020/4/3, 143, 101, 40, 5, 3, ,weihai
2020/4/4, 88, 47, 38, 8, 3, ,weihai
2020/4/5, 56, 74, 69, 15, 5, ,weihai
2020/4/6, 109, 78, 48, 13, 4, ,weihai
2020/4/7, 132, 47, 37, 10, 3, ,weihai
2020/4/8, 71, 44, 39, 8, 2, ,weihai
2020/4/9, 74, 54, 50, 10, 2, ,weihai
2020/4/10, 114, 61, 68, 13, 3, ,weihai
2020/4/11, 120, 78, 51, 15, 3, ,weihai
2020/4/12, 146, 68, 68, 17, 4, ,weihai
2020/4/13, 128, 65, 75, 16, 3, ,weihai
2020/4/14, 119, 73, 104, 15, 3, ,weihai
2020/4/15, 142, 58, 97, 10, 1, ,weihai
2020/4/16, 111, 48, 55, 8, 1, ,weihai
2020/4/17, 91, 69, 58, 14, 2, ,weihai
2020/4/18, 157, 52, 47, 15, 1, ,weihai
2020/4/19, 125, 34, , 3, 1, ,weihai
2020/4/20, 69, 40, , 1, , ,weihai
2020/4/21, 51, 59, 29, 1, 1, ,weihai
2020/4/22, 56, 43, 37, 2, 1, ,weihai
2020/4/23, 58, 57, 48, 6, 3, ,weihai
2020/4/24, 75, 63, 46, 7, 2, ,weihai
2020/4/25, 83, 44, 47, 10, 3, ,weihai
2020/4/26, 75, 47, 52, 12, 2, ,weihai
2020/4/27, 96, 66, 87, 10, 4, ,weihai
2020/4/28, 105, 60, 83, 8, 1, ,weihai
2020/4/29, 99, 44, 81, 4, 1, ,weihai
2020/4/30, 88, 44, , , , ,weihai
2020/3/1, 102, 32, 37, 5, 3, ,weihai
2020/3/2, 82, 32, 31, 6, 2, ,weihai
2020/3/3, 81, 39, 39, 4, 3, ,weihai
2020/3/4, 98, 32, 40, 6, 2, ,weihai
2020/3/5, 82, 35, 47, 4, 2, ,weihai
2020/3/6, 81, 32, 43, 11, 1, ,weihai
2020/3/7, 84, 41, 43, 9, 2, ,weihai
2020/3/8, 109, 37, 37, 10, 2, ,weihai
2020/3/9, 94, 55, 33, 11, 3, ,weihai
2020/3/10, 132, 54, 51, 10, 3, ,weihai
2020/3/11, 98, 73, 61, 7, 2, ,weihai
2020/3/12, 139, 43, 33, 5, 2, ,weihai
2020/3/13, 56, 56, 34, 11, 4, ,weihai
2020/3/14, 94, 66, 37, 4, 3, ,weihai
2020/3/15, 68, 56, 38, 5, 1, ,weihai
2020/3/16, 60, 77, 41, 16, 8, ,weihai
2020/3/17, 135, 93, 102, 13, 5, ,weihai
2020/3/18, 162, 56, 32, 7, 2, ,weihai
2020/3/19, 71, 59, 44, 9, 3, ,weihai
2020/3/20, 86, 76, 42, 13, 3, ,weihai
2020/3/21, 110, 45, 42, 12, 3, ,weihai
2020/3/22, 90, 57, 47, 13, 5, ,weihai
2020/3/23, 102, 57, 61, 16, 4, ,weihai
2020/3/24, 107, 46, 53, 6, 2, ,weihai
2020/3/25, 82, 23, 42, 9, 1, ,weihai
2020/3/26, 55, 52, 34, 2, 2, ,weihai
2020/3/27, 56, 50, 35, 4, 2, ,weihai
2020/3/28, 51, 42, 41, 8, 2, ,weihai
2020/3/29, 61, 56, 59, 11, 3, ,weihai
2020/3/30, 84, 51, 57, 15, 3, ,weihai
2020/3/31, 89, 53, 35, 6, 2, ,weihai
2020/2/1, 127, 42, 34, 7, 3, ,weihai
2020/2/2, 100, 44, 38, 4, 4, ,weihai
2020/2/3, 113, 36, 37, 3, 2, ,weihai
2020/2/4, 92, 23, 32, 1, 3, ,weihai
2020/2/5, 54, 22, 31, 3, 3, ,weihai
2020/2/6, 67, 57, 29, 5, 3, ,weihai
2020/2/7, 134, 71, 39, 6, 3, ,weihai
2020/2/8, 162, 53, 43, 7, 4, ,weihai
2020/2/9, 118, 98, 60, 11, 6, ,weihai
2020/2/10, 188, 57, 54, 7, 2, ,weihai
2020/2/11, 144, 27, 42, 11, 1, ,weihai
2020/2/12, 83, 29, 39, 6, 1, ,weihai
2020/2/13, 87, 40, 45, 6, 2, ,weihai
2020/2/14, 105, 30, 31, 5, 1, ,weihai
2020/2/15, 83, 38, 32, 1, 2, ,weihai
2020/2/16, 58, 24, 33, 1, 2, ,weihai
2020/2/17, 51, 44, 41, 9, 5, ,weihai
2020/2/18, 96, 55, 39, 13, 4, ,weihai
2020/2/19, 121, 30, 38, 6, 2, ,weihai
2020/2/20, 74, 41, 40, 6, 2, ,weihai
2020/2/21, 93, 60, 37, 11, 3, ,weihai
2020/2/22, 107, 69, 57, 8, 3, ,weihai
2020/2/23, 105, 78, 48, 18, 3, ,weihai
2020/2/24, 149, 43, 37, 9, 2, ,weihai
2020/2/25, 100, 45, 34, 9, 3, ,weihai
2020/2/26, 100, 32, 38, 6, 2, ,weihai
2020/2/27, 79, 26, 32, 8, 2, ,weihai
2020/2/28, 77, 29, 35, 7, 2, ,weihai
2020/2/29, 81, 43, 34, 6, 2, ,weihai
2020/1/1, 126, 76, 26, 23, 7, ,weihai
2020/1/2, 156, 101, 22, 31, 6, ,weihai
2020/1/3, 181, 100, 20, 38, 9, ,weihai
2020/1/4, 184, 71, 21, 29, 5, ,weihai
2020/1/5, 159, 19, 28, 16, 2, ,weihai
2020/1/6, 67, 32, 29, 11, 2, ,weihai
2020/1/7, 83, 40, 33, 4, 3, ,weihai
2020/1/8, 96, 30, 31, 15, 4, ,weihai
2020/1/9, 74, 71, 40, 26, 6, ,weihai
2020/1/10, 153, 59, 29, 15, 5, ,weihai
2020/1/11, 123, 30, 29, 6, 3, ,weihai
2020/1/12, 70, 51, 27, 15, 5, ,weihai
2020/1/13, 124, 29, 30, 8, 3, ,weihai
2020/1/14, 75, 45, 32, 9, 5, ,weihai
2020/1/15, 108, 63, 33, 16, 5, ,weihai
2020/1/16, 144, 36, 34, 8, 4, ,weihai
2020/1/17, 88, 123, 34, 22, 5, ,weihai
2020/1/18, 219, 98, 32, 15, 4, ,weihai
2020/1/19, 179, 53, 30, 10, 3, ,weihai
2020/1/20, 102, 32, 31, 10, 2, ,weihai
2020/1/21, 63, 27, 35, 12, 2, ,weihai
2020/1/22, 60, 65, 41, 11, 3, ,weihai
2020/1/23, 130, 30, 33, 4, 2, ,weihai
2020/1/24, 65, 53, 41, 6, 5, ,weihai
2020/1/25, 128, 58, 40, 7, 4, ,weihai
2020/1/26, 131, 27, 35, 5, 2, ,weihai
2020/1/27, 62, 29, 31, 5, 1, ,weihai
2020/1/28, 89, 64, 42, 6, 3, ,weihai
2020/1/29, 147, 58, 36, 4, 3, ,weihai
2020/1/30, 119, 41, 39, 4, 4, ,weihai
2020/1/31, 99, 57, 36, 6, 4, ,weihai
2019/10/1, 126, 49, 74, 9, 2, ,weihai
2019/10/2, 116, 56, 83, 10, 3, ,weihai
2019/10/3, 103, 61, 28, 12, 2, ,weihai
2019/10/4, 94, 37, 38, 10, 3, ,weihai
2019/10/5, 49, 31, 40, 11, 3, ,weihai
2019/10/6, 48, 43, 47, 15, 4, ,weihai
2019/10/7, 84, 42, 39, 9, 2, ,weihai
2019/10/8, 55, 36, 49, 14, 3, ,weihai
2019/10/9, 44, 42, 50, 13, 2, ,weihai
2019/10/10, 86, 45, 60, 13, 3, ,weihai
2019/10/11, 86, 52, 52, 12, 3, ,weihai
2019/10/12, 87, 66, 44, 15, 5, ,weihai
2019/10/13, 112, 35, 32, 8, 3, ,weihai
2019/10/14, 53, 21, 36, 7, 3, ,weihai
2019/10/15, 32, 46, 42, 17, 4, ,weihai
2019/10/16, 81, 60, 51, 16, 4, ,weihai
2019/10/17, 99, 54, 66, 17, 4, ,weihai
2019/10/18, 96, 71, 79, 21, 6, ,weihai
2019/10/19, 141, 74, 88, 14, 5, ,weihai
2019/10/20, 145, 68, 84, 20, 5, ,weihai
2019/10/21, 141, 106, 86, 20, 4, ,weihai
2019/10/22, 173, 85, 65, 21, 3, ,weihai
2019/10/23, 158, 64, 54, 19, 3, ,weihai
2019/10/24, 131, 33, 42, 10, 3, ,weihai
2019/10/25, 63, 22, 31, 12, 3, ,weihai
2019/10/26, 40, 51, 46, 18, 6, ,weihai
2019/10/27, 91, 114, 49, 13, 5, ,weihai
2019/10/28, 124, 42, 33, 11, 3, ,weihai
2019/10/29, 50, 91, 62, 15, 5, ,weihai
2019/10/30, 102, 157, 81, 19, 7, ,weihai
2019/10/31, 163, 64, 35, 18, 3, ,weihai
2019/11/1, 92, 53, 30, 26, 4, ,weihai
2019/11/2, 74, 61, 30, 19, 5, ,weihai
2019/11/3, 100, 38, 33, 11, 3, ,weihai
2019/11/4, 64, 68, 37, 18, 5, ,weihai
2019/11/5, 121, 46, 29, 19, 2, ,weihai
2019/11/6, 59, 44, 33, 9, 3, ,weihai
2019/11/7, 58, 39, 38, 11, 3, ,weihai
2019/11/8, 68, 77, 54, 20, 4, ,weihai
2019/11/9, 152, 59, 61, 14, 2, ,weihai
2019/11/10, 120, 41, 32, 13, 2, ,weihai
2019/11/11, 62, 46, 39, 15, 2, ,weihai
2019/11/12, 59, 50, 42, 11, 2, ,weihai
2019/11/13, 86, 44, 35, 9, 2, ,weihai
2019/11/14, 62, 55, 34, 12, 2, ,weihai
2019/11/15, 83, 32, 34, 12, 2, ,weihai
2019/11/16, 56, 27, 34, 11, 1, ,weihai
2019/11/17, 66, 82, 28, 6, 2, ,weihai
2019/11/18, 84, 51, 29, 5, 2, ,weihai
2019/11/19, 43, 49, 28, 12, 3, ,weihai
2019/11/20, 69, 50, 35, 13, 2, ,weihai
2019/11/21, 72, 38, 32, 13, 2, ,weihai
2019/11/22, 63, 38, 29, 10, 2, ,weihai
2019/11/23, 72, 33, 29, 6, 1, ,weihai
2019/11/24, 68, 26, 25, 4, 1, ,weihai
2019/11/25, 43, 36, 30, 11, 3, ,weihai
2019/11/26, 68, 40, 27, 8, 3, ,weihai
2019/11/27, 76, 22, 29, 5, 2, ,weihai
2019/11/28, 52, 24, 31, 9, 2, ,weihai
2019/11/29, 52, 57, 25, 23, 4, ,weihai
2019/11/30, 111, 59, 25, 14, 3, ,weihai
2019/12/1, 141, 30, 29, 5, 2, ,weihai
2019/12/2, 56, 55, 28, 16, 7, ,weihai
2019/12/3, 102, 62, 28, 19, 6, ,weihai
