date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 65, 66, 47, 23, 9, ,yantai
2020/4/2, 104, 79, 60, 22, 8, ,yantai
2020/4/3, 149, 103, 41, 10, 5, ,yantai
2020/4/4, 82, 53, 39, 15, 5, ,yantai
2020/4/5, 57, 90, 76, 23, 9, ,yantai
2020/4/6, 130, 86, 51, 23, 9, ,yantai
2020/4/7, 140, 57, 38, 19, 5, ,yantai
2020/4/8, 73, 43, 37, 14, 6, ,yantai
2020/4/9, 75, 55, 51, 15, 7, ,yantai
2020/4/10, 113, 79, 65, 25, 9, ,yantai
2020/4/11, 146, 87, 55, 22, 9, ,yantai
2020/4/12, 148, 85, 59, 31, 14, ,yantai
2020/4/13, 142, 89, 83, 24, 10, ,yantai
2020/4/14, 150, 91, 119, 19, 8, ,yantai
2020/4/15, 163, 65, 98, 12, 5, ,yantai
2020/4/16, 135, 64, 58, 14, 4, ,yantai
2020/4/17, 129, 74, 65, 20, 5, ,yantai
2020/4/18, 161, 60, 51, 17, 4, ,yantai
2020/4/19, 132, 53, , 11, 9, ,yantai
2020/4/20, 72, 52, , 8, 8, ,yantai
2020/4/21, 46, 62, 28, 10, 8, ,yantai
2020/4/22, 62, 47, 34, 11, 3, ,yantai
2020/4/23, 61, 68, 60, 10, 5, ,yantai
2020/4/24, 87, 65, 42, 13, 5, ,yantai
2020/4/25, 87, 47, 43, 17, 5, ,yantai
2020/4/26, 76, 55, 48, 23, 9, ,yantai
2020/4/27, 94, 65, 84, 13, 5, ,yantai
2020/4/28, 101, 60, 95, 10, 3, ,yantai
2020/4/29, 105, 47, 73, 7, 2, ,yantai
2020/4/30, 94, 47, , , , ,yantai
2020/3/1, 138, 54, 37, 14, 9, ,yantai
2020/3/2, 125, 51, 30, 14, 8, ,yantai
2020/3/3, 122, 40, 39, 9, 5, ,yantai
2020/3/4, 93, 37, 39, 10, 6, ,yantai
2020/3/5, 88, 42, 49, 9, 5, ,yantai
2020/3/6, 91, 42, 40, 18, 4, ,yantai
2020/3/7, 104, 54, 46, 16, 7, ,yantai
2020/3/8, 126, 48, 31, 17, 5, ,yantai
2020/3/9, 114, 62, 33, 16, 7, ,yantai
2020/3/10, 135, 63, 44, 15, 6, ,yantai
2020/3/11, 109, 76, 52, 12, 5, ,yantai
2020/3/12, 139, 37, 34, 10, 5, ,yantai
2020/3/13, 50, 58, 35, 14, 9, ,yantai
2020/3/14, 87, 57, 38, 11, 5, ,yantai
2020/3/15, 64, 60, 38, 10, 5, ,yantai
2020/3/16, 68, 85, 39, 25, 12, ,yantai
2020/3/17, 146, 115, 85, 19, 11, ,yantai
2020/3/18, 171, 102, 34, 11, 8, ,yantai
2020/3/19, 62, 72, 43, 17, 7, ,yantai
2020/3/20, 95, 86, 38, 23, 6, ,yantai
2020/3/21, 127, 67, 42, 23, 9, ,yantai
2020/3/22, 111, 69, 49, 22, 9, ,yantai
2020/3/23, 128, 65, 61, 20, 7, ,yantai
2020/3/24, 115, 44, 49, 10, 4, ,yantai
2020/3/25, 82, 30, 43, 14, 3, ,yantai
2020/3/26, 61, 59, 34, 8, 5, ,yantai
2020/3/27, 51, 49, 35, 13, 5, ,yantai
2020/3/28, 66, 54, 39, 16, 5, ,yantai
2020/3/29, 84, 79, 61, 21, 9, ,yantai
2020/3/30, 130, 88, 65, 24, 10, ,yantai
2020/3/31, 138, 58, 36, 14, 7, ,yantai
2020/2/1, 133, 49, 32, 15, 6, ,yantai
2020/2/2, 116, 46, 36, 9, 5, ,yantai
2020/2/3, 121, 41, 34, 10, 5, ,yantai
2020/2/4, 103, 29, 31, 8, 5, ,yantai
2020/2/5, 63, 37, 29, 10, 5, ,yantai
2020/2/6, 90, 64, 26, 11, 7, ,yantai
2020/2/7, 152, 81, 37, 12, 9, ,yantai
