date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 75, 58, 38, 18, 9, ,binzhou
2020/4/2, 112, 76, 51, 17, 14, ,binzhou
2020/4/3, 158, 124, 39, 13, 17, ,binzhou
2020/4/4, 95, 85, 53, 24, 15, ,binzhou
2020/4/5, 116, 101, 54, 33, 12, ,binzhou
2020/4/6, 154, 82, 42, 18, 11, ,binzhou
2020/4/7, 113, 67, 43, 13, 12, ,binzhou
2020/4/8, 103, 34, 37, 9, 7, ,binzhou
2020/4/9, 75, 56, 46, 18, 10, ,binzhou
2020/4/10, 121, 71, 49, 24, 10, ,binzhou
2020/4/11, 137, 74, 50, 25, 10, ,binzhou
2020/4/12, 131, 80, 58, 33, 13, ,binzhou
2020/4/13, 142, 85, 78, 36, 12, ,binzhou
2020/4/14, 140, 77, 89, 26, 10, ,binzhou
2020/4/15, 143, 96, 46, 16, 9, ,binzhou
2020/4/16, 153, 82, 74, 17, 9, ,binzhou
2020/4/17, 134, 81, 93, 25, 15, ,binzhou
2020/4/18, 166, 78, 62, 19, 7, ,binzhou
2020/4/19, 171, 58, , 11, 4, ,binzhou
2020/4/20, 78, 50, , 13, 7, ,binzhou
2020/4/21, 63, 51, 25, 12, 5, ,binzhou
2020/4/22, 55, 55, 45, 18, 8, ,binzhou
2020/4/23, 84, 97, 50, 19, 11, ,binzhou
2020/4/24, 128, 72, 51, 12, 8, ,binzhou
2020/4/25, 109, 66, 55, 27, 13, ,binzhou
2020/4/26, 110, 80, 71, 26, 13, ,binzhou
2020/4/27, 129, 87, 90, 27, 9, ,binzhou
2020/4/28, 135, 83, 130, 36, 11, ,binzhou
2020/4/29, 148, 78, 69, 34, 12, ,binzhou
2020/4/30, 150, 78, , , , ,binzhou
2020/3/1, 151, 84, 36, 26, 12, ,binzhou
2020/3/2, 151, 73, 19, 21, 7, ,binzhou
2020/3/3, 119, 36, 33, 17, 6, ,binzhou
2020/3/4, 62, 78, 39, 28, 12, ,binzhou
