date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 103, 62, 27, 18, 2, ,liaocheng
2020/4/2, 134, 78, 59, 22, 5, ,liaocheng
2020/4/3, 154, 120, 39, 20, 11, ,liaocheng
2020/4/4, 136, 94, 55, 18, 10, ,liaocheng
2020/4/5, 111, 78, 59, 13, 6, ,liaocheng
2020/4/6, 120, 85, 74, 14, 8, ,liaocheng
2020/4/7, 142, 87, 45, 18, 8, ,liaocheng
2020/4/8, 152, 50, 24, 11, 3, ,liaocheng
2020/4/9, 96, 52, 27, 12, 2, ,liaocheng
2020/4/10, 125, 65, 57, 16, 3, ,liaocheng
2020/4/11, 117, 75, 50, 18, 5, ,liaocheng
2020/4/12, 125, 83, 65, 23, 9, ,liaocheng
2020/4/13, 153, 70, 64, 10, 6, ,liaocheng
2020/4/14, 118, 67, 68, 10, 7, ,liaocheng
2020/4/15, 120, 74, 49, 9, 4, ,liaocheng
2020/4/16, 96, 73, 75, 14, 6, ,liaocheng
2020/4/17, 101, 69, 76, 23, 4, ,liaocheng
2020/4/18, 146, 49, 73, 9, 2, ,liaocheng
2020/4/19, 128, 44, , 6, 2, ,liaocheng
2020/4/20, 72, 51, , 10, 3, ,liaocheng
2020/4/21, 49, 53, 13, 11, 3, ,liaocheng
2020/4/22, 50, 54, 40, 18, 4, ,liaocheng
2020/4/23, 70, 81, 46, 18, 7, ,liaocheng
2020/4/24, 102, 88, 46, 13, 6, ,liaocheng
2020/4/25, 90, 67, 45, 17, 10, ,liaocheng
2020/4/26, 86, 61, 68, 13, 7, ,liaocheng
2020/4/27, 86, 79, 73, 8, 5, ,liaocheng
2020/4/28, 104, 80, 97, 9, 7, ,liaocheng
2020/4/29, 117, 77, 47, 13, 13, ,liaocheng
2020/4/30, 133, 77, , , , ,liaocheng
2020/3/1, 137, 68, 39, 17, 5, ,liaocheng
2020/3/2, 144, 57, 24, 13, 3, ,liaocheng
2020/3/3, 126, 38, 34, 13, 6, ,liaocheng
2020/3/4, 71, 67, 44, 19, 8, ,liaocheng
2020/3/5, 119, 79, 44, 14, 8, ,liaocheng
2020/3/6, 156, 91, 50, 17, 6, ,liaocheng
2020/3/7, 169, 108, 49, 23, 7, ,liaocheng
2020/3/8, 178, 89, 21, 14, 3, ,liaocheng
2020/3/9, 178, 71, 37, 13, 3, ,liaocheng
2020/3/10, 131, 94, 42, 18, 10, ,liaocheng
2020/3/11, 138, 92, 38, 11, 4, ,liaocheng
2020/3/12, 129, 40, 34, 12, 5, ,liaocheng
2020/3/13, 67, 64, 37, 20, 5, ,liaocheng
2020/3/14, 94, 60, 39, 24, 11, ,liaocheng
2020/3/15, 89, 83, 39, 16, 8, ,liaocheng
2020/3/16, 117, 85, 43, 19, 7, ,liaocheng
2020/3/17, 139, 132, 56, 15, 11, ,liaocheng
2020/3/18, 132, 106, 40, 7, 3, ,liaocheng
2020/3/19, 54, 119, 55, 10, 8, ,liaocheng
2020/3/20, 114, 124, 45, 16, 10, ,liaocheng
2020/3/21, 155, 67, 50, 16, 6, ,liaocheng
2020/3/22, 108, 87, 57, 21, 12, ,liaocheng
2020/3/23, 139, 76, 58, 12, 13, ,liaocheng
2020/3/24, 128, 71, 45, 14, 10, ,liaocheng
2020/3/25, 114, 70, 29, 9, 2, ,liaocheng
2020/3/26, 105, 39, 35, 11, 3, ,liaocheng
2020/3/27, 41, 55, 37, 21, 5, ,liaocheng
2020/3/28, 75, 70, 44, 21, 10, ,liaocheng
2020/3/29, 117, 67, 50, 14, 6, ,liaocheng
2020/3/30, 125, 64, 40, 13, 5, ,liaocheng
2020/3/31, 120, 79, 28, 17, 5, ,liaocheng
2020/2/1, 186, 67, 37, 9, 6, ,liaocheng
2020/2/2, 155, 63, 39, 7, 4, ,liaocheng
2020/2/3, 144, 76, 29, 6, 4, ,liaocheng
2020/2/4, 161, 43, 22, 7, 7, ,liaocheng
2020/2/5, 82, 60, 19, 8, 5, ,liaocheng
2020/2/6, 141, 61, 25, 7, 2, ,liaocheng
2020/2/7, 145, 69, 35, 10, 3, ,liaocheng
2020/2/8, 164, 111, 45, 11, 5, ,liaocheng
2020/2/9, 216, 75, 47, 9, 5, ,liaocheng
2020/2/10, 164, 61, 43, 7, 5, ,liaocheng
2020/2/11, 146, 60, 34, 5, 4, ,liaocheng
2020/2/12, 143, 62, 39, 5, 6, ,liaocheng
