"","¿œ¿⁄","pm10"
"1",2018-01-01,42
"2",2018-01-02,40
"3",2018-01-03,49
"4",2018-01-04,62
"5",2018-01-05,51
"6",2018-01-06,58
"7",2018-01-07,59
"8",2018-01-08,45
"9",2018-01-09,34
"10",2018-01-10,37
"11",2018-01-11,26
"12",2018-01-12,51
"13",2018-01-13,66
"14",2018-01-14,67
"15",2018-01-15,93
"16",2018-01-16,95
"17",2018-01-17,80
"18",2018-01-18,63
"19",2018-01-19,88
"20",2018-01-20,62
"21",2018-01-21,52
"22",2018-01-22,28
"23",2018-01-23,33
"24",2018-01-24,27
"25",2018-01-25,36
"26",2018-01-26,49
"27",2018-01-27,36
"28",2018-01-28,52
"29",2018-01-29,47
"30",2018-01-30,46
"31",2018-01-31,45
"32",2018-02-01,58
"33",2018-02-02,40
"34",2018-02-03,36
"35",2018-02-04,29
"36",2018-02-05,35
"37",2018-02-06,44
"38",2018-02-07,56
"39",2018-02-08,68
"40",2018-02-09,71
"41",2018-02-10,56
"42",2018-02-11,55
"43",2018-02-12,57
"44",2018-02-13,68
"45",2018-02-14,44
"46",2018-02-15,51
"47",2018-02-16,54
"48",2018-02-17,42
"49",2018-02-18,63
"50",2018-02-19,65
"51",2018-02-20,43
"52",2018-02-21,50
"53",2018-02-22,81
"54",2018-02-23,74
"55",2018-02-24,52
"56",2018-02-25,64
"57",2018-02-26,86
"58",2018-02-27,62
"59",2018-02-28,45
"60",2018-03-01,70
"61",2018-03-02,62
"62",2018-03-03,32
"63",2018-03-04,9
"64",2018-03-05,33
"65",2018-03-06,33
"66",2018-03-07,32
"67",2018-03-08,52
"68",2018-03-09,51
"69",2018-03-10,58
"70",2018-03-11,84
"71",2018-03-12,63
"72",2018-03-13,28
"73",2018-03-14,22
"74",2018-03-15,15
"75",2018-03-16,35
"76",2018-03-17,63
"77",2018-03-18,33
"78",2018-03-19,21
"79",2018-03-20,15
"80",2018-03-21,46
"81",2018-03-22,68
"82",2018-03-23,97
"83",2018-03-24,102
"84",2018-03-25,96
"85",2018-03-26,86
"86",2018-03-27,61
"87",2018-03-28,65
"88",2018-03-29,68
"89",2018-03-30,63
"90",2018-03-31,74
"91",2018-04-01,72
"92",2018-04-02,69
"93",2018-04-03,15
"94",2018-04-04,7
"95",2018-04-05,91
"96",2018-04-06,54
"97",2018-04-07,30
"98",2018-04-08,46
"99",2018-04-09,54
"100",2018-04-10,65
"101",2018-04-11,52
"102",2018-04-12,39
"103",2018-04-13,23
"104",2018-04-14,69
"105",2018-04-15,44
"106",2018-04-16,63
"107",2018-04-17,71
"108",2018-04-18,78
"109",2018-04-19,91
"110",2018-04-20,70
"111",2018-04-21,39
"112",2018-04-22,10
"113",2018-04-23,9
"114",2018-04-24,39
"115",2018-04-25,51
"116",2018-04-26,61
"117",2018-04-27,63
"118",2018-04-28,61
"119",2018-04-29,80
"120",2018-04-30,65
"121",2018-05-01,49
"122",2018-05-02,32
"123",2018-05-03,53
"124",2018-05-04,49
"125",2018-05-05,15
"126",2018-05-06,40
"127",2018-05-07,22
"128",2018-05-08,25
"129",2018-05-09,55
"130",2018-05-10,66
"131",2018-05-11,34
"132",2018-05-12,26
"133",2018-05-13,76
"134",2018-05-14,78
"135",2018-05-15,35
"136",2018-05-16,15
"137",2018-05-17,11
"138",2018-05-18,11
"139",2018-05-19,11
"140",2018-05-20,21
"141",2018-05-21,43
"142",2018-05-22,46
"143",2018-05-23,89
"144",2018-05-24,89
"145",2018-05-25,80
"146",2018-05-26,68
"147",2018-05-27,57
"148",2018-05-28,49
"149",2018-05-29,52
"150",2018-05-30,51
"151",2018-05-31,48
"152",2018-06-01,48
"153",2018-06-02,36
"154",2018-06-03,48
"155",2018-06-04,51
"156",2018-06-05,52
"157",2018-06-06,54
"158",2018-06-07,41
"159",2018-06-08,46
"160",2018-06-09,9
"161",2018-06-10,11
"162",2018-06-11,16
"163",2018-06-12,33
"164",2018-06-13,35
"165",2018-06-14,15
"166",2018-06-15,23
"167",2018-06-16,57
"168",2018-06-17,52
"169",2018-06-18,47
"170",2018-06-19,52
"171",2018-06-20,46
"172",2018-06-21,47
"173",2018-06-22,44
"174",2018-06-23,65
"175",2018-06-24,64
"176",2018-06-25,54
"177",2018-06-26,31
"178",2018-06-27,25
"179",2018-06-28,44
"180",2018-06-29,55
"181",2018-06-30,14
"182",2018-07-01,9
"183",2018-07-02,13
"184",2018-07-03,25
"185",2018-07-04,22
"186",2018-07-05,7
"187",2018-07-06,8
"188",2018-07-07,12
"189",2018-07-08,10
"190",2018-07-09,24
"191",2018-07-10,37
"192",2018-07-11,29
"193",2018-07-12,24
"194",2018-07-13,22
"195",2018-07-14,24
"196",2018-07-15,29
"197",2018-07-16,34
"198",2018-07-17,40
"199",2018-07-18,33
"200",2018-07-19,40
"201",2018-07-20,43
"202",2018-07-21,33
"203",2018-07-22,37
"204",2018-07-23,45
"205",2018-07-24,37
"206",2018-07-25,46
"207",2018-07-26,53
"208",2018-07-27,44
"209",2018-07-28,19
"210",2018-07-29,9
"211",2018-07-30,19
"212",2018-07-31,36
"213",2018-08-01,45
"214",2018-08-02,51
"215",2018-08-03,31
"216",2018-08-04,29
"217",2018-08-05,35
"218",2018-08-06,21
"219",2018-08-07,29
"220",2018-08-08,29
"221",2018-08-09,15
"222",2018-08-10,10
"223",2018-08-11,15
"224",2018-08-12,36
"225",2018-08-13,30
"226",2018-08-14,32
"227",2018-08-15,16
"228",2018-08-16,13
"229",2018-08-17,18
"230",2018-08-18,26
"231",2018-08-19,42
"232",2018-08-20,26
"233",2018-08-21,28
"234",2018-08-22,13
"235",2018-08-23,8
"236",2018-08-24,27
"237",2018-08-25,20
"238",2018-08-26,9
"239",2018-08-27,11
"240",2018-08-28,14
"241",2018-08-29,31
"242",2018-08-30,28
"243",2018-08-31,21
"244",2018-09-01,14
"245",2018-09-02,16
"246",2018-09-03,18
"247",2018-09-04,31
"248",2018-09-05,42
"249",2018-09-06,30
"250",2018-09-07,28
"251",2018-09-08,25
"252",2018-09-09,12
"253",2018-09-10,13
"254",2018-09-11,17
"255",2018-09-12,22
"256",2018-09-13,21
"257",2018-09-14,13
"258",2018-09-15,42
"259",2018-09-16,33
"260",2018-09-17,41
"261",2018-09-18,45
"262",2018-09-19,17
"263",2018-09-20,8
"264",2018-09-21,36
"265",2018-09-22,34
"266",2018-09-23,16
"267",2018-09-24,15
"268",2018-09-25,8
"269",2018-09-26,9
"270",2018-09-27,14
"271",2018-09-28,16
"272",2018-09-29,22
"273",2018-09-30,18
"274",2018-10-01,28
"275",2018-10-02,29
"276",2018-10-03,23
"277",2018-10-04,11
"278",2018-10-05,7
"279",2018-10-06,29
"280",2018-10-07,24
"281",2018-10-08,29
"282",2018-10-09,22
"283",2018-10-10,19
"284",2018-10-11,26
"285",2018-10-12,35
"286",2018-10-13,40
"287",2018-10-14,61
"288",2018-10-15,53
"289",2018-10-16,40
"290",2018-10-17,16
"291",2018-10-18,20
