"","일자","교통량합계"
"1",20180101,9117550.06020591
"2",20180102,10810745.1699839
"3",20180103,11188726.9866427
"4",20180104,11304349.5876648
"5",20180105,11514949.6984572
"6",20180106,10802423.6984572
"7",20180107,9331974.69845721
"8",20180108,10766430.1391974
"9",20180109,10931745.1967163
"10",20180110,11261076.9942368
"11",20180111,11361456.1314327
"12",20180112,11603867.5929721
"13",20180113,10824946.8246086
"14",20180114,9821867.8246086
"15",20180115,11267361.3935444
"16",20180116,11323737.5376863
"17",20180117,11382699.2372533
"18",20180118,11160880.5715547
"19",20180119,11429058.0553808
"20",20180120,10875364.5345762
"21",20180121,9504121.05538075
"22",20180122,10729045.1446116
"23",20180123,10891518.4287872
"24",20180124,10924646.7874364
"25",20180125,11046302.6492523
"26",20180126,11276726.5863219
"27",20180127,10616106.2944713
"28",20180128,9388030.7876881
"29",20180129,10961370.4292321
"30",20180130,10571055.7151597
"31",20180131,10606197.1509024
"32",20180201,11286250.4151182
"33",20180202,11465337.9738368
"34",20180203,10839099.7693088
"35",20180204,9521191.5439638
"36",20180205,11037066.4840846
"37",20180206,11214767.4131605
"38",20180207,11265735.4855274
"39",20180208,11446137.1813826
"40",20180209,11520145.0553808
"41",20180210,10918574.8618567
"42",20180211,9416428.78615562
"43",20180212,11226414.5289841
"44",20180213,11501164.9661499
"45",20180214,11242702.9661499
"46",20180215,9166150.56183787
"47",20180216,9352611.84568725
"48",20180217,8550798.99354034
"49",20180218,8795431.96614987
"50",20180219,10743678.9661499
"51",20180220,11177013.9661499
"52",20180221,11195525.3590314
"53",20180222,11355166.3431936
"54",20180223,11174216.353766
"55",20180224,10979573.3269079
"56",20180225,9737147.96614987
"57",20180226,11277324.472607
"58",20180227,11415818.0258246
"59",20180228,11334821.2680156
"60",20180301,10093719.5978899
"61",20180302,11246266.6092263
"62",20180303,10809365.2052405
"63",20180304,9035275.54150784
"64",20180305,11026874.9655126
"65",20180306,11417370.7924315
"66",20180307,11383426.3178375
"67",20180308,11289892.876919
"68",20180309,11659107.9443215
"69",20180310,11114383.9231324
"70",20180311,9854153.40816326
"71",20180312,11176981.516778
"72",20180313,11438288.0178418
"73",20180314,11532171.1393757
"74",20180315,10970559.5462285
